	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07
ACOT9	221.86	764.36	583.07	171.45	638.15	525.39	229.72	267.73	371.22	76.17	158.79	309.83	191.67	239.52	555.41	212.78	490.14	748.61	221.86	371.22
ADAM17	146.03	497.0	435.55	221.86	339.14	346.29	343.89	299.25	297.17	128.79	395.18	186.4	237.86	79.45	406.31	175.07	435.55	473.41	139.07	186.4
AEBP2	307.69	624.99	599.49	363.56	486.75	500.46	642.59	486.75	435.55	194.36	540.19	429.54	454.09	214.27	400.71	356.05	612.11	638.15	325.29	283.05
AMER1	25.17	52.08	42.71	21.47	40.64	29.48	36.79	37.05	36.53	13.83	21.94	20.71	22.59	19.97	30.78	24.99	59.13	35.0	5.06	32.82
ANKRD6	84.04	193.01	194.36	30.12	185.11	150.17	163.28	104.42	108.9	10.39	124.37	29.48	68.07	51.35	102.25	103.69	283.05	181.28	22.43	45.53
ANTXR1	571.05	1709.26	2645.74	312.0	1583.71	3325.99	1388.16	1417.35	1151.06	95.34	961.07	466.88	693.58	170.25	954.43	293.07	2758.13	5292.48	279.14	470.14
ARHGAP20	3.35	63.0	57.89	8.45	25.35	16.15	20.56	5.23	11.04	1.17	12.0	3.82	7.0	1.01	13.42	22.26	39.5	21.78	1.62	5.73
ARHGAP31	78.34	255.0	325.29	40.64	202.66	172.65	208.38	81.71	158.79	20.11	107.38	54.33	124.37	21.47	158.79	109.66	199.85	166.73	31.22	74.58
ATP10D	55.49	325.29	318.57	30.56	318.57	189.02	273.37	110.43	131.51	52.45	96.68	86.43	99.43	64.8	142.01	100.13	341.51	262.2	23.59	113.56
ATP11C	70.51	463.65	417.77	166.73	358.54	202.66	297.17	190.34	241.19	49.56	131.51	202.66	123.5	93.35	190.34	182.55	395.18	260.38	84.63	43.63
ATXN1	117.6	392.44	525.39	82.87	395.18	392.44	420.68	265.87	251.48	120.94	264.03	159.9	175.07	88.88	133.36	239.52	368.65	260.38	24.46	251.48
B4GALNT1	17.77	8.71	27.84	6.94	26.47	49.21	18.03	41.22	40.93	4.94	17.0	5.87	21.16	5.92	35.25	13.03	35.76	78.34	9.13	7.28
BICC1	33.78	327.56	336.79	35.76	127.89	143.01	133.36	72.52	71.5	2.81	59.97	13.93	87.03	2.16	70.01	46.5	299.25	275.28	8.32	38.4
BICD2	111.99	283.05	275.28	73.54	273.37	305.55	172.65	186.4	162.14	126.12	175.07	163.28	127.0	122.64	242.88	165.57	368.65	327.56	226.54	177.53
CAP1	2997.45	10585.95	7032.37	4388.98	7695.57	8658.09	5517.27	5183.54	5517.27	3540.14	6699.25	4388.98	5555.65	3018.3	4358.66	3589.58	7032.37	14065.74	2997.45	4575.41
CAST	1119.56	4671.57	5403.7	1340.84	3639.7	3716.2	3847.29	4181.07	3103.19	1427.22	3395.89	2075.59	2777.33	1583.71	3589.58	3190.46	4038.61	4802.93	2400.97	1832.01
CCDC93	96.01	217.27	316.37	115.16	277.2	312.0	186.4	239.52	323.03	55.49	329.84	153.34	182.55	98.73	323.03	223.41	392.44	251.48	63.0	149.12
CCND2	87.65	295.11	373.81	55.1	316.37	248.0	180.02	205.5	249.73	29.06	84.63	53.57	92.7	18.7	133.36	141.02	395.18	241.19	36.53	63.0
CCNYL1	84.63	518.15	267.73	156.59	366.09	253.23	283.05	153.34	187.71	171.45	151.22	96.68	150.17	44.57	320.8	158.79	246.28	299.25	108.14	152.28
CCPG1	785.88	1674.06	1477.58	866.07	2047.0	2271.4	1583.71	1551.09	1457.23	802.41	1769.57	1044.52	1225.22	934.76	1617.0	1519.15	1340.84	2178.83	1397.83	842.36
CHST11	108.14	316.37	309.83	50.98	224.97	249.73	153.34	175.07	135.24	21.01	101.54	49.21	116.78	43.94	218.79	123.5	291.04	242.88	42.71	74.58
CLCN5	16.39	48.52	41.22	18.29	37.59	49.56	35.76	29.06	24.46	4.78	36.53	14.35	24.11	6.36	35.76	10.31	35.25	49.56	5.32	15.8
CLEC2D	57.49	414.87	231.32	25.54	363.56	209.84	183.82	166.73	125.24	57.89	189.02	74.06	34.51	12.74	186.4	178.77	490.14	264.03	44.89	77.25
CLIC4	890.44	3257.52	3419.52	759.08	2573.36	2645.74	2240.11	1519.15	1857.6	802.41	1073.91	1378.57	769.69	638.15	1991.0	1208.34	2915.45	2303.12	733.19	1313.23
CLINT1	785.88	1519.15	1127.35	921.88	1447.15	1183.45	1111.82	1159.07	1135.2	540.19	1277.29	1167.14	967.76	551.56	1437.15	825.0	1151.06	1628.26	848.22	995.0
CORIN	58.3	175.07	120.94	13.42	43.94	162.14	78.89	129.69	32.13	8.13	31.9	1.39	46.84	4.03	78.34	6.73	189.02	128.79	5.87	20.11
CPNE8	26.67	149.12	159.9	28.86	109.66	82.87	79.45	37.32	75.11	8.13	46.18	24.46	59.55	23.93	71.5	55.1	127.0	53.95	14.24	36.27
CTSO	463.65	1870.53	974.5	373.81	1111.82	1030.12	928.3	703.28	878.17	205.5	353.59	460.44	500.46	400.71	599.49	441.64	995.0	785.88	511.0	536.45
CTTNBP2NL	123.5	612.11	384.34	133.36	258.57	297.17	287.01	150.17	256.78	71.0	265.87	161.02	209.84	56.28	236.21	165.57	361.04	339.14	49.56	231.32
CUBN	2.48	9.13	14.03	2.2	6.11	6.46	4.43	3.03	6.36	1.19	3.38	2.92	4.43	2.94	6.36	2.76	10.24	9.78	2.27	2.76
CXorf23	94.67	289.02	139.07	85.82	162.14	148.09	139.07	155.5	150.17	49.91	224.97	116.78	99.43	68.07	115.97	127.89	181.28	167.9	46.84	64.34
CYB5R4	161.02	551.56	409.15	199.85	551.56	454.09	332.14	366.09	348.71	185.11	432.53	158.79	215.77	214.27	339.14	226.54	432.53	397.93	150.17	343.89
DCP2	197.09	583.07	312.0	159.9	450.94	301.33	314.17	267.73	275.28	215.77	287.01	191.67	155.5	150.17	239.52	191.67	423.61	305.55	279.14	205.5
DCUN1D4	281.09	563.18	543.96	279.14	423.61	371.22	397.93	334.46	279.14	149.12	406.31	241.19	236.21	162.14	536.45	285.03	480.04	305.55	202.66	234.57
DDR2	74.58	435.55	674.59	46.5	277.2	229.72	281.09	122.64	265.87	16.88	131.51	43.32	151.22	8.32	186.4	155.5	536.45	239.52	35.25	114.36
DDX5	8778.97	18950.18	12244.81	5913.33	14065.74	11035.54	11664.82	8598.28	11992.79	6652.97	9876.98	4769.75	9876.98	4210.15	9673.69	8363.13	11267.44	10440.2	12764.83	6652.97
DNMT1	1605.83	1135.2	1175.27	518.15	934.76	934.76	836.53	860.08	974.5	514.56	1135.2	738.29	830.75	301.33	825.0	669.92	1331.57	909.17	599.49	612.11
DOCK5	51.35	293.07	156.59	83.45	79.45	198.47	148.09	175.07	103.69	32.13	108.14	113.56	47.17	48.52	211.31	24.63	156.59	178.77	52.45	49.21
DPYSL3	454.09	1617.0	1697.45	366.09	1183.45	1208.34	896.64	669.92	718.08	72.52	543.96	105.15	470.14	38.95	651.58	156.59	2018.8	1143.1	118.43	356.05
