	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AR.A24H.01A.11R.A169.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.BH.A18I.01A.11R.A12D.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CV.A45Z.01A.21R.A24Z.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.39.5030.01A.01R.1443.07	TCGA.39.5031.01A.01R.1443.07	TCGA.85.8479.01A.11R.2326.07
ALDH3A1	73.03	15.8	0.36	0.0	3.47	1.03	11.21	9.41	6.84	127486.83	110216.97	1088.92	5594.3	83.45	1183.45	1104.13
ALOX12	52.82	9.48	3.5	0.73	2.58	4.39	2.81	6.41	5.68	13399.51	165904.25	186.4	277.2	17.13	309.83	19.53
ARMC6	860.08	450.94	403.5	316.37	497.0	363.56	373.81	389.72	387.02	384.34	540.19	1167.14	1477.58	595.34	579.04	819.3
ASNA1	2104.58	2224.63	1437.15	872.1	1909.85	1044.52	1295.13	1628.26	2004.85	1697.45	2032.85	3280.18	3820.7	2018.8	2319.15	2224.63
ATAD3A	1044.52	307.69	244.57	59.97	75.11	74.58	214.27	239.52	351.14	525.39	476.71	928.3	1175.27	595.34	529.06	1051.79
ATG4D	1295.13	547.75	432.53	255.0	414.87	334.46	231.32	379.04	438.59	1322.37	2287.2	1781.89	3690.52	1096.5	1135.2	2075.59
BABAM1	2758.13	1529.73	1519.15	988.12	1781.89	1104.13	1331.57	1407.55	1259.69	599.49	2104.58	2240.11	2645.74	1857.6	1896.65	3665.02
C12orf54	11.38	2.07	0.0	0.0	1.04	0.0	0.0	3.59	1.71	909.17	2682.69	215.77	16.03	67.59	163.28	656.11
C19orf43	6381.92	2796.65	2502.97	1883.54	2758.13	2400.97	1757.34	2319.15	2664.15	3190.46	5594.3	7081.29	9344.14	3124.78	4736.79	7966.99
C19orf53	4210.15	3081.75	3018.3	2520.38	3372.43	1427.22	1662.49	2384.37	2956.17	1896.65	3955.48	8363.13	6426.31	3820.7	5147.73	6250.56
C19orf57	309.83	86.43	75.64	15.45	120.1	77.79	62.12	28.86	35.5	429.54	532.74	209.84	583.07	63.89	111.21	830.75
CARM1	1378.57	878.17	444.72	366.09	728.11	454.09	412.0	656.11	665.29	1015.93	764.36	1159.07	1883.54	967.76	1359.57	1733.13
CBR1	2209.26	353.59	1397.83	507.46	1143.1	403.5	928.3	246.28	1551.09	10296.45	6935.54	6337.83	5076.84	2224.63	3039.3	5006.93
CC2D1A	1143.1	616.37	279.14	228.13	327.56	287.01	241.19	429.54	400.71	1044.52	921.88	1498.22	1498.22	595.34	684.02	1870.53
CCDC124	3716.2	1001.93	866.07	275.28	674.59	256.78	660.68	688.78	967.76	3395.89	2591.27	4298.64	5076.84	2434.5	2335.28	5633.22
CDC37	4972.34	2758.13	1529.73	612.11	1685.71	902.89	1417.35	1794.29	2193.99	2701.35	3540.14	3665.02	18950.18	3443.31	3540.14	7331.05
COPE	6381.92	3190.46	1857.6	1286.18	2417.67	1191.69	1857.6	1857.6	2609.3	4181.07	5147.73	8778.97	7485.11	4937.99	5954.47	9409.14
CRELD2	791.35	521.76	450.94	202.66	400.71	165.57	371.22	358.54	507.46	599.49	769.69	1088.92	1378.57	1844.76	1721.16	1369.04
CRNN	0.67	0.0	0.51	0.0	0.56	0.0	0.0	0.0	0.56	971597.0	706337.4	1697.45	223.41	0.96	90.14	5.06
DDX49	1417.35	764.36	769.69	403.5	503.95	414.87	466.88	595.34	753.83	791.35	1477.58	2240.11	1594.73	1322.37	1369.04	2104.58
DUOX2	36.79	4.24	0.36	1.33	2.16	0.39	0.95	1.73	1.81	6207.38	62865.33	480.04	251.48	32.13	69.03	92.05
DUOXA2	15.68	1.07	0.33	0.0	0.38	0.0	0.32	0.36	0.38	1388.16	54349.29	432.53	88.88	10.24	14.03	16.51
E2F4	915.51	591.22	540.19	423.61	551.56	363.56	536.45	473.41	669.92	708.18	1175.27	1350.18	1950.0	1104.13	1378.57	1662.49
ECSIT	1769.57	599.49	351.14	218.79	381.68	384.34	368.65	493.56	493.56	363.56	928.3	2796.65	2758.13	688.78	1143.1	1806.78
ELL	162.14	206.94	110.43	63.45	139.07	69.03	82.29	139.07	206.94	283.05	248.0	285.03	368.65	283.05	234.57	420.68
FAM32A	2573.36	1685.71	1487.87	1044.52	1936.53	1250.98	1242.34	1697.45	1605.83	2303.12	2255.7	3491.39	3716.2	2271.4	2645.74	2758.13
FARSA	1806.78	1295.13	769.69	559.28	1044.52	743.43	620.67	896.64	961.07	1628.26	1388.16	3168.41	3874.05	1233.75	1781.89	1870.53
FETUB	2.89	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	379.04	6607.01	603.67	297.17	22.1	212.78	7.0
FKBP8	5995.9	2855.44	1540.37	830.75	1909.85	748.61	1331.57	1781.89	2287.2	5441.3	5594.3	7130.55	6207.38	4298.64	5441.3	7749.1
GADD45GIP1	2816.11	1119.56	1051.79	130.6	796.86	211.31	813.63	1015.93	1322.37	2119.22	3874.05	4869.99	5672.41	1870.53	3018.3	5147.73
GPR87	127.89	87.65	6.36	57.89	37.32	0.61	0.84	23.76	38.95	654483.73	1514068.5	1857.6	1407.55	420.68	457.25	2047.0
HOMER3	1883.54	563.18	540.19	229.72	551.56	307.69	211.31	417.77	669.92	595.34	1208.34	3589.58	3768.09	1437.15	1088.92	4268.94
IFI27L1	540.19	435.55	217.27	193.01	111.99	199.85	346.29	301.33	305.55	536.45	551.56	660.68	555.41	423.61	346.29	961.07
IL36G	3.92	2.97	0.0	0.61	0.34	0.0	0.29	0.0	0.67	12329.98	59063.35	1159.07	4358.66	26.67	217.27	575.03
KEAP1	1977.24	1331.57	1331.57	518.15	1313.23	785.88	698.41	1175.27	1216.75	1923.14	2193.99	2573.36	7911.95	2018.8	1923.14	3103.19
KRT6A	232.94	19.82	0.0	18.56	7.82	0.75	2.81	11.73	80.01	2.01760973986E9	2.41604469791E9	123144.13	193234.41	9876.98	56657.31	162489.97
KXD1	1896.65	1359.57	866.07	674.59	1277.29	684.02	723.08	961.07	1216.75	1313.23	1508.65	3372.43	3303.0	2032.85	1950.0	3540.14
LPAR2	921.88	241.19	262.2	191.67	444.72	151.22	249.73	218.79	262.2	351.14	397.93	819.3	1037.29	638.15	633.73	1709.26
LSM4	6471.02	3018.3	3901.01	2367.9	2645.74	2796.65	2573.36	1819.35	2400.97	4903.87	3235.01	7433.4	6207.38	3515.68	4802.93	6792.79
