	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07
PPP6R3	1001.93	1066.48	1119.56	460.44	1340.84	1322.37	660.68	1216.75	688.78	514.56	872.1	830.75	1295.13	866.07	1167.14	684.02	928.3	1242.34	480.04	1044.52	708.18	967.76	1350.18	785.88	775.05	688.78	1135.2	660.68	764.36	842.36	1397.83	633.73	703.28	1199.98	753.83	748.61	1073.91	651.58	947.83	693.58	1001.93	1135.2	480.04	555.41	1159.07	1015.93	579.04	1242.34	669.92	866.07	928.3	753.83	791.35	909.17	769.69	1242.34	884.29	884.29	967.76	909.17	947.83	1151.06	872.1	638.15	785.88	1183.45	708.18	633.73	733.19	1277.29	1135.2	764.36	909.17	1427.22	896.64	1111.82	603.67	819.3	1088.92	1008.9	1175.27	860.08	1111.82	656.11	819.3	974.5	796.86	890.44	896.64	518.15	1066.48	669.92	878.17	915.51	825.0	698.41	748.61	1023.0	1023.0	866.07	1023.0	947.83
PRPF4B	802.41	733.19	836.53	301.33	1175.27	764.36	483.38	830.75	497.0	412.0	647.07	651.58	854.13	563.18	796.86	368.65	642.59	819.3	332.14	638.15	483.38	733.19	974.5	620.67	559.28	547.75	884.29	521.76	547.75	656.11	1159.07	432.53	397.93	961.07	638.15	521.76	872.1	514.56	633.73	638.15	802.41	656.11	400.71	409.15	728.11	651.58	366.09	974.5	444.72	693.58	555.41	454.09	536.45	579.04	633.73	854.13	808.0	567.1	775.05	723.08	599.49	518.15	490.14	470.14	587.13	785.88	470.14	476.71	490.14	848.22	698.41	669.92	656.11	909.17	575.03	842.36	329.84	633.73	813.63	647.07	674.59	529.06	1059.11	483.38	500.46	688.78	599.49	551.56	603.67	271.48	718.08	521.76	669.92	638.15	591.22	547.75	555.41	612.11	620.67	616.37	633.73	728.11
PTBP3	341.51	438.59	346.29	146.03	493.56	599.49	187.71	638.15	198.47	253.23	303.44	297.17	571.05	279.14	529.06	275.28	226.54	441.64	139.07	301.33	228.13	353.59	514.56	283.05	223.41	224.97	368.65	327.56	224.97	273.37	902.89	171.45	221.86	470.14	275.28	287.01	500.46	217.27	490.14	239.52	373.81	305.55	115.16	162.14	500.46	297.17	157.68	603.67	197.09	316.37	249.73	211.31	209.84	229.72	301.33	447.82	403.5	346.29	595.34	339.14	373.81	202.66	277.2	173.85	194.36	532.74	191.67	265.87	253.23	599.49	490.14	246.28	269.6	486.75	297.17	371.22	152.28	202.66	521.76	289.02	543.96	318.57	392.44	208.38	253.23	339.14	248.0	293.07	217.27	246.28	366.09	237.86	251.48	239.52	223.41	183.82	228.13	403.5	346.29	291.04	373.81	246.28
PTCD3	878.17	896.64	921.88	329.84	988.12	941.27	616.37	1037.29	575.03	476.71	642.59	579.04	759.08	638.15	638.15	400.71	703.28	941.27	417.77	896.64	476.71	688.78	981.29	603.67	607.87	1216.75	902.89	567.1	583.07	624.99	1096.5	476.71	432.53	921.88	743.43	629.35	1073.91	651.58	764.36	563.18	878.17	785.88	273.37	368.65	974.5	769.69	454.09	1088.92	435.55	825.0	620.67	551.56	536.45	493.56	567.1	802.41	796.86	529.06	780.44	679.29	674.59	660.68	525.39	400.71	616.37	743.43	493.56	665.29	660.68	921.88	688.78	503.95	603.67	934.76	651.58	738.29	473.41	660.68	808.0	595.34	785.88	743.43	723.08	518.15	470.14	848.22	656.11	547.75	575.03	423.61	703.28	536.45	813.63	738.29	629.35	579.04	629.35	620.67	587.13	660.68	638.15	603.67
PUS7L	163.28	145.02	147.06	37.85	114.36	181.28	49.91	176.29	57.89	60.82	64.34	67.12	193.01	56.28	161.02	49.91	62.56	127.89	46.5	98.04	40.07	106.63	135.24	76.17	65.72	49.56	108.14	75.11	75.11	63.89	218.79	46.5	67.12	100.83	64.34	46.84	130.6	69.52	118.43	44.25	77.25	82.87	41.81	39.22	133.36	67.12	58.3	177.53	43.02	69.03	56.28	86.43	47.17	60.39	49.21	140.04	130.6	81.71	177.53	120.94	120.94	78.34	75.11	62.12	85.82	167.9	64.34	53.19	68.07	157.68	116.78	50.98	68.55	178.77	86.43	163.28	36.27	85.22	104.42	100.13	117.6	107.38	143.01	46.18	59.97	131.51	71.5	76.71	57.08	35.25	101.54	51.71	46.84	65.72	40.36	73.03	63.89	128.79	88.88	111.21	84.63	57.08
RAB21	934.76	1051.79	791.35	403.5	1519.15	1519.15	624.99	1331.57	511.0	490.14	660.68	612.11	1561.89	660.68	878.17	647.07	802.41	902.89	460.44	759.08	624.99	595.34	1096.5	974.5	551.56	318.57	830.75	583.07	656.11	791.35	1295.13	555.41	679.29	813.63	688.78	551.56	796.86	595.34	884.29	555.41	718.08	728.11	332.14	403.5	718.08	660.68	447.82	1051.79	476.71	780.44	718.08	1151.06	395.18	642.59	669.92	974.5	878.17	669.92	1030.12	967.76	775.05	567.1	738.29	483.38	595.34	1030.12	525.39	503.95	529.06	1059.11	1143.1	438.59	884.29	808.0	591.22	909.17	406.31	420.68	1104.13	743.43	1175.27	764.36	718.08	500.46	830.75	819.3	480.04	780.44	813.63	563.18	733.19	521.76	514.56	603.67	708.18	612.11	514.56	813.63	819.3	688.78	872.1	638.15
RASA1	373.81	325.29	420.68	153.34	500.46	532.74	114.36	518.15	127.89	199.85	271.48	297.17	483.38	236.21	450.94	220.32	312.0	438.59	142.01	384.34	212.78	334.46	514.56	173.85	262.2	194.36	420.68	285.03	275.28	305.55	493.56	187.71	221.86	412.0	285.03	258.57	285.03	267.73	387.02	231.32	299.25	371.22	100.13	144.01	373.81	305.55	147.06	521.76	112.77	265.87	271.48	158.79	194.36	269.6	277.2	432.53	400.71	295.11	395.18	353.59	305.55	283.05	336.79	221.86	234.57	381.68	211.31	232.94	269.6	500.46	403.5	206.94	267.73	420.68	281.09	417.77	104.42	297.17	432.53	303.44	426.57	361.04	435.55	126.12	211.31	309.83	283.05	271.48	208.38	189.02	368.65	211.31	251.48	249.73	217.27	215.77	221.86	381.68	381.68	307.69	363.56	339.14
RASA2	141.02	145.02	171.45	41.52	165.57	183.82	73.03	178.77	67.59	127.89	98.73	106.63	173.85	93.35	140.04	101.54	93.35	186.4	28.86	127.0	80.01	110.43	163.28	94.01	99.43	75.64	144.01	96.68	87.65	55.89	209.84	72.01	63.45	163.28	99.43	72.01	146.03	109.66	111.21	85.22	147.06	127.89	42.41	40.64	127.89	110.43	66.65	171.45	62.56	165.57	81.14	84.63	98.73	82.87	102.97	128.79	129.69	87.03	140.04	119.26	118.43	96.68	76.17	71.0	100.13	91.41	80.57	85.22	98.73	155.5	144.01	65.26	111.99	169.07	100.83	119.26	60.82	75.64	140.04	132.44	154.42	109.66	131.51	79.45	102.97	126.12	92.05	79.45	67.12	45.53	105.15	105.15	154.42	109.66	102.25	65.26	90.77	107.38	117.6	86.43	100.83	98.73
RC3H1	166.73	120.1	226.54	59.97	118.43	172.65	77.25	157.68	70.01	63.89	118.43	113.56	161.02	73.54	194.36	124.37	94.01	176.29	63.0	140.04	69.03	102.97	159.9	70.01	81.14	75.64	180.02	80.01	77.79	117.6	205.5	83.45	84.63	102.97	90.77	76.71	78.34	86.43	122.64	81.71	115.16	85.82	40.64	47.5	159.9	85.22	54.33	163.28	53.19	108.9	66.18	75.64	105.89	82.87	88.26	158.79	185.11	111.21	152.28	130.6	109.66	62.56	90.14	75.64	92.05	108.9	84.04	90.14	71.5	166.73	141.02	60.82	96.01	158.79	120.1	115.97	55.89	68.55	169.07	114.36	152.28	111.21	90.77	85.22	85.22	162.14	80.57	88.26	65.26	74.58	137.14	99.43	126.12	76.17	75.11	105.89	93.35	86.43	78.89	91.41	102.97	75.11
RCOR1	258.57	325.29	351.14	129.69	358.54	426.57	175.07	447.82	173.85	197.09	258.57	229.72	356.05	236.21	379.04	232.94	429.54	423.61	110.43	309.83	224.97	293.07	384.34	204.07	186.4	163.28	312.0	251.48	211.31	271.48	543.96	164.42	334.46	301.33	221.86	211.31	412.0	191.67	368.65	193.01	406.31	260.38	145.02	180.02	287.01	279.14	117.6	438.59	189.02	262.2	246.28	249.73	214.27	206.94	206.94	348.71	309.83	269.6	283.05	260.38	312.0	197.09	212.78	190.34	366.09	325.29	183.82	182.55	187.71	400.71	353.59	189.02	309.83	325.29	199.85	325.29	162.14	208.38	334.46	232.94	320.8	249.73	409.15	165.57	316.37	353.59	237.86	283.05	224.97	190.34	325.29	182.55	295.11	236.21	191.67	218.79	198.47	234.57	237.86	218.79	269.6	201.25
RHOT1	514.56	540.19	567.1	256.78	612.11	507.46	289.02	733.19	301.33	314.17	358.54	208.38	603.67	381.68	529.06	389.72	441.64	525.39	346.29	447.82	356.05	460.44	521.76	429.54	320.8	291.04	466.88	341.51	384.34	346.29	591.22	273.37	381.68	543.96	376.41	273.37	529.06	376.41	470.14	283.05	395.18	361.04	232.94	297.17	381.68	400.71	314.17	612.11	318.57	334.46	395.18	392.44	358.54	400.71	395.18	575.03	463.65	417.77	497.0	392.44	414.87	540.19	400.71	303.44	351.14	454.09	339.14	400.71	463.65	575.03	480.04	301.33	426.57	583.07	341.51	486.75	285.03	346.29	463.65	336.79	555.41	432.53	476.71	327.56	346.29	438.59	381.68	490.14	366.09	381.68	376.41	307.69	353.59	351.14	371.22	397.93	435.55	511.0	444.72	591.22	466.88	414.87
SASS6	87.03	65.72	81.14	28.65	90.14	96.68	38.95	78.34	37.59	33.78	43.94	29.7	94.67	43.63	77.79	40.36	45.53	100.83	20.11	60.39	40.36	62.56	99.43	28.86	52.82	47.5	87.65	49.91	31.22	50.63	54.72	38.4	42.71	60.82	50.98	43.02	68.07	59.55	70.51	57.49	88.26	70.01	32.82	26.47	100.13	41.52	40.64	96.01	22.1	55.1	48.18	32.13	52.08	54.72	52.08	85.82	64.34	48.18	86.43	68.07	76.71	80.57	40.64	37.05	47.84	62.12	41.81	45.85	49.21	107.38	69.52	35.0	60.82	80.01	48.52	65.72	26.86	44.57	80.57	57.49	74.06	67.59	85.82	34.51	53.57	80.01	38.95	51.35	46.18	31.0	57.89	54.33	57.08	59.13	42.71	52.08	59.13	67.12	47.5	48.87	41.22	35.0
SDAD1	743.43	656.11	802.41	387.02	878.17	791.35	454.09	698.41	529.06	371.22	543.96	591.22	796.86	555.41	698.41	432.53	595.34	624.99	323.03	723.08	480.04	647.07	819.3	595.34	497.0	412.0	647.07	540.19	420.68	591.22	599.49	346.29	563.18	775.05	480.04	518.15	599.49	483.38	638.15	447.82	463.65	567.1	764.36	361.04	738.29	514.56	444.72	802.41	426.57	525.39	551.56	511.0	414.87	525.39	575.03	616.37	579.04	543.96	848.22	688.78	674.59	543.96	579.04	503.95	397.93	647.07	414.87	490.14	476.71	802.41	684.02	438.59	536.45	728.11	612.11	612.11	387.02	638.15	791.35	529.06	688.78	633.73	688.78	420.68	563.18	679.29	567.1	500.46	507.46	514.56	595.34	473.41	441.64	438.59	480.04	575.03	555.41	660.68	633.73	599.49	669.92	612.11
SERPINE3	19.53	18.84	23.93	2.56	23.42	33.78	6.26	15.68	4.39	4.9	7.17	12.93	20.86	16.03	19.82	9.27	5.63	16.03	3.79	15.91	17.38	12.93	32.13	14.78	11.55	5.32	18.56	15.34	4.94	5.92	17.64	9.06	11.55	16.27	13.42	3.92	15.34	2.43	18.7	12.83	16.03	6.36	4.13	5.41	17.38	13.22	5.06	26.86	9.56	8.45	7.94	6.89	7.69	13.72	19.82	22.92	15.45	10.79	17.64	10.88	19.39	8.13	19.25	9.13	13.22	19.97	10.16	14.03	8.13	27.44	15.8	5.87	10.96	22.92	15.91	21.32	4.58	7.94	18.29	5.41	22.92	12.83	18.7	7.51	12.64	19.97	7.63	20.86	13.12	5.41	16.15	10.31	8.25	7.51	11.13	9.85	13.32	16.39	12.83	17.25	19.68	14.45
SLC25A36	995.0	854.13	1175.27	361.04	1216.75	1208.34	785.88	1350.18	587.13	555.41	638.15	638.15	934.76	579.04	909.17	624.99	884.29	961.07	287.01	884.29	575.03	764.36	1286.18	842.36	796.86	583.07	1066.48	599.49	703.28	406.31	1295.13	599.49	483.38	1268.46	842.36	473.41	1183.45	796.86	872.1	679.29	1225.22	854.13	281.09	299.25	1030.12	872.1	447.82	1111.82	409.15	954.43	775.05	607.87	674.59	620.67	723.08	1111.82	902.89	563.18	954.43	902.89	934.76	693.58	674.59	525.39	616.37	954.43	660.68	669.92	915.51	1044.52	1216.75	420.68	738.29	1216.75	842.36	941.27	507.46	743.43	1073.91	1119.56	860.08	921.88	713.11	457.25	438.59	1015.93	660.68	693.58	395.18	361.04	759.08	651.58	679.29	872.1	684.02	540.19	651.58	1008.9	884.29	656.11	718.08	860.08
SLC44A1	389.72	318.57	231.32	98.04	429.54	540.19	120.1	547.75	115.97	141.02	169.07	169.07	583.07	187.71	444.72	149.12	231.32	379.04	148.09	273.37	132.44	316.37	409.15	149.12	195.72	145.02	346.29	215.77	193.01	283.05	647.07	84.63	191.67	248.0	190.34	161.02	314.17	139.07	281.09	117.6	232.94	269.6	53.95	120.1	309.83	212.78	171.45	476.71	121.79	199.85	176.29	154.42	162.14	246.28	154.42	463.65	371.22	265.87	483.38	297.17	260.38	165.57	267.73	144.01	153.34	211.31	127.0	165.57	133.36	466.88	289.02	167.9	172.65	460.44	191.67	414.87	111.21	205.5	417.77	224.97	511.0	273.37	384.34	167.9	147.06	260.38	175.07	228.13	198.47	181.28	295.11	173.85	126.12	221.86	182.55	163.28	211.31	318.57	327.56	381.68	267.73	256.78
SMC5	334.46	387.02	305.55	106.63	507.46	412.0	185.11	371.22	131.51	150.17	264.03	332.14	441.64	212.78	295.11	178.77	189.02	361.04	85.22	231.32	137.14	316.37	454.09	185.11	195.72	175.07	389.72	190.34	191.67	244.57	511.0	172.65	143.01	343.89	239.52	171.45	277.2	221.86	336.79	217.27	241.19	283.05	93.35	88.88	341.51	217.27	154.42	454.09	136.19	265.87	195.72	151.22	177.53	167.9	167.9	323.03	341.51	229.72	381.68	214.27	265.87	221.86	251.48	163.28	201.25	334.46	171.45	173.85	165.57	346.29	397.93	193.01	244.57	420.68	232.94	291.04	99.43	169.07	409.15	273.37	435.55	273.37	320.8	151.22	185.11	325.29	182.55	221.86	137.14	106.63	358.54	177.53	224.97	251.48	204.07	170.25	167.9	318.57	339.14	255.0	312.0	242.88
SMEK2	1066.48	921.88	1088.92	389.72	1216.75	1159.07	536.45	1183.45	432.53	426.57	647.07	638.15	1268.46	633.73	947.83	616.37	638.15	928.3	389.72	743.43	595.34	780.44	1127.35	693.58	583.07	426.57	909.17	688.78	575.03	647.07	1111.82	466.88	642.59	866.07	728.11	633.73	764.36	591.22	830.75	543.96	785.88	890.44	381.68	463.65	947.83	693.58	507.46	1175.27	309.83	607.87	575.03	507.46	547.75	785.88	723.08	967.76	836.53	684.02	1001.93	878.17	775.05	679.29	796.86	363.56	587.13	902.89	567.1	647.07	521.76	1225.22	947.83	500.46	660.68	941.27	713.11	934.76	444.72	688.78	1081.39	656.11	1081.39	780.44	796.86	454.09	591.22	890.44	529.06	733.19	587.13	579.04	796.86	543.96	432.53	633.73	642.59	591.22	612.11	941.27	854.13	759.08	769.69	693.58
SNX6	941.27	961.07	1096.5	450.94	1295.13	1447.15	551.56	1340.84	599.49	656.11	579.04	748.61	1437.15	830.75	967.76	624.99	743.43	988.12	457.25	1015.93	638.15	1015.93	1295.13	743.43	583.07	466.88	884.29	679.29	733.19	624.99	1066.48	525.39	616.37	1096.5	669.92	638.15	961.07	684.02	1059.11	555.41	718.08	603.67	376.41	518.15	1030.12	738.29	591.22	1350.18	583.07	738.29	796.86	703.28	547.75	718.08	753.83	1051.79	921.88	884.29	995.0	684.02	934.76	651.58	915.51	651.58	518.15	934.76	536.45	708.18	624.99	1304.15	1111.82	599.49	723.08	1127.35	698.41	878.17	490.14	825.0	1127.35	555.41	1295.13	791.35	915.51	518.15	647.07	947.83	819.3	769.69	511.0	599.49	909.17	579.04	518.15	612.11	599.49	607.87	579.04	1159.07	921.88	1286.18	981.29	1073.91
SOCS5	285.03	237.86	221.86	67.12	314.17	356.05	103.69	346.29	76.17	94.01	117.6	181.28	325.29	131.51	291.04	119.26	173.85	239.52	82.87	202.66	120.1	182.55	332.14	154.42	145.02	93.35	218.79	132.44	178.77	157.68	234.57	73.54	134.3	214.27	177.53	116.78	185.11	158.79	209.84	116.78	172.65	190.34	64.8	92.05	273.37	131.51	105.15	287.01	61.68	152.28	142.01	153.34	127.89	170.25	140.04	279.14	275.28	201.25	228.13	172.65	181.28	173.85	194.36	138.1	154.42	208.38	120.94	134.3	143.01	325.29	262.2	105.89	170.25	307.69	138.1	236.21	80.01	132.44	271.48	176.29	351.14	206.94	249.73	105.89	136.19	199.85	127.0	180.02	113.56	89.51	244.57	125.24	136.19	152.28	95.34	132.44	129.69	205.5	239.52	244.57	218.79	176.29
SPAST	197.09	199.85	241.19	111.21	248.0	251.48	120.1	271.48	98.04	98.73	151.22	124.37	176.29	111.21	182.55	137.14	149.12	205.5	81.14	170.25	134.3	156.59	269.6	147.06	115.97	123.5	194.36	117.6	105.89	76.71	253.23	87.65	146.03	215.77	111.99	127.0	169.07	142.01	211.31	130.6	142.01	170.25	69.03	99.43	172.65	129.69	102.97	262.2	100.83	101.54	155.5	126.12	112.77	126.12	116.78	195.72	175.07	176.29	226.54	164.42	158.79	137.14	136.19	105.89	111.21	150.17	117.6	129.69	125.24	239.52	220.32	116.78	143.01	194.36	129.69	183.82	117.6	104.42	209.84	130.6	211.31	158.79	147.06	106.63	138.1	198.47	98.73	116.78	131.51	82.87	162.14	122.64	83.45	108.14	103.69	121.79	130.6	173.85	175.07	154.42	156.59	104.42
SPTY2D1	395.18	366.09	353.59	201.25	450.94	473.41	231.32	470.14	205.5	205.5	258.57	277.2	470.14	265.87	435.55	182.55	256.78	387.02	101.54	258.57	206.94	269.6	361.04	287.01	201.25	146.03	295.11	239.52	169.07	217.27	540.19	178.77	228.13	164.42	234.57	224.97	358.54	198.47	371.22	228.13	239.52	198.47	115.16	120.94	426.57	236.21	148.09	429.54	150.17	221.86	194.36	170.25	149.12	269.6	248.0	358.54	351.14	215.77	376.41	400.71	318.57	265.87	283.05	139.07	182.55	633.73	229.72	173.85	204.07	444.72	336.79	164.42	264.03	432.53	229.72	423.61	157.68	239.52	361.04	236.21	325.29	303.44	389.72	127.0	186.4	314.17	228.13	275.28	176.29	162.14	269.6	185.11	147.06	198.47	152.28	218.79	150.17	332.14	293.07	220.32	277.2	260.38
SRFBP1	255.0	164.42	153.34	59.55	218.79	241.19	127.0	137.14	95.34	120.1	124.37	130.6	214.27	105.15	166.73	83.45	100.13	171.45	51.35	155.5	117.6	177.53	201.25	153.34	111.21	48.18	161.02	122.64	85.22	94.01	125.24	72.01	92.05	187.71	124.37	103.69	137.14	77.25	171.45	111.21	105.15	129.69	94.01	63.0	172.65	98.73	57.89	209.84	43.94	135.24	57.49	96.01	80.01	115.16	108.14	169.07	167.9	94.67	209.84	182.55	169.07	199.85	98.73	88.26	107.38	182.55	86.43	95.34	110.43	202.66	141.02	81.71	157.68	206.94	118.43	173.85	71.0	117.6	198.47	153.34	182.55	142.01	159.9	60.39	102.97	163.28	108.14	138.1	55.89	70.51	127.0	90.14	76.71	78.34	111.21	120.94	92.7	142.01	109.66	127.89	124.37	96.01
SRSF10	1551.09	1519.15	1639.59	743.43	1685.71	1651.0	1104.13	1583.71	1044.52	854.13	1208.34	1259.69	1781.89	1208.34	1674.06	1111.82	1487.87	1551.09	543.96	1857.6	1167.14	1388.16	1733.13	1467.37	1081.39	872.1	1561.89	1277.29	1119.56	1407.55	1651.0	1044.52	1111.82	2032.85	1457.23	1037.29	1651.0	1340.84	1322.37	1143.1	1369.04	1295.13	733.19	759.08	1639.59	1313.23	890.44	2004.85	934.76	1519.15	1225.22	934.76	1023.0	1216.75	1259.69	1551.09	1427.22	1183.45	1331.57	1369.04	1331.57	1457.23	1111.82	988.12	1151.06	1685.71	1119.56	1183.45	1088.92	1794.29	1407.55	902.89	1378.57	1709.26	1167.14	1551.09	842.36	1199.98	1685.71	1066.48	1605.83	1359.57	1378.57	947.83	1183.45	1617.0	1051.79	1151.06	1151.06	928.3	1457.23	1242.34	1369.04	1242.34	1340.84	1135.2	1051.79	1561.89	1331.57	1397.83	1331.57	1340.84
SS18	1044.52	1286.18	1388.16	620.67	1304.15	1437.15	866.07	1594.73	723.08	575.03	866.07	1286.18	1183.45	1023.0	1286.18	802.41	896.64	902.89	395.18	1208.34	775.05	1159.07	1313.23	563.18	967.76	813.63	1175.27	961.07	1030.12	656.11	1268.46	836.53	802.41	1733.13	1066.48	1015.93	1447.15	890.44	1159.07	802.41	575.03	967.76	208.38	563.18	1151.06	995.0	633.73	1259.69	669.92	1001.93	947.83	934.76	830.75	961.07	1059.11	1225.22	1233.75	902.89	1030.12	967.76	995.0	764.36	1104.13	802.41	866.07	928.3	866.07	1008.9	743.43	1304.15	1407.55	713.11	1104.13	1111.82	693.58	1059.11	651.58	934.76	1208.34	1030.12	1175.27	1167.14	1175.27	738.29	934.76	1183.45	872.1	1059.11	785.88	713.11	1369.04	915.51	1081.39	808.0	1059.11	791.35	665.29	1208.34	1159.07	866.07	1127.35	1216.75
STAG2	1008.9	967.76	860.08	409.15	1340.84	1477.58	454.09	1397.83	403.5	466.88	420.68	476.71	1457.23	490.14	995.0	476.71	624.99	954.43	265.87	679.29	466.88	728.11	1286.18	629.35	486.75	493.56	878.17	571.05	500.46	571.05	1331.57	423.61	525.39	764.36	536.45	571.05	842.36	493.56	866.07	503.95	753.83	674.59	305.55	249.73	1119.56	583.07	368.65	1143.1	507.46	551.56	555.41	497.0	387.02	612.11	480.04	1151.06	830.75	703.28	1023.0	796.86	733.19	660.68	718.08	420.68	463.65	1081.39	412.0	429.54	511.0	1216.75	928.3	409.15	620.67	1151.06	571.05	915.51	368.65	571.05	1066.48	595.34	1175.27	674.59	872.1	412.0	460.44	866.07	476.71	656.11	521.76	366.09	785.88	457.25	476.71	607.87	447.82	412.0	486.75	890.44	819.3	743.43	780.44	579.04
STRN3	441.64	497.0	633.73	131.51	603.67	624.99	239.52	543.96	209.84	183.82	316.37	309.83	559.28	305.55	397.93	318.57	381.68	409.15	130.6	406.31	295.11	423.61	532.74	379.04	283.05	201.25	397.93	332.14	318.57	343.89	529.06	237.86	314.17	426.57	361.04	271.48	397.93	285.03	466.88	295.11	457.25	267.73	125.24	186.4	381.68	283.05	198.47	591.22	244.57	299.25	371.22	356.05	209.84	334.46	323.03	429.54	363.56	327.56	444.72	379.04	420.68	351.14	332.14	187.71	249.73	483.38	253.23	323.03	273.37	493.56	490.14	202.66	395.18	490.14	312.0	454.09	208.38	264.03	470.14	271.48	540.19	351.14	336.79	194.36	351.14	353.59	246.28	329.84	301.33	221.86	409.15	255.0	251.48	285.03	262.2	271.48	234.57	358.54	387.02	384.34	400.71	309.83
