	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07
NMD3	934.76	728.11	813.63	358.54	1119.56	988.12	470.14	1242.34	363.56	490.14	607.87	620.67	941.27	511.0	825.0	497.0	713.11	934.76	409.15	684.02	543.96	813.63	890.44	665.29	529.06	341.51	791.35	595.34	595.34	450.94	1259.69	525.39	579.04	674.59	698.41	457.25	830.75	579.04	703.28	438.59	571.05	703.28	265.87	327.56	988.12	547.75	483.38	988.12	376.41	842.36	612.11	429.54	525.39	571.05	587.13	802.41	890.44	575.03	988.12	785.88	764.36	698.41	713.11	460.44	642.59	981.29	460.44	591.22	341.51	1044.52	836.53	583.07	902.89	902.89	620.67	854.13	420.68	723.08	1397.83	842.36	988.12	693.58	1001.93	397.93	555.41	860.08	486.75	743.43	305.55	406.31	748.61	563.18	389.72	532.74	395.18	555.41	480.04	785.88	733.19	872.1	703.28	612.11
NUP160	409.15	332.14	305.55	73.03	412.0	423.61	226.54	423.61	175.07	139.07	271.48	305.55	438.59	237.86	366.09	189.02	265.87	406.31	157.68	334.46	172.65	318.57	450.94	211.31	172.65	180.02	384.34	226.54	248.0	248.0	476.71	166.73	173.85	323.03	256.78	186.4	295.11	258.57	283.05	189.02	356.05	307.69	149.12	125.24	389.72	285.03	118.43	417.77	138.1	325.29	215.77	195.72	194.36	244.57	232.94	348.71	384.34	232.94	320.8	301.33	312.0	212.78	277.2	159.9	251.48	381.68	187.71	206.94	113.56	441.64	351.14	195.72	234.57	454.09	273.37	395.18	108.14	224.97	389.72	325.29	412.0	303.44	361.04	155.5	193.01	351.14	246.28	229.72	110.43	144.01	353.59	187.71	223.41	283.05	242.88	201.25	212.78	356.05	339.14	332.14	305.55	303.44
NUPL1	854.13	638.15	624.99	221.86	890.44	693.58	417.77	612.11	307.69	309.83	432.53	400.71	674.59	336.79	540.19	361.04	454.09	708.18	221.86	463.65	384.34	476.71	642.59	395.18	389.72	287.01	607.87	371.22	387.02	368.65	738.29	387.02	323.03	656.11	493.56	373.81	532.74	414.87	547.75	392.44	665.29	376.41	228.13	232.94	518.15	400.71	244.57	633.73	289.02	450.94	417.77	264.03	368.65	426.57	409.15	620.67	483.38	438.59	684.02	521.76	616.37	470.14	438.59	297.17	406.31	638.15	305.55	351.14	366.09	583.07	511.0	242.88	463.65	819.3	420.68	638.15	293.07	414.87	571.05	417.77	567.1	450.94	423.61	242.88	363.56	579.04	356.05	476.71	426.57	271.48	457.25	307.69	426.57	339.14	373.81	403.5	409.15	507.46	397.93	412.0	450.94	389.72
ORC2	334.46	262.2	346.29	157.68	426.57	403.5	229.72	371.22	218.79	208.38	232.94	215.77	361.04	223.41	277.2	176.29	253.23	406.31	163.28	312.0	226.54	293.07	429.54	246.28	262.2	226.54	376.41	241.19	244.57	249.73	493.56	172.65	172.65	379.04	237.86	218.79	368.65	239.52	287.01	237.86	281.09	323.03	183.82	156.59	307.69	236.21	194.36	400.71	187.71	262.2	249.73	190.34	202.66	236.21	218.79	329.84	327.56	242.88	318.57	283.05	241.19	232.94	256.78	180.02	249.73	366.09	211.31	244.57	242.88	406.31	323.03	223.41	285.03	358.54	241.19	314.17	183.82	209.84	343.89	299.25	303.44	241.19	275.28	202.66	255.0	346.29	208.38	212.78	239.52	144.01	285.03	241.19	295.11	258.57	234.57	228.13	220.32	287.01	239.52	244.57	260.38	253.23
OTUD4	371.22	299.25	373.81	61.25	361.04	392.44	115.16	454.09	120.94	81.71	183.82	285.03	406.31	162.14	343.89	134.3	195.72	371.22	68.55	244.57	143.01	256.78	426.57	197.09	170.25	117.6	336.79	182.55	166.73	178.77	397.93	126.12	125.24	356.05	180.02	149.12	273.37	158.79	303.44	149.12	226.54	193.01	77.79	84.04	397.93	186.4	105.15	381.68	72.52	229.72	138.1	108.14	139.07	166.73	175.07	320.8	289.02	239.52	293.07	212.78	255.0	156.59	185.11	141.02	181.28	329.84	146.03	143.01	152.28	429.54	325.29	111.99	151.22	460.44	197.09	301.33	85.82	180.02	371.22	198.47	429.54	267.73	307.69	127.0	157.68	312.0	156.59	198.47	141.02	92.7	318.57	152.28	197.09	157.68	127.0	150.17	136.19	239.52	287.01	248.0	262.2	172.65
PAN3	483.38	470.14	497.0	189.02	669.92	532.74	285.03	579.04	295.11	211.31	361.04	336.79	473.41	253.23	435.55	293.07	323.03	525.39	206.94	409.15	293.07	384.34	595.34	336.79	334.46	314.17	473.41	295.11	320.8	403.5	638.15	287.01	255.0	540.19	363.56	267.73	406.31	343.89	412.0	318.57	563.18	417.77	232.94	171.45	368.65	395.18	181.28	514.56	289.02	329.84	341.51	301.33	332.14	312.0	318.57	571.05	438.59	312.0	303.44	417.77	293.07	435.55	318.57	277.2	358.54	400.71	318.57	339.14	363.56	457.25	409.15	269.6	429.54	493.56	353.59	429.54	246.28	318.57	447.82	381.68	392.44	361.04	460.44	287.01	346.29	420.68	327.56	301.33	271.48	136.19	334.46	329.84	536.45	366.09	318.57	275.28	291.04	358.54	438.59	336.79	312.0	353.59
PGGT1B	289.02	361.04	325.29	214.27	441.64	287.01	251.48	363.56	177.53	218.79	226.54	223.41	429.54	279.14	395.18	176.29	224.97	392.44	149.12	299.25	283.05	323.03	389.72	312.0	242.88	104.42	329.84	253.23	224.97	237.86	420.68	226.54	267.73	423.61	260.38	258.57	356.05	229.72	373.81	262.2	325.29	305.55	140.04	152.28	361.04	265.87	205.5	392.44	136.19	312.0	161.02	267.73	201.25	287.01	293.07	366.09	314.17	256.78	420.68	327.56	356.05	303.44	269.6	187.71	176.29	432.53	198.47	234.57	237.86	447.82	351.14	226.54	343.89	358.54	269.6	373.81	193.01	234.57	397.93	277.2	341.51	281.09	353.59	175.07	339.14	295.11	246.28	329.84	262.2	205.5	283.05	251.48	232.94	197.09	237.86	234.57	215.77	363.56	289.02	255.0	323.03	241.19
PHAX	595.34	629.35	555.41	329.84	902.89	854.13	438.59	830.75	511.0	403.5	521.76	607.87	995.0	579.04	733.19	420.68	571.05	591.22	271.48	703.28	441.64	575.03	884.29	660.68	521.76	273.37	603.67	473.41	525.39	490.14	620.67	511.0	400.71	674.59	571.05	511.0	669.92	417.77	665.29	511.0	603.67	551.56	273.37	318.57	743.43	743.43	299.25	947.83	379.04	575.03	529.06	620.67	323.03	684.02	567.1	718.08	607.87	476.71	733.19	595.34	616.37	470.14	587.13	490.14	480.04	698.41	493.56	480.04	529.06	825.0	848.22	575.03	603.67	813.63	432.53	616.37	329.84	444.72	872.1	412.0	713.11	543.96	616.37	361.04	507.46	624.99	633.73	559.28	379.04	403.5	511.0	438.59	373.81	529.06	603.67	483.38	438.59	775.05	738.29	579.04	733.19	679.29
PIK3C2A	591.22	684.02	490.14	115.97	718.08	791.35	215.77	748.61	182.55	170.25	281.09	316.37	872.1	264.03	728.11	206.94	358.54	500.46	111.99	389.72	205.5	379.04	713.11	395.18	246.28	212.78	480.04	279.14	293.07	346.29	629.35	220.32	204.07	432.53	267.73	305.55	457.25	208.38	400.71	215.77	297.17	265.87	94.01	111.21	647.07	343.89	178.77	679.29	120.1	334.46	309.83	260.38	165.57	323.03	264.03	551.56	480.04	327.56	583.07	483.38	457.25	275.28	426.57	208.38	241.19	665.29	251.48	215.77	248.0	753.83	559.28	139.07	314.17	808.0	435.55	624.99	134.3	303.44	599.49	255.0	612.11	457.25	616.37	169.07	236.21	507.46	265.87	406.31	195.72	166.73	521.76	248.0	224.97	285.03	244.57	206.94	208.38	536.45	463.65	403.5	500.46	366.09
PPIP5K2	647.07	438.59	633.73	135.24	748.61	708.18	376.41	728.11	214.27	297.17	341.51	403.5	698.41	301.33	543.96	343.89	351.14	674.59	217.27	480.04	376.41	507.46	713.11	275.28	271.48	376.41	620.67	397.93	429.54	332.14	836.53	351.14	323.03	366.09	406.31	361.04	429.54	529.06	379.04	426.57	599.49	466.88	183.82	208.38	547.75	417.77	332.14	854.13	334.46	376.41	260.38	201.25	381.68	373.81	426.57	753.83	518.15	392.44	591.22	575.03	450.94	486.75	327.56	299.25	384.34	567.1	289.02	406.31	56.28	660.68	591.22	283.05	514.56	656.11	414.87	647.07	336.79	420.68	669.92	463.65	518.15	289.02	518.15	193.01	376.41	463.65	251.48	361.04	343.89	181.28	511.0	384.34	429.54	454.09	438.59	356.05	381.68	483.38	403.5	366.09	406.31	341.51
