	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HJ.01A.11R.A36G.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07
ABCC9	159.9	8.0	49.21	12.09	4.54	38.95	33.3	49.91	108.14	40.93	59.97	74.06	67.59	31.0	68.07	15.34	21.32	18.43	129.69	30.56	32.59	23.42	35.5	102.97	1.53	138.1	13.83	140.04	4.74	40.36	45.21	50.63	142.01	6.46	13.72	85.22	187.71	18.7	10.08	26.67	11.04	43.32	19.68	43.32	3.69	22.92	37.32
ADAMTS2	147.06	27.64	76.71	27.05	9.63	29.48	89.51	107.38	139.07	90.77	154.42	121.79	115.97	34.26	137.14	24.63	47.84	27.84	281.09	86.43	40.64	35.76	28.04	53.95	13.22	351.14	44.57	161.02	13.12	96.01	100.13	97.36	183.82	35.0	23.08	273.37	178.77	37.05	43.32	25.72	17.64	108.9	69.52	84.63	11.55	19.68	48.18
AEBP1	3372.43	1159.07	2090.03	748.61	343.89	1769.57	2451.44	2627.46	4123.49	3589.58	4769.75	4268.94	2627.46	1242.34	4575.41	802.41	1583.71	1233.75	6699.25	1437.15	1757.34	1594.73	813.63	2119.22	371.22	8022.41	2468.49	5041.77	387.02	2384.37	3124.78	2367.9	3564.78	420.68	447.82	12244.81	6079.61	1519.15	1313.23	759.08	1066.48	2075.59	1119.56	1819.35	441.64	1051.79	3847.29
AXL	406.31	66.18	232.94	123.5	23.25	209.84	237.86	234.57	232.94	223.41	432.53	323.03	318.57	75.64	361.04	62.56	92.7	123.5	669.92	157.68	96.68	151.22	144.01	201.25	34.51	500.46	118.43	395.18	42.41	246.28	251.48	183.82	406.31	31.67	48.18	563.18	438.59	83.45	105.15	107.38	64.34	197.09	87.03	256.78	45.53	106.63	167.9
BGN	3443.31	2609.3	4181.07	1225.22	457.25	2061.24	5076.84	2758.13	5219.6	4450.27	7642.41	8022.41	5594.3	1313.23	5594.3	1857.6	2209.26	1605.83	12676.65	1605.83	1963.57	3742.05	2090.03	1733.13	1295.13	7589.61	3212.66	5555.65	780.44	4671.57	6164.49	3303.0	8538.88	1151.06	718.08	12676.65	5112.16	2777.33	2004.85	954.43	1378.57	2701.35	3039.3	5633.22	830.75	1277.29	2367.9
C1S	4038.61	915.51	2400.97	583.07	226.54	1561.89	1674.06	2796.65	3235.01	2018.8	3614.55	2417.67	2255.7	1437.15	3874.05	587.13	802.41	1135.2	5633.22	1313.23	1340.84	909.17	780.44	3372.43	108.9	8479.89	1030.12	3742.05	271.48	1259.69	1721.16	3901.01	2855.44	305.55	587.13	10585.95	5255.91	1023.0	698.41	878.17	620.67	2090.03	743.43	1529.73	253.23	518.15	2485.67
CACHD1	165.57	16.88	80.01	30.56	6.73	55.49	59.97	86.43	90.14	55.49	86.43	88.26	62.12	32.82	92.05	21.47	38.12	33.54	173.85	41.81	37.85	53.57	38.95	77.25	2.81	199.85	35.0	122.64	5.19	59.55	91.41	84.04	120.1	13.42	31.45	100.83	198.47	36.27	18.7	29.7	17.0	65.72	17.9	95.34	9.63	40.93	48.52
CALHM2	301.33	111.99	244.57	94.67	47.84	194.36	156.59	248.0	303.44	231.32	379.04	299.25	271.48	123.5	525.39	96.68	128.79	157.68	579.04	108.9	126.12	197.09	130.6	172.65	87.03	583.07	190.34	555.41	51.35	269.6	397.93	166.73	327.56	71.0	95.34	656.11	470.14	172.65	128.79	122.64	76.17	190.34	126.12	271.48	59.13	119.26	201.25
CAMK4	94.01	6.57	34.02	15.68	3.08	23.59	33.78	112.77	45.85	41.81	62.56	64.34	39.22	20.11	51.71	14.67	26.86	17.51	75.11	30.34	31.45	28.04	9.7	70.01	1.08	180.02	13.93	110.43	3.79	20.41	100.83	79.45	61.68	10.47	7.69	167.9	101.54	13.42	9.85	4.78	15.34	34.02	13.52	34.26	3.44	23.08	43.02
CARD6	33.54	9.7	21.16	8.32	2.43	14.14	11.91	15.0	27.64	15.0	20.41	25.54	20.11	8.85	45.53	7.22	10.71	10.96	40.64	8.99	11.91	15.56	11.04	20.86	4.62	42.41	10.16	48.52	4.21	21.94	28.65	19.68	29.27	7.06	6.01	33.78	43.02	14.03	8.85	9.13	4.5	15.11	11.82	30.56	2.61	14.89	14.45
