	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.145LS.2026.SM.5Q5D7	GTEX.13QJ3.1726.SM.5RQK9	GTEX.14DAQ.1426.SM.5RQJD	GTEX.RNOR.1226.SM.48FDQ	GTEX.13G51.0926.SM.5IFFU	GTEX.RNOR.1326.SM.48FDE	GTEX.13OW6.1426.SM.5L3EU	GTEX.YECK.1726.SM.5IFI3	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.UPK5.2126.SM.4JBJK
ABCA6	18.56	138.1	101.54	58.71	514.56	83.45	1674.06	1950.0	279.14	283.05	234.57	236.21	1081.39	1001.93	708.18	1617.0	5.28	0.0	0.27	16.39	14.03	46.5	5.87	13.42	18.16	1322.37	567.1	934.76
ABCA8	32.36	132.44	59.97	24.28	802.41	100.13	3564.78	5517.27	368.65	693.58	305.55	339.14	2335.28	2816.11	1662.49	4512.4	10.24	0.0	0.39	154.42	223.41	112.77	54.33	34.75	31.67	12329.98	4010.71	3639.7
ABCA9	20.86	59.97	41.52	36.79	320.8	42.41	934.76	947.83	102.25	153.34	119.26	123.5	642.59	599.49	830.75	1769.57	2.58	0.0	0.28	7.46	8.32	17.38	4.54	11.64	8.58	656.11	217.27	420.68
ACSS3	0.0	25.91	17.13	17.51	54.33	8.65	199.85	209.84	45.21	36.01	50.98	46.18	78.89	114.36	76.71	106.63	2.27	0.0	0.32	1.28	3.26	18.29	3.72	5.41	1.77	426.57	120.94	301.33
ADAMTS5	2.78	52.82	28.45	6.06	121.79	8.51	197.09	198.47	29.7	36.53	29.27	34.51	113.56	129.69	141.02	236.21	1.17	0.0	0.28	9.63	3.26	13.83	1.99	7.75	9.93	125.24	73.54	145.02
AFF3	0.0	27.05	13.83	11.21	169.07	41.52	169.07	125.24	24.81	57.49	25.91	42.41	182.55	229.72	162.14	117.6	2.61	0.0	0.26	0.55	3.59	3.2	1.69	7.17	1.17	46.5	417.77	75.64
AGTR1	1.27	50.63	20.71	8.71	120.94	7.34	483.38	269.6	32.59	40.64	26.47	45.53	209.84	253.23	197.09	187.71	0.85	0.0	0.45	4.62	4.54	16.75	1.35	7.46	4.21	595.34	201.25	780.44
AL626787.1	3.69	9.13	7.57	10.96	15.91	2.03	36.79	34.51	16.75	13.12	10.55	10.47	39.5	38.95	46.18	42.71	0.57	0.0	0.04	1.5	6.41	8.58	1.27	4.94	3.35	17.77	24.46	47.84
ANKRD10	239.52	1030.12	1388.16	507.46	2451.44	532.74	3491.39	3589.58	1639.59	1277.29	1359.57	1617.0	3540.14	4358.66	4066.71	4268.94	684.02	0.0	1.06	209.84	463.65	368.65	253.23	194.36	199.85	2739.08	3212.66	2434.5
AP005482.1	43.32	14.45	29.06	20.11	21.01	23.42	103.69	47.84	27.64	53.95	20.71	23.76	63.0	55.49	77.79	103.69	0.0	0.0	0.05	1.28	4.28	13.62	40.93	10.39	6.73	123.5	65.26	73.54
AQPEP	0.47	54.33	19.25	4.1	141.02	5.96	237.86	409.15	57.49	57.49	59.97	43.94	206.94	102.97	145.02	295.11	0.65	0.0	0.34	10.47	8.71	4.1	7.06	5.28	4.9	231.32	111.99	152.28
ARHGAP6	6.16	70.51	21.16	26.1	166.73	48.18	318.57	305.55	80.57	105.15	59.13	72.01	239.52	260.38	221.86	228.13	15.68	0.0	0.49	24.63	28.65	23.25	17.38	13.72	13.03	450.94	301.33	420.68
ATP1B2	9.56	48.87	15.34	12.83	71.0	29.27	392.44	303.44	112.77	115.16	75.64	127.89	265.87	381.68	249.73	153.34	3.86	0.0	0.01	24.63	14.45	7.88	9.13	3.38	5.77	909.17	348.71	947.83
ATP8B4	12.55	34.51	43.94	28.45	82.29	15.56	144.01	94.01	24.81	15.8	42.41	28.04	48.87	102.97	53.95	194.36	16.15	0.0	0.41	7.57	13.72	40.93	11.82	32.36	21.16	90.77	78.89	201.25
C10orf128	25.54	248.0	218.79	141.02	406.31	185.11	866.07	802.41	392.44	287.01	229.72	291.04	848.22	620.67	651.58	988.12	49.21	0.0	0.36	120.94	121.79	129.69	65.72	59.13	114.36	1417.35	587.13	1447.15
C17orf72	5.96	12.18	4.98	3.99	29.7	16.51	53.57	50.63	51.71	37.85	15.56	27.84	51.71	51.35	52.08	50.98	4.03	0.0	0.25	11.13	18.7	10.24	9.27	4.94	8.19	111.99	35.5	191.67
C2	118.43	529.06	159.9	150.17	279.14	106.63	536.45	1030.12	273.37	144.01	121.79	397.93	161.02	318.57	320.8	738.29	20.71	0.0	0.0	10.08	80.01	129.69	64.8	101.54	23.42	532.74	866.07	1685.71
C2orf40	16.03	205.5	87.03	140.04	890.44	728.11	5147.73	2061.24	273.37	2032.85	703.28	371.22	2956.17	2645.74	1304.15	1088.92	11.38	0.0	0.19	49.91	285.03	57.08	62.56	4.13	5.77	15934.98	4836.35	6699.25
CABP1	7.46	16.75	11.3	8.45	69.03	20.56	206.94	159.9	85.22	121.79	66.18	88.88	183.82	131.51	228.13	144.01	3.32	0.0	0.28	2.27	3.06	0.78	1.23	0.79	1.5	138.1	86.43	169.07
CADM3	44.89	120.94	24.63	13.12	503.95	64.34	1733.13	1950.0	392.44	486.75	277.2	327.56	1457.23	1183.45	1721.16	1369.04	7.82	0.0	0.28	316.37	143.01	38.95	33.78	40.93	52.45	6652.97	2520.38	5913.33
CALHM2	58.71	473.41	447.82	293.07	764.36	395.18	2287.2	1639.59	493.56	447.82	376.41	400.71	981.29	1037.29	1135.2	1397.83	98.73	0.0	0.62	190.34	206.94	271.48	121.79	145.02	182.55	1594.73	860.08	2148.82
CAPS2	37.05	42.71	66.65	65.72	113.56	71.5	163.28	158.79	55.89	92.05	105.89	89.51	262.2	193.01	267.73	180.02	22.59	0.0	0.1	33.78	47.84	35.76	51.35	35.25	30.12	241.19	165.57	127.0
CCDC13	15.11	18.56	17.64	24.46	32.13	10.39	33.3	63.45	18.29	24.99	16.75	19.39	87.65	48.87	43.63	95.34	10.96	0.0	0.13	1.19	11.38	12.45	4.7	3.5	15.68	58.71	56.28	59.13
CCM2L	31.67	75.64	53.95	42.41	102.97	33.78	406.31	127.0	199.85	80.01	104.42	88.26	204.07	183.82	211.31	204.07	13.22	0.0	0.04	44.57	44.57	41.52	22.59	24.11	29.7	341.51	173.85	660.68
