	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A6.6140.01A.11R.1774.07	TCGA.F4.6854.01A.11R.1928.07	TCGA.D5.6532.01A.11R.1723.07	TCGA.G4.6625.01A.21R.1774.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.CM.6165.01A.11R.1653.07	TCGA.AZ.6603.01A.11R.1839.07	TCGA.A6.6137.01A.11R.1774.07	TCGA.G4.6311.01A.11R.1723.07	TCGA.AA.3506.01A.01R.1410.07	TCGA.AY.A8YK.01A.11R.A41B.07	TCGA.AZ.6605.01A.11R.1839.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11XUK.0826.SM.5GU6P	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6513.01A.21R.1736.07	TCGA.EI.7002.01A.11R.1928.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AARS	532.74	1936.53	2895.31	3039.3	1950.0	2224.63	1359.57	2573.36	1806.78	1733.13	2271.4	3018.3	2075.59	624.99	954.43	1359.57	493.56	638.15	1127.35	529.06	1286.18	511.0	0.37	2240.11	1427.22	769.69	486.75	693.58	1066.48	693.58	813.63	470.14
ABCC2	0.0	44.89	146.03	84.63	34.26	202.66	24.63	22.26	23.25	8.38	251.48	53.57	26.1	22.26	12.83	16.63	18.56	14.67	7.17	6.26	11.3	0.65	0.68	80.57	64.34	3.29	0.04	0.0	2.41	0.85	0.0	0.8
AC068533.7	3.69	28.65	128.79	94.67	3.14	248.0	43.32	33.54	94.01	81.14	34.02	112.77	38.67	30.34	24.81	18.03	4.9	23.42	4.82	13.72	58.3	8.0	0.08	21.47	135.24	10.0	5.63	6.16	0.0	11.47	12.74	11.3
AC079354.1	0.0	3.38	6.01	9.06	0.71	11.47	2.94	4.74	6.89	0.71	6.31	4.74	4.24	1.38	0.52	0.0	0.0	0.0	0.27	0.29	0.93	0.0	0.0	11.38	8.71	1.41	1.66	0.0	2.73	1.6	0.0	0.0
ADRBK2	15.34	95.34	88.26	52.45	59.13	109.66	108.14	90.77	55.49	63.0	76.71	60.82	75.11	36.01	39.79	52.82	25.17	42.71	56.68	25.17	32.36	12.0	42.11	87.03	102.97	43.94	14.78	29.91	24.11	17.77	14.45	18.84
AGAP1	75.11	356.05	379.04	193.01	248.0	457.25	339.14	256.78	307.69	327.56	226.54	158.79	234.57	173.85	237.86	119.26	115.16	131.51	126.12	138.1	151.22	53.95	0.53	303.44	273.37	187.71	120.1	44.89	180.02	154.42	164.42	107.38
AGMAT	18.03	414.87	532.74	703.28	507.46	514.56	258.57	139.07	264.03	181.28	1175.27	229.72	164.42	22.59	94.67	19.39	9.85	54.33	13.83	5.15	20.56	11.47	131.51	483.38	97.36	12.0	6.73	8.85	20.71	14.67	16.75	15.0
AIFM3	33.54	1277.29	476.71	1870.53	287.01	1037.29	603.67	341.51	1583.71	150.17	211.31	1008.9	176.29	67.59	40.64	52.82	35.76	72.01	107.38	17.9	55.49	11.38	0.51	178.77	1295.13	10.47	5.63	11.3	16.88	3.59	2.05	2.27
ANO9	1963.57	3146.52	3190.46	1551.09	4639.29	14065.74	854.13	5479.15	1119.56	1259.69	3280.18	13033.07	1508.65	246.28	532.74	211.31	400.71	239.52	71.0	444.72	1066.48	171.45	0.99	1066.48	4328.55	83.45	460.44	265.87	307.69	158.79	165.57	199.85
ARMCX3	90.14	947.83	1277.29	1359.57	656.11	1397.83	836.53	1407.55	1135.2	896.64	511.0	1233.75	928.3	242.88	312.0	343.89	163.28	271.48	143.01	142.01	356.05	132.44	0.85	934.76	1322.37	165.57	29.48	152.28	170.25	60.82	124.37	29.91
ARVCF	114.36	669.92	444.72	518.15	460.44	1066.48	329.84	420.68	299.25	332.14	341.51	493.56	343.89	162.14	301.33	132.44	58.71	145.02	647.07	64.34	146.03	31.45	0.57	420.68	543.96	47.5	38.95	85.22	127.89	54.72	81.71	27.44
AXIN2	27.25	1857.6	1551.09	1639.59	808.0	6471.02	1059.11	2032.85	3794.3	1639.59	2520.38	1769.57	679.29	167.9	117.6	90.14	54.72	41.81	57.49	105.89	105.89	21.47	0.6	3928.15	3349.13	12.64	37.85	18.03	52.08	19.39	22.43	28.86
BET1L	316.37	1015.93	1066.48	961.07	1073.91	1096.5	830.75	1208.34	1081.39	830.75	1104.13	1242.34	1127.35	612.11	728.11	599.49	612.11	638.15	612.11	551.56	854.13	314.17	0.82	1066.48	1044.52	438.59	316.37	417.77	511.0	414.87	476.71	334.46
C11orf49	165.57	603.67	624.99	967.76	536.45	595.34	647.07	785.88	860.08	583.07	723.08	1059.11	660.68	417.77	612.11	339.14	334.46	314.17	327.56	389.72	473.41	366.09	0.49	551.56	698.41	460.44	395.18	389.72	438.59	429.54	279.14	543.96
C20orf112	19.25	896.64	718.08	547.75	633.73	915.51	483.38	836.53	669.92	571.05	441.64	796.86	500.46	147.06	255.0	82.29	30.78	193.01	39.5	44.25	82.29	7.69	339.14	476.71	674.59	7.75	10.08	19.68	32.13	12.93	13.62	11.21
C2orf61	14.24	95.34	152.28	143.01	159.9	283.05	114.36	147.06	57.49	26.86	79.45	155.5	53.19	5.87	6.36	3.03	3.26	21.32	5.41	2.48	11.64	0.0	0.0	63.0	134.3	0.0	0.0	4.35	1.1	2.03	0.0	0.69
CCL15	0.0	256.78	116.78	1832.01	181.28	507.46	182.55	100.83	193.01	21.16	583.07	131.51	80.01	16.88	44.57	2.86	0.0	43.02	0.0	0.69	65.72	0.0	0.16	34.02	476.71	3.0	0.0	10.0	8.78	0.0	6.52	1.73
CD320	170.25	2119.22	2178.83	2384.37	2193.99	1037.29	1551.09	1617.0	2061.24	1697.45	1794.29	2997.45	1487.87	334.46	656.11	295.11	155.5	426.57	583.07	199.85	540.19	236.21	0.51	780.44	1883.54	323.03	206.94	483.38	299.25	267.73	318.57	327.56
CDK18	303.44	507.46	665.29	785.88	633.73	743.43	647.07	723.08	633.73	698.41	842.36	1208.34	490.14	133.36	248.0	172.65	111.99	125.24	128.79	101.54	301.33	45.85	0.67	599.49	1427.22	22.43	118.43	262.2	139.07	103.69	93.35	30.12
CENPV	23.76	1015.93	1250.98	473.41	921.88	1037.29	1304.15	532.74	647.07	521.76	1331.57	1417.35	713.11	199.85	775.05	85.22	83.45	332.14	285.03	67.59	169.07	35.25	0.88	629.35	860.08	22.59	7.82	18.03	44.89	42.71	17.0	7.28
CFTR	9.2	358.54	708.18	703.28	674.59	796.86	620.67	928.3	450.94	426.57	226.54	376.41	309.83	42.11	57.49	14.78	16.75	15.56	40.64	10.24	111.99	77.79	0.0	447.82	1769.57	17.13	0.87	5.32	98.04	48.52	38.4	11.13
CHN2	4.9	854.13	529.06	438.59	260.38	2240.11	236.21	486.75	878.17	142.01	301.33	521.76	157.68	39.5	175.07	33.78	25.72	51.71	49.21	43.02	102.97	10.79	0.47	830.75	221.86	12.83	14.56	11.64	27.05	4.1	9.48	2.46
CHPT1	95.34	1662.49	1322.37	1286.18	1286.18	1143.1	1183.45	1331.57	1088.92	753.83	1359.57	1127.35	1286.18	314.17	555.41	265.87	285.03	299.25	417.77	483.38	1617.0	1096.5	0.68	1457.23	1909.85	329.84	63.45	115.16	567.1	126.12	435.55	175.07
CLDN15	71.0	921.88	1104.13	748.61	1044.52	1529.73	842.36	688.78	813.63	334.46	1963.57	454.09	1096.5	248.0	389.72	223.41	201.25	441.64	190.34	149.12	387.02	19.11	0.69	769.69	703.28	19.53	28.86	88.26	80.01	36.01	28.24	59.13
CLDN3	0.0	11112.3	3847.29	1617.0	3639.7	3540.14	511.0	2384.37	5403.7	3820.7	2018.8	4704.07	1088.92	205.5	400.71	12.09	6.89	164.42	49.21	9.56	808.0	4.24	529.06	738.29	2255.7	3.92	0.0	0.84	71.5	2.07	55.89	0.0
CMTM4	236.21	1127.35	791.35	2178.83	429.54	1233.75	2163.77	813.63	866.07	674.59	260.38	444.72	214.27	96.01	125.24	76.71	78.34	91.41	97.36	147.06	473.41	67.12	0.45	669.92	507.46	72.52	96.68	96.01	189.02	118.43	146.03	102.25
CPNE7	231.32	175.07	638.15	267.73	769.69	2209.26	94.01	819.3	633.73	836.53	353.59	733.19	463.65	53.57	77.79	58.71	44.25	126.12	132.44	14.24	24.63	20.26	0.39	872.1	629.35	10.55	15.56	190.34	4.54	3.0	4.62	11.82
CREB3L2	175.07	599.49	532.74	435.55	743.43	426.57	642.59	392.44	450.94	397.93	412.0	503.95	620.67	389.72	262.2	267.73	356.05	318.57	255.0	346.29	341.51	217.27	114.36	346.29	521.76	204.07	206.94	98.04	267.73	248.0	275.28	151.22
CTPS2	89.51	525.39	457.25	616.37	414.87	669.92	384.34	591.22	483.38	435.55	363.56	536.45	384.34	126.12	232.94	142.01	120.94	136.19	164.42	117.6	155.5	87.65	0.43	507.46	796.86	41.81	50.63	32.13	102.25	47.5	81.14	51.71
CYFIP2	29.06	836.53	934.76	941.27	518.15	1088.92	890.44	603.67	785.88	384.34	647.07	559.28	507.46	66.18	204.07	36.27	34.51	27.05	77.79	115.97	205.5	40.64	80.01	660.68	1259.69	57.89	141.02	346.29	92.7	307.69	55.89	18.16
DPEP1	41.22	3742.05	1159.07	5954.47	3039.3	4836.35	158.79	2018.8	3212.66	2384.37	6935.54	4419.52	2976.74	44.89	7.75	4.46	5.19	31.9	3.44	1.1	1388.16	0.0	0.25	4836.35	5441.3	0.09	0.0	0.55	4.13	6.41	10.47	0.87
ELK1	387.02	1167.14	1259.69	1030.12	830.75	1001.93	607.87	1151.06	941.27	780.44	941.27	928.3	830.75	571.05	612.11	480.04	384.34	514.56	551.56	397.93	480.04	275.28	884.29	1044.52	656.11	688.78	371.22	819.3	457.25	397.93	406.31	194.36
ENGASE	108.14	1870.53	1883.54	3614.55	2271.4	4607.24	1015.93	3190.46	3419.52	1572.76	3419.52	4972.34	1639.59	444.72	629.35	616.37	214.27	480.04	361.04	287.01	642.59	26.28	1.27	1721.16	3716.2	31.0	49.91	262.2	138.1	50.98	44.89	42.11
EPHB2	10.79	1191.69	1896.65	2720.15	669.92	2609.3	1259.69	1313.23	2351.53	587.13	1896.65	967.76	529.06	128.79	295.11	90.14	27.84	77.25	31.22	10.88	26.86	6.52	201.25	2520.38	389.72	88.88	25.54	37.32	19.82	17.51	11.91	2.81
FARP1	226.54	1594.73	1819.35	2319.15	2224.63	2777.33	2104.58	2400.97	1662.49	909.17	1023.0	2855.44	1378.57	373.81	651.58	129.69	127.0	234.57	332.14	105.15	466.88	44.25	93.35	1662.49	1857.6	34.75	10.79	48.52	193.01	33.06	85.22	25.17
FAT1	559.28	2384.37	6983.79	4038.61	2664.15	8247.98	2855.44	2555.58	3280.18	4704.07	3847.29	3103.19	3515.68	909.17	2209.26	2400.97	665.29	1551.09	1081.39	728.11	813.63	167.9	223.41	2664.15	2335.28	199.85	409.15	647.07	713.11	353.59	366.09	229.72
FCHO1	26.67	305.55	273.37	291.04	267.73	325.29	102.97	346.29	173.85	138.1	208.38	320.8	100.13	98.04	147.06	58.3	27.84	54.33	84.04	48.18	62.12	6.67	0.6	133.36	432.53	12.93	1.91	48.18	22.59	14.03	3.53	2.68
FGFRL1	102.25	1225.22	1191.69	1832.01	1059.11	2004.85	466.88	551.56	603.67	830.75	457.25	1936.53	503.95	153.34	231.32	73.54	44.57	182.55	96.01	60.39	295.11	26.47	194.36	1008.9	293.07	59.55	28.24	106.63	115.97	49.56	103.69	39.79
FN3K	64.8	848.22	698.41	1030.12	896.64	1044.52	620.67	490.14	723.08	466.88	599.49	848.22	406.31	173.85	173.85	77.79	63.0	112.77	82.29	96.01	476.71	52.08	0.41	493.56	753.83	19.68	33.54	28.04	109.66	59.13	67.59	12.0
