	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KN.8423.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8429.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.P4QS.1126.SM.3NMD5	GTEX.RN64.1626.SM.48FD7	GTEX.ZYFG.1626.SM.5GZYY	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.12696.0926.SM.5FQTV	GTEX.147F4.2626.SM.5Q5CS	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5453.11A.01R.1503.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CZ.5455.11A.01R.1503.07	TCGA.CZ.5989.11A.01R.1672.07	TCGA.CZ.4865.11A.01R.1503.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CZ.4863.11A.01R.1503.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B2.5641.11A.01R.1541.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CW.6088.11A.01R.1672.07	TCGA.CZ.5469.11A.01R.1503.07	TCGA.CZ.5457.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CZ.5456.11A.02R.1503.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.DD.A39V.11A.11R.A213.07
ACAP2	540.19	473.41	567.1	529.06	500.46	500.46	836.53	144.01	103.69	141.02	204.07	201.25	122.64	223.41	121.79	389.72	265.87	186.4	283.05	229.72	316.37	373.81	111.21	301.33	358.54	237.86	139.07	271.48	249.73	177.53	279.14	241.19	231.32	271.48	120.94	283.05	126.12	129.69	127.89	98.73	158.79	148.09	176.29	157.68	150.17	84.04
ACTR5	181.28	164.42	205.5	195.72	190.34	164.42	175.07	96.68	93.35	92.05	149.12	121.79	100.13	102.97	115.16	165.57	146.03	120.94	97.36	122.64	115.97	154.42	52.08	88.88	135.24	110.43	98.04	114.36	124.37	100.13	123.5	118.43	113.56	103.69	69.52	95.34	102.97	108.14	94.01	90.77	106.63	104.42	102.25	87.65	83.45	60.82
AFAP1	348.71	316.37	376.41	381.68	500.46	271.48	698.41	144.01	92.05	99.43	155.5	177.53	96.01	178.77	62.56	273.37	228.13	156.59	218.79	197.09	336.79	521.76	8.58	193.01	208.38	176.29	130.6	239.52	167.9	147.06	130.6	132.44	191.67	208.38	101.54	237.86	161.02	118.43	108.9	123.5	144.01	189.02	220.32	123.5	209.84	13.52
ANKRD44	251.48	205.5	198.47	228.13	320.8	265.87	518.15	97.36	127.0	111.21	141.02	131.51	140.04	82.87	77.25	358.54	185.11	143.01	253.23	106.63	215.77	325.29	13.12	121.79	301.33	121.79	94.67	239.52	166.73	117.6	206.94	140.04	153.34	248.0	62.56	223.41	115.97	120.94	83.45	63.45	150.17	116.78	79.45	112.77	109.66	45.53
AQP2	0.0	6.31	1.85	0.74	2.27	3.41	0.27	36864.92	73221.53	50709.61	62865.33	28923.41	52135.28	115696.65	41475.31	14461.21	80683.28	83528.61	60304.42	52863.07	194578.47	11267.44	0.72	63742.91	24490.61	81244.48	51775.15	44761.41	59063.35	61571.56	82378.63	67377.47	49666.0	52135.28	39785.74	50709.61	55877.28	83528.61	63742.91	46986.85	58250.19	62865.33	63302.6	36106.23	49666.0	0.0
ARID2	323.03	258.57	320.8	320.8	307.69	237.86	356.05	135.24	126.12	150.17	157.68	198.47	83.45	191.67	120.1	242.88	180.02	183.82	208.38	189.02	193.01	241.19	59.13	226.54	237.86	197.09	148.09	232.94	166.73	146.03	166.73	205.5	201.25	241.19	100.83	271.48	143.01	115.97	125.24	124.37	150.17	128.79	164.42	138.1	137.14	47.84
ARID4B	642.59	633.73	769.69	785.88	928.3	563.18	921.88	258.57	208.38	209.84	297.17	332.14	209.84	234.57	171.45	624.99	305.55	291.04	281.09	447.82	303.44	417.77	72.52	361.04	409.15	316.37	193.01	409.15	316.37	178.77	262.2	301.33	336.79	361.04	186.4	403.5	258.57	159.9	214.27	152.28	273.37	193.01	273.37	255.0	236.21	108.14
ATXN1	409.15	353.59	316.37	406.31	497.0	323.03	536.45	105.89	97.36	100.83	112.77	167.9	152.28	171.45	111.99	339.14	142.01	120.1	197.09	249.73	89.51	323.03	14.45	152.28	232.94	133.36	101.54	190.34	138.1	119.26	138.1	108.9	198.47	150.17	136.19	158.79	102.25	83.45	142.01	105.15	105.15	139.07	106.63	111.99	180.02	87.03
BACE1	612.11	571.05	571.05	563.18	1417.35	642.59	1498.22	432.53	264.03	287.01	368.65	587.13	267.73	441.64	420.68	1340.84	599.49	379.04	463.65	579.04	476.71	748.61	40.64	450.94	624.99	493.56	329.84	624.99	551.56	414.87	417.77	426.57	432.53	473.41	305.55	483.38	379.04	323.03	412.0	279.14	343.89	363.56	412.0	361.04	429.54	356.05
C1orf109	525.39	525.39	514.56	543.96	616.37	540.19	866.07	339.14	283.05	387.02	397.93	503.95	265.87	334.46	269.6	476.71	412.0	336.79	327.56	423.61	551.56	497.0	77.79	420.68	353.59	483.38	255.0	473.41	323.03	366.09	363.56	361.04	432.53	395.18	185.11	387.02	301.33	279.14	258.57	232.94	392.44	363.56	409.15	283.05	249.73	119.26
CDC40	483.38	403.5	463.65	406.31	612.11	571.05	1437.15	279.14	244.57	329.84	314.17	351.14	201.25	283.05	293.07	511.0	368.65	299.25	287.01	450.94	435.55	480.04	74.58	429.54	423.61	373.81	297.17	373.81	346.29	361.04	381.68	429.54	395.18	384.34	214.27	392.44	249.73	255.0	258.57	242.88	301.33	253.23	312.0	264.03	234.57	152.28
CLIP3	441.64	363.56	387.02	521.76	1088.92	466.88	1208.34	123.5	116.78	88.26	173.85	253.23	94.67	125.24	115.16	1081.39	110.43	96.68	201.25	239.52	199.85	551.56	3.2	224.97	314.17	165.57	154.42	312.0	267.73	115.16	182.55	146.03	88.88	297.17	104.42	193.01	102.25	177.53	154.42	164.42	108.14	147.06	176.29	130.6	202.66	25.91
CLSTN2	743.43	400.71	693.58	211.31	154.42	253.23	2777.33	87.65	84.63	80.01	195.72	100.83	34.26	132.44	60.39	327.56	172.65	37.85	173.85	182.55	49.56	599.49	0.0	169.07	314.17	143.01	73.03	299.25	118.43	51.35	167.9	100.13	62.12	171.45	27.44	171.45	127.89	68.07	224.97	98.04	90.77	42.11	145.02	85.22	104.42	4.21
CWC22	567.1	490.14	567.1	536.45	555.41	497.0	928.3	214.27	187.71	211.31	283.05	329.84	329.84	336.79	224.97	358.54	293.07	260.38	371.22	447.82	277.2	563.18	26.1	323.03	400.71	258.57	211.31	309.83	231.32	199.85	277.2	256.78	312.0	303.44	256.78	293.07	258.57	209.84	231.32	167.9	223.41	223.41	297.17	177.53	253.23	169.07
DGKH	131.51	73.03	121.79	102.97	87.65	68.55	102.25	27.25	19.11	21.78	52.08	35.5	20.11	20.11	19.11	100.83	32.13	42.41	43.02	29.27	43.94	91.41	3.96	43.32	66.18	21.63	27.25	53.95	65.72	22.75	61.25	25.35	31.67	39.22	23.59	49.91	21.32	20.41	25.72	22.1	28.24	22.75	23.59	30.12	26.28	3.5
DISC1	61.68	50.98	66.65	54.33	98.04	87.03	103.69	13.03	4.5	11.55	21.63	21.16	12.36	27.84	8.0	68.07	17.13	15.8	31.9	32.59	24.81	56.28	4.31	22.1	53.19	21.01	13.72	43.63	34.02	15.68	24.46	15.45	25.35	17.64	8.99	16.51	9.27	13.52	8.19	9.41	12.18	13.42	12.36	9.41	8.38	9.06
FAM122A	514.56	466.88	503.95	480.04	444.72	470.14	651.58	242.88	169.07	273.37	297.17	366.09	154.42	312.0	242.88	320.8	358.54	221.86	305.55	490.14	314.17	679.29	117.6	371.22	395.18	341.51	206.94	307.69	346.29	332.14	353.59	358.54	336.79	361.04	140.04	348.71	189.02	209.84	206.94	185.11	215.77	175.07	267.73	180.02	177.53	131.51
FAM220A	353.59	301.33	329.84	316.37	379.04	327.56	599.49	255.0	183.82	260.38	277.2	299.25	186.4	329.84	155.5	358.54	217.27	229.72	242.88	318.57	327.56	353.59	273.37	323.03	212.78	293.07	211.31	289.02	223.41	249.73	232.94	248.0	244.57	267.73	143.01	239.52	185.11	189.02	183.82	158.79	260.38	228.13	291.04	191.67	155.5	98.73
FCHSD2	450.94	503.95	718.08	476.71	368.65	547.75	1030.12	348.71	218.79	320.8	406.31	457.25	244.57	351.14	178.77	612.11	348.71	316.37	450.94	507.46	532.74	698.41	72.52	435.55	624.99	387.02	228.13	551.56	353.59	303.44	325.29	403.5	397.93	420.68	241.19	473.41	228.13	220.32	289.02	218.79	309.83	293.07	363.56	249.73	269.6	152.28
FGD6	146.03	102.97	149.12	148.09	241.19	156.59	134.3	60.82	32.59	44.89	139.07	57.89	34.26	35.76	39.5	201.25	61.68	42.71	105.15	58.71	56.68	152.28	3.5	66.18	88.88	61.68	41.22	97.36	113.56	38.12	161.02	50.27	52.08	67.12	40.64	70.01	64.8	47.17	31.45	35.0	41.81	33.06	43.63	35.25	30.12	10.47
FIGN	70.51	71.0	55.1	39.22	22.59	129.69	170.25	17.0	5.23	11.04	23.76	37.59	6.78	12.74	9.06	100.83	32.13	21.94	23.25	63.89	19.53	161.02	0.42	17.51	88.26	29.48	16.51	40.64	22.92	13.83	29.27	22.26	26.28	37.59	6.21	32.36	11.04	16.27	10.0	19.11	12.83	13.83	17.0	22.1	10.24	12.45
FOXJ2	460.44	457.25	466.88	490.14	429.54	395.18	575.03	146.03	112.77	103.69	187.71	189.02	106.63	140.04	126.12	287.01	180.02	148.09	239.52	193.01	195.72	329.84	32.13	206.94	251.48	187.71	98.04	262.2	187.71	119.26	170.25	169.07	197.09	199.85	81.14	209.84	113.56	102.25	132.44	125.24	121.79	159.9	157.68	122.64	140.04	57.89
GLTSCR1L	441.64	438.59	473.41	486.75	543.96	490.14	665.29	155.5	108.14	129.69	161.02	214.27	73.54	256.78	105.89	343.89	176.29	144.01	161.02	325.29	178.77	267.73	5.02	191.67	218.79	191.67	120.94	229.72	186.4	130.6	171.45	202.66	194.36	244.57	100.13	258.57	150.17	98.04	127.89	107.38	159.9	120.94	141.02	141.02	130.6	38.95
GOPC	688.78	599.49	665.29	616.37	866.07	780.44	1199.98	249.73	195.72	253.23	316.37	332.14	149.12	325.29	234.57	708.18	312.0	295.11	314.17	356.05	295.11	511.0	51.35	429.54	392.44	400.71	258.57	400.71	343.89	303.44	480.04	379.04	343.89	384.34	170.25	373.81	249.73	221.86	212.78	197.09	289.02	209.84	314.17	279.14	205.5	144.01
GPR1	33.78	23.25	26.86	22.1	24.28	131.51	202.66	18.29	6.78	13.42	32.59	38.95	23.93	32.13	18.7	75.11	28.24	36.53	66.18	50.63	43.63	39.22	3.79	30.78	21.01	18.97	11.38	23.76	19.39	15.11	14.03	23.93	25.72	13.42	9.56	26.1	10.71	12.27	21.63	12.36	15.34	9.41	21.94	18.7	11.3	0.0
GTF2H1	947.83	947.83	866.07	848.22	947.83	1175.27	1806.78	329.84	318.57	540.19	518.15	571.05	435.55	529.06	312.0	693.58	441.64	432.53	616.37	679.29	563.18	642.59	289.02	591.22	547.75	426.57	423.61	525.39	480.04	486.75	460.44	476.71	559.28	571.05	314.17	579.04	351.14	376.41	441.64	293.07	470.14	447.82	607.87	423.61	460.44	226.54
HECA	555.41	493.56	583.07	543.96	346.29	497.0	684.02	154.42	121.79	109.66	139.07	157.68	115.16	177.53	93.35	371.22	148.09	105.15	228.13	202.66	169.07	299.25	19.39	218.79	279.14	214.27	110.43	218.79	201.25	104.42	165.57	194.36	172.65	232.94	129.69	189.02	189.02	126.12	187.71	150.17	154.42	176.29	169.07	154.42	175.07	118.43
HERPUD2	532.74	599.49	669.92	633.73	848.22	642.59	759.08	267.73	176.29	334.46	406.31	406.31	371.22	271.48	239.52	563.18	429.54	273.37	379.04	454.09	376.41	521.76	283.05	376.41	429.54	353.59	186.4	343.89	312.0	224.97	397.93	361.04	417.77	409.15	293.07	392.44	231.32	193.01	285.03	182.55	265.87	229.72	293.07	221.86	376.41	248.0
