	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.SL.A6J9.01A.11R.A31O.07
ABCA8	336.79	42.11	275.28	7.63	186.4	21.32	103.69	353.59	241.19	231.32	67.12	0.0	0.39	353.59	0.8	1.48
ABCC5	718.08	121.79	1417.35	65.26	423.61	107.38	563.18	866.07	429.54	301.33	172.65	0.0	1.0	3690.52	316.37	228.13
AGL	314.17	108.14	1674.06	95.34	253.23	148.09	463.65	1066.48	307.69	297.17	159.9	0.0	0.2	808.0	67.59	81.14
AGPAT5	518.15	194.36	693.58	127.89	329.84	220.32	285.03	403.5	323.03	291.04	239.52	0.0	0.37	417.77	204.07	120.1
AHNAK	7589.61	2303.12	13399.51	1950.0	4419.52	1769.57	3820.7	13681.08	8718.32	9279.58	5555.65	0.0	0.8	7485.11	988.12	629.35
ALPK1	551.56	139.07	507.46	183.82	320.8	124.37	221.86	540.19	444.72	441.64	191.67	0.0	0.55	497.0	120.1	136.19
ARHGEF12	1685.71	511.0	1617.0	486.75	1037.29	363.56	713.11	1529.73	1225.22	1259.69	500.46	251.48	177.53	1151.06	285.03	167.9
ARRDC4	279.14	212.78	301.33	244.57	392.44	63.89	271.48	417.77	595.34	435.55	246.28	0.0	0.25	438.59	211.31	25.35
ASB14	23.76	3.11	43.02	1.46	7.88	1.3	10.63	29.48	14.67	9.27	3.41	0.0	0.28	41.52	1.39	1.17
BARD1	384.34	191.67	733.19	153.34	90.14	119.26	110.43	511.0	119.26	98.73	36.53	72.52	74.58	293.07	57.08	42.11
BRAF	651.58	164.42	708.18	191.67	361.04	221.86	262.2	638.15	476.71	397.93	202.66	0.0	0.43	518.15	113.56	100.13
BTBD1	995.0	674.59	1242.34	748.61	1030.12	607.87	723.08	1225.22	854.13	866.07	769.69	0.0	0.66	1467.37	511.0	387.02
BTBD10	743.43	234.57	764.36	262.2	429.54	441.64	381.68	612.11	376.41	435.55	299.25	0.0	0.44	532.74	299.25	180.02
