	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.DE.A4M8.01A.21R.A250.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A40N.01A.11R.A23N.07	TCGA.CE.A27D.01A.11R.A16R.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.ET.A39R.01A.11R.A19O.07	GTEX.12ZZX.1226.SM.5EGHS
ABCA2	0.0	0.84	346.29	109.66	232.94	1594.73	1388.16	483.38	769.69	409.15	684.02	497.0	476.71	559.28	473.41	153.34	236.21	289.02	234.57	2400.97	2104.58	2148.82	2224.63	2148.82	2240.11	1639.59	3212.66	2976.74	1857.6	2855.44
ABHD11	0.0	0.47	764.36	361.04	429.54	718.08	836.53	669.92	366.09	180.02	353.59	248.0	480.04	312.0	343.89	75.11	224.97	414.87	163.28	1857.6	1127.35	1605.83	1127.35	1991.0	1447.15	1923.14	2163.77	1417.35	1331.57	1250.98
ABHD14A	0.0	0.36	791.35	559.28	878.17	1167.14	753.83	392.44	559.28	371.22	339.14	674.59	819.3	507.46	529.06	197.09	417.77	329.84	607.87	1757.34	1437.15	1844.76	1259.69	1709.26	1936.53	2682.69	1540.37	1870.53	1639.59	2061.24
AC012123.1	0.0	0.01	0.0	0.0	0.0	0.0	0.0	3.44	0.0	0.0	0.0	1.23	0.88	0.0	1.3	0.0	0.0	0.0	0.0	35.25	42.71	44.57	26.1	39.5	24.28	22.26	55.89	28.04	37.32	68.07
AK8	0.0	0.0	371.22	156.59	101.54	218.79	414.87	215.77	41.81	31.67	152.28	36.53	83.45	35.5	39.5	12.83	171.45	14.45	18.84	218.79	85.82	144.01	106.63	163.28	138.1	146.03	187.71	172.65	105.89	182.55
ALDH9A1	1191.69	299.25	1008.9	1088.92	1030.12	1508.65	1781.89	954.43	808.0	665.29	1111.82	1208.34	624.99	915.51	669.92	438.59	995.0	785.88	1037.29	2335.28	1508.65	1909.85	1819.35	1651.0	2178.83	2835.7	1963.57	2224.63	1617.0	2119.22
ANKRD42	0.0	0.39	417.77	165.57	265.87	199.85	334.46	249.73	83.45	56.28	139.07	47.84	217.27	140.04	115.16	94.67	244.57	248.0	154.42	279.14	273.37	320.8	237.86	341.51	255.0	320.8	325.29	271.48	285.03	395.18
ANKS6	0.0	0.37	361.04	258.57	231.32	260.38	406.31	228.13	135.24	111.99	114.36	137.14	239.52	147.06	186.4	134.3	269.6	185.11	136.19	647.07	612.11	796.86	651.58	764.36	490.14	753.83	796.86	624.99	674.59	603.67
ARMCX3	0.0	0.85	616.37	1111.82	748.61	1081.39	603.67	1794.29	1304.15	1051.79	808.0	1487.87	1104.13	1304.15	2701.35	1259.69	490.14	967.76	1561.89	6037.61	3124.78	4869.99	2148.82	2664.15	2573.36	1721.16	8421.31	3742.05	2004.85	2573.36
B3GNT9	0.0	0.45	163.28	70.01	351.14	529.06	397.93	158.79	307.69	78.89	223.41	275.28	258.57	255.0	193.01	132.44	199.85	98.73	228.13	629.35	536.45	642.59	595.34	915.51	713.11	1104.13	698.41	684.02	642.59	802.41
BBS1	0.0	0.57	753.83	323.03	612.11	1417.35	1059.11	703.28	283.05	186.4	473.41	536.45	791.35	373.81	438.59	144.01	400.71	381.68	285.03	872.1	854.13	808.0	796.86	995.0	785.88	995.0	1037.29	884.29	796.86	995.0
C12orf52	0.0	0.0	262.2	151.22	232.94	299.25	307.69	127.89	134.3	87.65	106.63	208.38	143.01	100.13	111.99	90.77	173.85	126.12	95.34	332.14	368.65	387.02	312.0	403.5	339.14	389.72	463.65	447.82	348.71	473.41
C14orf79	0.0	0.0	291.04	124.37	234.57	423.61	521.76	144.01	82.29	57.89	77.25	105.89	149.12	63.0	65.26	28.24	75.11	108.9	71.0	559.28	500.46	507.46	507.46	656.11	457.25	665.29	543.96	525.39	555.41	603.67
C15orf56	0.0	0.0	19.39	6.31	5.96	17.51	16.88	5.02	3.0	0.0	2.32	5.45	15.91	0.0	4.98	2.94	8.19	0.0	5.28	73.03	76.71	64.34	34.51	66.18	54.72	105.89	50.27	59.13	63.89	32.59
C17orf97	0.0	0.0	297.17	105.15	126.12	194.36	403.5	131.51	73.03	24.81	64.8	35.5	100.13	14.24	45.53	10.88	24.11	24.28	51.35	221.86	148.09	197.09	295.11	199.85	231.32	237.86	303.44	256.78	205.5	285.03
C6orf203	0.0	0.0	236.21	189.02	299.25	368.65	454.09	113.56	165.57	80.01	170.25	215.77	228.13	166.73	102.25	102.25	163.28	169.07	112.77	579.04	466.88	567.1	540.19	567.1	723.08	728.11	607.87	575.03	486.75	559.28
CA11	0.0	0.31	356.05	470.14	297.17	387.02	819.3	599.49	185.11	612.11	133.36	397.93	406.31	307.69	371.22	514.56	368.65	567.1	295.11	1233.75	785.88	1322.37	1437.15	1369.04	1119.56	1143.1	1757.34	1119.56	1208.34	896.64
CAMK2B	0.0	0.45	1.11	3.56	9.7	11.3	3.17	2.39	18.43	0.59	28.04	6.21	4.35	24.46	8.19	8.51	43.32	1.87	4.94	507.46	312.0	514.56	299.25	830.75	387.02	830.75	896.64	647.07	346.29	713.11
CAMKK1	0.0	0.38	73.54	71.5	77.25	267.73	269.6	140.04	35.0	40.07	53.95	69.03	172.65	140.04	54.33	50.27	73.54	48.52	55.1	218.79	273.37	198.47	187.71	429.54	246.28	128.79	373.81	224.97	144.01	152.28
CCDC104	0.0	0.78	1923.14	1639.59	1540.37	1457.23	1529.73	1104.13	819.3	555.41	540.19	1081.39	1104.13	1175.27	1037.29	738.29	854.13	1096.5	902.89	2351.53	1498.22	1844.76	1685.71	2193.99	1963.57	1709.26	2133.97	1721.16	1819.35	2178.83
CD74	0.0	1.08	726195.27	1196176.45	682276.92	585779.24	757033.75	1019901.63	475800.4	932018.1	1503610.06	450134.56	1229805.58	741454.2	593956.43	375901.76	1877002.62	636586.81	1196176.45	41188.81	135693.24	74760.09	233003.78	45701.96	179048.63	21026.65	55107.99	89523.81	149521.18	381149.17
CELSR2	0.0	0.57	70.51	22.59	72.52	153.34	376.41	50.98	15.8	7.17	18.43	148.09	94.67	15.56	15.34	23.42	38.95	41.22	11.73	547.75	507.46	733.19	532.74	775.05	547.75	583.07	902.89	743.43	525.39	769.69
