	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.148VI.0226.SM.5RQKA	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.X4XX.1026.SM.4QARO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.13FTX.0326.SM.5J2NG	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	TCGA.33.4589.01A.01R.1443.07	GTEX.ZT9W.2126.SM.51MSF
ADHFE1	27.84	74.06	23.42	16.39	24.46	66.65	15.45	0.0	0.46	417.77	190.34	258.57	221.86	59.55	988.12	271.48	97.36	995.0	412.0	341.51	1066.48	237.86	988.12	521.76	153.34	116.78	153.34	483.38	397.93	525.39	23.42	61.25
ANKHD1	713.11	753.83	603.67	638.15	476.71	543.96	633.73	0.0	1.07	1832.01	902.89	1350.18	1628.26	866.07	2148.82	866.07	665.29	1651.0	1936.53	1806.78	1583.71	1369.04	967.76	1259.69	1015.93	1397.83	1015.93	941.27	1104.13	1135.2	323.03	961.07
AQP11	7.28	4.98	16.27	7.34	4.7	8.25	6.11	0.0	0.24	25.35	2.46	3.86	8.58	6.21	17.25	14.35	8.58	21.16	7.11	24.63	26.67	14.78	37.85	21.78	5.87	10.31	4.7	7.46	12.36	22.1	3.5	3.86
ARID1A	265.87	346.29	193.01	221.86	273.37	262.2	351.14	327.56	450.94	988.12	543.96	575.03	334.46	312.0	1023.0	379.04	620.67	1572.76	713.11	620.67	988.12	1096.5	647.07	361.04	353.59	579.04	299.25	759.08	638.15	1030.12	81.14	395.18
ASCL5	0.96	0.46	0.47	0.0	0.71	4.54	0.45	0.0	0.05	13.12	2.03	0.97	0.51	4.43	5.41	2.43	0.0	4.58	4.46	17.51	24.63	13.32	2.48	16.15	7.28	1.5	7.06	9.78	6.21	12.45	0.0	0.51
ATP9B	134.3	229.72	72.52	86.43	145.02	143.01	193.01	0.0	0.71	503.95	277.2	559.28	412.0	363.56	698.41	529.06	169.07	656.11	470.14	603.67	406.31	463.65	287.01	571.05	199.85	878.17	363.56	341.51	595.34	612.11	131.51	154.42
BOD1L1	228.13	134.3	139.07	108.14	152.28	265.87	164.42	0.0	0.73	647.07	285.03	336.79	525.39	246.28	507.46	339.14	246.28	723.08	486.75	616.37	438.59	543.96	607.87	368.65	267.73	373.81	271.48	454.09	698.41	547.75	57.08	162.14
CALY	0.0	2.48	1.51	2.63	0.0	0.0	1.97	0.0	0.39	17.9	16.88	25.72	5.59	4.78	10.71	9.13	1.27	28.04	31.9	30.34	4.06	5.59	5.19	21.94	2.41	29.06	9.7	13.32	13.32	12.18	0.0	0.0
CDK12	262.2	140.04	161.02	156.59	193.01	186.4	228.13	327.56	59.55	567.1	244.57	473.41	336.79	325.29	633.73	198.47	275.28	665.29	567.1	616.37	603.67	417.77	543.96	363.56	329.84	463.65	198.47	336.79	412.0	575.03	90.77	157.68
CIRBP	2417.67	4358.66	3212.66	1697.45	3690.52	2255.7	4123.49	0.0	0.75	15607.02	4704.07	13123.73	5872.48	6079.61	13123.73	12853.63	2855.44	17804.06	18052.61	18560.17	18178.19	10368.08	14765.09	16157.44	7642.41	9344.14	6164.49	10014.87	16157.44	14461.21	2193.99	2271.4
COG1	490.14	269.6	447.82	204.07	395.18	543.96	376.41	0.0	0.82	1104.13	389.72	796.86	651.58	417.77	813.63	909.17	503.95	1001.93	866.07	1417.35	693.58	723.08	669.92	813.63	612.11	941.27	423.61	466.88	785.88	698.41	169.07	285.03
CREBBP	148.09	169.07	151.22	93.35	134.3	167.9	173.85	0.0	0.65	988.12	406.31	435.55	351.14	220.32	525.39	275.28	358.54	638.15	624.99	836.53	460.44	547.75	624.99	351.14	651.58	371.22	320.8	480.04	438.59	1001.93	68.07	198.47
CTD-2260A17.2	4.46	17.9	8.51	5.54	7.94	6.46	19.68	0.0	0.1	29.7	12.83	21.63	18.7	11.21	22.92	39.22	17.38	32.13	20.56	50.98	37.85	25.17	25.54	29.91	15.56	18.56	19.53	17.64	28.04	33.06	3.03	17.38
DCAF7	514.56	329.84	438.59	500.46	620.67	529.06	389.72	647.07	669.92	1745.2	688.78	1651.0	638.15	612.11	1030.12	669.92	728.11	825.0	1191.69	808.0	738.29	1259.69	536.45	432.53	780.44	1066.48	397.93	854.13	1286.18	1340.84	373.81	480.04
DPP8	145.02	72.01	98.73	255.0	108.14	112.77	103.69	147.06	217.27	406.31	249.73	351.14	256.78	186.4	327.56	231.32	217.27	281.09	490.14	356.05	273.37	299.25	226.54	195.72	281.09	269.6	218.79	231.32	329.84	289.02	69.03	138.1
GORASP1	529.06	444.72	351.14	285.03	343.89	314.17	532.74	0.0	0.82	1369.04	909.17	884.29	1417.35	723.08	1991.0	1001.93	1015.93	1757.34	1199.98	1378.57	1950.0	1059.11	1407.55	915.51	679.29	743.43	802.41	1896.65	1268.46	1540.37	181.28	384.34
KDM3B	307.69	181.28	242.88	255.0	236.21	226.54	289.02	0.0	0.54	860.08	511.0	988.12	441.64	249.73	988.12	476.71	409.15	1088.92	748.61	679.29	890.44	860.08	1051.79	579.04	329.84	947.83	291.04	698.41	571.05	1008.9	92.05	279.14
KIAA0141	579.04	567.1	808.0	483.38	679.29	435.55	575.03	0.0	1.07	1936.53	423.61	1605.83	1167.14	1407.55	2591.27	2004.85	1286.18	2209.26	2537.92	3515.68	1745.2	2384.37	1051.79	1561.89	1096.5	1304.15	1819.35	1268.46	1936.53	1832.01	336.79	612.11
LIMD1	52.08	34.51	37.59	22.1	40.93	33.06	81.14	115.97	406.31	642.59	521.76	376.41	156.59	102.97	947.83	559.28	269.6	529.06	728.11	1487.87	595.34	480.04	493.56	486.75	444.72	620.67	353.59	511.0	651.58	693.58	13.72	23.59
LNP1	12.36	21.01	25.54	11.82	46.84	15.45	8.45	0.0	0.16	185.11	65.26	167.9	40.64	46.18	48.18	98.04	52.82	111.21	99.43	221.86	68.55	154.42	113.56	193.01	104.42	28.45	92.05	89.51	94.01	153.34	48.87	4.82
LRRC39	4.17	6.73	9.34	9.85	5.11	3.92	1.43	0.0	0.56	49.21	3.59	37.05	14.78	13.52	27.44	15.45	3.17	15.34	34.02	10.08	23.93	13.32	27.44	11.91	9.78	13.03	10.71	9.85	10.71	17.9	1.0	17.0
LUC7L2	134.3	153.34	125.24	95.34	8.38	143.01	74.58	0.0	0.0	674.59	303.44	473.41	202.66	323.03	514.56	214.27	202.66	551.56	559.28	660.68	764.36	497.0	511.0	287.01	307.69	258.57	201.25	500.46	616.37	738.29	0.0	287.01
NEU3	28.65	5.59	33.78	19.25	9.63	29.27	13.12	0.0	0.39	86.43	55.89	87.03	72.01	38.95	96.68	21.94	27.84	154.42	73.03	91.41	130.6	63.45	81.71	32.82	35.0	63.0	23.59	93.35	95.34	69.52	14.35	2.29
PCDHGA5	10.71	2.66	0.79	3.89	3.82	16.39	4.74	0.0	0.26	47.84	37.05	26.67	34.51	27.25	52.82	89.51	36.53	67.59	69.52	155.5	30.34	42.11	21.47	88.88	61.25	22.43	73.03	36.27	45.85	45.21	2.01	3.11
PHF7	42.41	69.52	56.28	71.5	57.89	42.11	88.88	0.0	0.15	195.72	64.34	169.07	55.1	80.57	223.41	112.77	49.21	156.59	195.72	208.38	217.27	130.6	255.0	165.57	118.43	96.68	108.9	129.69	175.07	202.66	48.87	108.9
