	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.G3.A7M6.01A.11R.A33R.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.69.7763.01A.11R.2170.07	TCGA.55.8614.01A.11R.2403.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M0.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.73.4675.01A.01R.1206.07	TCGA.50.8457.01A.11R.2326.07	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.78.7152.01A.11R.2039.07	TCGA.69.8253.01A.11R.2287.07	TCGA.CD.8526.01A.11R.2343.13	TCGA.BR.7716.01A.21R.2055.13	TCGA.FE.A239.01A.11R.A16R.07	TCGA.AJ.A3BF.01A.11R.A213.07
PIH1D1	3515.68	1628.26	1561.89	5041.77	1059.11	1127.35	1023.0	890.44	1477.58	1313.23	1322.37	1242.34	967.76	1259.69	1605.83	981.29	1286.18	1030.12	1508.65	1350.18	785.88	1051.79	890.44	2537.92	2609.3	1844.76	1639.59	2255.7	0.0	2104.58	2915.45	1806.78	1844.76	1844.76	1936.53	1870.53	2240.11	2796.65	5594.3	2682.69	4358.66	5672.41
PNKP	1639.59	486.75	688.78	1909.85	371.22	351.14	309.83	228.13	301.33	371.22	275.28	325.29	271.48	307.69	318.57	289.02	460.44	281.09	532.74	447.82	293.07	220.32	320.8	656.11	2075.59	1081.39	1008.9	1151.06	0.0	813.63	947.83	1378.57	688.78	961.07	785.88	708.18	848.22	842.36	1745.2	1233.75	1388.16	1896.65
POLD1	1111.82	281.09	258.57	1340.84	121.79	166.73	142.01	62.56	217.27	185.11	63.89	177.53	191.67	90.14	325.29	156.59	167.9	149.12	221.86	277.2	100.83	157.68	164.42	743.43	1651.0	629.35	848.22	1044.52	0.0	555.41	684.02	638.15	902.89	780.44	753.83	447.82	791.35	703.28	1304.15	866.07	791.35	2417.67
PPP2R1A	10659.59	2701.35	3039.3	7032.37	2915.45	2627.46	3212.66	1819.35	2720.15	2351.53	1313.23	2133.97	1870.53	2209.26	2335.28	2417.67	3103.19	2835.7	2537.92	1819.35	3039.3	1857.6	2148.82	7433.4	8718.32	7433.4	7485.11	3928.15	0.0	5112.16	7695.57	5995.9	3419.52	4869.99	5831.91	5112.16	4066.71	6207.38	5751.61	7803.01	10512.82	14663.09
PPP5C	1378.57	825.0	796.86	2485.67	571.05	669.92	551.56	974.5	890.44	759.08	647.07	603.67	890.44	698.41	743.43	915.51	836.53	748.61	902.89	723.08	1081.39	563.18	713.11	1857.6	2434.5	1806.78	1233.75	1127.35	0.0	981.29	1447.15	1477.58	1030.12	1277.29	1268.46	1111.82	928.3	1127.35	2777.33	2468.49	2133.97	3168.41
PPP6R1	2148.82	400.71	480.04	1594.73	325.29	397.93	305.55	303.44	429.54	447.82	316.37	363.56	466.88	503.95	429.54	327.56	500.46	426.57	460.44	316.37	295.11	366.09	403.5	1233.75	1477.58	954.43	775.05	995.0	490.14	1111.82	1051.79	941.27	1127.35	1233.75	921.88	836.53	1088.92	1350.18	2018.8	2935.74	4512.4	2133.97
PRKD2	2032.85	525.39	536.45	2133.97	429.54	536.45	373.81	215.77	281.09	312.0	389.72	346.29	420.68	384.34	503.95	325.29	620.67	339.14	447.82	363.56	234.57	299.25	339.14	1378.57	1963.57	1081.39	1051.79	1685.71	0.0	1242.34	1242.34	1304.15	1331.57	1467.37	1051.79	1030.12	1066.48	1561.89	1781.89	1685.71	1605.83	2303.12
PRMT1	5441.3	1159.07	1417.35	4836.35	629.35	703.28	836.53	872.1	796.86	1111.82	1572.76	669.92	967.76	981.29	1551.09	1322.37	1183.45	878.17	1143.1	1242.34	392.44	708.18	921.88	4123.49	7537.18	3540.14	3614.55	3212.66	0.0	3303.0	4388.98	3443.31	2875.3	3235.01	3168.41	2609.3	2682.69	5366.37	5366.37	5366.37	6294.04	12764.83
PRPF31	1697.45	1044.52	909.17	3081.75	480.04	1037.29	591.22	514.56	819.3	836.53	967.76	836.53	1015.93	884.29	514.56	890.44	825.0	1143.1	1081.39	679.29	638.15	532.74	934.76	1208.34	2664.15	1540.37	1143.1	1388.16	0.0	1051.79	1340.84	1331.57	1191.69	1259.69	1104.13	947.83	1001.93	1216.75	2163.77	2555.58	2816.11	4481.23
PRR12	718.08	67.12	84.04	450.94	37.59	70.01	72.01	29.06	80.57	124.37	55.1	81.14	167.9	70.51	114.36	96.01	88.26	129.69	140.04	81.71	20.86	51.35	64.8	389.72	624.99	392.44	373.81	381.68	0.0	358.54	269.6	473.41	392.44	432.53	299.25	343.89	325.29	387.02	759.08	769.69	738.29	698.41
PRR24	1111.82	285.03	336.79	890.44	343.89	244.57	281.09	91.41	183.82	156.59	185.11	271.48	151.22	244.57	387.02	223.41	256.78	139.07	234.57	221.86	287.01	191.67	104.42	607.87	848.22	620.67	802.41	708.18	0.0	432.53	540.19	909.17	507.46	547.75	536.45	412.0	403.5	698.41	909.17	563.18	842.36	289.02
PSENEN	6294.04	1950.0	2032.85	4419.52	2047.0	2004.85	1199.98	693.58	1605.83	995.0	1331.57	1883.54	1662.49	1286.18	2178.83	1378.57	2193.99	1051.79	1407.55	1757.34	1331.57	2303.12	1233.75	3146.52	3467.27	3614.55	4358.66	2609.3	0.0	3716.2	5329.3	3491.39	2104.58	2451.44	2555.58	1909.85	2609.3	4512.4	5633.22	4181.07	7081.29	8840.04
PSMC4	3614.55	1104.13	1313.23	2976.74	961.07	1295.13	974.5	1909.85	947.83	1259.69	974.5	1208.34	1477.58	1268.46	1359.57	921.88	1225.22	1457.23	1225.22	1183.45	1059.11	808.0	1551.09	2573.36	3540.14	2335.28	2502.97	1883.54	0.0	1594.73	2224.63	1936.53	1313.23	1605.83	1417.35	1233.75	1757.34	2417.67	7433.4	5995.9	5076.84	5006.93
PTOV1	6207.38	2895.31	2976.74	6607.01	2133.97	3280.18	2816.11	1268.46	2351.53	2335.28	2796.65	2573.36	2004.85	2351.53	2758.13	2319.15	2915.45	2319.15	2133.97	2739.08	1977.24	2609.3	2956.17	4268.94	6887.62	4769.75	4972.34	3716.2	0.0	2720.15	4419.52	4388.98	2915.45	3982.99	3928.15	3467.27	2555.58	4543.8	3280.18	4181.07	16157.44	10084.54
QPCTL	547.75	182.55	195.72	642.59	175.07	217.27	255.0	117.6	228.13	162.14	178.77	231.32	100.13	135.24	145.02	202.66	95.34	187.71	126.12	118.43	381.68	92.7	134.3	214.27	483.38	289.02	309.83	249.73	0.0	293.07	157.68	318.57	251.48	316.37	291.04	239.52	258.57	392.44	397.93	384.34	688.78	718.08
RBM42	2485.67	1208.34	1304.15	2895.31	1304.15	1407.55	866.07	575.03	928.3	995.0	599.49	878.17	1277.29	1015.93	1175.27	1030.12	1417.35	915.51	1277.29	967.76	830.75	872.1	1059.11	1651.0	2816.11	1794.29	1883.54	1617.0	0.0	1407.55	1844.76	1561.89	1313.23	1651.0	1388.16	1175.27	1467.37	1551.09	3039.3	2956.17	3491.39	6471.02
RDH13	1088.92	145.02	180.02	366.09	248.0	120.94	189.02	68.55	83.45	229.72	239.52	198.47	162.14	191.67	197.09	231.32	202.66	171.45	111.99	197.09	39.79	51.71	176.29	532.74	961.07	567.1	587.13	490.14	0.0	305.55	420.68	457.25	406.31	551.56	532.74	796.86	295.11	454.09	567.1	1073.91	842.36	1044.52
RUVBL2	3018.3	1135.2	1081.39	2555.58	878.17	1001.93	660.68	836.53	1015.93	890.44	830.75	1295.13	1104.13	1030.12	1111.82	954.43	961.07	1175.27	1191.69	759.08	1059.11	698.41	1066.48	1674.06	3847.29	1794.29	1639.59	1250.98	0.0	1923.14	2018.8	1447.15	1250.98	1417.35	1250.98	1073.91	1628.26	2047.0	6607.01	2935.74	5441.3	7966.99
SAMD4B	5872.48	1044.52	1127.35	3847.29	1119.56	775.05	921.88	316.37	1008.9	703.28	551.56	775.05	669.92	884.29	967.76	836.53	1295.13	629.35	928.3	620.67	1304.15	860.08	679.29	3257.52	3540.14	2835.7	2956.17	2502.97	0.0	2209.26	2451.44	2875.3	2303.12	2271.4	2303.12	1991.0	1407.55	3060.45	4388.98	5751.61	4937.99	4607.24
SARS2	1519.15	412.0	583.07	674.59	457.25	435.55	511.0	206.94	473.41	316.37	429.54	426.57	314.17	279.14	764.36	529.06	348.71	239.52	466.88	521.76	351.14	275.28	334.46	909.17	1081.39	842.36	1008.9	698.41	0.0	575.03	728.11	575.03	529.06	909.17	738.29	503.95	551.56	1030.12	1639.59	1167.14	1447.15	1369.04
SCAF1	1417.35	480.04	444.72	1304.15	334.46	417.77	305.55	218.79	314.17	389.72	277.2	246.28	529.06	409.15	348.71	432.53	389.72	493.56	423.61	384.34	273.37	325.29	674.59	1008.9	1359.57	995.0	796.86	928.3	438.59	743.43	743.43	791.35	836.53	836.53	718.08	651.58	703.28	981.29	1883.54	1883.54	1551.09	2384.37
SMG9	2271.4	218.79	269.6	1857.6	215.77	208.38	198.47	124.37	223.41	170.25	132.44	156.59	115.97	148.09	144.01	231.32	265.87	131.51	148.09	209.84	97.36	185.11	142.01	529.06	1572.76	878.17	934.76	909.17	0.0	703.28	591.22	1015.93	563.18	764.36	836.53	633.73	551.56	878.17	1617.0	1183.45	1477.58	1733.13
SMPD4	1769.57	525.39	497.0	1268.46	493.56	361.04	420.68	275.28	470.14	351.14	457.25	438.59	285.03	343.89	406.31	460.44	406.31	246.28	297.17	395.18	236.21	429.54	271.48	941.27	1508.65	688.78	890.44	1096.5	0.0	713.11	1242.34	981.29	780.44	1096.5	988.12	825.0	753.83	743.43	1745.2	1498.22	1745.2	2178.83
STRN4	3081.75	457.25	567.1	2537.92	260.38	423.61	389.72	197.09	293.07	301.33	303.44	269.6	301.33	351.14	373.81	429.54	376.41	299.25	444.72	366.09	199.85	414.87	236.21	1819.35	2351.53	1529.73	1359.57	1286.18	866.07	1127.35	1467.37	1250.98	1104.13	1268.46	1350.18	1191.69	1015.93	1477.58	2609.3	3103.19	2758.13	2645.74
SYMPK	2701.35	1015.93	1242.34	2367.9	848.22	791.35	890.44	432.53	1073.91	679.29	703.28	954.43	575.03	890.44	785.88	974.5	1015.93	587.13	830.75	802.41	551.56	780.44	599.49	1397.83	1963.57	1044.52	1427.22	1733.13	0.0	1378.57	1066.48	1572.76	1359.57	1427.22	1295.13	1104.13	1313.23	1331.57	2148.82	2133.97	3280.18	2075.59
TFPT	1508.65	242.88	249.73	660.68	190.34	224.97	171.45	96.68	198.47	339.14	303.44	212.78	285.03	248.0	279.14	275.28	265.87	211.31	202.66	180.02	149.12	158.79	178.77	466.88	860.08	397.93	483.38	507.46	0.0	555.41	591.22	412.0	314.17	500.46	346.29	480.04	376.41	438.59	651.58	1135.2	967.76	2451.44
TIMM50	2555.58	1059.11	954.43	2255.7	921.88	796.86	796.86	872.1	1111.82	981.29	860.08	1242.34	884.29	1008.9	1388.16	775.05	830.75	830.75	890.44	796.86	791.35	780.44	1127.35	2163.77	2163.77	2119.22	1487.87	1369.04	1242.34	1259.69	1733.13	1477.58	1225.22	1508.65	1304.15	1104.13	1508.65	2609.3	3303.0	2434.5	3928.15	4066.71
TMEM147	3018.3	1487.87	1259.69	3564.78	1159.07	1331.57	718.08	995.0	967.76	2075.59	1628.26	1617.0	1674.06	848.22	1977.24	708.18	1119.56	1769.57	1059.11	848.22	954.43	450.94	2739.08	4802.93	3039.3	5479.15	4181.07	3124.78	0.0	2591.27	4388.98	5147.73	2935.74	3690.52	2720.15	2240.11	4123.49	5112.16	4419.52	3515.68	11345.82	6935.54
TRIM28	11745.96	3190.46	3124.78	11909.94	1628.26	2997.45	1529.73	3190.46	2895.31	3018.3	2682.69	1745.2	3349.13	2351.53	4123.49	2682.69	2915.45	3235.01	2627.46	2090.03	1250.98	2047.0	2956.17	10512.82	16960.78	9474.59	9540.5	8963.45	0.0	8479.89	8901.53	8305.36	7081.29	7280.4	7433.4	6471.02	8598.28	10084.54	27363.16	16496.96	18178.19	54349.29
TRMT61A	567.1	127.89	141.02	417.77	111.99	144.01	104.42	81.71	152.28	94.67	100.83	109.66	75.64	78.89	120.94	164.42	101.54	80.01	98.04	113.56	63.45	121.79	116.78	182.55	384.34	172.65	323.03	232.94	0.0	215.77	316.37	291.04	173.85	211.31	260.38	185.11	175.07	312.0	785.88	409.15	466.88	318.57
TSEN34	1594.73	909.17	974.5	2271.4	743.43	684.02	660.68	389.72	748.61	607.87	866.07	808.0	708.18	878.17	1119.56	813.63	796.86	780.44	921.88	909.17	1111.82	684.02	796.86	1437.15	1977.24	1447.15	2240.11	1806.78	0.0	1628.26	2319.15	1437.15	1407.55	1427.22	1844.76	1709.26	1233.75	1794.29	2018.8	1674.06	3039.3	2193.99
U2AF2	3419.52	1350.18	1498.22	5076.84	915.51	947.83	1242.34	974.5	1051.79	1378.57	1167.14	785.88	1340.84	1477.58	1331.57	1277.29	1250.98	1427.22	1437.15	1369.04	616.37	890.44	1417.35	2400.97	5219.6	2777.33	3168.41	3467.27	0.0	3146.52	3212.66	2682.69	3257.52	3280.18	3018.3	2609.3	2061.24	2664.15	4450.27	6561.36	5147.73	9540.5
UBE2M	1936.53	995.0	1023.0	3443.31	599.49	825.0	785.88	902.89	860.08	860.08	769.69	743.43	688.78	896.64	1096.5	775.05	954.43	703.28	890.44	703.28	825.0	728.11	934.76	1857.6	2335.28	2417.67	2148.82	1447.15	921.88	1857.6	2119.22	2255.7	1233.75	1477.58	1477.58	1259.69	1583.71	2163.77	3928.15	3928.15	3614.55	7803.01
UPF1	2255.7	775.05	733.19	1295.13	620.67	525.39	688.78	305.55	624.99	647.07	651.58	713.11	551.56	660.68	543.96	642.59	728.11	684.02	432.53	532.74	567.1	830.75	684.02	3564.78	1437.15	1477.58	1225.22	1457.23	0.0	1127.35	1508.65	2335.28	1259.69	1242.34	1199.98	1104.13	1540.37	2090.03	1340.84	1159.07	1183.45	1870.53
VASP	3060.45	796.86	819.3	3955.48	878.17	703.28	470.14	343.89	336.79	748.61	379.04	289.02	738.29	536.45	896.64	249.73	665.29	591.22	808.0	476.71	500.46	339.14	665.29	2720.15	3614.55	1561.89	2193.99	2075.59	2758.13	2061.24	1923.14	2193.99	1437.15	2004.85	1963.57	1697.45	1806.78	2627.46	2855.44	5183.54	1388.16	2434.5
XRCC1	915.51	271.48	285.03	1051.79	194.36	269.6	212.78	127.0	237.86	334.46	155.5	249.73	420.68	353.59	320.8	197.09	387.02	265.87	503.95	183.82	246.28	185.11	202.66	921.88	1191.69	974.5	738.29	896.64	0.0	656.11	603.67	728.11	629.35	769.69	599.49	769.69	688.78	785.88	988.12	995.0	1963.57	2537.92
ZBTB45	438.59	91.41	90.77	387.02	84.04	69.52	66.65	57.49	94.67	87.65	45.85	65.26	134.3	79.45	116.78	132.44	105.89	120.1	145.02	73.54	34.51	64.8	48.18	363.56	287.01	293.07	341.51	262.2	0.0	291.04	258.57	325.29	253.23	285.03	242.88	275.28	258.57	289.02	1059.11	607.87	595.34	1015.93
ZNF296	273.37	7.22	9.7	72.52	1.3	5.96	3.44	1.51	2.03	8.19	14.67	0.0	6.73	7.69	65.72	6.62	8.25	1.93	9.41	8.78	0.41	17.51	2.41	97.36	77.25	70.01	35.76	73.03	0.0	94.01	37.85	46.84	102.97	129.69	44.89	69.03	43.32	55.89	351.14	435.55	70.01	183.82
ZNF446	842.36	112.77	108.9	616.37	71.5	78.89	77.79	42.71	138.1	78.89	78.34	120.1	62.12	121.79	70.51	75.64	67.59	87.03	89.51	76.71	63.0	101.54	74.58	289.02	371.22	305.55	244.57	241.19	0.0	218.79	273.37	275.28	289.02	323.03	264.03	309.83	194.36	229.72	490.14	361.04	764.36	713.11
ZNF524	1437.15	567.1	500.46	1167.14	620.67	529.06	423.61	145.02	660.68	441.64	346.29	555.41	384.34	441.64	595.34	629.35	414.87	379.04	444.72	323.03	406.31	567.1	514.56	819.3	490.14	723.08	1015.93	872.1	0.0	748.61	642.59	981.29	684.02	738.29	551.56	575.03	703.28	909.17	708.18	854.13	1304.15	703.28
ZNF574	316.37	144.01	122.64	325.29	82.29	85.82	64.8	106.63	108.9	156.59	120.94	114.36	190.34	193.01	237.86	120.1	77.79	155.5	158.79	119.26	83.45	111.99	183.82	384.34	429.54	291.04	273.37	336.79	0.0	237.86	242.88	265.87	312.0	309.83	246.28	283.05	215.77	281.09	1073.91	791.35	587.13	915.51
ZNF576	743.43	341.51	323.03	748.61	353.59	277.2	260.38	320.8	341.51	303.44	301.33	255.0	318.57	307.69	305.55	301.33	183.82	318.57	251.48	275.28	236.21	260.38	432.53	301.33	603.67	356.05	389.72	387.02	0.0	312.0	379.04	460.44	279.14	358.54	279.14	332.14	363.56	444.72	389.72	463.65	595.34	928.3
ZNF579	583.07	94.01	119.26	620.67	77.25	52.08	90.14	25.54	117.6	110.43	41.81	124.37	108.14	137.14	170.25	197.09	47.5	97.36	198.47	111.99	29.7	103.69	43.32	409.15	500.46	167.9	289.02	301.33	0.0	287.01	236.21	277.2	255.0	277.2	265.87	223.41	273.37	242.88	1066.48	1135.2	1088.92	1008.9
ZNF628	162.14	50.27	47.84	171.45	31.45	33.78	34.75	11.38	54.33	52.08	35.76	29.91	60.39	24.99	54.33	59.55	18.29	26.47	56.68	52.45	29.06	37.59	49.91	180.02	253.23	127.0	173.85	125.24	0.0	115.16	84.04	84.63	125.24	170.25	94.67	120.1	143.01	105.15	353.59	301.33	135.24	255.0
ZNF865	376.41	103.69	112.77	466.88	82.87	84.04	62.56	25.54	99.43	66.65	43.02	83.45	50.98	69.52	104.42	95.34	56.28	51.35	97.36	40.36	37.32	66.65	66.18	297.17	387.02	217.27	329.84	206.94	0.0	206.94	190.34	214.27	231.32	289.02	202.66	158.79	237.86	249.73	575.03	423.61	476.71	371.22
