	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.G3.A7M6.01A.11R.A33R.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.69.7763.01A.11R.2170.07	TCGA.55.8614.01A.11R.2403.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M0.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.73.4675.01A.01R.1206.07	TCGA.50.8457.01A.11R.2326.07	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.78.7152.01A.11R.2039.07	TCGA.69.8253.01A.11R.2287.07	TCGA.CD.8526.01A.11R.2343.13	TCGA.BR.7716.01A.21R.2055.13	TCGA.FE.A239.01A.11R.A16R.07	TCGA.AJ.A3BF.01A.11R.A213.07
DMWD	587.13	187.71	155.5	884.29	145.02	147.06	212.78	110.43	102.25	153.34	119.26	148.09	173.85	126.12	136.19	104.42	149.12	118.43	293.07	172.65	122.64	117.6	164.42	633.73	915.51	500.46	420.68	450.94	0.0	329.84	698.41	476.71	486.75	551.56	507.46	368.65	420.68	525.39	1457.23	981.29	769.69	1388.16
DYRK1B	995.0	93.35	153.34	612.11	91.41	157.68	169.07	23.42	71.0	169.07	94.67	125.24	223.41	111.21	329.84	140.04	220.32	161.02	281.09	283.05	159.9	86.43	171.45	684.02	521.76	460.44	555.41	438.59	0.0	466.88	414.87	389.72	371.22	483.38	460.44	473.41	336.79	343.89	1023.0	974.5	921.88	1051.79
EPS8L1	7589.61	95.34	127.0	441.64	135.24	158.79	43.32	21.47	44.57	26.67	19.97	95.34	61.25	36.27	1508.65	26.47	22.75	7.57	122.64	58.71	4.31	38.95	3.08	2351.53	6207.38	2193.99	2434.5	2664.15	0.0	1295.13	1167.14	2335.28	1313.23	1250.98	1794.29	1870.53	1388.16	1769.57	273.37	1519.15	4836.35	8305.36
ERCC1	1769.57	1088.92	1388.16	2400.97	1651.0	1096.5	848.22	514.56	1331.57	947.83	1001.93	1397.83	642.59	674.59	1407.55	1242.34	1151.06	995.0	703.28	1183.45	1096.5	941.27	796.86	1794.29	2796.65	1417.35	1447.15	1709.26	1923.14	1407.55	1350.18	1709.26	1628.26	1529.73	1487.87	1583.71	1697.45	1651.0	2090.03	2061.24	3419.52	2367.9
ERCC2	603.67	285.03	267.73	1104.13	256.78	215.77	215.77	379.04	327.56	412.0	291.04	325.29	371.22	325.29	343.89	251.48	242.88	409.15	497.0	271.48	273.37	148.09	312.0	802.41	1467.37	764.36	329.84	379.04	0.0	384.34	514.56	323.03	400.71	371.22	392.44	341.51	620.67	591.22	748.61	738.29	1008.9	961.07
EXTL3	125.24	84.63	76.71	265.87	67.59	61.25	45.21	67.12	98.73	109.66	186.4	149.12	99.43	131.51	91.41	60.82	33.3	100.83	65.72	76.71	20.56	94.67	100.83	251.48	507.46	195.72	447.82	96.01	0.0	211.31	154.42	387.02	307.69	265.87	170.25	211.31	135.24	389.72	228.13	159.9	215.77	366.09
FAM219A	267.73	91.41	127.89	339.14	124.37	98.04	90.77	55.89	66.18	76.71	59.13	70.01	52.82	59.97	48.52	69.03	92.7	60.82	70.01	65.72	56.28	66.65	62.56	198.47	185.11	221.86	197.09	327.56	0.0	189.02	297.17	376.41	273.37	289.02	229.72	251.48	181.28	264.03	409.15	397.93	199.85	140.04
FIZ1	583.07	135.24	137.14	450.94	111.21	89.51	135.24	61.68	116.78	145.02	113.56	109.66	96.68	119.26	166.73	146.03	68.07	88.88	135.24	89.51	46.18	135.24	96.01	414.87	454.09	348.71	314.17	283.05	0.0	232.94	314.17	291.04	260.38	279.14	332.14	291.04	182.55	361.04	684.02	651.58	723.08	490.14
FKRP	507.46	195.72	182.55	595.34	107.38	162.14	133.36	115.16	135.24	82.87	107.38	159.9	96.68	107.38	111.21	193.01	193.01	115.97	102.25	181.28	84.63	115.97	134.3	237.86	830.75	371.22	269.6	283.05	0.0	239.52	220.32	441.64	242.88	320.8	241.19	249.73	246.28	262.2	603.67	500.46	400.71	503.95
GLTSCR1	497.0	70.51	113.56	447.82	69.03	60.39	90.14	42.71	78.89	65.26	48.52	50.63	44.25	58.3	124.37	116.78	90.14	52.08	64.34	81.71	57.49	80.57	47.17	353.59	521.76	305.55	423.61	301.33	0.0	269.6	414.87	301.33	289.02	267.73	285.03	273.37	275.28	307.69	490.14	738.29	389.72	353.59
