	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A3HR.01A.11R.A213.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.XOTO.2126.SM.4B64U	GTEX.13NZB.1226.SM.5J2MW	GTEX.11GSP.1826.SM.5N9DQ	GTEX.RN64.1026.SM.48FDX	GTEX.OXRN.1726.SM.3NM9B	GTEX.11ZTS.2626.SM.5EGIC	GTEX.11DXX.1126.SM.5GZZK	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7438.11A.01R.2132.07	GTEX.QLQW.1626.SM.4R1K1	GTEX.12BJ1.1226.SM.5LUAE	GTEX.VJYA.1226.SM.3GIJ6	GTEX.ZQG8.2126.SM.4YCF1
ABCC4	107.38	173.85	25.17	22.59	90.14	71.5	26.86	26.1	29.91	26.67	65.26	22.75	49.21	11.82	36.53	23.08	71.5	103.69	77.25	1127.35	1233.75	1963.57	125.24
ADAM10	1023.0	1111.82	567.1	271.48	1151.06	583.07	363.56	607.87	591.22	426.57	368.65	316.37	363.56	397.93	457.25	414.87	1015.93	579.04	500.46	1697.45	1757.34	1594.73	753.83
ADH5	2875.3	2701.35	1721.16	2335.28	4358.66	1936.53	1651.0	1870.53	1991.0	1583.71	1111.82	769.69	1259.69	674.59	651.58	1199.98	2090.03	2956.17	2335.28	5954.47	8718.32	7966.99	3928.15
ARL15	483.38	483.38	660.68	381.68	381.68	164.42	301.33	204.07	123.5	189.02	132.44	166.73	127.0	221.86	285.03	217.27	255.0	307.69	336.79	567.1	480.04	723.08	346.29
BECN1	1407.55	1685.71	1295.13	1685.71	1769.57	1498.22	890.44	1268.46	1250.98	1183.45	1023.0	1001.93	764.36	974.5	934.76	890.44	1594.73	1870.53	1551.09	1883.54	2148.82	2485.67	1685.71
BLOC1S6	616.37	813.63	195.72	299.25	698.41	273.37	208.38	287.01	303.44	221.86	325.29	271.48	221.86	291.04	242.88	348.71	514.56	674.59	420.68	454.09	796.86	1001.93	825.0
BPGM	454.09	483.38	813.63	1001.93	2255.7	387.02	466.88	441.64	665.29	447.82	123.5	103.69	142.01	231.32	283.05	121.79	323.03	1662.49	743.43	780.44	902.89	559.28	954.43
BRAP	287.01	320.8	241.19	361.04	336.79	273.37	323.03	242.88	273.37	229.72	175.07	148.09	124.37	182.55	146.03	183.82	303.44	269.6	279.14	293.07	341.51	406.31	323.03
C1orf43	4239.45	4512.4	3018.3	3540.14	4181.07	2976.74	2739.08	2537.92	2997.45	2796.65	1923.14	2591.27	1685.71	2240.11	2148.82	2271.4	3589.58	3419.52	3901.01	4038.61	4268.94	5183.54	7966.99
C3orf38	332.14	420.68	195.72	215.77	403.5	195.72	124.37	241.19	211.31	202.66	112.77	144.01	88.88	191.67	172.65	125.24	303.44	305.55	262.2	371.22	356.05	303.44	579.04
