	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
AC020922.1	0.0	0.39	10.0	12.74	4.86	6.89	25.91	31.22	10.0	31.67	4.74	21.47	16.15	33.54	30.12	13.52	11.13	28.04	26.86	48.87	8.92	10.31	13.62	2.86	12.18	23.59	31.0	24.11	18.7	1.08	27.84	22.59	29.27	31.45	19.97	8.0	23.59	37.85	4.5	4.21	6.46	14.67	10.08	35.0	27.64	15.91	2.97	22.92	15.91	9.78	10.24	18.97	27.64	5.96	19.53	9.7	2.1	3.14	41.52	8.65	35.25	51.35	57.08	25.35	40.93	28.86	27.84	7.46	5.02	21.78	49.21	7.63	9.78	17.9	19.82	13.72	29.06	7.11	29.48	15.8	11.13	13.22	14.45	2.05	9.63	22.26	17.25	42.11	6.73	12.45	22.59	6.94	10.79	31.9	37.85	9.41	31.67	20.11	26.1	42.11	20.41	30.78	7.46	3.06	18.16	53.57	27.05	21.16	13.22	41.22	35.25	17.0	5.5	20.86	7.4	3.99	18.7	2.58	9.78	17.13	21.47	2.51	4.54	2.56	1.57	27.84	9.63	34.26	61.68	13.72	52.82	17.77	20.71	50.98	3.11	21.16	20.26	3.66	9.56	7.57	10.39	48.52	2.46	5.32	7.06	5.15	3.32	10.63	4.62	2.41
AC024580.1	0.0	0.75	0.0	0.0	8.99	20.56	16.63	41.22	4.9	24.99	7.34	23.93	20.86	90.77	64.34	16.88	17.0	55.1	40.64	73.03	5.92	5.96	40.07	8.19	28.86	82.87	8.78	29.06	63.89	5.68	60.82	9.85	29.27	61.68	48.87	22.75	33.54	40.36	2.39	2.46	5.28	24.11	32.82	74.06	49.21	7.17	5.96	51.71	36.01	23.08	23.08	16.75	100.83	15.0	39.79	23.93	21.47	7.4	76.17	16.39	80.57	33.06	33.06	35.5	84.04	52.82	4.54	2.29	5.11	43.02	68.55	17.0	3.63	15.91	17.64	12.36	70.51	9.48	23.76	28.45	27.84	29.7	26.86	22.92	26.1	43.94	27.44	44.57	21.01	23.42	39.79	4.06	19.97	66.65	52.82	15.0	353.59	8.06	25.72	93.35	37.59	98.04	2.81	0.0	10.47	56.68	29.27	10.47	27.25	59.55	60.82	35.0	5.73	13.32	24.81	9.7	22.26	4.03	6.21	20.56	36.79	7.51	7.82	13.42	6.67	40.93	7.69	33.3	58.3	8.92	47.84	26.67	22.1	49.56	17.25	29.06	45.85	15.45	13.22	17.51	19.39	43.32	2.29	11.13	2.81	2.41	7.34	10.88	0.0	5.32
AC092811.1	0.0	0.27	3.53	0.0	2.01	1.62	1.87	3.92	1.03	6.36	1.97	2.1	4.54	7.17	11.13	1.45	1.16	9.27	3.5	6.41	0.69	0.69	7.0	0.0	2.89	10.08	2.97	3.47	5.23	1.17	9.63	3.69	0.0	1.68	6.73	2.86	7.88	1.62	0.72	1.69	0.68	2.86	1.2	10.0	18.03	2.71	1.57	7.75	7.94	2.86	2.43	5.19	9.78	0.72	7.94	0.69	0.72	2.61	7.94	2.05	12.55	13.62	6.67	1.64	4.94	5.02	0.0	0.0	2.07	2.01	20.41	1.08	2.18	2.05	5.77	1.55	9.13	4.62	1.58	2.46	2.43	4.74	2.46	2.05	3.56	5.19	5.06	6.01	2.46	11.82	4.58	2.56	2.01	2.97	9.06	2.46	10.24	0.73	4.46	19.11	2.46	4.62	1.55	0.0	0.0	8.45	3.32	0.0	5.45	3.82	17.25	3.69	0.0	3.86	7.17	0.71	9.56	0.0	1.91	1.11	5.68	1.13	2.56	0.0	0.0	3.0	2.94	2.12	3.29	0.69	8.65	1.13	4.7	6.06	2.18	0.71	6.84	1.51	8.65	2.97	4.66	5.92	1.62	2.1	1.6	1.23	1.14	2.51	0.0	1.97
AC132872.2	0.0	0.0	3.76	0.0	3.56	1.83	2.48	14.03	1.62	8.71	1.31	6.01	5.19	5.02	5.02	2.07	5.02	12.64	2.32	4.43	3.08	1.33	7.57	0.85	7.06	4.46	1.83	2.78	13.32	1.85	12.18	5.19	6.73	4.28	14.56	2.23	3.32	3.69	1.36	0.92	0.85	3.11	2.84	10.0	36.53	2.94	1.77	9.56	3.63	4.39	4.39	0.88	10.24	2.29	5.41	2.66	3.26	1.39	13.22	3.63	15.91	10.55	7.28	13.12	6.16	7.11	0.83	0.87	1.36	6.62	15.0	1.28	1.41	4.54	0.89	0.87	13.52	2.66	4.06	3.14	2.66	2.71	3.14	4.1	1.89	7.34	7.0	7.94	3.56	1.39	2.86	1.38	2.23	8.99	11.82	9.2	6.26	7.11	4.21	6.94	8.78	6.11	1.31	0.0	1.33	7.28	4.39	2.66	4.35	15.45	8.99	5.19	0.85	2.73	1.38	1.35	5.5	1.83	7.51	3.92	5.87	1.33	5.06	2.76	0.0	2.76	3.17	5.15	8.19	1.77	10.08	3.99	6.26	11.47	1.62	2.71	3.76	1.71	2.76	2.25	4.82	17.77	1.35	2.73	1.33	1.41	3.08	4.9	0.85	2.36
AC139426.2	0.0	0.56	0.0	3.79	0.68	2.86	7.11	6.31	0.0	10.88	0.0	4.21	2.71	5.87	5.32	3.29	4.98	3.47	7.22	14.56	3.17	1.1	4.06	1.87	1.53	6.94	1.99	6.78	12.09	2.89	12.64	5.92	9.13	5.19	7.63	7.63	3.38	5.92	0.0	1.17	1.07	6.84	6.06	7.4	5.73	2.14	0.0	9.7	4.5	3.56	6.41	6.57	4.74	1.99	7.0	7.63	1.14	1.6	9.48	3.66	17.13	17.13	11.38	13.22	9.06	8.71	0.65	0.67	2.86	6.89	7.46	0.66	5.28	4.54	4.17	0.0	4.43	3.56	3.23	2.36	4.39	2.81	5.68	0.69	5.63	7.69	4.78	4.43	1.95	5.19	0.72	4.62	3.2	5.36	11.82	4.82	4.9	2.53	4.66	7.28	4.82	3.14	1.5	2.43	3.17	11.47	7.22	1.91	1.91	7.0	3.5	5.5	0.0	3.66	4.17	0.0	4.98	0.0	1.06	2.73	4.58	0.68	2.89	2.86	0.0	14.35	3.66	6.84	8.0	2.32	11.13	1.51	4.46	5.68	0.0	3.23	4.24	3.47	3.32	7.11	3.99	9.93	0.0	2.43	1.13	2.14	1.95	4.94	0.68	1.3
AGAP5	3.69	13.52	78.89	67.59	53.57	56.28	101.54	119.26	48.87	118.43	65.26	92.7	100.83	147.06	134.3	53.95	88.26	108.9	121.79	139.07	50.98	35.5	137.14	43.02	78.89	132.44	70.01	148.09	163.28	36.53	183.82	94.67	143.01	112.77	146.03	63.0	105.89	127.89	43.32	57.08	50.27	90.77	100.13	133.36	156.59	96.01	31.22	141.02	149.12	105.89	91.41	138.1	190.34	49.91	171.45	80.57	45.53	35.25	171.45	44.57	175.07	218.79	148.09	135.24	206.94	189.02	82.87	55.49	33.78	118.43	163.28	112.77	97.36	90.77	71.5	38.12	139.07	72.52	75.64	61.68	94.67	110.43	149.12	60.82	62.12	135.24	101.54	134.3	57.49	93.35	101.54	60.39	80.57	133.36	126.12	78.89	142.01	105.89	87.65	166.73	116.78	183.82	60.39	32.82	81.71	171.45	127.0	85.82	108.9	132.44	169.07	101.54	41.22	115.16	114.36	46.84	100.13	25.17	53.57	116.78	75.11	21.32	39.5	44.89	67.12	144.01	44.89	147.06	167.9	77.25	186.4	57.89	128.79	101.54	66.18	88.88	105.89	68.07	70.51	52.45	127.89	172.65	38.4	63.89	50.63	39.79	71.5	89.51	45.21	32.13
AGAP6	11.47	38.12	142.01	161.02	69.52	107.38	201.25	329.84	204.07	323.03	92.7	185.11	269.6	277.2	412.0	139.07	143.01	262.2	177.53	409.15	106.63	93.35	189.02	50.63	105.15	279.14	208.38	223.41	289.02	45.85	281.09	170.25	339.14	305.55	258.57	103.69	221.86	432.53	87.03	44.25	133.36	171.45	212.78	329.84	264.03	161.02	50.63	285.03	190.34	183.82	137.14	275.28	389.72	61.25	217.27	197.09	75.11	40.36	325.29	109.66	518.15	470.14	334.46	244.57	271.48	258.57	309.83	144.01	90.77	249.73	583.07	144.01	234.57	206.94	214.27	127.89	231.32	113.56	178.77	161.02	316.37	182.55	273.37	98.73	118.43	297.17	195.72	281.09	74.58	204.07	175.07	61.25	161.02	363.56	353.59	105.89	251.48	181.28	226.54	361.04	189.02	376.41	141.02	52.08	145.02	361.04	129.69	267.73	206.94	387.02	307.69	205.5	102.25	269.6	155.5	81.14	387.02	65.72	154.42	183.82	248.0	53.19	57.49	80.57	84.04	376.41	68.55	265.87	633.73	224.97	373.81	135.24	329.84	279.14	69.52	249.73	239.52	74.06	94.67	92.7	155.5	341.51	40.64	101.54	49.21	53.57	69.03	159.9	51.71	49.91
AHSA2	45.21	78.89	460.44	738.29	199.85	264.03	769.69	1685.71	620.67	1322.37	242.88	780.44	934.76	1225.22	947.83	540.19	532.74	961.07	624.99	2090.03	447.82	204.07	947.83	133.36	441.64	1369.04	651.58	1119.56	1119.56	104.42	1540.37	961.07	915.51	1127.35	1044.52	348.71	1008.9	1508.65	198.47	169.07	234.57	713.11	493.56	1498.22	1199.98	947.83	98.04	1143.1	842.36	500.46	660.68	1350.18	507.46	212.78	941.27	595.34	189.02	143.01	1685.71	211.31	1605.83	2193.99	1498.22	1037.29	1183.45	1794.29	1447.15	376.41	206.94	967.76	1529.73	769.69	571.05	688.78	1008.9	309.83	1216.75	507.46	713.11	660.68	1233.75	551.56	1001.93	209.84	253.23	1286.18	665.29	1340.84	241.19	703.28	909.17	176.29	486.75	1143.1	1977.24	387.02	947.83	679.29	934.76	1769.57	1044.52	1733.13	397.93	175.07	974.5	1561.89	708.18	591.22	540.19	1081.39	1674.06	1051.79	255.0	954.43	403.5	161.02	1397.83	158.79	532.74	612.11	1167.14	112.77	212.78	215.77	224.97	1529.73	248.0	1487.87	3847.29	555.41	1605.83	514.56	1359.57	1233.75	178.77	902.89	1498.22	195.72	320.8	275.28	665.29	1844.76	150.17	201.25	152.28	212.78	205.5	620.67	156.59	123.5
AL136115.1	0.0	0.16	0.0	0.0	2.1	4.5	13.12	10.71	2.27	11.04	0.74	13.62	12.18	6.84	4.5	0.0	4.03	10.31	6.94	14.24	3.41	4.35	10.39	0.73	4.82	5.73	4.98	6.46	5.82	3.59	6.62	11.82	4.43	3.2	4.06	4.31	4.62	6.41	0.77	0.79	2.03	2.1	2.71	8.92	37.05	15.45	1.2	13.83	7.17	6.11	4.74	2.58	2.48	1.23	7.63	9.63	2.66	1.27	14.56	1.68	18.43	4.78	4.98	5.02	18.97	7.57	1.11	0.74	1.69	8.85	16.03	1.99	3.26	3.08	0.0	1.19	13.03	2.53	5.77	3.03	2.53	3.5	10.31	3.06	1.27	7.88	3.86	4.35	3.92	6.11	8.65	2.18	1.2	6.31	5.59	9.34	4.43	2.25	9.85	10.55	9.34	7.88	2.94	0.77	0.75	6.89	4.74	0.0	4.7	16.88	19.68	4.66	0.73	5.82	4.54	0.77	1.58	4.98	2.84	4.7	4.58	1.2	2.66	1.69	3.53	7.82	8.65	3.63	9.2	1.62	8.85	6.16	3.47	6.21	1.48	3.5	1.73	5.06	4.1	3.53	3.89	19.68	1.23	2.66	1.68	0.8	3.47	5.36	2.51	4.06
ANKLE2	163.28	180.02	743.43	612.11	441.64	514.56	551.56	743.43	591.22	563.18	529.06	738.29	848.22	665.29	830.75	555.41	575.03	764.36	624.99	1073.91	529.06	454.09	733.19	532.74	507.46	665.29	490.14	674.59	708.18	543.96	642.59	684.02	638.15	967.76	708.18	536.45	633.73	642.59	444.72	540.19	490.14	579.04	660.68	796.86	902.89	285.03	511.0	684.02	624.99	486.75	514.56	656.11	698.41	358.54	540.19	559.28	532.74	447.82	854.13	624.99	961.07	638.15	642.59	693.58	848.22	708.18	555.41	575.03	493.56	679.29	571.05	624.99	483.38	633.73	624.99	500.46	551.56	507.46	743.43	429.54	660.68	511.0	503.95	500.46	633.73	785.88	536.45	698.41	555.41	684.02	583.07	486.75	612.11	780.44	723.08	753.83	674.59	698.41	532.74	808.0	612.11	780.44	356.05	540.19	583.07	713.11	571.05	559.28	514.56	775.05	738.29	836.53	400.71	595.34	612.11	444.72	743.43	532.74	656.11	587.13	698.41	420.68	490.14	674.59	441.64	559.28	587.13	587.13	921.88	587.13	775.05	514.56	595.34	669.92	483.38	583.07	579.04	507.46	567.1	567.1	543.96	848.22	395.18	493.56	486.75	567.1	563.18	587.13	514.56	476.71
