	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.T8EM.1226.SM.4DM5J	TCGA.DF.A2KN.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.AJ.A5DV.01A.11R.A27V.07	TCGA.BK.A56F.01A.32R.A27V.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07
AC079612.1	0.91	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.26	0.28	0.31	0.32	0.0
ADRA2C	3540.14	5633.22	12.55	45.21	115.97	10.55	0.0	0.48	28.86	5.63	23.93	34.51	40.93	38.12	329.84	74.06	115.97	94.01	1806.78	624.99
AFF2	74.58	55.89	2.1	6.89	5.41	3.92	0.0	0.39	2.16	48.87	4.58	2.76	1.77	4.94	34.51	35.5	66.18	71.0	5.15	0.73
AP000322.53	14.24	44.25	2.18	0.0	0.0	0.58	0.0	0.11	0.0	5.45	0.0	0.0	1.43	2.97	19.53	17.64	22.92	22.75	6.78	42.11
AP006621.5	403.5	211.31	180.02	361.04	191.67	223.41	0.0	0.42	206.94	144.01	94.01	150.17	172.65	50.63	303.44	281.09	176.29	226.54	217.27	392.44
ARL4D	2875.3	1806.78	73.03	1277.29	177.53	143.01	0.0	0.71	16.63	76.17	85.22	41.81	6.67	236.21	629.35	1051.79	1794.29	2119.22	872.1	878.17
ARSK	111.99	131.51	58.3	21.47	18.84	34.02	0.0	0.12	27.84	53.19	66.18	67.12	65.26	56.28	128.79	86.43	129.69	135.24	117.6	105.89
ASB12	48.18	0.0	3.11	0.0	0.0	3.08	0.0	0.0	4.5	1.19	0.0	3.5	0.0	4.94	31.45	24.46	7.57	39.79	30.34	36.27
BBS12	94.67	84.63	49.21	51.35	6.16	18.03	0.0	0.07	7.17	19.11	40.93	30.12	40.07	34.75	47.84	90.14	98.04	105.89	91.41	158.79
BDH2	2240.11	4010.71	368.65	414.87	98.73	555.41	0.0	0.66	157.68	579.04	866.07	214.27	356.05	1286.18	2104.58	2627.46	1950.0	2047.0	2104.58	2090.03
C11orf16	5112.16	29531.18	0.0	7.0	1.64	0.3	0.0	0.0	0.97	0.39	0.0	0.6	1.53	0.0	134.3	293.07	202.66	232.94	28.04	301.33
C14orf142	629.35	1819.35	218.79	186.4	157.68	406.31	0.0	0.0	293.07	334.46	376.41	307.69	438.59	356.05	603.67	967.76	1023.0	775.05	389.72	1331.57
C17orf97	563.18	1191.69	45.85	121.79	20.11	85.82	0.0	0.0	146.03	28.24	102.97	36.53	23.42	102.97	293.07	612.11	500.46	366.09	264.03	679.29
C2orf88	94628.34	20593.91	16.75	16.39	42.41	217.27	0.0	0.28	80.57	40.36	34.26	87.03	12.36	164.42	2520.38	1277.29	3639.7	1950.0	878.17	884.29
C4orf47	909.17	1628.26	7.57	21.01	41.22	4.86	0.0	0.0	11.91	83.45	29.27	38.4	31.67	12.55	244.57	441.64	444.72	329.84	113.56	808.0
C8orf34	466.88	3372.43	1.36	0.0	0.89	1.43	0.0	0.03	5.63	2.58	2.76	0.34	2.1	10.96	34.51	114.36	95.34	77.79	30.12	307.69
CCDC11	669.92	5076.84	21.32	10.71	4.9	4.98	0.0	0.0	3.92	57.89	12.93	11.73	13.62	8.45	125.24	486.75	384.34	389.72	149.12	1277.29
CCDC146	2520.38	4937.99	202.66	52.45	199.85	180.02	0.0	0.16	34.26	301.33	56.68	23.93	85.82	312.0	1407.55	941.27	780.44	4543.8	1551.09	1769.57
CCDC153	575.03	1806.78	24.11	33.54	7.57	72.52	0.0	0.0	38.67	33.78	53.19	43.02	31.45	95.34	131.51	647.07	258.57	341.51	134.3	848.22
CCDC8	1467.37	1674.06	57.08	8.99	14.67	8.58	0.0	0.35	14.03	2.66	189.02	9.06	17.25	34.51	764.36	206.94	220.32	57.08	733.19	947.83
CCDC89	15.22	49.21	7.63	0.47	0.54	2.36	0.0	0.0	4.35	2.41	15.11	3.0	3.08	11.04	22.1	49.91	73.03	46.84	60.82	265.87
CCDC96	417.77	1844.76	41.22	39.79	7.17	12.83	0.0	0.0	28.65	71.0	25.35	43.02	17.38	49.56	175.07	525.39	403.5	232.94	108.14	579.04
CD200	1529.73	780.44	142.01	51.35	79.45	123.5	0.0	0.0	185.11	42.41	435.55	52.08	52.82	74.06	1167.14	312.0	674.59	902.89	1250.98	1096.5
CDH16	785.88	575.03	2.36	16.15	0.0	19.53	0.0	0.0	35.25	0.0	6.67	0.52	0.0	6.46	237.86	33.06	23.08	8.58	42.71	426.57
CDK20	518.15	808.0	58.71	209.84	26.67	115.16	0.0	0.31	93.35	37.85	70.01	141.02	33.06	112.77	361.04	476.71	483.38	435.55	327.56	612.11
CERKL	642.59	703.28	61.68	9.85	14.03	69.03	0.0	0.27	43.63	34.51	140.04	29.7	74.06	55.49	123.5	232.94	212.78	185.11	66.65	159.9
CERS1	137.14	20.41	2.76	2.66	1.64	2.89	0.0	0.27	1.2	0.84	15.11	3.32	0.77	6.16	112.77	57.89	7.06	138.1	39.5	15.91
CHDC2	438.59	3303.0	0.0	1.04	0.0	0.52	0.0	0.0	0.0	0.0	0.85	2.23	0.0	0.0	38.4	36.79	42.41	31.22	4.86	56.68
CHST6	5995.9	32315.87	18.56	6.62	3.99	10.63	0.0	0.0	2.03	31.9	9.41	36.53	3.66	10.96	305.55	178.77	95.34	64.8	29.06	26.47
CMTM7	8479.89	6079.61	743.43	209.84	1277.29	265.87	0.0	0.75	1369.04	289.02	2148.82	708.18	669.92	1037.29	1191.69	2485.67	2935.74	2148.82	1008.9	2555.58
CRISPLD1	432.53	1662.49	25.17	33.78	31.45	33.78	0.0	0.13	24.28	13.52	68.07	49.91	7.0	13.72	231.32	145.02	435.55	197.09	283.05	297.17
CXorf22	384.34	3768.09	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	1.99	22.26	20.86	40.93	40.36	1.81	39.5
CXorf30	1119.56	15499.21	0.0	1.79	0.0	1.89	0.0	0.0	0.0	2.23	0.0	3.11	0.0	0.0	89.51	79.45	92.05	125.24	12.55	131.51
DCDC2	5183.54	57051.4	42.41	3.89	0.6	6.78	0.0	0.0	55.89	82.29	94.01	137.14	6.94	4.66	376.41	199.85	269.6	457.25	115.16	144.01
DNAJB13	53973.86	191899.64	4.58	2.89	5.77	2.2	0.0	0.0	0.84	13.72	1.0	6.67	3.76	1.19	305.55	1066.48	836.53	974.5	211.31	1167.14
EFCAB6	127.0	813.63	10.16	18.03	5.96	8.45	0.0	0.0	7.88	19.11	31.9	9.85	53.57	36.79	47.5	140.04	171.45	108.9	63.0	299.25
EFHC2	470.14	3349.13	2.89	25.35	4.5	8.25	0.0	0.0	1.57	11.04	18.43	4.9	1.5	67.59	87.03	253.23	293.07	264.03	107.38	540.19
