	TCGA.LL.A440.01A.11R.A24H.07	TCGA.B8.4148.01A.02R.1325.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7580.11A.01R.2045.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.BR.A4J5.01A.21R.A251.31	TCGA.BR.8590.01A.11R.2402.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.CG.4474.01A.02R.1157.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.BR.4362.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PB.01A.11R.A39E.31	TCGA.BR.4361.01A.01R.1157.13	TCGA.CG.4305.01A.01R.1157.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.4253.01A.01R.1131.13	TCGA.CG.4465.01A.01R.1157.13	TCGA.BR.4357.01A.01R.1157.13	TCGA.VQ.A8P8.01A.11R.A39E.31
AAGAB	642.59	500.46	312.0	435.55	177.53	231.32	218.79	185.11	251.48	363.56	157.68	217.27	141.02	217.27	237.86	228.13	164.42	318.57	145.02	177.53	281.09	193.01	199.85	152.28	309.83	162.14	295.11	145.02	181.28	231.32	616.37	638.15	802.41	575.03	551.56	1167.14	575.03	764.36	633.73	1340.84	1001.93	842.36	842.36	961.07	1008.9	507.46	1127.35	1037.29	915.51	791.35
ADAT2	130.6	115.16	115.16	68.55	50.63	83.45	37.59	71.5	81.14	72.52	66.18	44.57	112.77	57.08	43.32	54.72	60.82	39.22	40.93	96.68	67.59	57.08	94.01	52.82	80.01	88.26	82.87	102.97	27.84	53.19	171.45	373.81	177.53	255.0	236.21	264.03	351.14	218.79	353.59	287.01	320.8	567.1	376.41	532.74	334.46	221.86	323.03	209.84	214.27	165.57
ANLN	121.79	69.52	47.17	33.54	18.43	25.72	1.81	0.0	7.34	12.83	4.66	0.62	2.12	4.35	1.01	2.07	3.26	4.7	6.57	3.23	10.24	18.56	3.86	2.66	6.73	4.43	8.65	11.3	0.67	7.0	97.36	435.55	198.47	409.15	109.66	723.08	141.02	525.39	819.3	2178.83	1277.29	514.56	2915.45	836.53	629.35	120.94	921.88	450.94	1135.2	336.79
APOC3	0.0	0.0	151608.43	565825.41	9243449.07	7719092.49	5420519.65	5809569.18	4621724.04	4107985.47	7202167.89	8928583.23	2884719.27	7612821.45	3551506.25	3028138.0	3178687.03	5163792.94	1.24530853E7	5611673.89	3968052.37	2493947.08	2945333.38	3178687.03	3223059.86	3968052.37	1.032758687E7	7152418.87	1.09164457E7	4023444.33	5.87	1.22	0.0	9.85	0.0	2.66	7.11	0.0	0.0	0.0	0.0	17.0	1.6	0.0	18.03	35.25	3.96	4.21	15.11	1.71
AQR	392.44	400.71	253.23	208.38	165.57	164.42	180.02	134.3	166.73	152.28	176.29	163.28	190.34	129.69	136.19	206.94	149.12	167.9	108.14	120.94	183.82	341.51	283.05	166.73	177.53	107.38	146.03	212.78	120.94	165.57	384.34	647.07	503.95	454.09	579.04	723.08	796.86	703.28	656.11	633.73	587.13	409.15	703.28	633.73	575.03	507.46	860.08	698.41	591.22	616.37
ARHGAP11A	155.5	60.39	33.06	37.85	3.29	24.81	7.22	2.46	8.19	8.13	11.3	3.41	2.89	16.63	0.83	4.39	4.82	1.55	6.16	10.24	12.09	18.03	15.56	2.56	15.22	10.16	15.11	10.96	2.46	2.51	61.68	307.69	142.01	392.44	197.09	409.15	133.36	373.81	426.57	406.31	327.56	309.83	559.28	529.06	256.78	77.25	476.71	400.71	450.94	249.73
ARHGAP11B	67.12	82.29	25.35	16.03	6.52	9.85	3.59	5.15	4.31	0.71	5.11	4.1	8.65	2.48	7.4	1.71	3.2	2.16	6.78	7.34	6.62	17.13	7.06	14.45	13.03	7.88	7.82	8.0	0.57	10.47	54.72	295.11	201.25	161.02	158.79	239.52	153.34	156.59	295.11	224.97	217.27	180.02	285.03	457.25	262.2	76.71	348.71	147.06	343.89	153.34
ASF1B	159.9	151.22	67.59	89.51	17.64	37.32	3.76	14.35	7.28	26.1	18.7	4.98	8.51	16.75	4.78	9.85	12.36	19.97	44.57	6.16	31.22	18.16	29.91	10.88	6.67	5.63	28.24	14.35	9.63	16.75	90.14	194.36	163.28	201.25	131.51	379.04	152.28	480.04	466.88	808.0	483.38	571.05	921.88	447.82	420.68	80.57	642.59	450.94	669.92	293.07
ASPM	45.53	52.45	33.3	56.28	4.31	33.3	2.58	2.71	6.16	11.13	4.31	8.06	6.31	10.88	5.15	2.68	12.09	2.53	10.24	4.98	3.06	13.83	13.72	5.36	21.32	6.52	20.56	12.0	1.46	6.31	32.36	169.07	131.51	115.97	71.5	161.02	85.22	277.2	303.44	229.72	256.78	186.4	275.28	334.46	167.9	33.54	361.04	217.27	182.55	147.06
ATAD5	22.75	24.28	16.75	10.31	8.92	6.26	1.93	3.14	5.02	5.36	9.56	6.73	14.67	9.93	1.19	4.98	11.13	1.27	2.2	1.99	5.92	10.63	5.87	2.94	18.16	13.32	3.86	12.0	1.91	7.4	19.25	82.87	45.53	78.89	57.08	52.82	82.29	95.34	90.77	87.03	119.26	152.28	125.24	128.79	45.21	43.63	117.6	55.89	100.13	59.97
AUNIP	24.63	10.31	7.51	22.1	5.06	11.73	18.97	4.62	14.56	16.63	15.56	15.8	6.46	5.68	23.42	7.11	15.68	4.31	3.56	14.14	3.59	6.57	10.63	3.89	8.58	12.64	0.0	12.09	9.78	8.71	16.39	32.59	39.22	59.13	18.29	57.89	25.17	74.58	81.14	165.57	148.09	140.04	93.35	138.1	73.03	26.28	161.02	100.83	267.73	49.21
AURKB	218.79	132.44	91.41	84.63	20.56	37.59	17.64	28.86	19.97	36.53	24.46	8.51	13.12	11.64	24.99	18.03	18.7	12.36	32.82	19.39	26.67	45.53	22.1	16.15	23.93	26.86	12.93	12.36	3.72	23.25	98.04	312.0	224.97	297.17	153.34	559.28	237.86	620.67	884.29	1096.5	1447.15	1183.45	884.29	915.51	642.59	177.53	698.41	555.41	1250.98	376.41
BLM	58.3	34.75	48.18	34.51	8.38	14.35	16.15	10.47	18.03	11.38	2.76	9.34	13.62	1.03	5.5	1.45	17.9	4.39	12.45	4.28	9.85	15.8	15.8	0.0	17.77	6.06	11.73	3.17	16.63	10.16	39.79	128.79	90.14	108.14	126.12	190.34	138.1	147.06	220.32	170.25	305.55	665.29	152.28	249.73	116.78	53.57	309.83	172.65	205.5	107.38
