	TCGA.PQ.A6FI.01A.11R.A31N.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.C5.A7CO.01A.11R.A352.07	TCGA.LP.A7HU.01A.11R.A33Z.07	TCGA.EA.A3QD.01A.32R.A22U.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.11WQK.2926.SM.5EQKT	TCGA.N5.A59F.01A.11R.A28V.07
AC087645.1	4.28	0.0	5.23	4.35	1.62	4.66	6.67	4.39	0.0	2.27	0.0	2.05	0.0	0.0	0.0	3.06	0.0	1.68	0.0	3.08
ACYP1	738.29	450.94	563.18	373.81	1104.13	748.61	1199.98	392.44	208.38	503.95	161.02	454.09	218.79	127.0	379.04	521.76	190.34	256.78	66.18	591.22
ALYREF	5403.7	2367.9	4769.75	3257.52	3018.3	5112.16	4769.75	3665.02	1605.83	2520.38	1857.6	3982.99	1340.84	1963.57	2047.0	2178.83	1781.89	2682.69	1745.2	3589.58
ANAPC11	6935.54	5147.73	10440.2	4181.07	10154.69	9945.68	7857.29	3928.15	3168.41	3820.7	3589.58	5255.91	3467.27	3372.43	4010.71	4010.71	3564.78	5112.16	2004.85	7695.57
ANKS3	221.86	183.82	232.94	314.17	371.22	395.18	403.5	234.57	46.5	204.07	60.82	111.99	105.15	102.25	155.5	105.89	57.49	125.24	131.51	802.41
AP001362.1	51.71	0.0	29.48	31.0	28.45	14.24	19.82	11.55	3.32	0.0	0.0	0.0	0.0	0.0	0.0	6.62	8.19	0.0	0.0	31.45
ARHGAP4	163.28	62.12	1437.15	1295.13	1397.83	1923.14	4066.71	336.79	42.41	316.37	312.0	131.51	432.53	242.88	169.07	84.04	96.01	303.44	7.46	1651.0
ATR	796.86	275.28	791.35	1088.92	819.3	981.29	753.83	470.14	251.48	603.67	218.79	559.28	291.04	264.03	414.87	336.79	190.34	432.53	267.73	607.87
ATXN7L2	92.05	53.19	145.02	169.07	139.07	381.68	195.72	59.97	25.91	94.67	18.43	67.59	51.71	42.11	82.87	76.17	19.11	57.08	34.26	450.94
AZI1	395.18	175.07	567.1	532.74	674.59	1295.13	612.11	470.14	105.89	256.78	88.88	279.14	147.06	224.97	166.73	131.51	131.51	242.88	96.01	2367.9
B3GNTL1	167.9	69.03	395.18	146.03	195.72	236.21	332.14	117.6	36.79	94.67	67.12	53.95	30.34	54.72	52.45	47.5	42.71	52.82	22.59	507.46
BRIX1	1551.09	555.41	1407.55	915.51	1322.37	1104.13	1378.57	909.17	392.44	669.92	348.71	954.43	297.17	607.87	718.08	543.96	417.77	813.63	1295.13	1561.89
