	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FY.A3W9.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
ABCB9	59.13	43.32	5.82	5.68	175.07	164.42	109.66	127.89	87.03	45.85	94.01	129.69	77.25	123.5	118.43	125.24	65.26	94.67	44.57	57.49	122.64	38.4	48.18	37.59	63.89	48.18	47.5	50.98	34.02	99.43	72.01	47.17	81.71	73.54	64.34	89.51	37.05	60.82	24.99	85.82	111.21	47.84	70.51	80.01	43.02	105.15	70.01	55.1	45.85	42.11	59.13	60.82	41.52	37.32	68.07	47.17	43.32	57.89	38.12	42.71	33.06	33.78	63.45	63.89	74.58	74.58	40.36
ABCC10	182.55	212.78	85.82	91.41	486.75	543.96	450.94	521.76	703.28	490.14	728.11	624.99	486.75	540.19	674.59	571.05	493.56	409.15	281.09	258.57	575.03	356.05	376.41	341.51	348.71	271.48	229.72	281.09	224.97	368.65	376.41	332.14	409.15	371.22	320.8	409.15	241.19	314.17	267.73	420.68	497.0	291.04	457.25	361.04	262.2	540.19	285.03	476.71	299.25	400.71	412.0	267.73	246.28	255.0	351.14	253.23	297.17	283.05	295.11	236.21	277.2	299.25	409.15	305.55	384.34	392.44	279.14
ADCK5	21.78	35.5	50.63	64.8	287.01	246.28	267.73	237.86	248.0	265.87	287.01	255.0	267.73	220.32	265.87	212.78	202.66	161.02	62.12	117.6	262.2	123.5	145.02	123.5	136.19	143.01	84.63	115.16	98.73	218.79	209.84	141.02	177.53	100.83	133.36	158.79	104.42	145.02	93.35	220.32	220.32	185.11	166.73	182.55	111.21	180.02	102.97	182.55	102.97	157.68	138.1	127.89	92.7	87.65	96.01	134.3	145.02	145.02	176.29	136.19	119.26	96.68	164.42	195.72	181.28	201.25	122.64
ANKRD13D	149.12	244.57	88.26	136.19	785.88	934.76	995.0	759.08	1143.1	836.53	1519.15	1295.13	836.53	813.63	981.29	909.17	769.69	514.56	275.28	323.03	1242.34	420.68	417.77	366.09	275.28	303.44	332.14	275.28	281.09	603.67	567.1	368.65	361.04	351.14	414.87	426.57	267.73	397.93	307.69	551.56	791.35	389.72	551.56	466.88	287.01	738.29	229.72	503.95	320.8	432.53	493.56	403.5	279.14	269.6	444.72	403.5	341.51	409.15	368.65	267.73	277.2	297.17	497.0	629.35	669.92	638.15	279.14
ARRDC1	389.72	503.95	305.55	409.15	2047.0	1322.37	1540.37	1498.22	1745.2	1697.45	1857.6	1594.73	1685.71	1369.04	2319.15	1295.13	1733.13	1250.98	665.29	665.29	1508.65	1023.0	1277.29	813.63	753.83	743.43	629.35	693.58	808.0	1295.13	1216.75	1104.13	1059.11	896.64	902.89	954.43	1073.91	1015.93	791.35	1127.35	1350.18	1407.55	884.29	967.76	738.29	1467.37	733.19	1685.71	1030.12	1519.15	848.22	1159.07	954.43	743.43	1030.12	1051.79	1127.35	947.83	1225.22	890.44	878.17	890.44	1467.37	1175.27	1350.18	1111.82	748.61
ATXN2L	808.0	698.41	417.77	902.89	2434.5	2163.77	2485.67	1769.57	2255.7	2104.58	2739.08	1794.29	2351.53	1745.2	2468.49	1674.06	2047.0	2047.0	974.5	1111.82	2104.58	1745.2	1605.83	1359.57	1313.23	1167.14	1015.93	1051.79	1388.16	1639.59	1991.0	1467.37	1437.15	1437.15	1268.46	1331.57	1313.23	1407.55	1340.84	1721.16	2075.59	1745.2	1417.35	1427.22	1233.75	1896.65	1023.0	1540.37	1697.45	1745.2	1583.71	1806.78	1340.84	1242.34	1407.55	1651.0	1369.04	1208.34	1498.22	1208.34	1447.15	1340.84	1529.73	1551.09	1733.13	1487.87	1066.48
AUP1	1304.15	1119.56	2287.2	2400.97	3540.14	3257.52	3716.2	2645.74	3742.05	3303.0	3614.55	3794.3	3716.2	3491.39	3419.52	3349.13	3794.3	2976.74	2178.83	1936.53	3665.02	2573.36	2956.17	2664.15	2271.4	2075.59	1674.06	2193.99	2133.97	3060.45	2591.27	2645.74	2627.46	2682.69	2193.99	2351.53	2400.97	2573.36	2682.69	2915.45	3235.01	3060.45	2758.13	2367.9	2645.74	2976.74	1883.54	3665.02	2434.5	3190.46	2915.45	2303.12	2209.26	2148.82	2485.67	2739.08	2739.08	2895.31	2682.69	2047.0	2075.59	2384.37	2701.35	3018.3	3235.01	2720.15	2367.9
BAG6	1529.73	2758.13	2502.97	2319.15	5751.61	5751.61	5517.27	4704.07	5954.47	6037.61	6935.54	5872.48	4836.35	4937.99	5219.6	4769.75	6561.36	4671.57	2816.11	3146.52	4512.4	4095.0	4836.35	4066.71	3614.55	3081.75	3212.66	3039.3	3794.3	3955.48	5633.22	4010.71	4937.99	5076.84	3928.15	3982.99	4298.64	4328.55	4010.71	4210.15	4802.93	4328.55	4607.24	4123.49	3982.99	4836.35	2976.74	5672.41	4181.07	4769.75	4210.15	4802.93	4095.0	4607.24	4181.07	5183.54	3982.99	4543.8	4481.23	3794.3	4481.23	3639.7	4066.71	4769.75	4575.41	3372.43	4123.49
C11orf84	87.65	181.28	48.18	52.82	493.56	329.84	497.0	363.56	429.54	486.75	514.56	423.61	314.17	381.68	665.29	373.81	371.22	348.71	95.34	239.52	307.69	241.19	242.88	253.23	258.57	269.6	150.17	198.47	224.97	255.0	303.44	231.32	273.37	264.03	265.87	236.21	236.21	295.11	244.57	215.77	248.0	232.94	332.14	242.88	223.41	303.44	169.07	253.23	279.14	244.57	277.2	251.48	223.41	258.57	226.54	206.94	224.97	299.25	201.25	193.01	159.9	264.03	244.57	332.14	267.73	297.17	206.94
C9orf142	117.6	363.56	251.48	595.34	2777.33	2645.74	2627.46	1757.34	2701.35	2163.77	2417.67	3235.01	2287.2	1977.24	3325.99	1583.71	3168.41	1651.0	532.74	1242.34	3395.89	1073.91	1350.18	1159.07	1437.15	1467.37	599.49	836.53	759.08	2682.69	1721.16	1745.2	1322.37	1331.57	1745.2	1561.89	1259.69	1119.56	902.89	1685.71	3018.3	1896.65	1457.23	1304.15	1487.87	2400.97	890.44	2627.46	1119.56	2075.59	1268.46	1378.57	848.22	679.29	1167.14	2090.03	1167.14	1745.2	1529.73	848.22	902.89	1015.93	1857.6	2133.97	2591.27	2384.37	1322.37
CAPN10	78.34	100.83	36.53	81.14	521.76	551.56	532.74	441.64	684.02	529.06	748.61	612.11	563.18	490.14	698.41	480.04	624.99	409.15	212.78	281.09	743.43	287.01	384.34	356.05	348.71	318.57	244.57	173.85	214.27	559.28	483.38	336.79	403.5	318.57	476.71	444.72	285.03	366.09	273.37	551.56	629.35	547.75	356.05	400.71	285.03	607.87	241.19	518.15	379.04	379.04	389.72	392.44	320.8	260.38	371.22	325.29	316.37	356.05	409.15	285.03	316.37	314.17	466.88	540.19	483.38	470.14	242.88
CAPN15	113.56	181.28	101.54	127.0	587.13	454.09	466.88	343.89	447.82	507.46	703.28	476.71	438.59	423.61	791.35	435.55	525.39	346.29	113.56	206.94	470.14	269.6	283.05	269.6	242.88	251.48	176.29	206.94	255.0	320.8	329.84	320.8	400.71	346.29	277.2	215.77	242.88	277.2	281.09	307.69	309.83	346.29	305.55	218.79	273.37	395.18	164.42	373.81	264.03	356.05	420.68	267.73	223.41	255.0	273.37	297.17	229.72	275.28	248.0	229.72	244.57	307.69	293.07	279.14	348.71	444.72	239.52
CC2D1A	417.77	241.19	190.34	379.04	1268.46	836.53	1066.48	872.1	1023.0	995.0	1104.13	836.53	890.44	813.63	1143.1	890.44	854.13	785.88	376.41	536.45	836.53	518.15	738.29	571.05	599.49	521.76	426.57	447.82	463.65	830.75	674.59	447.82	728.11	674.59	693.58	638.15	514.56	595.34	460.44	802.41	775.05	769.69	547.75	791.35	450.94	780.44	529.06	748.61	579.04	591.22	603.67	660.68	559.28	420.68	543.96	748.61	612.11	603.67	603.67	454.09	406.31	665.29	808.0	738.29	775.05	733.19	497.0
CCDC137	49.21	141.02	138.1	206.94	414.87	293.07	303.44	332.14	260.38	327.56	460.44	403.5	450.94	334.46	423.61	285.03	234.57	368.65	151.22	264.03	532.74	273.37	351.14	228.13	283.05	195.72	211.31	295.11	204.07	256.78	305.55	297.17	285.03	348.71	277.2	303.44	223.41	262.2	275.28	267.73	420.68	242.88	307.69	234.57	201.25	435.55	195.72	289.02	226.54	264.03	289.02	251.48	246.28	202.66	204.07	236.21	265.87	277.2	217.27	159.9	180.02	220.32	318.57	275.28	379.04	303.44	190.34
CCDC154	0.0	3.03	0.78	0.92	595.34	318.57	191.67	81.14	265.87	119.26	158.79	361.04	314.17	93.35	366.09	283.05	190.34	75.64	47.5	29.91	190.34	14.56	43.63	31.45	80.01	36.53	21.16	5.15	29.27	72.01	97.36	37.05	46.18	12.45	65.72	74.58	18.56	50.63	22.75	78.89	107.38	92.7	96.01	73.03	18.03	110.43	40.36	32.13	46.84	39.79	31.9	85.82	18.56	25.72	52.45	60.39	37.59	43.32	49.56	9.27	28.24	22.43	63.89	52.08	90.77	163.28	17.13
CCS	209.84	371.22	854.13	967.76	1883.54	1709.26	1769.57	1674.06	1781.89	1709.26	1498.22	2209.26	1540.37	1605.83	1359.57	1628.26	1674.06	1378.57	718.08	1073.91	2104.58	988.12	1225.22	1119.56	1191.69	1051.79	866.07	738.29	941.27	1697.45	1447.15	1277.29	1286.18	1037.29	1340.84	1216.75	909.17	1259.69	928.3	1709.26	1896.65	1583.71	1487.87	1331.57	1088.92	1870.53	941.27	1322.37	1001.93	1487.87	1286.18	1304.15	954.43	860.08	1225.22	1225.22	1151.06	1457.23	1359.57	896.64	769.69	1030.12	1617.0	1487.87	1745.2	1437.15	1030.12
CDK10	271.48	373.81	595.34	928.3	2682.69	3257.52	3349.13	2855.44	2682.69	3820.7	2555.58	3742.05	3103.19	2758.13	2976.74	2855.44	3018.3	2451.44	1617.0	1437.15	3742.05	1832.01	2047.0	1605.83	1709.26	2240.11	1437.15	1551.09	1457.23	2609.3	2271.4	1991.0	2434.5	2075.59	2133.97	2367.9	1583.71	2303.12	995.0	2935.74	2997.45	3103.19	2468.49	2047.0	1685.71	3190.46	1561.89	2468.49	2047.0	2351.53	2004.85	2148.82	1977.24	1322.37	2384.37	2061.24	2018.8	1991.0	1950.0	1561.89	1407.55	2400.97	2739.08	2537.92	3325.99	2875.3	1313.23
CNOT3	329.84	309.83	226.54	226.54	1051.79	1104.13	1167.14	1059.11	915.51	1096.5	995.0	961.07	1037.29	896.64	1286.18	1001.93	928.3	1216.75	571.05	748.61	1073.91	808.0	884.29	884.29	842.36	703.28	642.59	638.15	684.02	1044.52	1051.79	878.17	884.29	890.44	819.3	743.43	802.41	902.89	748.61	941.27	1059.11	866.07	988.12	780.44	808.0	1059.11	764.36	813.63	860.08	836.53	1111.82	1001.93	780.44	780.44	796.86	808.0	866.07	941.27	866.07	579.04	638.15	941.27	896.64	785.88	1044.52	954.43	651.58
DDX54	336.79	708.18	525.39	934.76	1844.76	1561.89	1540.37	1733.13	1628.26	1417.35	1769.57	1639.59	1498.22	1437.15	1594.73	1340.84	1467.37	1685.71	928.3	1073.91	1397.83	1051.79	974.5	1233.75	1437.15	1295.13	500.46	669.92	1191.69	1191.69	1369.04	1151.06	1583.71	1594.73	1127.35	1340.84	1191.69	1096.5	1051.79	1519.15	1313.23	1437.15	1388.16	1268.46	1191.69	1167.14	698.41	1225.22	1242.34	1216.75	1104.13	1059.11	1175.27	1051.79	1073.91	1977.24	995.0	1242.34	1001.93	915.51	1143.1	1304.15	1259.69	1369.04	1447.15	988.12	1037.29
DDX56	961.07	624.99	961.07	1008.9	2163.77	1819.35	1977.24	1709.26	1923.14	1832.01	1977.24	1909.85	1685.71	1628.26	2104.58	1757.34	2047.0	1508.65	1498.22	1191.69	2090.03	1135.2	1417.35	1277.29	1183.45	1437.15	884.29	1225.22	961.07	2075.59	1250.98	1242.34	1447.15	1498.22	1322.37	1159.07	1073.91	1350.18	1175.27	1487.87	1639.59	1583.71	1551.09	1572.76	1183.45	2148.82	1167.14	1709.26	1295.13	1617.0	1697.45	1088.92	988.12	1081.39	1397.83	1697.45	1233.75	1216.75	1191.69	1167.14	988.12	1477.58	1519.15	1883.54	1639.59	1991.0	1051.79
DGAT1	595.34	356.05	507.46	748.61	1583.71	1467.37	1242.34	1135.2	1697.45	1159.07	1551.09	1250.98	1331.57	1388.16	2193.99	2119.22	1233.75	848.22	503.95	738.29	1286.18	642.59	780.44	769.69	764.36	974.5	366.09	595.34	616.37	1127.35	967.76	854.13	961.07	872.1	825.0	785.88	521.76	718.08	543.96	1081.39	1104.13	866.07	748.61	981.29	703.28	1081.39	587.13	1340.84	575.03	921.88	808.0	819.3	563.18	543.96	607.87	785.88	583.07	813.63	647.07	698.41	486.75	669.92	1051.79	1096.5	1088.92	1225.22	642.59
DNASE1L2	0.0	1.14	0.74	0.0	163.28	116.78	128.79	121.79	291.04	303.44	158.79	151.22	121.79	102.25	187.71	119.26	124.37	84.04	36.01	24.28	90.14	37.59	43.94	38.95	36.01	26.28	15.68	25.91	18.97	65.72	75.64	62.12	46.84	21.32	29.48	45.21	15.8	43.32	38.4	92.7	85.82	52.82	114.36	31.9	10.63	71.5	14.24	56.68	26.86	69.03	31.0	27.44	19.39	12.0	58.3	22.43	33.78	63.45	27.44	24.63	15.91	33.3	61.25	31.0	57.49	67.12	19.53
DTX2	183.82	128.79	98.04	147.06	339.14	299.25	314.17	283.05	348.71	305.55	503.95	293.07	406.31	287.01	307.69	297.17	287.01	414.87	156.59	187.71	423.61	176.29	191.67	183.82	208.38	176.29	171.45	291.04	120.1	271.48	205.5	232.94	244.57	177.53	209.84	483.38	157.68	198.47	151.22	249.73	353.59	220.32	249.73	249.73	156.59	279.14	146.03	223.41	191.67	214.27	208.38	204.07	193.01	163.28	205.5	223.41	197.09	239.52	262.2	186.4	157.68	172.65	242.88	285.03	228.13	215.77	111.99
