	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
APC	70.01	260.38	182.55	48.18	73.54	50.98	43.32	96.01	72.52	40.07	101.54	29.27	71.5	51.71	45.85	112.77	51.35	65.26	96.01	115.16	84.63	45.53	35.5	88.88	66.18	49.56	62.56	120.94	63.0	100.13	43.63	127.0	59.13	74.58	29.7	87.03	53.19	75.11	57.08	32.36	52.45	103.69	36.53	111.99	98.04	46.5	58.71	69.52	66.18	92.05	116.78	60.39	51.35	108.14	77.25	51.71	73.54	113.56	62.56	84.04	43.32	59.13	90.14	36.53	72.01	87.65	127.89	53.19	60.39	42.41	51.71	88.26	64.34	154.42	98.04	69.52	52.45	89.51	90.14	44.57	119.26	42.71	96.68	139.07	62.56	62.56	109.66	43.02	56.68	84.04	47.5
APPBP2	176.29	480.04	392.44	178.77	180.02	149.12	149.12	208.38	161.02	135.24	253.23	100.13	229.72	161.02	177.53	262.2	156.59	199.85	253.23	291.04	206.94	141.02	123.5	231.32	164.42	138.1	187.71	293.07	164.42	190.34	132.44	356.05	170.25	193.01	115.97	208.38	167.9	209.84	176.29	115.97	166.73	264.03	103.69	318.57	283.05	146.03	177.53	186.4	199.85	221.86	289.02	181.28	177.53	348.71	212.78	131.51	223.41	309.83	212.78	273.37	159.9	159.9	264.03	123.5	204.07	197.09	299.25	166.73	159.9	111.21	151.22	246.28	153.34	358.54	232.94	169.07	171.45	224.97	199.85	132.44	305.55	158.79	336.79	273.37	163.28	186.4	271.48	142.01	146.03	253.23	156.59
ARIH1	295.11	483.38	947.83	483.38	497.0	441.64	463.65	575.03	444.72	420.68	551.56	417.77	599.49	387.02	483.38	684.02	540.19	633.73	796.86	665.29	660.68	500.46	521.76	603.67	507.46	483.38	525.39	651.58	579.04	476.71	603.67	656.11	543.96	579.04	381.68	579.04	567.1	518.15	384.34	397.93	466.88	579.04	441.64	728.11	620.67	447.82	429.54	595.34	536.45	521.76	733.19	507.46	540.19	688.78	660.68	514.56	571.05	669.92	470.14	551.56	384.34	454.09	521.76	507.46	567.1	693.58	638.15	420.68	532.74	454.09	525.39	679.29	497.0	813.63	559.28	486.75	463.65	480.04	503.95	447.82	748.61	547.75	738.29	559.28	460.44	450.94	595.34	454.09	441.64	547.75	417.77
ARMC8	435.55	842.36	1127.35	381.68	314.17	356.05	318.57	356.05	327.56	325.29	403.5	256.78	371.22	346.29	429.54	476.71	384.34	414.87	490.14	470.14	454.09	379.04	303.44	444.72	387.02	299.25	376.41	447.82	309.83	356.05	381.68	514.56	341.51	417.77	237.86	366.09	314.17	309.83	293.07	293.07	289.02	423.61	295.11	426.57	379.04	327.56	341.51	420.68	400.71	361.04	457.25	353.59	351.14	567.1	423.61	348.71	336.79	397.93	406.31	397.93	339.14	351.14	373.81	334.46	423.61	363.56	486.75	334.46	351.14	285.03	348.71	490.14	435.55	547.75	356.05	327.56	279.14	395.18	409.15	325.29	409.15	353.59	447.82	397.93	397.93	412.0	441.64	277.2	336.79	532.74	323.03
ASH1L	244.57	267.73	301.33	201.25	236.21	171.45	107.38	249.73	237.86	156.59	305.55	130.6	262.2	172.65	181.28	343.89	204.07	267.73	309.83	351.14	301.33	154.42	176.29	466.88	214.27	183.82	260.38	460.44	251.48	336.79	135.24	525.39	199.85	228.13	139.07	293.07	258.57	255.0	237.86	154.42	159.9	423.61	139.07	381.68	356.05	181.28	215.77	221.86	189.02	283.05	353.59	212.78	175.07	403.5	325.29	175.07	307.69	412.0	275.28	325.29	161.02	193.01	305.55	139.07	293.07	389.72	525.39	178.77	209.84	148.09	182.55	307.69	253.23	551.56	275.28	246.28	187.71	301.33	256.78	151.22	466.88	201.25	426.57	420.68	176.29	242.88	351.14	136.19	199.85	351.14	148.09
ASXL2	79.45	314.17	191.67	86.43	115.16	73.03	69.03	146.03	126.12	63.89	130.6	59.97	128.79	65.72	76.17	161.02	90.14	116.78	165.57	148.09	115.16	77.79	63.0	169.07	88.88	77.25	107.38	208.38	101.54	147.06	70.01	211.31	89.51	105.15	55.89	132.44	90.14	128.79	106.63	57.89	77.79	165.57	66.65	198.47	159.9	76.17	108.9	104.42	98.73	151.22	172.65	77.79	77.79	189.02	126.12	73.54	150.17	186.4	109.66	141.02	87.03	102.25	155.5	77.25	132.44	163.28	234.57	74.58	104.42	69.52	89.51	144.01	101.54	190.34	125.24	115.16	82.87	128.79	127.89	76.17	231.32	80.57	204.07	157.68	94.67	99.43	183.82	72.52	102.25	145.02	65.72
ATRX	228.13	417.77	356.05	191.67	234.57	177.53	144.01	283.05	215.77	176.29	327.56	111.99	297.17	171.45	185.11	363.56	202.66	279.14	361.04	426.57	327.56	191.67	150.17	312.0	205.5	187.71	214.27	336.79	239.52	260.38	220.32	441.64	214.27	244.57	126.12	303.44	202.66	316.37	194.36	137.14	194.36	387.02	151.22	400.71	341.51	173.85	221.86	279.14	275.28	279.14	371.22	204.07	224.97	412.0	237.86	158.79	285.03	351.14	241.19	309.83	217.27	211.31	289.02	205.5	223.41	325.29	426.57	209.84	202.66	169.07	166.73	327.56	231.32	476.71	309.83	231.32	187.71	279.14	249.73	180.02	366.09	199.85	379.04	358.54	248.0	221.86	389.72	164.42	204.07	295.11	173.85
ATXN1	244.57	366.09	414.87	156.59	205.5	176.29	183.82	214.27	218.79	164.42	209.84	132.44	157.68	170.25	186.4	255.0	134.3	193.01	256.78	258.57	189.02	146.03	138.1	214.27	199.85	172.65	198.47	229.72	212.78	256.78	182.55	218.79	163.28	181.28	157.68	212.78	157.68	194.36	181.28	163.28	110.43	229.72	148.09	287.01	327.56	154.42	214.27	199.85	239.52	224.97	279.14	167.9	155.5	220.32	221.86	178.77	226.54	226.54	182.55	224.97	109.66	172.65	208.38	177.53	214.27	269.6	226.54	191.67	191.67	162.14	131.51	253.23	158.79	283.05	199.85	224.97	194.36	195.72	249.73	155.5	273.37	301.33	301.33	251.48	220.32	198.47	297.17	167.9	161.02	262.2	173.85
BBX	224.97	480.04	291.04	236.21	332.14	177.53	172.65	409.15	301.33	185.11	409.15	158.79	371.22	224.97	217.27	423.61	248.0	371.22	438.59	536.45	356.05	193.01	183.82	463.65	283.05	204.07	289.02	480.04	293.07	366.09	187.71	651.58	273.37	264.03	153.34	384.34	265.87	353.59	285.03	139.07	246.28	521.76	182.55	629.35	447.82	218.79	295.11	251.48	291.04	409.15	466.88	236.21	242.88	532.74	334.46	228.13	400.71	540.19	287.01	457.25	218.79	262.2	470.14	215.77	334.46	454.09	624.99	258.57	295.11	205.5	202.66	441.64	295.11	624.99	406.31	316.37	255.0	368.65	356.05	211.31	607.87	258.57	532.74	486.75	237.86	242.88	521.76	195.72	281.09	373.81	212.78
BRMS1L	116.78	177.53	346.29	162.14	145.02	136.19	116.78	178.77	167.9	120.94	206.94	63.89	147.06	112.77	140.04	175.07	108.9	185.11	183.82	199.85	138.1	137.14	98.73	154.42	133.36	114.36	158.79	175.07	127.89	123.5	114.36	171.45	143.01	172.65	114.36	132.44	127.89	139.07	123.5	108.9	101.54	186.4	111.99	198.47	162.14	151.22	165.57	141.02	128.79	170.25	199.85	205.5	158.79	202.66	143.01	131.51	163.28	165.57	150.17	158.79	140.04	141.02	193.01	123.5	156.59	136.19	167.9	152.28	126.12	106.63	152.28	138.1	140.04	183.82	143.01	139.07	132.44	201.25	191.67	117.6	187.71	151.22	190.34	171.45	171.45	181.28	166.73	119.26	186.4	156.59	103.69
