	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.RWS6.1926.SM.47JXY	GTEX.XOT4.0726.SM.4GIAW	GTEX.XUJ4.1926.SM.4BOOV	GTEX.S341.1526.SM.4AD6K	GTEX.Q2AG.0326.SM.48U1O	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07
ABCA6	5.11	16.88	47.84	79.45	7.57	27.25	12.36	197.09	70.51	17.64	6.62	346.29	567.1	285.03	234.57	112.77	346.29	595.34	102.97	819.3	480.04	358.54	65.26	0.0
ABCA9	0.8	7.75	33.3	58.3	2.61	5.82	3.29	85.82	39.22	7.17	2.86	318.57	928.3	305.55	80.01	69.52	277.2	361.04	88.26	753.83	693.58	177.53	16.63	0.0
ABCB5	0.0	2.46	20.86	8.85	0.0	3.63	0.35	25.72	2.84	0.97	0.0	72.52	158.79	99.43	6.62	9.41	137.14	88.88	87.03	127.0	291.04	28.24	29.7	0.0
AC091801.1	2.16	2.07	7.88	3.14	0.0	44.89	19.25	8.71	0.0	0.66	0.0	35.25	40.93	18.16	8.06	46.18	27.25	32.59	7.22	42.41	87.65	14.35	69.52	0.0
ACKR2	16.63	124.37	92.7	40.64	66.65	10.39	134.3	36.01	46.18	37.32	141.02	127.0	198.47	133.36	59.13	55.1	44.25	525.39	120.1	435.55	341.51	77.25	27.25	0.0
ADAMTS5	2.18	7.46	40.07	42.71	13.72	25.35	14.35	248.0	141.02	33.54	9.34	309.83	595.34	348.71	293.07	323.03	486.75	738.29	190.34	723.08	780.44	271.48	152.28	0.0
AGPAT4	8.32	31.67	65.26	61.25	19.11	60.82	33.06	176.29	118.43	18.84	15.22	208.38	223.41	175.07	141.02	122.64	149.12	138.1	72.52	156.59	698.41	323.03	42.71	236.21
AL353791.1	0.0	3.17	5.41	6.62	1.39	9.56	1.39	71.0	41.22	1.68	0.39	28.04	48.18	114.36	57.08	72.01	57.49	48.52	11.04	31.22	279.14	57.49	37.32	0.0
ALDH1A2	5.28	24.11	44.57	51.35	4.35	12.36	11.73	173.85	82.87	15.91	1.68	414.87	305.55	145.02	114.36	101.54	486.75	114.36	131.51	195.72	1674.06	283.05	71.0	0.0
ANGPTL2	114.36	301.33	698.41	638.15	98.73	358.54	220.32	1159.07	743.43	271.48	211.31	2090.03	3395.89	2133.97	1487.87	1111.82	1963.57	2335.28	981.29	2895.31	5517.27	1991.0	884.29	0.0
APPL2	1268.46	674.59	878.17	928.3	642.59	679.29	1119.56	1417.35	1030.12	587.13	336.79	1023.0	1304.15	1044.52	1250.98	1143.1	1519.15	1781.89	769.69	1286.18	2935.74	1008.9	733.19	0.0
ASIP	0.0	1.27	1.71	3.2	1.22	9.13	1.93	3.2	3.96	0.0	1.87	21.16	50.27	2.56	7.46	3.63	8.25	25.91	1.81	12.55	50.63	0.68	5.45	0.0
BTBD19	10.31	18.43	37.32	35.76	34.02	47.84	13.52	58.3	61.68	16.39	12.74	87.65	75.64	115.97	46.18	69.52	58.71	111.21	71.5	291.04	229.72	110.43	48.18	54.33
C11orf53	0.0	6.11	1.93	13.03	0.0	0.82	2.12	14.78	1.16	0.4	2.03	54.33	119.26	58.71	4.1	4.86	8.06	28.65	38.4	43.63	152.28	16.27	28.45	0.0
C1orf186	5.23	51.35	19.82	23.08	1.71	14.35	1.71	53.19	10.71	1.97	4.17	20.71	106.63	19.97	28.65	5.32	68.07	105.15	21.63	43.94	121.79	28.24	27.64	0.0
CALHM2	348.71	336.79	441.64	813.63	633.73	616.37	406.31	764.36	551.56	397.93	698.41	743.43	1350.18	665.29	616.37	638.15	1001.93	1437.15	358.54	1331.57	1806.78	860.08	500.46	0.0
CCDC36	3.44	3.17	7.17	3.92	0.39	4.74	3.35	11.47	2.53	1.35	2.92	5.32	34.26	17.38	5.15	6.57	27.64	48.87	18.29	52.82	59.55	21.32	3.69	0.0
CCDC39	9.41	7.75	13.93	40.93	10.47	4.31	4.31	17.51	18.29	9.48	4.17	37.59	60.39	29.48	19.82	24.99	70.51	73.54	37.59	29.7	128.79	40.07	8.51	0.0
CCIN	0.0	2.32	4.82	7.0	2.84	3.79	1.27	2.01	1.35	2.76	0.61	14.56	14.24	5.23	1.69	4.39	12.18	9.34	3.08	7.51	35.76	8.32	5.02	0.0
CD99L2	163.28	129.69	387.02	599.49	693.58	246.28	483.38	466.88	420.68	703.28	507.46	872.1	1059.11	684.02	587.13	466.88	718.08	1167.14	579.04	1259.69	1037.29	624.99	616.37	995.0
CHRNA3	0.31	1.35	4.86	0.36	0.34	2.78	3.17	1.71	1.38	0.33	8.51	10.47	4.54	3.17	1.71	1.71	3.03	9.48	7.06	4.78	19.53	2.51	1.66	0.0
CNR1	3.08	2.73	13.93	11.38	3.66	54.33	2.25	26.1	14.67	5.59	12.36	16.39	32.36	26.86	13.83	25.17	4.43	120.94	3.89	167.9	73.54	23.76	23.76	0.0
CORO2B	4.13	5.68	32.59	36.79	16.63	21.63	16.39	102.97	57.89	13.32	11.13	224.97	312.0	103.69	90.14	105.89	147.06	253.23	130.6	571.05	432.53	178.77	30.34	0.0
CPEB1	1.93	23.08	17.77	31.9	0.4	38.67	5.36	68.07	42.11	13.03	1.68	114.36	172.65	118.43	58.3	62.56	150.17	194.36	150.17	202.66	239.52	91.41	23.42	0.0
CYBRD1	1250.98	1233.75	1159.07	4298.64	6164.49	2178.83	656.11	5147.73	3928.15	4123.49	3212.66	6607.01	10014.87	4937.99	3372.43	3847.29	6294.04	11189.6	3742.05	17437.64	10959.3	2816.11	3325.99	0.0
DMRT2	0.0	4.17	23.25	8.65	0.0	0.79	3.66	17.64	5.28	1.66	1.01	34.75	108.9	39.22	16.88	10.88	24.99	53.95	27.44	77.25	97.36	45.85	6.06	0.0
EBF1	39.5	28.24	77.25	86.43	33.54	49.56	36.01	150.17	35.5	48.87	35.25	314.17	612.11	234.57	151.22	108.14	287.01	713.11	141.02	848.22	656.11	660.68	120.1	0.0
EMILIN2	20.11	65.72	74.06	127.89	120.94	163.28	27.84	205.5	105.15	28.24	50.98	647.07	409.15	246.28	134.3	96.01	503.95	540.19	191.67	967.76	1519.15	511.0	209.84	0.0
ENOX2	101.54	121.79	128.79	162.14	135.24	172.65	85.22	163.28	112.77	122.64	50.63	147.06	237.86	194.36	198.47	145.02	214.27	183.82	112.77	262.2	279.14	124.37	135.24	0.0
FCRL5	0.0	4.62	14.45	18.16	0.41	67.59	1.41	65.26	9.93	1.06	7.11	18.43	32.36	19.39	32.82	8.32	70.01	139.07	8.13	34.75	133.36	23.76	10.0	87.03
FSTL1	211.31	651.58	2739.08	2796.65	1135.2	1819.35	583.07	2645.74	1259.69	1051.79	599.49	7966.99	8718.32	3901.01	2502.97	2061.24	7589.61	9409.14	2163.77	21172.91	12943.04	5672.41	1529.73	2319.15
GALNS	215.77	161.02	237.86	211.31	387.02	217.27	206.94	397.93	271.48	256.78	417.77	325.29	218.79	293.07	287.01	283.05	392.44	579.04	244.57	642.59	1044.52	518.15	165.57	0.0
GALNT12	2.23	6.94	31.0	71.0	7.57	808.0	38.95	60.39	18.97	6.11	7.34	217.27	291.04	67.12	35.0	24.63	134.3	142.01	94.67	189.02	295.11	84.63	10.96	0.0
GAS1	7.28	88.26	379.04	226.54	21.94	234.57	21.63	1745.2	470.14	51.35	20.86	1216.75	2335.28	1066.48	540.19	669.92	1508.65	3794.3	1143.1	8479.89	4328.55	830.75	397.93	0.0
GLIPR2	39.22	177.53	400.71	438.59	129.69	466.88	80.57	426.57	387.02	106.63	105.89	1191.69	1572.76	961.07	389.72	624.99	780.44	1697.45	941.27	878.17	2502.97	848.22	507.46	0.0
HMX1	0.0	0.0	1.08	0.0	0.0	0.0	3.26	0.72	0.0	0.66	0.0	3.26	0.87	0.39	0.72	0.72	1.95	0.21	0.0	10.08	17.9	8.19	2.18	0.0
IGFN1	0.0	0.43	1.58	9.85	0.0	0.44	0.41	2.29	10.96	1.41	0.4	8.19	12.83	48.87	3.38	1.53	22.26	13.62	22.92	10.16	92.7	31.9	1.95	0.0
