	TCGA.E7.A3X6.01A.12R.A22U.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.MA.AA3Z.01A.11R.A38B.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.C5.A2M1.01A.11R.A18M.07	TCGA.C5.A905.01A.11R.A37O.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.AZ.6608.01A.11R.1839.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AA.3495.01A.01R.1410.07	TCGA.AA.A02Y.01A.43R.A32Y.07	GTEX.14E6E.1526.SM.5RQIG	GTEX.1399S.1926.SM.5J2M5	GTEX.1122O.1526.SM.5N9CL	GTEX.XUZC.1326.SM.4BRV2	TCGA.38.4625.01A.01R.1206.07	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.QESD.0626.SM.2I5G4	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	TCGA.DC.5337.01A.01R.1660.07	GTEX.X3Y1.1926.SM.4PQZO	GTEX.QCQG.0526.SM.48U2A
ADARB1	48.52	38.12	75.11	50.63	67.12	53.57	33.54	88.26	31.0	93.35	59.97	39.22	74.06	50.98	72.52	0.0	470.14	1250.98	738.29	651.58	842.36	825.0	866.07	884.29	974.5	1508.65	848.22	780.44	1023.0	785.88	1216.75	947.83	884.29	571.05	599.49	1167.14	583.07	954.43	718.08	1295.13	363.56	813.63	473.41	836.53	392.44	2148.82	947.83	525.39	529.06	642.59	332.14	954.43	1199.98	860.08	387.02	921.88	412.0	660.68	423.61	65.72	63.0	98.04
AGER	63.89	94.01	76.17	171.45	75.11	49.56	172.65	113.56	83.45	131.51	69.52	75.64	52.45	43.32	54.33	0.0	459592.86	502929.67	267651.2	175363.84	355624.68	163620.18	336441.4	181548.07	237899.7	370726.6	191899.64	171754.88	181548.07	200048.85	282912.21	394590.4	313910.86	242898.5	577714.63	269512.87	236256.4	220434.95	286861.53	170568.48	155870.75	153724.82	279017.26	249727.34	290865.98	209994.66	239554.43	253213.41	383800.28	363097.14	236256.4	373305.21	273275.14	482442.34	496005.67	151608.43	180294.02	419990.32	191899.64	60.39	29.06	111.99
AGTR1	0.65	1.64	0.0	1.68	1.3	0.0	0.0	2.46	2.53	2.03	0.0	8.19	8.51	8.13	10.47	0.0	460.44	157.68	62.12	59.97	58.71	1529.73	115.97	166.73	131.51	368.65	356.05	395.18	346.29	119.26	426.57	941.27	514.56	226.54	684.02	318.57	332.14	186.4	126.12	169.07	81.14	204.07	88.88	206.94	211.31	312.0	65.26	165.57	400.71	52.08	80.57	117.6	148.09	221.86	40.07	954.43	156.59	80.57	974.5	1.99	24.81	12.18
ANTXR1	612.11	414.87	195.72	157.68	84.63	110.43	220.32	58.71	102.25	460.44	36.01	36.53	102.25	115.16	55.1	0.0	2209.26	921.88	1447.15	429.54	1936.53	2502.97	1561.89	674.59	2976.74	2335.28	4038.61	612.11	616.37	2537.92	2061.24	4038.61	3325.99	1397.83	4419.52	775.05	536.45	3395.89	1963.57	3349.13	961.07	551.56	1175.27	796.86	854.13	2777.33	3614.55	361.04	2090.03	376.41	2367.9	1794.29	616.37	1674.06	3190.46	423.61	2047.0	2032.85	753.83	277.2	108.9	133.36
ARHGAP28	7.69	15.68	0.4	5.73	9.78	9.56	3.5	5.63	3.41	19.68	3.79	6.41	16.51	16.51	22.1	0.0	100.13	325.29	135.24	57.49	56.68	273.37	49.91	106.63	128.79	417.77	141.02	62.12	119.26	264.03	25.54	429.54	228.13	40.64	79.45	171.45	85.82	119.26	74.06	166.73	31.9	138.1	41.22	158.79	16.39	234.57	281.09	40.93	189.02	195.72	99.43	329.84	215.77	204.07	127.0	76.17	221.86	46.84	50.27	12.64	16.51	68.55
ARHGEF25	220.32	46.84	149.12	37.85	19.97	33.54	68.07	16.51	35.0	93.35	14.67	110.43	126.12	106.63	116.78	0.0	327.56	212.78	392.44	182.55	384.34	384.34	232.94	178.77	612.11	529.06	928.3	162.14	253.23	486.75	221.86	665.29	780.44	253.23	406.31	441.64	381.68	713.11	90.77	571.05	40.93	164.42	68.07	255.0	96.68	318.57	1242.34	117.6	521.76	143.01	301.33	543.96	334.46	379.04	303.44	295.11	466.88	229.72	145.02	84.63	166.73	145.02
ASPA	8.51	6.36	1.03	1.06	2.86	0.69	3.53	0.58	0.92	3.26	3.14	54.72	32.13	84.04	40.07	0.0	138.1	66.18	74.06	47.17	39.5	135.24	66.65	54.72	110.43	164.42	127.0	44.25	149.12	170.25	102.97	186.4	193.01	95.34	171.45	82.87	36.53	175.07	44.89	116.78	23.93	27.84	14.67	33.3	27.25	126.12	226.54	12.0	161.02	24.11	57.49	136.19	65.26	55.1	132.44	53.19	99.43	72.52	39.5	2.2	29.7	102.97
ATP1B2	6.16	9.13	5.54	3.92	4.17	2.76	4.46	5.68	4.31	8.38	3.69	3.17	18.43	11.91	15.34	0.0	211.31	48.52	127.0	21.32	44.57	162.14	130.6	101.54	131.51	175.07	231.32	17.0	57.08	217.27	71.0	152.28	201.25	153.34	217.27	67.59	55.49	204.07	56.68	223.41	26.28	27.64	22.75	45.85	30.56	124.37	214.27	37.85	180.02	59.13	117.6	201.25	44.89	45.85	108.14	23.59	195.72	69.03	45.21	3.32	14.45	23.93
BCAS3	361.04	246.28	215.77	75.11	242.88	232.94	113.56	111.99	85.82	218.79	89.51	126.12	142.01	176.29	126.12	0.0	684.02	575.03	486.75	343.89	429.54	738.29	435.55	473.41	688.78	575.03	921.88	438.59	579.04	723.08	490.14	813.63	759.08	555.41	796.86	633.73	536.45	842.36	314.17	607.87	217.27	325.29	271.48	438.59	204.07	595.34	642.59	400.71	743.43	389.72	466.88	928.3	547.75	470.14	647.07	432.53	423.61	503.95	361.04	126.12	358.54	169.07
C15orf59	4.03	11.13	1.5	1.85	2.1	2.23	8.78	8.71	3.38	20.71	2.14	11.13	25.35	5.06	12.27	0.0	406.31	353.59	90.77	11.64	52.45	269.6	78.89	147.06	579.04	153.34	1583.71	70.01	206.94	376.41	78.89	403.5	429.54	660.68	1051.79	49.21	40.93	435.55	72.01	624.99	17.51	65.26	19.11	103.69	39.79	392.44	480.04	127.89	426.57	438.59	159.9	255.0	253.23	72.52	246.28	32.36	221.86	104.42	81.14	5.73	88.88	27.64
