	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8683.01A.11R.2402.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.145ME.1026.SM.5O9B4
AGK	167.9	195.72	199.85	181.28	218.79	258.57	164.42	126.12	0.0	0.51	529.06	457.25	426.57	387.02	312.0	312.0	291.04	454.09	316.37	351.14	232.94	251.48	303.44	624.99
ATP9A	65.26	130.6	171.45	76.17	186.4	221.86	115.16	47.84	0.0	0.4	1923.14	665.29	497.0	450.94	733.19	351.14	412.0	1794.29	543.96	244.57	412.0	392.44	228.13	1199.98
AXIN2	5.41	15.56	32.13	23.42	30.12	68.55	12.18	2.18	0.0	0.6	934.76	291.04	112.77	253.23	109.66	187.71	353.59	150.17	318.57	187.71	368.65	305.55	224.97	3515.68
C12orf56	20.56	0.57	0.0	0.58	1.01	1.0	0.52	0.0	0.0	0.35	100.13	47.5	5.02	10.79	58.3	0.73	15.8	59.13	4.9	0.69	0.83	0.0	2.94	198.47
C17orf100	11.38	15.45	3.56	17.77	4.78	18.7	13.12	19.11	0.0	0.0	43.63	61.25	30.34	32.82	1.68	24.46	48.87	39.22	31.0	19.25	26.67	0.0	31.9	35.5
CDCA7	2.36	7.17	7.34	6.46	3.63	19.39	1.62	9.41	316.37	473.41	348.71	490.14	612.11	486.75	269.6	316.37	878.17	368.65	301.33	241.19	195.72	157.68	457.25	2104.58
CHRM5	0.0	0.84	0.0	1.38	0.87	0.85	0.0	0.34	0.0	0.0	8.06	27.64	5.68	0.88	1.28	1.33	1.75	5.02	0.0	0.79	0.89	2.92	2.71	6.31
CYP2F1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	41.81	4.94	10.47	0.0	0.0	3.69	3.76	1.19	0.0	1.22	0.0	0.0	10.71
CYP2W1	0.0	0.73	1.58	2.56	0.77	1.22	0.0	0.91	0.0	0.14	2255.7	368.65	13.72	67.12	9.56	169.07	100.83	133.36	11.04	7.51	9.63	9.2	6.94	1191.69
DENND4C	145.02	74.58	86.43	68.07	71.5	176.29	69.03	62.56	189.02	116.78	228.13	293.07	656.11	599.49	260.38	351.14	559.28	336.79	486.75	299.25	389.72	329.84	305.55	1191.69
