	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07
ARID4A	53.95	46.5	60.39	96.01	151.22	183.82	71.0	156.59	248.0	193.01	248.0	61.25	55.49	131.51	133.36	167.9	129.69	115.97	114.36	100.13	143.01	249.73	65.26	177.53	107.38	363.56	98.73	147.06	483.38	301.33	231.32	361.04	507.46	470.14	511.0	435.55	381.68	414.87	314.17	194.36	108.9	78.89	575.03	381.68	130.6	351.14	75.11	57.89	51.35	43.32	54.33	29.91	0.0
ATG10	88.88	106.63	105.15	119.26	143.01	119.26	94.67	140.04	166.73	180.02	135.24	83.45	151.22	155.5	73.03	128.79	142.01	181.28	106.63	92.05	119.26	190.34	104.42	136.19	113.56	151.22	170.25	202.66	232.94	209.84	142.01	221.86	132.44	248.0	198.47	473.41	195.72	158.79	301.33	285.03	191.67	239.52	237.86	173.85	242.88	195.72	49.56	126.12	79.45	114.36	69.52	73.54	65.26
ATG14	84.04	66.65	78.34	195.72	113.56	144.01	105.89	212.78	204.07	186.4	231.32	92.7	94.01	182.55	130.6	185.11	195.72	187.71	105.15	119.26	253.23	262.2	91.41	181.28	89.51	432.53	123.5	137.14	356.05	287.01	249.73	343.89	525.39	361.04	389.72	490.14	299.25	466.88	334.46	269.6	246.28	90.14	366.09	283.05	229.72	334.46	70.51	67.12	64.8	47.17	96.01	37.32	0.0
ATG2B	40.07	36.79	64.34	135.24	144.01	128.79	67.59	181.28	239.52	226.54	187.71	57.89	42.11	187.71	144.01	199.85	130.6	145.02	92.05	57.08	163.28	251.48	57.49	158.79	73.54	363.56	86.43	126.12	371.22	256.78	231.32	283.05	493.56	417.77	423.61	400.71	325.29	325.29	127.0	275.28	181.28	36.01	242.88	327.56	85.22	295.11	75.11	59.55	65.72	82.29	89.51	53.57	0.0
BAZ2B	73.54	30.78	27.44	191.67	287.01	320.8	134.3	264.03	521.76	297.17	583.07	120.1	54.72	314.17	242.88	211.31	178.77	366.09	368.65	99.43	366.09	587.13	94.01	579.04	312.0	836.53	214.27	351.14	909.17	612.11	493.56	633.73	1295.13	967.76	1216.75	819.3	884.29	684.02	575.03	551.56	151.22	147.06	961.07	1096.5	323.03	860.08	49.56	32.13	54.72	46.18	74.06	22.92	0.0
BBS12	35.76	25.72	38.95	76.71	76.71	62.12	44.89	73.54	138.1	100.13	72.01	39.22	52.45	88.26	46.84	119.26	57.08	50.63	58.71	27.25	117.6	111.99	54.33	102.97	73.03	164.42	62.56	91.41	91.41	111.21	123.5	143.01	155.5	175.07	136.19	202.66	241.19	109.66	147.06	121.79	149.12	95.34	281.09	107.38	87.03	182.55	3.66	11.13	2.66	3.63	7.57	4.54	0.0
BOD1L1	156.59	92.7	162.14	316.37	435.55	371.22	204.07	559.28	547.75	429.54	316.37	277.2	193.01	403.5	395.18	320.8	262.2	255.0	323.03	260.38	441.64	547.75	186.4	490.14	234.57	698.41	353.59	412.0	708.18	575.03	500.46	559.28	947.83	629.35	769.69	703.28	616.37	629.35	591.22	733.19	441.64	166.73	651.58	836.53	283.05	642.59	75.64	89.51	66.18	176.29	163.28	31.9	0.0
C1orf101	2.56	6.78	8.65	16.63	14.56	10.16	4.06	31.45	20.26	17.51	6.52	19.68	1.79	16.51	10.39	8.25	9.56	2.48	5.82	12.74	11.55	16.15	3.0	11.82	18.97	26.86	10.63	8.13	50.98	25.54	27.05	43.32	23.76	36.53	73.03	34.51	18.29	28.24	8.32	28.65	6.62	16.63	113.56	35.0	13.72	17.77	3.59	15.56	10.55	4.39	8.32	3.99	0.0
C7orf63	8.38	30.56	81.71	67.12	59.97	16.63	34.26	31.45	226.54	98.73	107.38	17.25	22.59	205.5	34.75	150.17	49.91	9.41	21.16	46.84	128.79	159.9	41.81	27.44	70.51	237.86	75.11	82.87	201.25	221.86	183.82	226.54	387.02	339.14	273.37	316.37	236.21	177.53	206.94	283.05	291.04	52.08	559.28	414.87	120.1	190.34	5.45	25.17	15.45	10.88	78.34	9.85	0.0
C9orf156	177.53	198.47	197.09	403.5	140.04	249.73	155.5	214.27	406.31	339.14	426.57	157.68	105.15	507.46	289.02	341.51	307.69	182.55	129.69	172.65	403.5	406.31	199.85	218.79	348.71	429.54	312.0	316.37	429.54	447.82	400.71	463.65	543.96	279.14	466.88	500.46	334.46	376.41	358.54	551.56	358.54	507.46	332.14	559.28	599.49	493.56	178.77	212.78	136.19	119.26	155.5	100.83	0.0
CARF	13.52	15.8	26.67	72.52	84.63	58.71	25.72	72.52	127.89	77.25	72.01	43.94	24.81	69.52	37.05	57.08	41.22	59.13	41.22	45.53	98.04	123.5	23.42	77.79	49.91	190.34	51.71	60.39	256.78	151.22	139.07	204.07	255.0	258.57	269.6	224.97	212.78	236.21	169.07	178.77	43.63	42.41	202.66	170.25	131.51	190.34	14.14	10.08	15.34	10.79	16.75	9.13	0.0
CCDC148	2.25	6.52	11.73	19.39	69.03	11.47	54.72	14.78	24.46	36.01	82.29	13.03	6.94	33.78	28.86	16.03	10.39	5.68	19.11	13.72	80.01	76.71	9.93	20.41	21.63	56.68	37.59	33.3	59.55	60.82	78.89	55.49	77.79	96.01	100.13	74.06	49.21	70.51	67.59	97.36	39.79	44.25	50.98	107.38	50.98	59.55	3.35	1.97	2.34	7.11	12.74	0.67	0.0
CCL28	41.52	11.38	81.14	748.61	297.17	90.77	117.6	54.33	155.5	507.46	384.34	2384.37	158.79	728.11	102.97	145.02	127.89	75.64	133.36	275.28	2163.77	1088.92	967.76	3303.0	100.13	3467.27	2609.3	2664.15	5791.62	3443.31	2835.7	3395.89	7485.11	7230.1	2240.11	7280.4	6426.31	2319.15	5913.33	981.29	1540.37	3103.19	4066.71	3212.66	1397.83	3039.3	4.46	49.21	45.85	52.45	73.54	20.71	0.0
CCNT1	85.22	65.26	141.02	166.73	217.27	127.89	130.6	253.23	295.11	246.28	397.93	108.14	83.45	265.87	181.28	275.28	128.79	132.44	130.6	102.25	253.23	323.03	96.01	190.34	121.79	426.57	152.28	157.68	595.34	314.17	305.55	414.87	493.56	264.03	323.03	371.22	316.37	314.17	490.14	325.29	163.28	85.82	320.8	307.69	140.04	363.56	59.97	66.65	56.68	87.65	52.45	38.67	0.0
