	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.E2.A14Y.01A.21R.A12D.07	TCGA.B6.A1KN.01A.11R.A13Q.07	TCGA.OL.A5RZ.01A.11R.A28M.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.BH.A1EV.01A.11R.A137.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A2.A1G1.01A.21R.A13Q.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E2.A1B0.01A.11R.A12P.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DI.A2QT.01A.12R.A19W.07
ABCA1	154.42	115.97	120.1	57.89	177.53	108.14	124.37	156.59	133.36	81.71	136.19	41.81	165.57	271.48	40.36	55.49	105.15	132.44	52.45
AC008267.1	0.0	0.0	0.0	0.0	0.36	1.06	0.0	1.39	1.33	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0
AGO1	72.52	98.04	144.01	74.58	267.73	187.71	112.77	246.28	246.28	220.32	169.07	116.78	244.57	258.57	63.89	63.45	44.25	41.52	42.11
AL139147.1	2.68	0.66	5.73	0.0	7.28	5.96	1.77	10.0	8.25	2.07	3.96	2.05	6.06	1.13	4.74	0.0	0.0	0.0	0.0
ALKBH8	58.71	72.01	93.35	21.78	145.02	82.87	67.59	127.0	96.68	64.34	73.03	63.0	122.64	189.02	101.54	44.57	33.3	20.11	9.93
AREL1	361.04	325.29	299.25	211.31	500.46	387.02	400.71	438.59	403.5	299.25	312.0	215.77	307.69	379.04	98.04	134.3	165.57	108.9	197.09
ARID1B	265.87	417.77	297.17	490.14	555.41	473.41	438.59	591.22	567.1	529.06	483.38	275.28	366.09	718.08	264.03	108.14	73.54	64.8	185.11
ATAD1	371.22	769.69	941.27	373.81	1037.29	733.19	647.07	909.17	854.13	612.11	476.71	507.46	748.61	1216.75	607.87	371.22	366.09	297.17	500.46
ATP6V0A2	124.37	148.09	291.04	62.56	303.44	139.07	205.5	409.15	363.56	129.69	199.85	90.14	246.28	285.03	57.08	79.45	81.14	52.82	93.35
ATRX	214.27	195.72	265.87	189.02	665.29	444.72	277.2	674.59	583.07	366.09	409.15	285.03	559.28	902.89	193.01	75.64	33.54	27.25	89.51
