	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.A2.A0YG.01A.21R.A109.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CK.4952.01A.01R.1723.07	TCGA.CM.6171.01A.11R.1653.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XBED.1726.SM.47JYO	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.AK.3447.01A.01R.1766.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.11NV4.1326.SM.5HL6V	GTEX.11NUK.1226.SM.5P9GM	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6882.01A.11R.1928.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	GTEX.Y5V6.2226.SM.4VDTC	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.RD.A7BT.01A.11R.A33Y.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WFG8.1326.SM.4LVN3	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y5LM.1326.SM.5RQIS	GTEX.OHPK.1526.SM.3MJGM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.Y3IK.1426.SM.4YCES	GTEX.QDVN.1226.SM.48TZ5
RFC3	91.41	69.03	470.14	432.53	476.71	353.59	98.73	120.94	144.01	460.44	518.15	293.07	231.32	341.51	353.59	480.04	454.09	133.36	236.21	297.17	575.03	503.95	293.07	738.29	429.54	915.51	209.84	236.21	43.02	56.68	48.87	68.07	58.3	66.18	209.84	94.01	80.01	48.87	64.8	44.25	45.21	91.41	43.63	59.97	0.25	379.04	112.77	197.09	279.14	183.82	251.48	293.07	728.11	248.0	142.01	718.08	1233.75	500.46	212.78	693.58	723.08	389.72	738.29	363.56	289.02	457.25	679.29	567.1	334.46	267.73	141.02	409.15	153.34	180.02	137.14	293.07	341.51	98.73
RRP1B	234.57	256.78	507.46	551.56	490.14	214.27	211.31	236.21	356.05	303.44	239.52	406.31	463.65	363.56	371.22	366.09	341.51	244.57	256.78	253.23	521.76	327.56	224.97	291.04	273.37	361.04	202.66	242.88	16.63	112.77	64.34	172.65	162.14	158.79	76.17	135.24	96.68	166.73	231.32	144.01	155.5	177.53	125.24	88.88	218.79	435.55	341.51	329.84	285.03	224.97	269.6	327.56	447.82	320.8	190.34	312.0	403.5	460.44	199.85	316.37	387.02	334.46	361.04	563.18	289.02	186.4	420.68	400.71	441.64	248.0	220.32	214.27	387.02	269.6	231.32	180.02	144.01	193.01
SASS6	49.21	39.79	76.71	61.68	94.67	44.25	24.63	42.41	59.97	127.0	122.64	85.22	58.71	44.25	97.36	127.0	125.24	66.65	45.53	62.12	176.29	131.51	82.87	135.24	122.64	109.66	63.89	65.26	4.62	22.43	13.62	21.78	11.91	13.42	26.47	20.26	10.31	18.03	4.98	11.13	10.96	14.67	14.24	2.16	0.27	177.53	61.68	27.84	34.75	69.03	69.52	162.14	128.79	57.49	41.52	273.37	96.01	120.1	38.95	109.66	145.02	85.22	155.5	107.38	98.04	52.82	119.26	167.9	69.03	56.28	45.53	89.51	56.68	52.45	41.81	80.57	92.7	38.4
SMC2	138.1	43.02	258.57	332.14	595.34	373.81	124.37	62.12	165.57	255.0	307.69	201.25	127.89	163.28	218.79	314.17	327.56	158.79	148.09	114.36	314.17	248.0	239.52	271.48	271.48	336.79	154.42	122.64	48.18	35.0	43.63	24.46	31.45	29.27	115.97	49.91	41.81	26.1	15.45	33.3	35.0	20.71	13.42	25.54	0.15	507.46	134.3	166.73	220.32	180.02	158.79	329.84	540.19	132.44	59.97	454.09	281.09	466.88	106.63	629.35	420.68	178.77	339.14	348.71	295.11	130.6	149.12	583.07	204.07	189.02	102.25	256.78	91.41	161.02	135.24	275.28	339.14	104.42
STIL	109.66	22.75	169.07	141.02	193.01	130.6	75.64	23.25	16.27	163.28	323.03	75.11	113.56	18.97	351.14	285.03	273.37	56.68	61.25	45.53	1104.13	426.57	117.6	503.95	297.17	100.13	37.32	48.87	1.55	12.0	14.03	12.74	12.09	7.28	23.42	12.93	14.89	3.06	2.58	3.53	6.36	4.86	1.39	0.19	0.2	878.17	94.67	64.34	40.07	49.21	73.03	395.18	387.02	118.43	29.06	563.18	157.68	237.86	46.18	1259.69	429.54	170.25	343.89	309.83	373.81	54.33	150.17	753.83	267.73	88.26	71.5	189.02	33.78	62.12	61.68	127.89	156.59	57.49
SUV39H2	191.67	98.04	376.41	633.73	255.0	146.03	98.04	86.43	95.34	142.01	190.34	195.72	130.6	171.45	173.85	314.17	177.53	111.99	108.14	103.69	249.73	178.77	138.1	226.54	236.21	138.1	98.04	108.9	68.55	13.52	46.18	72.01	81.14	84.04	155.5	88.88	75.64	52.82	38.67	43.94	45.85	36.27	26.47	26.86	0.33	277.2	90.14	93.35	106.63	96.68	148.09	186.4	371.22	92.05	104.42	307.69	381.68	361.04	94.67	329.84	507.46	323.03	460.44	234.57	187.71	88.88	150.17	775.05	125.24	316.37	49.56	128.79	178.77	112.77	193.01	114.36	133.36	118.43
TOPBP1	358.54	178.77	503.95	591.22	764.36	392.44	121.79	189.02	226.54	571.05	497.0	295.11	373.81	381.68	397.93	638.15	595.34	400.71	343.89	289.02	825.0	665.29	612.11	967.76	551.56	603.67	361.04	403.5	53.19	86.43	128.79	109.66	114.36	105.89	229.72	131.51	133.36	80.57	41.22	76.71	95.34	124.37	186.4	57.49	0.96	638.15	265.87	237.86	197.09	285.03	339.14	620.67	660.68	392.44	267.73	884.29	674.59	866.07	287.01	728.11	872.1	511.0	1030.12	718.08	651.58	307.69	444.72	559.28	256.78	277.2	314.17	312.0	312.0	334.46	277.2	507.46	429.54	273.37
URB2	52.45	81.71	178.77	356.05	131.51	42.71	57.49	37.05	60.82	116.78	74.58	124.37	102.97	232.94	104.42	187.71	140.04	68.55	77.25	62.56	123.5	109.66	111.21	120.94	158.79	183.82	79.45	122.64	10.31	24.81	38.4	65.72	57.89	43.32	57.49	45.85	55.1	19.53	23.25	24.81	55.89	26.1	15.0	13.72	0.0	224.97	108.14	93.35	58.3	73.03	55.89	107.38	157.68	111.21	58.71	148.09	204.07	171.45	58.3	246.28	318.57	127.0	123.5	218.79	147.06	77.79	126.12	208.38	152.28	94.01	48.18	68.55	103.69	64.34	64.34	69.03	38.67	48.52
USP1	435.55	181.28	397.93	607.87	583.07	356.05	309.83	334.46	500.46	476.71	624.99	507.46	395.18	283.05	490.14	825.0	728.11	497.0	395.18	441.64	547.75	457.25	547.75	599.49	571.05	486.75	463.65	237.86	185.11	99.43	120.1	151.22	136.19	121.79	206.94	185.11	137.14	94.01	48.52	127.89	102.97	100.83	102.97	121.79	0.51	921.88	368.65	476.71	470.14	518.15	248.0	536.45	559.28	283.05	244.57	802.41	406.31	607.87	194.36	409.15	679.29	323.03	473.41	518.15	571.05	234.57	303.44	866.07	323.03	351.14	204.07	435.55	334.46	379.04	307.69	384.34	417.77	205.5
WDHD1	88.88	39.22	242.88	141.02	229.72	187.71	100.83	18.29	39.5	124.37	164.42	150.17	38.95	74.58	118.43	239.52	162.14	41.52	69.52	76.17	162.14	102.25	100.83	497.0	103.69	147.06	68.07	42.41	9.13	39.22	18.43	10.79	16.63	15.11	17.25	23.08	23.42	12.93	3.79	7.17	6.84	5.82	3.79	2.94	0.34	215.77	37.59	106.63	91.41	104.42	59.97	100.13	129.69	63.89	40.07	279.14	133.36	224.97	32.59	175.07	368.65	107.38	166.73	189.02	85.82	38.12	92.05	177.53	63.45	69.52	54.33	113.56	54.72	52.82	42.41	104.42	115.97	30.12
XPO1	1447.15	1191.69	4736.79	1794.29	2148.82	1277.29	1104.13	1111.82	1104.13	1378.57	2032.85	1151.06	1277.29	1477.58	1508.65	1674.06	1936.53	961.07	1030.12	1794.29	2591.27	2895.31	2502.97	2682.69	1685.71	2148.82	1605.83	1277.29	363.56	473.41	769.69	848.22	583.07	518.15	1143.1	848.22	536.45	497.0	301.33	503.95	490.14	679.29	583.07	371.22	162.14	2573.36	1104.13	759.08	1059.11	1119.56	961.07	1519.15	1674.06	934.76	1066.48	3419.52	1757.34	1769.57	540.19	3847.29	3039.3	2163.77	2758.13	2451.44	1950.0	693.58	1819.35	2090.03	1088.92	808.0	928.3	1135.2	836.53	842.36	629.35	896.64	1331.57	802.41
ZNF184	80.57	145.02	145.02	148.09	229.72	102.97	132.44	151.22	169.07	100.13	71.0	105.89	118.43	88.88	93.35	426.57	204.07	60.82	37.32	87.65	74.58	104.42	48.18	111.99	69.03	85.22	83.45	63.0	14.24	57.08	57.08	28.86	24.63	31.0	55.89	41.22	43.02	28.45	9.27	27.05	25.35	35.76	24.28	21.16	0.06	147.06	90.77	93.35	66.18	122.64	40.64	52.45	102.25	56.68	57.89	97.36	162.14	116.78	52.82	194.36	145.02	85.82	100.13	156.59	64.34	43.32	82.29	81.14	48.18	63.45	58.3	71.5	67.12	71.5	75.64	85.82	141.02	82.87
ZW10	164.42	186.4	277.2	281.09	332.14	275.28	289.02	130.6	185.11	134.3	156.59	246.28	241.19	148.09	237.86	303.44	283.05	199.85	226.54	221.86	138.1	293.07	123.5	334.46	115.97	281.09	183.82	223.41	43.63	88.26	114.36	138.1	120.94	104.42	180.02	159.9	185.11	108.9	114.36	143.01	98.73	130.6	94.01	82.29	0.16	341.51	303.44	285.03	244.57	327.56	80.57	170.25	336.79	199.85	173.85	314.17	426.57	175.07	144.01	191.67	454.09	258.57	297.17	318.57	204.07	223.41	218.79	366.09	241.19	190.34	191.67	316.37	246.28	262.2	186.4	223.41	271.48	170.25
