	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.AK.3425.01A.02R.1277.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.A3.3319.01A.02R.1325.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4176.01A.02R.1289.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13113.1326.SM.5GCOI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AAR2	395.18	679.29	791.35	785.88	660.68	813.63	941.27	665.29	684.02	669.92	733.19	703.28	688.78	708.18	607.87	599.49	642.59	878.17	503.95	470.14	500.46	507.46	728.11	441.64	483.38	708.18	514.56	403.5	583.07	559.28	595.34	669.92	514.56	518.15	769.69	435.55	358.54	612.11	395.18	273.37	532.74	563.18	490.14	125.24
ABCB6	928.3	1508.65	1561.89	825.0	642.59	1397.83	2047.0	629.35	1561.89	1674.06	2720.15	1583.71	1832.01	1081.39	1457.23	1037.29	830.75	2119.22	1127.35	738.29	460.44	480.04	1030.12	525.39	934.76	417.77	1051.79	941.27	884.29	460.44	1540.37	934.76	1037.29	802.41	2163.77	389.72	624.99	1540.37	1191.69	271.48	629.35	1397.83	0.0	0.92
ABHD12	480.04	2075.59	2255.7	2319.15	1781.89	1617.0	2400.97	1697.45	1208.34	1104.13	2090.03	1769.57	854.13	2061.24	1167.14	2209.26	2573.36	2555.58	629.35	412.0	497.0	551.56	775.05	361.04	860.08	693.58	665.29	493.56	575.03	620.67	532.74	547.75	819.3	426.57	1051.79	417.77	748.61	633.73	476.71	483.38	961.07	444.72	0.0	0.53
AC024940.1	0.0	6.16	1.46	2.76	5.36	3.89	4.66	3.03	6.62	1.16	2.81	0.75	3.41	2.58	0.73	4.58	2.92	2.16	0.58	1.04	1.73	0.47	4.82	0.99	1.01	0.93	1.04	0.0	0.0	0.0	0.88	0.47	0.0	0.0	0.0	0.96	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0
AGTRAP	329.84	2664.15	3280.18	1819.35	3419.52	1757.34	2335.28	2627.46	1794.29	1268.46	1806.78	1896.65	2133.97	1674.06	2682.69	2555.58	1183.45	1331.57	493.56	348.71	486.75	688.78	1143.1	500.46	500.46	497.0	253.23	403.5	511.0	536.45	620.67	251.48	239.52	400.71	450.94	244.57	291.04	361.04	447.82	264.03	587.13	466.88	2758.13	463.65
ALG1	432.53	567.1	1051.79	395.18	896.64	642.59	1104.13	642.59	684.02	567.1	1001.93	607.87	848.22	688.78	723.08	669.92	483.38	1277.29	503.95	361.04	423.61	429.54	738.29	583.07	555.41	397.93	587.13	387.02	497.0	733.19	518.15	688.78	647.07	500.46	647.07	358.54	387.02	638.15	567.1	348.71	679.29	521.76	0.0	0.0
APEX2	186.4	228.13	397.93	387.02	400.71	332.14	417.77	312.0	329.84	275.28	567.1	309.83	376.41	426.57	316.37	273.37	323.03	438.59	199.85	185.11	497.0	228.13	323.03	251.48	218.79	244.57	318.57	273.37	194.36	466.88	234.57	307.69	214.27	198.47	356.05	198.47	223.41	287.01	208.38	197.09	187.71	217.27	547.75	339.14
ARL1	1151.06	2645.74	2915.45	3168.41	2682.69	2303.12	2591.27	2816.11	3212.66	2163.77	1572.76	2090.03	5594.3	2855.44	2032.85	2627.46	2855.44	1819.35	884.29	733.19	1277.29	954.43	1733.13	1781.89	974.5	791.35	1427.22	728.11	915.51	1662.49	1143.1	1059.11	1037.29	1225.22	1111.82	866.07	1199.98	1467.37	1572.76	775.05	947.83	995.0	0.0	0.47
ARL2BP	409.15	1769.57	3018.3	1844.76	2018.8	2018.8	3168.41	1870.53	2090.03	2573.36	2075.59	1457.23	2061.24	2664.15	2287.2	1639.59	1923.14	2271.4	490.14	351.14	368.65	521.76	921.88	532.74	674.59	466.88	457.25	521.76	547.75	220.32	371.22	356.05	493.56	348.71	651.58	486.75	312.0	559.28	262.2	169.07	647.07	507.46	0.0	0.16
ARMCX6	318.57	743.43	1697.45	878.17	825.0	902.89	1407.55	961.07	1023.0	703.28	1008.9	1051.79	1183.45	1143.1	1008.9	1001.93	1023.0	1709.26	303.44	176.29	327.56	1832.01	1135.2	669.92	176.29	1015.93	102.25	215.77	599.49	1369.04	1023.0	244.57	384.34	265.87	218.79	384.34	59.55	198.47	281.09	249.73	480.04	466.88	0.0	0.69
ARPC1B	1457.23	4181.07	12415.75	5076.84	10225.32	6079.61	10440.2	10296.45	6037.61	16611.71	8305.36	6935.54	8598.28	4512.4	7180.15	6887.62	5751.61	4575.41	1832.01	1015.93	2816.11	3589.58	5366.37	3443.31	4769.75	2018.8	2240.11	2645.74	2502.97	4181.07	4607.24	2061.24	2119.22	2004.85	2384.37	1794.29	1685.71	1794.29	1605.83	909.17	3768.09	2976.74	0.0	0.87
ARPC3	4010.71	8718.32	17804.06	9344.14	11424.74	9945.68	10014.87	11112.3	10296.45	9344.14	9215.48	9945.68	13033.07	9540.5	14663.09	9215.48	9279.58	8598.28	3349.13	2758.13	4239.45	5329.3	5441.3	5112.16	4419.52	3982.99	4095.0	4802.93	4450.27	5872.48	7803.01	3349.13	3955.48	4512.4	4328.55	4639.29	3614.55	3955.48	3794.3	3303.0	6792.79	5255.91	0.0	1.04
ATP5B	10959.3	12076.21	14663.09	13776.25	15934.98	15607.02	16157.44	16383.0	16611.71	14361.31	14663.09	11827.67	17681.08	14867.79	10014.87	22072.07	14971.21	13215.02	12853.63	12076.21	13215.02	8963.45	14461.21	9673.69	17558.94	12076.21	13123.73	19892.37	11345.82	10014.87	11745.96	10512.82	13492.72	12160.22	14163.58	15285.81	10296.45	13215.02	11267.44	11909.94	13968.57	8840.04	0.0	1.43
ATRAID	1733.13	4903.87	7803.01	4358.66	4239.45	4575.41	6164.49	7032.37	4181.07	7230.1	6887.62	4328.55	4298.64	5219.6	7857.29	5329.3	5479.15	4095.0	1674.06	1477.58	1519.15	2739.08	2417.67	2090.03	2133.97	2061.24	1427.22	2209.26	2075.59	1388.16	2119.22	1407.55	1639.59	1794.29	1883.54	2163.77	2537.92	1697.45	2075.59	2319.15	2384.37	2209.26	0.0	0.95
B9D2	80.01	633.73	728.11	607.87	567.1	521.76	723.08	493.56	417.77	435.55	780.44	341.51	473.41	547.75	669.92	420.68	384.34	463.65	96.01	78.34	108.14	134.3	137.14	121.79	67.59	79.45	98.73	135.24	152.28	84.04	229.72	53.19	64.34	95.34	54.33	115.16	127.0	44.57	126.12	80.57	127.0	123.5	0.0	0.0
BCAP31	3794.3	4481.23	11745.96	8191.0	6792.79	7180.15	6935.54	6983.79	6699.25	5403.7	8363.13	5147.73	6037.61	6887.62	7485.11	7331.05	7130.55	11584.24	4328.55	3467.27	3716.2	5219.6	4869.99	2835.7	7230.1	4038.61	4769.75	3168.41	4704.07	4152.18	5791.62	5041.77	5872.48	5112.16	6121.9	3349.13	3443.31	6294.04	4152.18	5329.3	7695.57	4239.45	0.0	1.04
BCAS4	26.47	447.82	493.56	518.15	223.41	131.51	366.09	237.86	142.01	90.14	275.28	483.38	395.18	314.17	248.0	371.22	327.56	376.41	7.17	7.11	19.97	52.45	19.25	67.59	22.26	66.18	1.83	21.16	34.51	6.57	35.5	1.62	0.84	10.96	22.43	26.67	13.32	3.44	24.11	7.57	45.85	21.78	0.0	0.28
BUB1	12.45	81.71	182.55	106.63	70.51	73.54	76.71	58.71	40.93	115.16	130.6	145.02	172.65	81.14	61.68	88.26	44.25	47.84	3.41	0.55	8.06	38.95	10.96	21.01	9.78	16.88	2.78	2.29	19.82	8.85	12.45	3.66	12.74	6.57	4.43	3.11	1.06	1.57	0.48	0.0	3.14	7.4	0.0	0.01
C12orf23	642.59	1030.12	1216.75	1529.73	1119.56	1008.9	1617.0	896.64	1151.06	819.3	909.17	947.83	2163.77	1073.91	785.88	884.29	995.0	902.89	693.58	769.69	967.76	438.59	1119.56	733.19	384.34	241.19	878.17	397.93	351.14	500.46	532.74	607.87	470.14	412.0	376.41	872.1	438.59	532.74	551.56	406.31	447.82	507.46	738.29	457.25
C12orf52	395.18	571.05	493.56	728.11	555.41	587.13	785.88	633.73	460.44	514.56	713.11	483.38	743.43	483.38	460.44	674.59	423.61	514.56	412.0	620.67	209.84	341.51	353.59	339.14	703.28	438.59	463.65	339.14	708.18	480.04	285.03	540.19	414.87	341.51	571.05	423.61	503.95	507.46	463.65	759.08	423.61	547.75	0.0	0.0
C12orf61	5.96	24.81	18.43	11.04	44.89	17.25	35.25	12.93	42.71	17.77	67.59	21.32	31.0	11.55	24.63	20.41	14.67	6.52	5.06	6.16	7.4	6.06	11.73	15.0	7.34	11.38	4.58	11.38	1.04	9.41	3.35	16.03	16.75	9.48	12.74	9.34	10.16	11.21	9.78	5.28	5.41	7.22	0.0	0.0
C12orf73	106.63	395.18	346.29	493.56	291.04	201.25	289.02	303.44	214.27	202.66	283.05	409.15	470.14	291.04	511.0	387.02	353.59	232.94	105.15	106.63	87.65	96.01	130.6	126.12	146.03	102.97	89.51	161.02	124.37	89.51	87.03	98.73	90.14	55.49	131.51	116.78	215.77	45.85	149.12	87.65	61.25	144.01	0.0	0.49
