	GTEX.RWS6.1926.SM.47JXY	GTEX.13O3O.2526.SM.5L3DR	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	GTEX.ZXG5.0826.SM.5GID6	GTEX.XMD2.1026.SM.4WWE8	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZH.0526.SM.3DB75	GTEX.Q2AH.0426.SM.2I3EP	GTEX.OXRK.0926.SM.2HMKP	TCGA.43.7657.11A.01R.2125.07
ADAM33	612.11	921.88	101.54	5.77	2.71	3.66	1.23	3.03	49.91	4.82	24.28	2.78	3.17	2.58	1.81	4.58	6.78	2.66	12.64	8.45	10.16	43.94	5.87	42.11	4.94	1.57	0.65	41.22	0.74	8.06	20.41	11.55	3.32	5.36	12.55	3.96	10.24	1.27	0.93	3.82	915.51	368.65	281.09	591.22	248.0	101.54	151.22	76.71
APOE	5219.6	43537.38	267651.2	338781.54	324980.94	378516.38	260332.24	524287.0	118949.35	309589.14	687022.54	593956.43	450134.56	267651.2	200048.85	345900.08	462789.59	502929.67	290865.98	513497.31	466008.55	863596.77	440870.9	520665.48	1078054.48	696613.03	726195.27	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	783730.52	2636147.11	964885.69	1442359.14	619179.28	517068.97	450134.56	4972.34	4903.87	35118.87	12415.75	17437.64	5329.3	12160.22	9876.98
ASIC2	4.86	15.11	2.48	1.03	0.79	0.34	0.0	0.0	4.13	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.38	2.51	0.72	0.0	4.7	0.0	3.26	10.16	0.0	0.75	0.73	0.0	1.73	0.0	2.46	0.75	2.1	0.0	0.0	0.0	0.0	0.0	0.0	2.16	4.78	3.82	2.18	1.39	6.21	1.55	4.13
B3GALT2	7.88	80.57	7.4	1.75	2.01	0.77	0.38	1.45	32.82	0.0	162.14	0.46	0.42	0.0	0.0	1.46	0.73	1.22	25.72	3.0	4.5	6.84	3.92	43.32	2.16	0.06	8.99	8.38	4.28	0.61	4.82	0.0	11.47	27.64	5.63	0.71	1.95	3.44	1.48	2.48	144.01	14.67	92.7	98.73	73.54	12.18	148.09	44.57
CCDC8	633.73	115.97	110.43	2.56	3.69	1.57	0.0	2.92	45.21	0.84	133.36	1.81	2.36	2.76	0.44	2.94	1.5	2.86	186.4	12.27	13.12	31.22	3.26	48.87	37.32	9.85	9.2	24.46	5.5	15.91	8.13	21.94	11.3	24.81	13.83	19.25	6.46	1.03	8.19	2.56	423.61	163.28	518.15	454.09	264.03	836.53	129.69	264.03
CD226	78.89	126.12	37.85	1.45	7.0	4.24	3.56	2.16	64.34	1.14	21.63	3.35	1.55	1.2	0.39	10.39	1.1	0.0	75.11	41.52	22.59	94.67	16.27	34.51	27.64	26.67	43.32	29.7	31.0	17.77	76.17	5.73	26.86	53.57	16.27	10.96	10.08	20.41	8.51	40.64	18.84	48.18	149.12	38.12	44.89	123.5	120.1	51.71
CDH3	738.29	61.68	289.02	1.51	0.0	2.61	0.0	5.87	16.51	1.57	30.12	5.36	2.71	1.27	0.0	0.0	2.84	1.31	20.71	1.71	0.21	0.22	6.26	2.94	0.0	0.1	8.51	2.78	1.48	0.09	2.63	9.13	2.94	0.22	16.39	0.85	8.19	0.0	0.53	1.38	139.07	47.5	551.56	120.94	79.45	267.73	256.78	214.27
CNTN4	163.28	409.15	47.17	5.23	30.78	2.84	0.0	2.05	47.17	4.7	312.0	6.21	19.82	4.54	7.63	11.21	5.87	10.47	72.52	65.72	26.86	129.69	17.0	53.95	139.07	59.55	50.63	91.41	26.67	63.89	33.3	72.01	26.47	38.4	28.86	65.72	39.5	38.12	14.35	23.25	334.46	141.02	68.55	356.05	246.28	105.15	182.55	101.54
COL14A1	1950.0	2739.08	780.44	34.51	37.32	11.3	0.0	21.16	934.76	6.21	1183.45	42.11	7.57	23.93	3.26	49.56	26.47	18.56	1936.53	414.87	44.25	743.43	127.89	301.33	371.22	81.14	571.05	529.06	43.02	165.57	409.15	118.43	358.54	470.14	171.45	206.94	115.97	35.25	27.84	96.01	1143.1	325.29	1519.15	1322.37	575.03	1088.92	493.56	1242.34
COL8A2	555.41	106.63	253.23	1.33	1.07	2.12	0.89	3.2	69.03	0.0	20.11	2.86	1.0	1.43	0.91	2.25	1.31	1.48	91.41	26.28	6.57	44.25	5.5	86.43	14.89	5.45	7.17	35.25	1.83	19.25	11.55	7.88	17.9	20.86	27.05	13.62	7.82	4.06	1.66	8.51	406.31	90.77	157.68	432.53	183.82	279.14	389.72	175.07
