	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11ZTS.1526.SM.5N9G7	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.11DYG.1426.SM.5A5JR	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.V1.A9ZI.01A.11R.A41O.07	TCGA.J9.A8CK.01A.11R.A352.07	GTEX.111CU.1526.SM.5N9FS	GTEX.S95S.1026.SM.4B64M	TCGA.AG.3732.11A.01R.1660.07
AHNAK	5041.77	5183.54	13123.73	3372.43	6745.86	10659.59	5219.6	212.78	1143.1	2061.24	2520.38	1551.09	12076.21
AMOTL1	1242.34	1143.1	2915.45	403.5	1697.45	2178.83	981.29	105.15	351.14	406.31	693.58	246.28	2193.99
ANGPTL1	679.29	2163.77	4066.71	327.56	1594.73	3146.52	872.1	3.35	32.82	60.39	325.29	123.5	2209.26
BMP3	42.41	351.14	432.53	82.29	96.01	429.54	90.77	0.0	2.56	6.57	0.0	9.41	473.41
C22orf23	269.6	122.64	1447.15	115.97	57.49	169.07	214.27	38.95	40.36	58.71	136.19	105.89	551.56
CAMK2G	1936.53	4010.71	12853.63	1628.26	6935.54	10368.08	2075.59	189.02	283.05	476.71	915.51	995.0	6745.86
CCDC69	3491.39	4937.99	14262.1	2303.12	9808.75	16611.71	3419.52	28.65	181.28	269.6	1159.07	591.22	7911.95
CCSER2	642.59	547.75	1242.34	435.55	579.04	974.5	728.11	58.71	204.07	165.57	423.61	356.05	1096.5
CSRP1	244588.0	311742.51	1645391.11	45386.27	428815.23	938500.81	66449.85	2319.15	8022.41	18950.18	43840.21	44761.41	220434.95
DLG4	532.74	595.34	785.88	511.0	624.99	718.08	532.74	111.99	163.28	281.09	412.0	384.34	656.11
DMD	723.08	1191.69	2935.74	642.59	1143.1	1697.45	1088.92	72.52	102.25	166.73	417.77	358.54	2434.5
