	TCGA.CF.A1HR.01A.11R.A13Y.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.C5.A7CO.01A.11R.A352.07	TCGA.ZJ.A8QO.01A.11R.A37O.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.CR.6467.01A.11R.1873.07	TCGA.BB.4223.01A.01R.1436.07	TCGA.DQ.7595.01A.11R.2232.07	TCGA.CR.5243.01A.01R.1514.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.132NY.0926.SM.5P9G3	TCGA.62.A471.01A.12R.A24H.07	TCGA.33.6737.01A.11R.1820.07
AC119673.1	341.51	69.52	486.75	540.19	1250.98	743.43	1183.45	830.75	825.0	1001.93	0.0	39.79	191.67	356.05	194.36
ACAP2	376.41	884.29	379.04	371.22	587.13	860.08	591.22	1127.35	698.41	915.51	105.15	60.82	79.45	129.69	169.07
ANKRD29	8.65	99.43	633.73	332.14	848.22	406.31	412.0	902.89	176.29	669.92	36.79	25.54	4.98	108.9	116.78
ARHGEF19	454.09	974.5	954.43	1143.1	1467.37	1378.57	1551.09	1561.89	1857.6	1605.83	29.27	58.3	67.59	194.36	202.66
ARL6IP6	368.65	607.87	486.75	642.59	934.76	483.38	854.13	954.43	848.22	642.59	127.89	85.22	67.59	202.66	269.6
BCL11A	98.73	3716.2	3235.01	713.11	764.36	409.15	660.68	638.15	536.45	718.08	8.65	27.44	12.09	14.14	20.86
BCL2	92.05	19.97	55.49	72.52	392.44	532.74	420.68	587.13	92.7	189.02	15.91	11.04	7.88	15.0	23.93
BTG3	420.68	1977.24	1572.76	1359.57	1709.26	995.0	1923.14	884.29	836.53	1175.27	205.5	211.31	110.43	785.88	718.08
C21orf91	32.13	217.27	87.65	218.79	490.14	348.71	277.2	343.89	199.85	500.46	139.07	110.43	61.25	57.49	55.89
C2CD5	249.73	204.07	358.54	346.29	420.68	775.05	473.41	642.59	387.02	884.29	157.68	113.56	39.5	387.02	193.01
CBFA2T2	144.01	236.21	166.73	260.38	287.01	718.08	579.04	802.41	269.6	1111.82	47.84	50.63	64.34	165.57	146.03
CCNT1	77.25	149.12	140.04	162.14	205.5	366.09	299.25	397.93	197.09	224.97	85.22	47.5	75.64	164.42	189.02
CEP97	56.68	20.26	18.29	52.45	156.59	182.55	152.28	114.36	89.51	128.79	16.03	13.83	12.74	40.64	40.36
CHERP	500.46	389.72	387.02	688.78	780.44	981.29	1066.48	974.5	624.99	791.35	332.14	327.56	387.02	607.87	500.46
CLEC16A	303.44	368.65	277.2	198.47	518.15	457.25	346.29	323.03	341.51	441.64	154.42	214.27	130.6	199.85	177.53
CLSTN1	1407.55	3690.52	4639.29	4481.23	5594.3	4298.64	4095.0	3847.29	5219.6	6745.86	320.8	297.17	241.19	1709.26	1030.12
CNOT6	229.72	414.87	320.8	299.25	371.22	466.88	384.34	490.14	295.11	647.07	69.03	38.4	40.36	209.84	201.25
CSRP2	217.27	866.07	2271.4	2997.45	2997.45	1378.57	2835.7	1870.53	1498.22	3928.15	575.03	507.46	1605.83	612.11	409.15
CYB5RL	28.86	26.28	19.68	109.66	104.42	88.26	101.54	109.66	72.52	130.6	24.28	26.86	38.4	34.26	46.5
DCAF15	423.61	1059.11	1008.9	1066.48	974.5	1167.14	1447.15	1059.11	543.96	808.0	224.97	171.45	217.27	595.34	563.18
DSC3	7.57	1.09164457E7	1.018540392E7	2178.83	1844.76	2434.5	2061.24	5711.87	1508.65	4903.87	16.75	0.0	0.06	81.14	6.67
DTL	139.07	305.55	27.05	325.29	490.14	466.88	473.41	426.57	194.36	417.77	16.51	1.35	14.35	133.36	156.59
E2F7	24.11	228.13	23.42	118.43	226.54	353.59	220.32	283.05	77.25	229.72	4.35	4.54	0.0	29.06	38.67
EEF2K	217.27	148.09	426.57	400.71	974.5	988.12	723.08	559.28	426.57	842.36	100.83	87.65	121.79	171.45	212.78
ERCC6L2	110.43	119.26	267.73	197.09	518.15	612.11	373.81	409.15	237.86	363.56	105.89	94.01	90.77	90.77	99.43
EXO5	129.69	87.03	166.73	214.27	312.0	287.01	220.32	255.0	136.19	329.84	50.63	42.11	84.04	101.54	130.6
FAF1	796.86	902.89	1199.98	1104.13	866.07	1081.39	1417.35	1119.56	902.89	1104.13	518.15	713.11	490.14	486.75	941.27
FAM111B	83.45	674.59	35.76	351.14	612.11	521.76	260.38	363.56	208.38	595.34	14.89	1.19	5.5	60.82	102.25
FAM13B	102.97	105.89	162.14	191.67	242.88	275.28	256.78	291.04	172.65	208.38	63.89	48.18	55.49	56.68	63.45
FAM178A	116.78	95.34	148.09	234.57	341.51	218.79	239.52	293.07	182.55	336.79	73.54	78.34	74.58	143.01	79.45
FBXO48	17.64	47.5	35.76	18.16	47.84	28.86	23.93	20.26	21.32	43.02	19.82	16.63	15.45	8.65	5.59
FCHSD2	194.36	87.03	125.24	251.48	647.07	480.04	412.0	507.46	371.22	514.56	262.2	131.51	90.14	123.5	224.97
FIGNL1	108.9	218.79	111.21	368.65	490.14	389.72	379.04	529.06	258.57	414.87	42.71	26.1	38.67	87.03	105.89
FKRP	180.02	151.22	232.94	255.0	269.6	368.65	320.8	277.2	279.14	293.07	121.79	132.44	107.38	176.29	183.82
FOXRED2	463.65	260.38	117.6	748.61	915.51	1286.18	748.61	1127.35	373.81	1051.79	105.15	44.57	98.73	88.26	110.43
GINS4	140.04	193.01	32.59	115.16	796.86	532.74	748.61	547.75	195.72	470.14	17.25	10.63	8.0	183.82	164.42
GLYR1	674.59	1167.14	941.27	563.18	1313.23	1551.09	813.63	974.5	902.89	1208.34	473.41	387.02	599.49	764.36	633.73
GPR107	379.04	236.21	269.6	612.11	995.0	1037.29	1037.29	616.37	612.11	915.51	170.25	120.1	154.42	567.1	412.0
HMGN2	9088.59	10659.59	11035.54	23009.42	26248.46	20170.07	22850.48	21468.49	16269.83	29531.18	6250.56	5006.93	8840.04	11827.67	13123.73
HNRNPUL2	1151.06	1001.93	974.5	928.3	1304.15	1111.82	1001.93	1051.79	1081.39	1242.34	363.56	248.0	327.56	480.04	860.08
HTR6	0.31	0.0	1.23	1.07	2.76	1.64	3.17	3.47	1.27	1.93	0.0	0.0	0.0	0.0	0.4
INPP5B	112.77	84.04	100.83	201.25	208.38	307.69	211.31	262.2	186.4	316.37	95.34	80.57	228.13	97.36	115.16
INPP5F	115.97	248.0	133.36	137.14	769.69	307.69	323.03	532.74	256.78	769.69	43.02	26.28	16.51	79.45	110.43
JAK2	39.22	260.38	178.77	134.3	299.25	348.71	214.27	242.88	80.01	262.2	39.5	46.84	24.46	43.63	66.65
KANSL2	438.59	301.33	896.64	665.29	642.59	1151.06	1259.69	1023.0	529.06	769.69	152.28	236.21	180.02	651.58	521.76
KDM3B	392.44	371.22	507.46	511.0	775.05	988.12	1151.06	1104.13	633.73	780.44	170.25	75.64	98.73	384.34	339.14
KLHL26	92.7	83.45	66.65	122.64	127.89	229.72	220.32	214.27	144.01	228.13	63.45	92.05	38.12	74.06	75.64
KRT73	0.31	15.0	3.72	0.0	7.57	1.01	0.65	12.09	0.32	3.03	0.0	0.41	0.21	0.67	0.0
LCE1B	0.0	1.79	0.0	3.0	6.78	11.47	8.0	18.43	2.48	16.63	1.75	0.0	0.0	0.0	0.0
LIN54	76.17	563.18	115.97	117.6	366.09	285.03	208.38	295.11	141.02	305.55	72.52	63.45	48.52	100.13	82.29
LITAF	2303.12	688.78	2075.59	3060.45	5791.62	5672.41	4450.27	3614.55	2835.7	4972.34	1685.71	2119.22	1388.16	1628.26	1745.2
LMNB2	583.07	848.22	299.25	866.07	3124.78	2417.67	3235.01	1896.65	759.08	2018.8	143.01	58.3	41.22	819.3	796.86
LRIG3	120.94	412.0	896.64	256.78	698.41	1191.69	1540.37	1208.34	825.0	872.1	73.54	92.05	96.68	142.01	171.45
MARK1	46.18	43.63	183.82	275.28	460.44	221.86	264.03	314.17	223.41	320.8	4.62	10.24	2.16	23.25	39.22
MATR3	2573.36	2855.44	2895.31	3443.31	3874.05	3955.48	4607.24	5872.48	3665.02	3540.14	1417.35	1008.9	1313.23	2090.03	2319.15
MAU2	376.41	559.28	476.71	412.0	693.58	961.07	988.12	947.83	438.59	688.78	189.02	116.78	241.19	460.44	318.57
MCM5	1781.89	1378.57	376.41	2796.65	3081.75	4268.94	3212.66	2976.74	1388.16	3589.58	220.32	176.29	193.01	1037.29	591.22
MCMDC2	8.58	28.65	27.64	13.52	55.1	21.01	32.36	36.53	24.81	52.08	8.38	4.46	9.56	8.65	8.92
MED26	127.89	183.82	161.02	163.28	181.28	249.73	231.32	265.87	154.42	199.85	78.34	85.22	53.19	108.9	108.14
MEF2BNB-MEF2B	70.01	84.04	85.82	162.14	281.09	232.94	387.02	249.73	82.29	140.04	54.72	76.17	74.06	49.21	114.36
MEGF8	111.99	59.97	92.7	217.27	287.01	447.82	514.56	406.31	181.28	473.41	47.17	27.25	68.07	90.14	138.1
