	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.11P81.1026.SM.5GU54	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZT9W.1426.SM.4YCD2	GTEX.Y3I4.0926.SM.4TT2B	GTEX.13RTK.0426.SM.5RQHT	GTEX.131XG.1126.SM.5DUWR	GTEX.13D11.2026.SM.5IJBK	GTEX.13YAN.1826.SM.5LU3Q	GTEX.XUW1.1326.SM.4BOO1	GTEX.146FR.0526.SM.5Q5EX	GTEX.WH7G.1026.SM.4LVML	GTEX.WFG8.1026.SM.4LVMZ	GTEX.TMMY.1226.SM.4DXT6	GTEX.12C56.1126.SM.5FQTO	GTEX.ZT9W.1226.SM.57WE4	GTEX.145LV.1426.SM.5Q5BV	GTEX.1211K.1026.SM.5EQ4B	GTEX.ZXES.1226.SM.5NQ8G	GTEX.13OVI.2526.SM.5KM4V	GTEX.UPIC.0626.SM.4IHK2	GTEX.13RTK.0626.SM.5Q5EK	GTEX.145ME.0626.SM.5O99Q	GTEX.XUW1.1526.SM.4BOOY	GTEX.NFK9.1226.SM.3LK79	GTEX.OIZG.0926.SM.3LK5Y	GTEX.QCQG.0726.SM.48U1Z	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GY.11A.11R.A36D.31
AC009060.1	0.0	25.35	6.06	7.88	3.89	0.0	6.21	0.0	7.88	0.0	4.43	0.0	14.45	8.78	5.63	0.0	0.0	23.08	0.0	8.0	10.47	0.0	15.8	5.77	7.0	0.0	4.39	0.0	0.0	0.0	7.57	2.84	2.12	0.0	0.0	2.58	0.0	4.24	1.08	0.0	0.0	1.01	0.0	1.48	1.5	0.87	0.84	0.72	2.1	0.0	5.06	3.23	1.64	0.83	0.0	0.0	0.0	4.94	0.0	1.06	1.45	0.0	3.32	1.97	0.0	3.92	0.0	1.11	2.53	0.0	0.0	6.16	4.35	20.56	8.65	10.31	0.0
AFAP1	256.78	373.81	279.14	417.77	312.0	381.68	351.14	387.02	346.29	303.44	343.89	500.46	303.44	420.68	253.23	381.68	339.14	348.71	438.59	381.68	460.44	339.14	291.04	454.09	381.68	339.14	379.04	12.64	16.63	24.99	14.45	156.59	34.75	10.24	22.43	24.28	34.51	9.85	32.13	16.63	21.16	37.32	21.01	15.68	12.74	18.7	15.8	9.06	23.08	33.54	13.22	18.56	19.82	7.28	8.38	29.48	19.53	66.18	17.77	90.77	6.41	14.45	17.38	6.26	34.02	27.25	32.13	19.39	14.03	0.0	0.43	718.08	684.02	525.39	450.94	616.37	660.68
ANGEL2	406.31	435.55	483.38	423.61	426.57	409.15	363.56	351.14	780.44	346.29	457.25	329.84	435.55	400.71	438.59	353.59	403.5	318.57	571.05	629.35	463.65	395.18	536.45	323.03	395.18	435.55	366.09	186.4	229.72	231.32	191.67	150.17	224.97	165.57	221.86	194.36	133.36	131.51	285.03	194.36	251.48	173.85	191.67	90.77	82.87	241.19	169.07	131.51	204.07	140.04	215.77	211.31	195.72	124.37	178.77	264.03	164.42	231.32	255.0	113.56	202.66	223.41	135.24	127.89	199.85	211.31	124.37	124.37	150.17	525.39	1088.92	406.31	521.76	473.41	438.59	688.78	503.95
ANKRD53	92.7	59.97	90.77	49.91	68.07	101.54	52.08	93.35	61.68	63.0	28.65	96.68	151.22	78.34	75.11	58.3	105.15	88.88	84.04	126.12	77.79	87.03	75.11	59.55	46.84	129.69	17.13	9.93	16.27	4.17	4.5	27.64	17.13	15.56	18.29	23.42	39.79	6.89	2.73	6.36	26.67	23.59	2.86	38.67	4.1	34.75	32.13	16.03	10.47	14.56	1.43	4.21	4.78	16.27	12.83	18.43	7.4	34.26	2.56	39.79	7.94	4.21	1.51	25.35	23.93	15.8	9.63	21.94	37.59	0.0	0.33	53.57	95.34	78.89	37.05	32.13	134.3
APOD	11584.24	10225.32	10440.2	9740.98	6561.36	12244.81	13215.02	12329.98	35609.13	11189.6	13033.07	14262.1	9606.86	10585.95	10883.59	14262.1	11504.21	10659.59	14065.74	28525.2	10585.95	7537.18	11267.44	15824.9	18689.27	24153.43	20881.4	26.86	26.67	12.93	28.86	52.82	49.21	40.07	23.76	150.17	50.98	7.34	356.05	80.01	84.63	693.58	10.55	58.71	20.11	68.07	2.78	15.45	253.23	51.35	41.52	28.24	22.75	13.83	0.85	13.32	89.51	18.29	40.36	11.73	0.64	97.36	34.75	50.27	21.47	31.9	89.51	75.11	20.11	0.0	0.87	14663.09	6337.83	32994.92	14867.79	17078.76	15934.98
ARHGAP1	1977.24	2061.24	1447.15	1572.76	2384.37	2193.99	1757.34	2271.4	2351.53	1977.24	1794.29	3395.89	2835.7	2032.85	2240.11	1870.53	1757.34	2997.45	2502.97	2758.13	2976.74	2193.99	2004.85	1991.0	2303.12	2104.58	2434.5	514.56	483.38	486.75	759.08	1023.0	571.05	450.94	536.45	693.58	575.03	651.58	406.31	579.04	708.18	733.19	595.34	656.11	563.18	525.39	723.08	532.74	842.36	896.64	842.36	642.59	718.08	514.56	532.74	753.83	642.59	679.29	591.22	571.05	438.59	389.72	583.07	289.02	872.1	579.04	819.3	281.09	334.46	1030.12	127.0	2573.36	2915.45	3540.14	2240.11	3491.39	3303.0
ARID3A	113.56	75.64	69.03	66.18	80.57	105.15	103.69	212.78	205.5	118.43	69.52	86.43	116.78	111.21	107.38	87.03	88.88	146.03	131.51	339.14	80.57	78.89	142.01	173.85	139.07	57.08	76.17	34.26	28.45	25.35	42.71	82.87	58.3	76.17	90.77	30.78	11.3	96.68	26.28	209.84	32.59	14.24	27.25	84.63	33.06	56.68	10.63	28.65	3.96	11.38	63.0	17.0	64.8	23.76	0.72	14.35	37.59	47.5	39.5	58.3	71.5	156.59	56.68	23.42	18.43	42.11	45.21	22.59	2.92	146.03	547.75	125.24	136.19	162.14	164.42	264.03	78.34
ARL13A	2.63	2.66	0.0	0.0	0.53	4.39	0.0	1.79	0.0	2.12	6.01	0.0	2.71	3.69	2.81	1.43	0.91	2.34	4.66	3.26	6.73	0.0	2.18	2.94	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.51	8.38	12.0	2.66	5.5	5.32
ASB14	7.34	13.52	11.91	10.55	4.86	10.63	15.45	8.25	14.56	14.03	11.3	5.5	5.23	14.14	9.27	10.39	5.96	9.13	6.67	20.71	14.35	7.69	9.27	13.72	15.68	8.58	7.0	2.25	0.0	3.38	1.64	2.89	2.29	0.89	1.31	1.6	0.97	0.03	2.16	1.14	3.44	1.95	0.36	4.7	0.88	3.23	3.66	1.27	2.23	5.11	2.34	0.71	1.39	2.03	2.89	0.28	0.87	2.66	1.03	1.39	3.29	1.5	3.56	0.12	3.41	1.39	2.2	1.75	0.38	0.0	0.28	9.63	11.64	15.91	11.64	27.84	11.73
ASB16	37.05	106.63	48.87	79.45	44.25	81.71	50.98	63.89	43.02	71.0	100.13	76.71	38.95	67.12	77.79	92.7	37.59	90.14	89.51	173.85	197.09	57.49	58.71	109.66	146.03	76.17	48.87	1.19	2.73	3.11	1.93	5.41	2.66	1.27	0.39	3.89	1.66	3.23	1.23	1.77	2.68	3.79	2.25	1.31	3.86	8.71	4.21	5.02	3.26	4.54	3.99	10.08	1.17	0.01	2.51	6.94	5.23	0.0	5.02	2.41	8.19	2.86	0.75	0.72	2.71	1.17	3.72	0.89	1.89	0.0	0.38	47.5	87.65	57.89	40.64	69.52	199.85
