	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
ADNP	813.63	1447.15	947.83	1832.01	728.11	2090.03	277.2	995.0	460.44	381.68	514.56	237.86	281.09	366.09	197.09	395.18	297.17	329.84	318.57	256.78	285.03	251.48	351.14	273.37	356.05	341.51	429.54	273.37	228.13	384.34	158.79	420.68	379.04	262.2	406.31	387.02	555.41	228.13	567.1	329.84	175.07	432.53	201.25	447.82	412.0	217.27	688.78	511.0	215.77	629.35	265.87	307.69	373.81	287.01	256.78	258.57	163.28	258.57	209.84	215.77	299.25	127.0	214.27	148.09	154.42	198.47	206.94	208.38	275.28	285.03	307.69	116.78	137.14	279.14	629.35	555.41	457.25	514.56	1051.79	1119.56	921.88	974.5	339.14	688.78	703.28	348.71	353.59	353.59	612.11	651.58	426.57	507.46	387.02	450.94	511.0	854.13	607.87	346.29	343.89	454.09	599.49	559.28	395.18	460.44	447.82	555.41	629.35	463.65	890.44	559.28	384.34	684.02	2400.97	470.14
ALKBH1	173.85	316.37	228.13	283.05	170.25	373.81	148.09	251.48	194.36	212.78	177.53	132.44	170.25	195.72	148.09	189.02	180.02	198.47	173.85	150.17	167.9	92.7	89.51	93.35	215.77	173.85	153.34	113.56	143.01	157.68	120.1	136.19	133.36	122.64	123.5	118.43	114.36	128.79	182.55	140.04	124.37	100.83	114.36	161.02	114.36	126.12	121.79	218.79	95.34	130.6	141.02	132.44	155.5	149.12	142.01	131.51	105.15	139.07	88.88	132.44	138.1	107.38	173.85	178.77	112.77	149.12	115.97	111.99	71.5	127.89	172.65	68.55	164.42	158.79	287.01	381.68	178.77	226.54	232.94	295.11	217.27	279.14	309.83	191.67	223.41	190.34	231.32	226.54	177.53	189.02	139.07	221.86	237.86	177.53	176.29	198.47	249.73	194.36	162.14	214.27	187.71	172.65	150.17	212.78	320.8	166.73	220.32	363.56	204.07	297.17	194.36	208.38	275.28	301.33
ANKRD49	218.79	438.59	314.17	406.31	293.07	473.41	148.09	438.59	164.42	138.1	132.44	77.25	81.71	173.85	29.7	57.49	76.17	43.02	193.01	132.44	159.9	152.28	131.51	87.03	180.02	164.42	232.94	117.6	100.13	209.84	108.14	239.52	176.29	104.42	229.72	91.41	189.02	158.79	115.16	127.89	82.87	253.23	123.5	170.25	314.17	111.21	156.59	277.2	108.14	206.94	205.5	221.86	205.5	152.28	136.19	117.6	15.22	102.97	119.26	111.99	156.59	129.69	114.36	140.04	98.04	120.1	100.13	226.54	87.03	104.42	142.01	73.54	94.01	119.26	301.33	363.56	251.48	571.05	647.07	480.04	414.87	493.56	507.46	265.87	447.82	323.03	248.0	234.57	262.2	206.94	265.87	395.18	314.17	218.79	134.3	412.0	273.37	231.32	78.34	279.14	295.11	403.5	249.73	236.21	163.28	171.45	426.57	450.94	231.32	591.22	295.11	195.72	361.04	178.77
ARL6IP6	620.67	866.07	529.06	368.65	525.39	890.44	241.19	698.41	223.41	199.85	253.23	93.35	64.8	115.97	38.12	161.02	151.22	113.56	145.02	80.57	99.43	156.59	147.06	70.01	116.78	98.04	117.6	74.06	69.03	126.12	48.52	189.02	137.14	92.7	234.57	101.54	201.25	28.24	318.57	48.52	65.72	150.17	61.68	148.09	189.02	68.07	248.0	246.28	59.55	176.29	180.02	191.67	206.94	175.07	101.54	71.5	39.79	72.01	85.22	145.02	112.77	30.34	120.1	72.01	81.14	129.69	63.0	146.03	49.21	69.03	94.01	45.21	39.79	102.97	420.68	1427.22	373.81	825.0	748.61	921.88	703.28	579.04	239.52	429.54	603.67	303.44	503.95	518.15	579.04	483.38	255.0	314.17	718.08	688.78	373.81	974.5	420.68	540.19	283.05	518.15	325.29	514.56	343.89	265.87	198.47	454.09	1051.79	1322.37	575.03	1104.13	348.71	392.44	819.3	460.44
ASF1A	327.56	379.04	295.11	368.65	305.55	518.15	258.57	217.27	109.66	107.38	186.4	131.51	135.24	275.28	42.11	68.55	96.01	55.49	246.28	343.89	239.52	301.33	271.48	271.48	341.51	265.87	156.59	181.28	251.48	220.32	269.6	293.07	177.53	187.71	255.0	371.22	199.85	114.36	149.12	363.56	191.67	638.15	128.79	279.14	314.17	291.04	860.08	444.72	457.25	256.78	251.48	373.81	244.57	256.78	366.09	167.9	46.18	127.0	191.67	170.25	226.54	101.54	151.22	325.29	187.71	180.02	187.71	175.07	239.52	136.19	185.11	84.04	111.99	197.09	595.34	941.27	291.04	232.94	403.5	454.09	371.22	713.11	426.57	543.96	423.61	460.44	329.84	229.72	518.15	281.09	176.29	248.0	316.37	277.2	547.75	540.19	511.0	339.14	148.09	764.36	423.61	490.14	507.46	325.29	167.9	387.02	507.46	638.15	514.56	406.31	397.93	341.51	647.07	493.56
BRAF	299.25	295.11	220.32	208.38	231.32	595.34	299.25	281.09	212.78	157.68	138.1	169.07	152.28	162.14	105.15	186.4	150.17	100.13	155.5	93.35	102.97	161.02	78.34	65.72	514.56	111.21	166.73	105.15	108.14	93.35	70.51	156.59	128.79	93.35	178.77	78.89	183.82	100.83	134.3	79.45	75.64	201.25	98.73	169.07	151.22	100.13	198.47	194.36	90.14	98.73	100.13	172.65	140.04	93.35	158.79	109.66	73.03	149.12	99.43	177.53	107.38	171.45	119.26	107.38	149.12	100.13	131.51	180.02	92.7	138.1	128.79	169.07	115.97	136.19	281.09	624.99	260.38	157.68	808.0	518.15	341.51	209.84	438.59	490.14	511.0	170.25	178.77	275.28	157.68	170.25	463.65	220.32	120.1	209.84	187.71	325.29	237.86	269.6	143.01	173.85	224.97	265.87	157.68	154.42	297.17	220.32	205.5	289.02	191.67	356.05	151.22	318.57	579.04	406.31
BTF3L4	1225.22	1794.29	1583.71	934.76	995.0	1709.26	389.72	1088.92	890.44	703.28	878.17	780.44	872.1	921.88	947.83	723.08	1030.12	775.05	674.59	363.56	656.11	698.41	547.75	348.71	1183.45	532.74	463.65	460.44	366.09	688.78	432.53	718.08	432.53	460.44	796.86	480.04	327.56	400.71	698.41	373.81	476.71	909.17	490.14	679.29	642.59	547.75	1096.5	1015.93	1044.52	470.14	638.15	454.09	733.19	642.59	571.05	457.25	406.31	684.02	536.45	559.28	738.29	753.83	529.06	780.44	521.76	656.11	591.22	642.59	518.15	358.54	583.07	417.77	665.29	583.07	1304.15	2701.35	733.19	2271.4	1551.09	1498.22	1407.55	6037.61	1733.13	1277.29	1487.87	1259.69	1233.75	1350.18	1143.1	981.29	860.08	941.27	830.75	995.0	961.07	1697.45	981.29	1143.1	842.36	1073.91	1051.79	819.3	1096.5	708.18	642.59	1001.93	1540.37	1277.29	1733.13	1268.46	1233.75	921.88	1467.37	2645.74
C18orf54	44.89	64.8	41.52	33.06	83.45	98.73	5.45	80.01	17.13	15.22	15.34	5.77	3.63	13.03	1.85	8.38	5.06	6.36	7.22	8.71	6.52	14.03	6.89	2.71	17.9	6.67	5.63	7.06	3.5	17.77	2.51	25.17	3.66	2.81	29.27	9.93	7.69	2.48	15.0	4.1	2.94	22.43	3.72	1.85	11.38	5.77	12.18	45.53	8.65	8.13	10.55	6.41	15.56	14.56	8.38	4.82	1.03	0.61	3.32	4.9	1.5	0.18	0.75	11.64	2.18	4.7	5.92	3.2	4.58	3.92	8.99	0.28	1.77	4.17	23.25	60.39	29.7	47.17	36.79	43.32	70.01	71.5	8.25	156.59	71.0	17.51	12.64	15.11	17.64	42.41	56.28	22.92	19.82	57.49	29.06	26.28	29.27	8.92	18.43	23.76	22.75	71.5	9.63	13.83	21.94	53.19	147.06	43.32	37.59	27.05	21.01	22.92	165.57	31.45
C2orf49	314.17	312.0	251.48	253.23	226.54	583.07	232.94	232.94	133.36	153.34	153.34	88.26	105.15	224.97	69.52	90.77	97.36	63.89	139.07	161.02	132.44	148.09	152.28	98.73	164.42	114.36	141.02	144.01	178.77	157.68	152.28	208.38	133.36	145.02	253.23	140.04	129.69	83.45	189.02	159.9	92.7	260.38	176.29	206.94	215.77	133.36	269.6	305.55	190.34	173.85	151.22	137.14	165.57	136.19	164.42	127.89	56.68	130.6	116.78	133.36	118.43	90.14	121.79	202.66	114.36	148.09	137.14	115.16	92.7	115.16	228.13	130.6	101.54	154.42	327.56	733.19	229.72	507.46	571.05	320.8	217.27	193.01	379.04	392.44	329.84	248.0	183.82	368.65	204.07	277.2	217.27	178.77	145.02	279.14	178.77	291.04	228.13	162.14	115.16	228.13	237.86	346.29	126.12	120.1	177.53	194.36	351.14	547.75	251.48	351.14	232.94	229.72	532.74	473.41
C4orf46	82.87	220.32	117.6	90.14	152.28	361.04	84.04	144.01	56.68	35.25	49.56	23.76	49.21	47.5	25.17	43.02	53.57	58.71	30.12	32.36	17.64	56.68	37.32	34.26	63.45	37.32	27.84	29.91	19.25	64.8	9.06	59.55	27.25	19.97	60.82	36.01	28.45	11.47	79.45	48.87	16.63	30.12	18.29	38.4	34.26	17.25	38.12	69.52	41.81	29.48	43.02	46.18	51.35	90.14	26.86	22.75	11.91	17.64	12.36	22.1	9.06	2.58	7.4	49.21	11.04	17.38	19.11	36.01	16.15	20.26	32.36	12.93	14.45	14.35	170.25	100.83	66.18	199.85	205.5	97.36	153.34	150.17	142.01	90.77	633.73	87.65	49.21	68.07	72.52	111.99	62.12	118.43	64.34	158.79	127.0	124.37	62.56	77.25	59.13	105.15	75.64	64.8	92.05	39.79	32.36	131.51	125.24	143.01	57.08	185.11	95.34	111.21	406.31	123.5
