	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.R53T.0326.SM.48FEC	TCGA.55.6972.01A.11R.1949.07	TCGA.44.6147.01A.11R.A278.07	GTEX.12WSE.0826.SM.5S2VL	GTEX.12ZZY.0926.SM.5EQ6I
ARID2	258.57	258.57	59.97	81.14	42.11	47.84	77.79	129.69	77.25	69.03	55.89	88.26	195.72	100.13	106.63	178.77	59.97	82.29	100.13	71.5	193.01	93.35	169.07	60.39	63.0	53.57	96.68	43.94	95.34	70.51	186.4	61.68	106.63	124.37	116.78	116.78	75.64	56.28	121.79	66.18	173.85	48.18	64.8	214.27	32.59	68.55	69.03	47.84	61.68	54.33	42.11	84.63	45.21	141.02	361.04	205.5	191.67
BTBD3	363.56	363.56	86.43	65.26	72.52	58.71	80.57	119.26	80.57	138.1	42.41	83.45	299.25	112.77	275.28	253.23	56.68	198.47	113.56	85.82	500.46	88.26	173.85	60.82	78.34	52.82	186.4	49.91	115.16	67.12	329.84	135.24	175.07	287.01	148.09	155.5	80.57	55.89	127.89	116.78	775.05	59.13	78.89	320.8	42.11	124.37	154.42	73.03	54.33	38.95	100.83	34.75	115.16	205.5	500.46	591.22	575.03
CTD-2368P22.1	67.59	67.59	24.46	7.28	6.01	7.51	20.11	69.03	34.02	59.97	10.71	8.58	80.01	36.79	25.35	69.52	17.77	26.28	25.54	16.15	88.88	12.18	65.26	21.78	19.11	11.64	71.0	10.39	19.25	6.73	99.43	15.34	27.25	69.52	20.41	46.84	25.54	9.7	78.89	28.45	111.21	2.81	21.32	45.85	6.84	8.0	11.21	18.29	5.36	3.06	13.22	5.41	7.69	60.39	123.5	75.11	88.88
DBR1	255.0	255.0	111.99	97.36	109.66	98.73	106.63	249.73	100.13	152.28	44.57	99.43	256.78	149.12	182.55	255.0	108.14	134.3	115.97	130.6	346.29	109.66	231.32	120.94	107.38	65.72	163.28	89.51	116.78	74.58	325.29	92.7	183.82	208.38	193.01	163.28	172.65	72.52	127.0	198.47	251.48	66.18	113.56	246.28	66.18	115.16	67.59	67.12	59.97	42.41	101.54	90.14	70.51	265.87	275.28	327.56	267.73
EPHX1	8479.89	8479.89	113315.62	128373.58	66449.85	77396.54	116501.39	54727.32	107948.72	100023.92	68318.04	85283.74	40341.14	107948.72	55877.28	30999.42	109455.64	109455.64	190574.09	100023.92	29736.59	77396.54	159145.95	95286.54	135693.24	61999.83	144427.91	159145.95	108699.57	118127.7	20593.91	103551.29	69753.56	50011.46	127486.83	53973.86	121448.75	145432.49	69271.73	89523.81	11827.67	87075.75	167058.21	71219.26	50011.46	165904.25	258533.99	169390.27	236256.4	119776.72	208544.12	147462.67	506427.83	86474.27	8305.36	45386.27	20737.16
HKR1	679.29	679.29	215.77	341.51	182.55	27.25	229.72	579.04	392.44	387.02	31.45	118.43	555.41	334.46	457.25	1088.92	269.6	348.71	231.32	198.47	693.58	100.13	607.87	262.2	255.0	93.35	423.61	201.25	395.18	258.57	791.35	314.17	429.54	521.76	281.09	559.28	346.29	187.71	450.94	368.65	796.86	215.77	234.57	684.02	105.15	88.88	281.09	244.57	169.07	92.7	177.53	264.03	76.17	1088.92	902.89	941.27	1331.57
MIB1	316.37	316.37	61.25	75.64	67.12	79.45	89.51	201.25	87.03	158.79	49.56	77.79	232.94	146.03	209.84	387.02	73.54	105.15	106.63	140.04	275.28	90.77	202.66	57.89	71.5	40.07	103.69	60.82	138.1	80.01	343.89	136.19	175.07	212.78	128.79	218.79	62.12	47.5	248.0	89.51	236.21	61.68	76.17	447.82	46.18	237.86	56.28	73.03	115.97	88.88	112.77	60.39	182.55	92.7	616.37	309.83	389.72
MSL2	297.17	297.17	151.22	121.79	82.87	101.54	176.29	307.69	142.01	173.85	84.63	98.73	336.79	214.27	228.13	234.57	115.97	223.41	172.65	137.14	379.04	175.07	220.32	163.28	118.43	89.51	206.94	97.36	231.32	106.63	379.04	146.03	201.25	189.02	279.14	265.87	126.12	96.01	212.78	194.36	293.07	78.89	102.97	339.14	80.57	223.41	102.97	144.01	185.11	141.02	124.37	156.59	156.59	185.11	432.53	476.71	599.49
SOCS5	470.14	470.14	96.68	77.79	68.55	52.45	93.35	144.01	78.89	114.36	33.78	72.52	206.94	131.51	152.28	177.53	71.0	122.64	97.36	123.5	265.87	90.77	194.36	81.71	92.05	60.39	135.24	41.22	172.65	75.64	228.13	100.13	126.12	151.22	244.57	215.77	99.43	78.34	144.01	127.89	206.94	43.94	85.82	305.55	38.67	98.73	37.05	38.67	63.89	56.28	47.5	82.87	68.07	142.01	318.57	325.29	312.0
TET3	88.88	88.88	52.08	24.99	26.28	33.3	35.5	107.38	44.57	102.25	27.44	28.04	119.26	72.01	102.25	164.42	61.25	39.22	45.85	37.59	166.73	84.63	59.55	39.22	24.99	17.9	60.82	20.56	59.55	17.38	162.14	39.22	47.5	79.45	111.21	111.21	31.0	34.02	134.3	31.67	129.69	20.86	51.71	172.65	10.88	24.46	15.91	21.32	32.59	37.85	29.27	20.86	34.75	46.84	162.14	115.97	127.0
VN1R1	17.9	17.9	6.46	7.34	0.0	0.0	13.32	28.04	10.79	24.11	1.64	8.65	24.28	6.73	14.78	102.97	3.17	9.06	5.73	9.27	62.56	4.62	18.56	10.63	2.41	1.68	24.81	2.53	10.16	10.0	44.25	13.42	7.57	54.33	4.58	28.45	7.34	11.82	41.81	23.25	57.89	0.0	0.0	49.91	0.0	0.16	3.56	13.32	4.82	2.1	2.07	10.16	0.68	14.67	43.63	31.67	35.25
ZBTB34	124.37	124.37	31.67	22.92	21.01	23.93	28.45	60.82	30.12	59.55	11.38	24.11	85.82	36.27	69.52	90.77	15.56	42.11	28.24	39.5	95.34	29.27	52.82	28.45	30.12	19.82	35.5	13.12	43.32	17.38	142.01	38.12	29.48	77.25	85.22	82.87	23.42	24.28	73.54	24.99	87.65	17.38	32.13	103.69	14.67	25.17	14.45	19.82	27.25	16.51	19.82	16.39	27.84	61.68	208.38	139.07	156.59
ZFP14	79.45	79.45	34.75	14.45	16.27	7.4	15.68	71.0	57.49	55.49	19.82	23.76	95.34	46.84	50.27	109.66	27.64	56.28	38.95	23.76	130.6	36.01	68.07	19.97	42.11	10.96	66.18	23.76	42.41	20.11	63.89	20.56	62.56	94.01	21.63	72.52	30.56	18.7	68.55	34.51	190.34	11.91	44.57	115.16	8.38	18.7	10.0	20.56	24.28	22.43	26.1	36.79	29.7	80.57	182.55	117.6	101.54
ZFP28	127.89	127.89	7.88	26.1	4.86	2.84	38.12	10.16	7.51	7.51	7.17	10.08	46.18	22.26	57.49	105.15	5.41	34.02	6.41	23.42	73.03	13.83	34.02	25.72	3.89	13.12	78.89	17.38	27.84	3.66	63.0	22.92	55.1	40.64	34.02	50.63	18.84	3.44	60.82	37.05	113.56	1.83	2.78	60.82	2.03	6.67	5.68	11.3	5.59	8.45	13.83	14.45	20.41	63.45	152.28	334.46	358.54
ZFP30	120.1	120.1	2.18	23.93	11.47	3.5	23.25	72.52	30.78	55.89	3.2	19.68	83.45	62.56	82.29	134.3	26.67	50.98	21.32	15.0	187.71	31.0	93.35	18.16	2.56	11.13	72.52	11.82	26.47	13.12	124.37	55.49	69.03	63.89	28.86	71.0	25.54	21.63	68.55	38.67	172.65	7.63	23.93	124.37	6.46	32.36	34.26	63.89	40.07	5.82	42.41	27.44	3.59	116.78	241.19	68.55	138.1
