	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.139TS.2226.SM.5J2N1	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.132NY.2026.SM.5L3FM	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.14BMV.1426.SM.5S2WA	GTEX.117YW.2026.SM.5N9BH	GTEX.148VJ.1126.SM.5NQBZ	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EO.A3AV.01A.12R.A19W.07
AFF3	46.84	161.02	7.94	48.52	136.19	339.14	57.49	58.3	98.73	198.47	116.78	307.69	260.38	241.19	134.3	205.5	115.16	167.9	105.89	104.42	176.29	295.11	336.79	69.03	221.86	34.26	15.34	43.63	25.91	6.01
AGO3	69.03	72.01	75.64	106.63	82.87	69.03	49.56	92.05	193.01	191.67	181.28	164.42	215.77	231.32	109.66	175.07	77.79	141.02	101.54	67.59	133.36	166.73	144.01	77.25	153.34	30.34	22.75	51.71	26.67	117.6
ANKHD1	612.11	409.15	559.28	1081.39	1359.57	1250.98	825.0	616.37	1233.75	1572.76	1397.83	1127.35	1498.22	1540.37	974.5	2075.59	921.88	1127.35	1199.98	830.75	1359.57	1769.57	1359.57	1030.12	1769.57	848.22	409.15	665.29	426.57	698.41
ANKRD13C	127.89	108.9	105.89	193.01	231.32	234.57	177.53	173.85	236.21	206.94	262.2	220.32	264.03	329.84	197.09	307.69	175.07	147.06	191.67	142.01	229.72	353.59	229.72	177.53	336.79	53.95	61.68	106.63	48.18	124.37
ANKRD28	197.09	147.06	127.89	397.93	595.34	297.17	232.94	130.6	346.29	314.17	540.19	220.32	521.76	638.15	248.0	563.18	258.57	177.53	301.33	145.02	299.25	450.94	312.0	253.23	693.58	105.15	131.51	115.97	112.77	155.5
ARID2	119.26	90.14	81.14	154.42	152.28	181.28	157.68	72.01	312.0	237.86	232.94	183.82	239.52	507.46	318.57	423.61	214.27	201.25	209.84	180.02	258.57	392.44	309.83	249.73	490.14	55.89	53.57	69.52	32.59	94.67
ARMC8	423.61	281.09	353.59	529.06	532.74	813.63	339.14	389.72	1104.13	954.43	981.29	981.29	866.07	802.41	785.88	988.12	417.77	507.46	514.56	575.03	728.11	961.07	748.61	543.96	1015.93	187.71	152.28	197.09	162.14	397.93
ASH1L	130.6	51.71	59.97	275.28	450.94	497.0	186.4	142.01	463.65	497.0	460.44	420.68	497.0	543.96	231.32	417.77	198.47	332.14	241.19	170.25	334.46	420.68	379.04	205.5	414.87	39.5	54.33	93.35	24.11	67.12
ATP6V0A2	136.19	125.24	281.09	151.22	234.57	138.1	178.77	119.26	198.47	181.28	214.27	118.43	249.73	389.72	220.32	480.04	231.32	237.86	217.27	172.65	295.11	457.25	246.28	353.59	624.99	88.26	66.65	78.89	52.82	170.25
ATXN7	78.34	37.05	92.05	185.11	198.47	176.29	152.28	156.59	202.66	248.0	348.71	303.44	429.54	343.89	226.54	529.06	170.25	297.17	275.28	167.9	358.54	444.72	521.76	303.44	423.61	59.13	55.89	81.71	52.82	116.78
BOD1L1	189.02	105.15	120.94	403.5	503.95	575.03	236.21	256.78	603.67	438.59	607.87	543.96	571.05	454.09	435.55	620.67	275.28	392.44	409.15	197.09	718.08	612.11	629.35	351.14	830.75	52.08	66.18	150.17	31.9	124.37
BRWD1	224.97	108.9	285.03	346.29	291.04	339.14	162.14	170.25	543.96	435.55	551.56	466.88	457.25	780.44	426.57	708.18	293.07	303.44	325.29	248.0	432.53	718.08	638.15	318.57	579.04	214.27	172.65	265.87	273.37	82.87
BTAF1	94.01	47.17	49.91	291.04	327.56	348.71	153.34	198.47	607.87	599.49	813.63	473.41	819.3	1233.75	397.93	2047.0	327.56	579.04	511.0	291.04	656.11	1674.06	1030.12	226.54	1551.09	68.55	61.25	62.12	53.19	98.73
C16orf52	152.28	149.12	148.09	279.14	189.02	244.57	187.71	129.69	206.94	273.37	343.89	234.57	295.11	392.44	275.28	336.79	267.73	255.0	351.14	148.09	336.79	320.8	260.38	258.57	376.41	74.58	137.14	158.79	96.68	97.36
C7orf55-LUC7L2	890.44	688.78	669.92	1216.75	1259.69	1551.09	819.3	743.43	1870.53	1407.55	1605.83	1259.69	1594.73	2287.2	1561.89	2075.59	1407.55	1073.91	1781.89	1259.69	1733.13	1896.65	1674.06	1322.37	2209.26	733.19	473.41	679.29	358.54	612.11
CCDC66	120.94	93.35	105.89	185.11	242.88	248.0	206.94	106.63	232.94	214.27	343.89	197.09	323.03	441.64	363.56	620.67	251.48	339.14	444.72	182.55	435.55	525.39	450.94	255.0	514.56	40.07	53.19	83.45	9.48	103.69
CCDC82	303.44	212.78	381.68	423.61	435.55	656.11	325.29	220.32	406.31	579.04	743.43	470.14	708.18	575.03	660.68	753.83	529.06	381.68	642.59	371.22	647.07	665.29	525.39	759.08	748.61	151.22	98.73	135.24	68.55	223.41
CCNT1	93.35	95.34	74.58	205.5	187.71	197.09	100.13	92.7	271.48	237.86	256.78	199.85	258.57	299.25	127.89	262.2	134.3	125.24	140.04	115.97	129.69	275.28	138.1	189.02	258.57	54.72	56.68	58.71	38.67	87.03
CCP110	77.79	66.65	52.45	145.02	157.68	197.09	139.07	76.71	214.27	217.27	239.52	193.01	215.77	500.46	156.59	420.68	180.02	180.02	218.79	112.77	220.32	346.29	303.44	167.9	420.68	17.0	23.93	38.67	10.24	121.79
CLDND1	1008.9	432.53	791.35	1617.0	1378.57	2319.15	1135.2	1437.15	2976.74	2935.74	2816.11	2835.7	2468.49	2485.67	1427.22	1806.78	1208.34	1167.14	1183.45	1111.82	1199.98	2061.24	1674.06	1417.35	1508.65	480.04	486.75	497.0	356.05	490.14
CLIC4	2224.63	713.11	1437.15	6164.49	3419.52	8538.88	1457.23	3060.45	7433.4	13123.73	14361.31	17197.56	11745.96	5555.65	2502.97	3589.58	2502.97	2609.3	2193.99	2816.11	2400.97	4869.99	4419.52	1870.53	3874.05	181.28	389.72	447.82	447.82	334.46
CRTC3	429.54	134.3	212.78	921.88	860.08	1674.06	429.54	397.93	1487.87	1685.71	2287.2	1605.83	1540.37	842.36	974.5	808.0	669.92	785.88	665.29	698.41	708.18	723.08	693.58	684.02	934.76	81.71	120.1	79.45	132.44	170.25
CYLD	258.57	249.73	417.77	356.05	356.05	312.0	291.04	318.57	595.34	470.14	493.56	511.0	444.72	743.43	389.72	483.38	187.71	376.41	327.56	277.2	339.14	563.18	457.25	346.29	703.28	166.73	150.17	197.09	118.43	395.18
DCAF16	145.02	128.79	76.71	353.59	309.83	358.54	185.11	142.01	466.88	318.57	329.84	297.17	371.22	529.06	273.37	507.46	223.41	229.72	303.44	191.67	379.04	497.0	514.56	264.03	511.0	24.63	43.63	49.91	32.82	117.6
DDHD1	47.5	50.98	57.89	96.01	86.43	78.34	40.64	48.52	183.82	194.36	186.4	126.12	161.02	135.24	100.13	244.57	81.71	100.83	109.66	65.26	141.02	214.27	157.68	87.65	164.42	19.68	18.29	10.96	14.35	40.07
DDX3X	941.27	698.41	796.86	2485.67	1991.0	1844.76	995.0	1331.57	2319.15	3716.2	2777.33	4328.55	3372.43	2271.4	947.83	1583.71	988.12	909.17	995.0	1066.48	1015.93	1662.49	1427.22	1313.23	1427.22	660.68	500.46	563.18	647.07	1066.48
DDX46	420.68	470.14	336.79	651.58	660.68	647.07	312.0	239.52	616.37	591.22	651.58	660.68	753.83	1081.39	551.56	878.17	450.94	441.64	543.96	406.31	587.13	825.0	813.63	470.14	796.86	267.73	181.28	275.28	126.12	287.01
DICER1	155.5	56.68	127.0	295.11	392.44	336.79	178.77	143.01	460.44	511.0	497.0	432.53	470.14	733.19	379.04	679.29	260.38	309.83	356.05	181.28	438.59	665.29	796.86	289.02	981.29	74.58	75.64	126.12	70.51	157.68
DMXL1	212.78	98.04	170.25	197.09	273.37	305.55	220.32	185.11	262.2	271.48	387.02	373.81	423.61	603.67	376.41	368.65	255.0	231.32	256.78	271.48	281.09	412.0	423.61	417.77	412.0	181.28	124.37	139.07	57.89	158.79
DNAJC27	36.01	21.63	15.68	64.34	63.89	120.1	50.63	44.25	84.04	120.1	166.73	169.07	142.01	132.44	85.82	111.21	70.01	67.59	108.9	97.36	93.35	143.01	164.42	75.11	166.73	13.62	8.19	10.96	10.31	12.45
DNM1L	525.39	500.46	595.34	866.07	854.13	1242.34	587.13	836.53	1662.49	1508.65	1417.35	1397.83	1304.15	1674.06	1167.14	1617.0	728.11	1277.29	1073.91	819.3	1757.34	1551.09	1857.6	854.13	1662.49	151.22	220.32	287.01	81.14	665.29
DPY19L3	126.12	79.45	59.55	182.55	135.24	134.3	88.26	59.13	130.6	119.26	190.34	96.01	175.07	138.1	149.12	224.97	134.3	137.14	185.11	68.55	215.77	228.13	176.29	118.43	258.57	43.32	54.72	66.18	28.45	81.14
DYNC1LI2	493.56	334.46	212.78	1551.09	2351.53	2835.7	1183.45	1295.13	1733.13	1806.78	2133.97	2682.69	2287.2	2271.4	1378.57	1674.06	1030.12	1369.04	1697.45	1023.0	1819.35	1819.35	1857.6	1088.92	2384.37	108.9	180.02	204.07	187.71	563.18
EBLN2	0.39	2.36	1.38	19.97	21.16	19.97	8.13	7.51	32.36	19.97	43.32	16.15	40.64	119.26	22.1	93.35	19.53	42.71	34.26	11.82	39.22	73.54	66.18	19.25	55.49	1.89	0.0	0.0	1.39	2.46
