	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.146FR.0426.SM.5SI97	GTEX.XBEW.1326.SM.4AT63	TCGA.CN.6996.01A.11R.1915.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.D6.6515.01A.21R.1873.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.N7.A4Y5.01A.12R.A28V.07
ADAR	2271.4	1844.76	2061.24	1819.35	1844.76	1832.01	1286.18	1135.2	941.27	2875.3	775.05	3280.18	2287.2	3395.89	3257.52	3982.99	2502.97	470.14
AIM2	36.79	157.68	105.15	71.5	36.01	373.81	58.3	25.54	30.78	1437.15	48.52	896.64	214.27	796.86	1059.11	1143.1	409.15	7.06
APOL1	1143.1	921.88	559.28	808.0	1457.23	1487.87	1044.52	175.07	244.57	7485.11	145.02	16611.71	2434.5	10084.54	19892.37	9215.48	7966.99	95.34
APOL2	728.11	669.92	312.0	480.04	947.83	802.41	1127.35	165.57	316.37	3039.3	249.73	4181.07	1359.57	3515.68	3742.05	3212.66	2351.53	187.71
APOL3	591.22	825.0	571.05	684.02	718.08	1135.2	318.57	507.46	144.01	3742.05	195.72	2193.99	995.0	2119.22	2468.49	3168.41	1250.98	53.19
APOL4	53.57	228.13	72.01	96.01	84.63	111.21	105.89	24.11	25.35	679.29	76.71	753.83	297.17	480.04	1044.52	1467.37	432.53	54.33
APOL6	215.77	195.72	198.47	277.2	323.03	339.14	64.34	87.03	73.03	1529.73	47.17	1331.57	500.46	1127.35	1127.35	995.0	836.53	13.22
ATG7	423.61	400.71	392.44	409.15	435.55	412.0	373.81	343.89	363.56	698.41	314.17	559.28	490.14	450.94	587.13	591.22	540.19	334.46
BCL2L14	3.08	3.38	0.52	0.96	9.34	3.26	0.0	0.48	0.0	269.6	0.0	96.68	48.52	57.08	94.01	229.72	84.04	1.99
C1GALT1C1	363.56	287.01	417.77	323.03	325.29	420.68	281.09	279.14	409.15	813.63	414.87	429.54	476.71	473.41	486.75	575.03	518.15	199.85
C6orf62	988.12	981.29	1151.06	1250.98	1030.12	1159.07	733.19	836.53	1242.34	2047.0	1104.13	2032.85	2133.97	2240.11	1745.2	2645.74	1883.54	890.44
C9orf91	125.24	185.11	152.28	130.6	112.77	172.65	137.14	120.1	68.55	246.28	70.01	379.04	244.57	287.01	426.57	429.54	271.48	120.1
CASP1	1250.98	1242.34	1781.89	1508.65	1467.37	1519.15	909.17	928.3	703.28	1819.35	656.11	3257.52	1199.98	2018.8	1781.89	2645.74	1697.45	58.3
CASP7	379.04	363.56	312.0	253.23	493.56	447.82	215.77	223.41	221.86	1697.45	244.57	1781.89	638.15	1250.98	1183.45	1628.26	1340.84	346.29
CD274	51.71	100.83	60.82	127.0	145.02	151.22	58.71	90.14	39.22	808.0	72.01	529.06	361.04	275.28	518.15	476.71	289.02	10.96
CMPK2	87.03	255.0	73.54	220.32	264.03	325.29	22.1	19.53	12.55	3018.3	6.21	884.29	429.54	698.41	1359.57	1225.22	441.64	19.25
CSTB	1432396.03	701458.36	783730.52	2805836.45	389157.95	226632.25	469249.9	5931640.6	102836.01	42346.82	108699.57	5255.91	19082.0	1745.2	22692.63	9409.14	36610.26	1331.57
CXCL10	47.84	3124.78	111.99	88.88	232.94	1313.23	0.0	15.22	17.64	17804.06	2.39	12764.83	6207.38	10883.59	13776.25	24490.61	1832.01	15.91
CXCL11	11.21	237.86	13.62	17.51	43.02	129.69	0.32	0.65	1.35	4802.93	0.0	3060.45	2384.37	1794.29	3467.27	7485.11	309.83	2.97
CXCL9	59.55	339.14	43.94	58.3	75.64	497.0	1.01	15.34	4.39	5076.84	1.41	5403.7	3303.0	3639.7	12764.83	3768.09	1167.14	2.34
DDX58	198.47	312.0	258.57	269.6	281.09	320.8	123.5	136.19	194.36	2224.63	181.28	1685.71	521.76	974.5	890.44	1498.22	353.59	22.1
DDX60	115.16	198.47	162.14	316.37	201.25	327.56	34.26	33.78	53.95	3395.89	26.86	2758.13	529.06	995.0	2163.77	2090.03	1037.29	49.21
DDX60L	77.79	143.01	170.25	221.86	267.73	316.37	66.65	52.82	53.95	1191.69	121.79	836.53	392.44	348.71	718.08	293.07	318.57	76.17
DHX58	417.77	540.19	371.22	429.54	511.0	536.45	195.72	244.57	148.09	995.0	167.9	647.07	583.07	507.46	928.3	830.75	470.14	68.07
DTX3L	435.55	454.09	532.74	500.46	529.06	551.56	271.48	202.66	226.54	1183.45	137.14	1572.76	854.13	1088.92	1151.06	1216.75	733.19	111.21
EIF2AK2	297.17	249.73	361.04	305.55	351.14	376.41	193.01	90.14	80.01	1388.16	80.01	1111.82	476.71	656.11	909.17	1051.79	579.04	171.45
EPSTI1	334.46	466.88	251.48	466.88	336.79	733.19	52.08	60.82	49.91	4512.4	52.82	3847.29	1096.5	1745.2	2816.11	3212.66	934.76	12.83
