	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07
ASCC3	0.44	171.45	473.41	381.68	289.02	74.06	371.22	334.46	403.5	244.57	201.25	379.04	295.11	137.14	162.14	198.47	397.93	287.01	193.01	277.2	186.4	237.86	283.05	197.09	120.94	251.48	417.77	406.31	156.59	307.69	183.82	229.72	353.59	438.59	346.29	497.0	339.14	256.78	246.28	307.69	423.61	303.44	353.59	120.94	265.87	460.44	295.11	237.86	241.19	392.44	249.73	224.97	191.67	417.77	295.11
ASH1L	0.67	106.63	638.15	559.28	120.94	108.9	587.13	277.2	547.75	318.57	108.14	543.96	336.79	139.07	150.17	228.13	420.68	264.03	139.07	241.19	201.25	334.46	336.79	265.87	120.1	110.43	616.37	381.68	140.04	151.22	177.53	173.85	381.68	361.04	264.03	457.25	412.0	234.57	182.55	392.44	642.59	343.89	507.46	136.19	291.04	454.09	314.17	161.02	262.2	444.72	214.27	253.23	291.04	198.47	209.84
ATG13	178.77	607.87	1167.14	1199.98	896.64	988.12	1167.14	947.83	1277.29	1159.07	819.3	1199.98	1051.79	249.73	733.19	941.27	961.07	961.07	848.22	1104.13	974.5	1088.92	802.41	909.17	848.22	947.83	1427.22	1159.07	651.58	595.34	848.22	1044.52	1135.2	1304.15	743.43	1457.23	1242.34	981.29	988.12	1167.14	1159.07	1015.93	1159.07	796.86	1008.9	1037.29	743.43	802.41	1250.98	1286.18	733.19	1059.11	1023.0	995.0	890.44
ATP9A	0.4	309.83	909.17	708.18	279.14	255.0	1015.93	444.72	1111.82	583.07	376.41	884.29	603.67	323.03	406.31	329.84	612.11	361.04	260.38	371.22	277.2	620.67	412.0	379.04	204.07	275.28	656.11	525.39	318.57	503.95	463.65	379.04	733.19	647.07	368.65	583.07	934.76	316.37	343.89	896.64	967.76	543.96	941.27	275.28	403.5	808.0	579.04	295.11	486.75	698.41	318.57	450.94	470.14	371.22	444.72
ATXN1	74.58	57.89	473.41	417.77	151.22	104.42	279.14	165.57	309.83	161.02	132.44	295.11	287.01	22.26	90.14	137.14	320.8	148.09	85.22	42.41	165.57	279.14	158.79	251.48	102.25	90.14	164.42	153.34	152.28	106.63	189.02	115.97	232.94	159.9	234.57	351.14	361.04	102.97	149.12	279.14	241.19	158.79	291.04	134.3	142.01	334.46	159.9	175.07	178.77	208.38	129.69	127.0	228.13	167.9	212.78
BAG5	0.43	244.57	450.94	521.76	334.46	218.79	511.0	343.89	483.38	339.14	232.94	532.74	343.89	195.72	309.83	289.02	420.68	307.69	205.5	297.17	279.14	341.51	316.37	295.11	228.13	205.5	400.71	353.59	226.54	228.13	256.78	318.57	400.71	387.02	309.83	395.18	444.72	307.69	277.2	379.04	607.87	356.05	476.71	228.13	312.0	587.13	299.25	246.28	299.25	376.41	293.07	258.57	307.69	265.87	323.03
BCL2L11	0.44	193.01	406.31	392.44	249.73	137.14	346.29	221.86	363.56	220.32	122.64	400.71	255.0	52.82	183.82	198.47	351.14	182.55	162.14	189.02	178.77	255.0	289.02	325.29	175.07	149.12	307.69	275.28	143.01	153.34	197.09	220.32	249.73	253.23	277.2	336.79	395.18	223.41	251.48	287.01	341.51	232.94	363.56	141.02	260.38	329.84	256.78	153.34	267.73	303.44	169.07	231.32	239.52	195.72	232.94
BCL9L	0.67	92.05	748.61	764.36	244.57	156.59	796.86	400.71	808.0	392.44	91.41	395.18	583.07	92.7	246.28	239.52	563.18	356.05	189.02	251.48	193.01	651.58	500.46	309.83	166.73	136.19	679.29	490.14	164.42	120.94	170.25	228.13	395.18	480.04	273.37	525.39	665.29	309.83	191.67	713.11	791.35	417.77	753.83	199.85	314.17	473.41	316.37	171.45	387.02	878.17	193.01	283.05	389.72	287.01	236.21
CAMSAP1	0.6	124.37	285.03	226.54	229.72	112.77	241.19	191.67	236.21	165.57	115.97	220.32	318.57	111.21	150.17	209.84	218.79	186.4	134.3	162.14	131.51	309.83	249.73	234.57	134.3	90.14	426.57	167.9	100.83	111.21	157.68	112.77	135.24	371.22	197.09	314.17	447.82	134.3	139.07	239.52	299.25	180.02	208.38	113.56	156.59	186.4	189.02	147.06	237.86	220.32	145.02	149.12	190.34	107.38	116.78
CCDC97	0.08	490.14	503.95	551.56	417.77	414.87	624.99	547.75	547.75	454.09	426.57	571.05	607.87	361.04	420.68	473.41	543.96	450.94	358.54	480.04	379.04	647.07	212.78	514.56	384.34	454.09	432.53	511.0	368.65	392.44	381.68	486.75	476.71	366.09	409.15	463.65	540.19	480.04	511.0	543.96	555.41	543.96	579.04	397.93	454.09	460.44	551.56	493.56	511.0	633.73	473.41	473.41	429.54	480.04	514.56
CEP85	0.6	84.04	133.36	136.19	84.63	80.01	140.04	78.89	112.77	80.01	91.41	162.14	116.78	72.52	69.52	55.89	117.6	75.64	44.57	85.22	76.71	81.14	59.13	98.04	101.54	64.34	127.0	84.63	70.51	55.89	47.17	72.01	125.24	95.34	108.14	78.34	90.77	94.67	70.51	82.29	125.24	82.29	127.89	68.55	98.73	96.01	112.77	53.57	88.26	134.3	70.01	106.63	84.63	106.63	120.1
COPA	195.72	1709.26	2434.5	2520.38	1857.6	1540.37	3419.52	1991.0	2976.74	1583.71	1508.65	2758.13	1769.57	1225.22	1104.13	1551.09	1950.0	1685.71	1477.58	2148.82	1457.23	1936.53	2209.26	1883.54	995.0	1233.75	2758.13	2682.69	1277.29	1059.11	1991.0	1350.18	2537.92	2434.5	1697.45	3168.41	2367.9	1639.59	1388.16	2400.97	2855.44	2816.11	2997.45	1639.59	2485.67	2271.4	2018.8	1183.45	1819.35	2875.3	1605.83	1437.15	1628.26	1674.06	1883.54
CTD-2192J16.20	0.0	22.75	40.36	35.25	21.94	18.16	49.56	27.64	34.26	28.86	18.43	30.12	34.26	18.7	20.41	30.78	42.41	21.16	15.45	29.7	30.12	39.5	15.68	27.05	23.25	21.16	40.93	31.67	16.27	16.75	29.91	22.75	25.35	43.94	23.93	38.4	46.18	29.27	34.02	37.59	47.17	32.36	33.78	22.75	26.47	36.27	19.82	28.45	28.86	38.95	20.26	38.12	30.12	24.11	27.25
CYB5R4	0.24	30.34	220.32	279.14	142.01	58.71	237.86	143.01	271.48	118.43	62.56	186.4	115.97	63.0	63.89	71.0	163.28	129.69	57.89	139.07	92.7	116.78	100.83	182.55	52.45	114.36	151.22	166.73	73.03	55.1	82.29	108.14	155.5	166.73	139.07	271.48	231.32	87.03	143.01	169.07	339.14	166.73	161.02	60.82	148.09	236.21	116.78	63.89	125.24	197.09	67.12	50.63	142.01	98.04	109.66
DICER1	0.55	146.03	563.18	493.56	480.04	195.72	366.09	212.78	466.88	497.0	82.87	463.65	325.29	208.38	214.27	285.03	384.34	265.87	480.04	429.54	237.86	293.07	547.75	293.07	116.78	121.79	503.95	368.65	169.07	171.45	529.06	170.25	356.05	395.18	346.29	1015.93	460.44	239.52	134.3	334.46	476.71	305.55	361.04	155.5	249.73	480.04	320.8	226.54	258.57	379.04	320.8	432.53	283.05	258.57	242.88
DTD2	119.26	218.79	348.71	460.44	409.15	214.27	414.87	307.69	423.61	346.29	197.09	503.95	275.28	206.94	186.4	258.57	423.61	271.48	329.84	305.55	273.37	363.56	312.0	293.07	204.07	205.5	438.59	339.14	249.73	220.32	277.2	269.6	435.55	500.46	329.84	366.09	438.59	232.94	212.78	353.59	529.06	307.69	457.25	228.13	336.79	444.72	373.81	187.71	223.41	301.33	234.57	212.78	234.57	307.69	341.51
DYRK1A	0.77	267.73	1030.12	808.0	460.44	336.79	934.76	547.75	629.35	490.14	217.27	748.61	563.18	381.68	358.54	432.53	665.29	480.04	353.59	403.5	409.15	642.59	591.22	536.45	127.0	283.05	1119.56	567.1	295.11	332.14	480.04	341.51	603.67	638.15	514.56	872.1	656.11	392.44	373.81	660.68	947.83	525.39	796.86	293.07	490.14	802.41	603.67	373.81	514.56	780.44	406.31	392.44	470.14	384.34	438.59
EDC3	0.21	447.82	595.34	796.86	454.09	423.61	583.07	466.88	612.11	571.05	612.11	698.41	555.41	438.59	323.03	400.71	624.99	454.09	432.53	412.0	406.31	476.71	583.07	591.22	341.51	363.56	738.29	470.14	376.41	312.0	387.02	536.45	764.36	607.87	536.45	567.1	1233.75	480.04	507.46	483.38	769.69	497.0	684.02	444.72	579.04	555.41	684.02	486.75	547.75	587.13	397.93	493.56	616.37	624.99	435.55
EVC	0.33	68.07	356.05	201.25	127.0	77.25	346.29	214.27	368.65	87.65	77.79	253.23	281.09	5.73	69.03	147.06	271.48	189.02	125.24	123.5	127.0	208.38	323.03	229.72	366.09	81.14	379.04	181.28	58.71	52.45	165.57	167.9	223.41	281.09	84.04	307.69	253.23	143.01	153.34	323.03	346.29	178.77	303.44	107.38	197.09	241.19	214.27	129.69	185.11	209.84	158.79	93.35	228.13	137.14	177.53
FBXL13	0.14	8.78	22.43	14.56	7.94	7.34	19.39	7.88	12.83	11.3	4.31	18.29	3.92	3.82	14.56	6.36	15.68	7.06	6.57	11.73	2.81	9.13	6.52	7.88	5.02	6.11	10.63	14.24	3.06	5.28	9.13	5.5	9.63	10.16	5.63	14.56	15.22	4.13	5.19	9.34	18.97	5.15	7.11	4.13	10.24	11.38	14.89	4.39	4.1	10.47	7.34	10.24	7.28	4.24	15.91
FBXO34	0.49	215.77	563.18	447.82	283.05	158.79	397.93	392.44	406.31	281.09	234.57	387.02	339.14	303.44	267.73	285.03	409.15	248.0	212.78	318.57	249.73	318.57	371.22	236.21	135.24	178.77	483.38	293.07	214.27	232.94	260.38	234.57	371.22	460.44	251.48	490.14	603.67	195.72	285.03	384.34	414.87	258.57	384.34	211.31	379.04	368.65	312.0	283.05	356.05	412.0	285.03	336.79	281.09	323.03	264.03
FBXO38	0.25	291.04	624.99	403.5	379.04	303.44	612.11	426.57	575.03	547.75	194.36	603.67	466.88	212.78	334.46	414.87	438.59	409.15	316.37	201.25	429.54	420.68	536.45	551.56	262.2	368.65	607.87	454.09	381.68	262.2	432.53	293.07	397.93	633.73	595.34	698.41	595.34	366.09	291.04	555.41	486.75	480.04	486.75	327.56	423.61	476.71	579.04	343.89	525.39	466.88	353.59	567.1	414.87	332.14	295.11
FOXO3	169.07	260.38	1304.15	1044.52	500.46	166.73	1015.93	536.45	896.64	595.34	277.2	1030.12	575.03	400.71	279.14	332.14	796.86	543.96	540.19	620.67	563.18	629.35	921.88	583.07	228.13	309.83	1151.06	665.29	232.94	796.86	346.29	409.15	660.68	902.89	954.43	909.17	928.3	599.49	429.54	785.88	1037.29	728.11	981.29	271.48	500.46	1111.82	647.07	348.71	480.04	915.51	417.77	371.22	693.58	444.72	525.39
GANC	0.17	101.54	255.0	223.41	115.97	122.64	271.48	220.32	251.48	220.32	105.15	291.04	214.27	94.01	118.43	208.38	224.97	209.84	81.14	186.4	202.66	177.53	158.79	215.77	215.77	152.28	228.13	236.21	110.43	90.77	205.5	197.09	211.31	231.32	181.28	232.94	231.32	171.45	130.6	202.66	291.04	193.01	231.32	114.36	229.72	223.41	309.83	153.34	158.79	309.83	153.34	180.02	209.84	149.12	197.09
GDPGP1	0.0	163.28	162.14	130.6	139.07	116.78	183.82	169.07	177.53	121.79	61.25	189.02	194.36	69.03	89.51	127.0	202.66	98.04	121.79	164.42	123.5	187.71	147.06	115.97	82.29	141.02	209.84	152.28	78.89	94.67	121.79	140.04	183.82	183.82	154.42	205.5	145.02	141.02	123.5	172.65	189.02	182.55	206.94	118.43	205.5	137.14	201.25	108.14	143.01	201.25	156.59	118.43	167.9	228.13	186.4
GSPT2	0.13	81.71	199.85	191.67	103.69	108.9	232.94	197.09	190.34	197.09	140.04	205.5	178.77	54.72	44.57	186.4	248.0	156.59	55.1	170.25	189.02	153.34	204.07	260.38	88.88	199.85	189.02	190.34	73.54	23.59	31.0	170.25	201.25	169.07	64.8	262.2	220.32	193.01	193.01	194.36	191.67	159.9	223.41	127.0	177.53	212.78	221.86	129.69	186.4	201.25	152.28	30.56	165.57	172.65	173.85
HIRA	0.62	206.94	366.09	486.75	265.87	289.02	368.65	297.17	389.72	329.84	363.56	400.71	379.04	251.48	262.2	256.78	432.53	236.21	148.09	180.02	221.86	420.68	141.02	307.69	269.6	258.57	432.53	307.69	177.53	215.77	248.0	307.69	314.17	429.54	346.29	269.6	555.41	244.57	285.03	327.56	432.53	301.33	435.55	228.13	316.37	351.14	217.27	190.34	348.71	392.44	186.4	205.5	262.2	361.04	265.87
HOOK3	223.41	164.42	341.51	336.79	228.13	47.17	435.55	190.34	314.17	211.31	34.51	397.93	187.71	63.89	134.3	155.5	371.22	198.47	279.14	178.77	169.07	199.85	305.55	316.37	94.67	128.79	438.59	320.8	101.54	82.87	178.77	153.34	164.42	150.17	599.49	438.59	323.03	155.5	139.07	279.14	551.56	239.52	287.01	148.09	318.57	460.44	186.4	128.79	190.34	277.2	147.06	214.27	180.02	143.01	139.07
