	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07
ICMT	148.09	624.99	753.83	748.61	764.36	759.08	785.88	688.78	848.22	854.13	387.02	909.17	633.73	373.81	547.75	629.35	713.11	688.78	571.05	769.69	567.1	842.36	466.88	583.07	575.03	679.29	796.86	753.83	423.61	514.56	842.36	420.68	612.11	866.07	540.19	890.44	684.02	743.43	555.41	928.3	854.13	813.63	780.44	748.61	733.19	785.88	412.0	647.07	599.49	718.08	567.1	647.07	587.13	612.11	638.15
IRF2BP2	486.75	825.0	2875.3	2119.22	759.08	988.12	2133.97	2287.2	2875.3	1909.85	1757.34	3124.78	2240.11	571.05	1417.35	1277.29	2075.59	2018.8	848.22	1135.2	1159.07	1870.53	1508.65	2178.83	988.12	878.17	1662.49	1733.13	1081.39	1277.29	1427.22	1662.49	1340.84	1369.04	1225.22	1628.26	1639.59	1639.59	1896.65	2193.99	3303.0	1225.22	2645.74	1183.45	1340.84	1923.14	2758.13	1313.23	2133.97	2645.74	1044.52	1242.34	1651.0	1896.65	1721.16
ITGA6	0.78	191.67	1369.04	1096.5	457.25	450.94	830.75	708.18	1259.69	896.64	140.04	1427.22	1015.93	450.94	356.05	559.28	860.08	647.07	463.65	674.59	567.1	547.75	353.59	400.71	228.13	507.46	688.78	928.3	599.49	348.71	525.39	529.06	1242.34	808.0	718.08	981.29	941.27	381.68	518.15	1066.48	1437.15	490.14	1066.48	389.72	389.72	1540.37	684.02	603.67	819.3	1008.9	521.76	486.75	802.41	480.04	500.46
KANSL3	228.13	293.07	703.28	521.76	371.22	334.46	665.29	435.55	525.39	529.06	255.0	514.56	571.05	293.07	414.87	429.54	514.56	447.82	265.87	381.68	358.54	379.04	563.18	540.19	327.56	346.29	521.76	432.53	332.14	358.54	409.15	373.81	460.44	435.55	392.44	409.15	497.0	397.93	384.34	587.13	616.37	444.72	547.75	334.46	397.93	460.44	559.28	460.44	457.25	567.1	406.31	540.19	563.18	348.71	412.0
KAT6A	503.95	85.22	441.64	323.03	165.57	84.04	555.41	206.94	361.04	185.11	53.57	316.37	246.28	60.39	137.14	161.02	346.29	176.29	74.58	176.29	140.04	318.57	237.86	297.17	91.41	64.8	470.14	316.37	103.69	69.52	166.73	127.89	167.9	211.31	127.89	432.53	305.55	156.59	138.1	353.59	555.41	256.78	273.37	127.89	221.86	395.18	163.28	144.01	206.94	329.84	134.3	201.25	180.02	105.89	164.42
KIAA0754	0.06	1.2	141.02	96.01	13.52	0.85	114.36	18.56	121.79	25.54	1.51	140.04	33.78	6.01	3.96	15.8	48.52	22.26	8.85	12.93	6.36	23.42	19.11	24.99	1.43	1.23	107.38	37.59	3.69	4.06	11.21	4.21	59.13	60.39	26.67	53.95	40.07	14.35	3.35	70.01	111.21	38.12	116.78	2.16	34.02	69.03	20.86	3.86	21.94	58.71	9.63	8.99	25.72	10.71	12.0
KIF2A	0.53	63.0	316.37	273.37	107.38	49.91	273.37	163.28	327.56	182.55	87.65	361.04	163.28	75.11	91.41	108.14	255.0	191.67	77.25	112.77	106.63	172.65	125.24	231.32	62.56	68.07	327.56	241.19	57.08	27.44	105.15	78.89	199.85	198.47	151.22	297.17	143.01	111.99	98.73	256.78	392.44	175.07	273.37	60.39	138.1	303.44	132.44	74.06	162.14	287.01	101.54	80.57	120.1	108.14	86.43
KLHL9	0.33	220.32	607.87	551.56	307.69	209.84	525.39	395.18	624.99	397.93	171.45	595.34	381.68	140.04	163.28	348.71	551.56	334.46	239.52	356.05	343.89	384.34	397.93	463.65	111.99	178.77	490.14	400.71	190.34	127.89	251.48	249.73	450.94	470.14	358.54	651.58	171.45	332.14	299.25	532.74	583.07	420.68	559.28	202.66	384.34	638.15	587.13	205.5	348.71	447.82	285.03	186.4	406.31	309.83	318.57
KLK2	0.17	520665.48	93325.55	163620.18	391864.76	228208.61	96616.71	329517.51	225066.78	353168.2	156954.93	191899.64	256748.15	170568.48	241220.67	324980.94	236256.4	378516.38	334117.42	378516.38	383800.28	253213.41	386469.83	360589.03	341137.96	443937.41	182810.84	170568.48	338781.54	141455.6	363097.14	324980.94	329517.51	320506.81	373305.21	320506.81	301123.38	419990.32	311742.51	228208.61	139508.13	324980.94	194578.47	279017.26	355624.68	221968.2	437825.58	265802.39	331809.5	185362.8	375901.76	389157.95	365622.68	383800.28	402881.61
KPNA5	74.58	42.41	218.79	162.14	67.59	38.4	171.45	127.0	136.19	120.94	54.33	96.68	129.69	40.07	52.45	84.63	155.5	98.73	69.52	120.94	114.36	75.64	116.78	96.01	23.59	60.82	194.36	96.68	89.51	64.34	86.43	110.43	137.14	94.67	87.65	155.5	151.22	65.26	85.22	108.9	172.65	115.97	136.19	52.82	120.94	211.31	91.41	78.89	88.88	124.37	125.24	58.71	145.02	80.57	131.51
LARP1	571.05	743.43	1745.2	2119.22	1183.45	791.35	1605.83	1030.12	1340.84	1250.98	884.29	1745.2	1216.75	723.08	1001.93	1044.52	1369.04	1037.29	866.07	995.0	764.36	1457.23	1119.56	1268.46	753.83	679.29	1697.45	1250.98	769.69	1037.29	974.5	688.78	1540.37	1561.89	1674.06	1407.55	1572.76	961.07	718.08	1268.46	1639.59	1369.04	1498.22	842.36	1066.48	1340.84	1685.71	738.29	1015.93	1268.46	759.08	1066.48	1030.12	1051.79	921.88
LARS2	0.13	211.31	412.0	368.65	332.14	212.78	379.04	189.02	285.03	356.05	283.05	389.72	289.02	186.4	237.86	260.38	316.37	237.86	211.31	334.46	242.88	303.44	239.52	186.4	211.31	175.07	373.81	234.57	212.78	244.57	255.0	191.67	265.87	414.87	275.28	273.37	327.56	209.84	194.36	318.57	323.03	281.09	348.71	214.27	336.79	305.55	267.73	172.65	279.14	277.2	176.29	353.59	221.86	332.14	246.28
LUZP1	0.44	70.51	366.09	273.37	98.73	104.42	334.46	136.19	334.46	201.25	57.89	316.37	202.66	45.21	116.78	108.9	262.2	155.5	77.79	87.65	78.34	187.71	128.79	144.01	47.5	80.57	273.37	206.94	74.06	68.55	140.04	126.12	215.77	176.29	99.43	262.2	164.42	111.21	98.73	305.55	376.41	150.17	323.03	79.45	175.07	318.57	151.22	115.16	177.53	248.0	84.04	165.57	139.07	137.14	105.15
MANBA	0.43	98.04	483.38	470.14	318.57	47.84	435.55	241.19	314.17	409.15	136.19	323.03	348.71	36.53	145.02	185.11	334.46	353.59	83.45	206.94	242.88	204.07	172.65	194.36	34.26	144.01	476.71	348.71	271.48	214.27	176.29	265.87	457.25	379.04	293.07	220.32	307.69	229.72	208.38	426.57	358.54	473.41	476.71	124.37	559.28	934.76	77.79	152.28	220.32	356.05	177.53	170.25	241.19	348.71	217.27
MAPKBP1	0.83	49.21	221.86	175.07	74.58	54.33	165.57	146.03	139.07	164.42	78.34	136.19	214.27	67.12	104.42	134.3	138.1	150.17	52.82	72.01	107.38	123.5	73.03	194.36	36.01	88.26	137.14	116.78	92.05	53.95	93.35	113.56	101.54	124.37	118.43	117.6	169.07	107.38	130.6	181.28	205.5	119.26	126.12	64.8	102.97	129.69	126.12	120.94	155.5	206.94	73.03	157.68	193.01	109.66	96.01
MED20	0.13	148.09	379.04	379.04	215.77	157.68	414.87	336.79	318.57	265.87	229.72	279.14	283.05	234.57	211.31	264.03	476.71	236.21	197.09	246.28	242.88	271.48	241.19	397.93	157.68	205.5	323.03	327.56	201.25	190.34	202.66	255.0	283.05	309.83	265.87	303.44	283.05	264.03	260.38	312.0	336.79	248.0	406.31	165.57	291.04	358.54	301.33	224.97	264.03	325.29	231.32	239.52	309.83	199.85	236.21
MFAP3L	0.0	29.27	64.8	88.88	44.57	40.93	98.73	71.5	120.1	41.22	13.62	106.63	94.01	7.28	22.92	66.65	61.25	37.59	33.3	87.65	36.01	84.04	10.16	21.94	8.58	47.5	61.68	67.59	32.36	24.63	60.39	53.19	66.65	57.08	22.43	83.45	56.68	42.41	40.93	70.51	92.7	77.79	55.1	21.94	73.03	135.24	41.52	43.32	63.45	77.79	30.12	25.54	55.1	40.93	46.5
MGA	66.65	68.07	368.65	295.11	105.15	90.14	318.57	127.89	291.04	121.79	71.5	293.07	146.03	63.45	63.0	119.26	215.77	98.73	63.89	111.99	90.77	158.79	180.02	161.02	61.68	54.72	305.55	158.79	72.52	72.01	90.77	82.29	170.25	211.31	141.02	281.09	208.38	115.16	81.14	204.07	332.14	149.12	275.28	73.03	138.1	239.52	135.24	81.14	129.69	197.09	83.45	139.07	139.07	100.83	108.14
MIEF1	0.35	208.38	381.68	480.04	379.04	295.11	441.64	323.03	392.44	346.29	177.53	429.54	353.59	215.77	223.41	291.04	389.72	291.04	244.57	275.28	248.0	435.55	275.28	325.29	236.21	214.27	480.04	417.77	215.77	198.47	318.57	241.19	368.65	547.75	277.2	353.59	406.31	289.02	242.88	368.65	518.15	325.29	435.55	258.57	348.71	414.87	327.56	220.32	341.51	412.0	223.41	220.32	303.44	242.88	244.57
MLLT1	0.57	303.44	848.22	802.41	603.67	366.09	1059.11	791.35	796.86	785.88	157.68	764.36	819.3	334.46	441.64	514.56	748.61	563.18	480.04	575.03	314.17	830.75	620.67	656.11	316.37	343.89	830.75	738.29	332.14	336.79	403.5	426.57	575.03	669.92	616.37	738.29	947.83	587.13	444.72	785.88	813.63	665.29	836.53	454.09	567.1	638.15	536.45	395.18	698.41	836.53	414.87	532.74	660.68	532.74	514.56
MTF1	46.18	52.45	143.01	172.65	80.01	53.19	137.14	73.54	182.55	92.05	33.78	150.17	92.7	25.72	59.97	72.52	109.66	68.55	51.35	60.82	57.49	93.35	63.45	71.5	42.41	48.52	150.17	135.24	38.67	47.84	65.26	50.63	111.21	111.99	67.59	134.3	86.43	62.12	60.82	110.43	161.02	78.89	115.97	51.71	78.89	123.5	63.45	54.33	86.43	107.38	60.82	59.13	72.01	72.52	69.52
MYD88	470.14	325.29	629.35	612.11	332.14	460.44	775.05	579.04	733.19	624.99	312.0	620.67	507.46	334.46	503.95	536.45	579.04	490.14	381.68	438.59	312.0	651.58	423.61	447.82	202.66	559.28	547.75	679.29	353.59	616.37	457.25	454.09	525.39	493.56	267.73	647.07	384.34	403.5	473.41	660.68	629.35	599.49	624.99	305.55	563.18	591.22	463.65	414.87	536.45	753.83	457.25	480.04	490.14	473.41	454.09
MYO1D	0.77	551.56	915.51	780.44	896.64	389.72	1437.15	684.02	1183.45	819.3	603.67	802.41	764.36	447.82	616.37	571.05	836.53	684.02	665.29	1023.0	529.06	723.08	1030.12	563.18	397.93	483.38	1216.75	902.89	511.0	460.44	571.05	587.13	775.05	1286.18	713.11	884.29	555.41	842.36	708.18	1143.1	896.64	915.51	1037.29	514.56	842.36	866.07	470.14	460.44	728.11	896.64	693.58	599.49	688.78	748.61	575.03
NDST1	0.4	248.0	854.13	796.86	320.8	514.56	703.28	409.15	934.76	665.29	295.11	941.27	612.11	339.14	264.03	312.0	738.29	334.46	239.52	190.34	249.73	785.88	309.83	575.03	283.05	277.2	995.0	507.46	206.94	299.25	412.0	403.5	571.05	723.08	503.95	825.0	753.83	287.01	325.29	703.28	1096.5	483.38	848.22	368.65	483.38	718.08	620.67	293.07	583.07	791.35	212.78	329.84	348.71	432.53	395.18
NDUFS1	0.37	529.06	1191.69	1023.0	642.59	551.56	1066.48	669.92	1540.37	633.73	698.41	1277.29	514.56	289.02	403.5	591.22	915.51	587.13	555.41	595.34	493.56	909.17	624.99	633.73	507.46	450.94	1369.04	866.07	435.55	312.0	575.03	463.65	848.22	1175.27	775.05	1199.98	808.0	457.25	500.46	884.29	1304.15	796.86	974.5	497.0	808.0	1127.35	579.04	395.18	507.46	1059.11	403.5	387.02	583.07	629.35	579.04
NFIX	332.14	2240.11	3168.41	2645.74	3847.29	1963.57	5255.91	4095.0	3982.99	2209.26	497.0	2682.69	4210.15	830.75	1467.37	3303.0	4038.61	3564.78	2609.3	4328.55	2193.99	5831.91	3515.68	2796.65	1806.78	1697.45	4607.24	3982.99	1674.06	2178.83	2682.69	1721.16	2555.58	3564.78	1313.23	5633.22	5041.77	3540.14	2047.0	4038.61	3820.7	3955.48	5076.84	2701.35	1745.2	3146.52	3146.52	2400.97	2720.15	4512.4	2682.69	2555.58	3742.05	2485.67	2335.28
NSUN3	0.39	106.63	171.45	156.59	102.25	112.77	204.07	140.04	208.38	115.97	98.73	172.65	158.79	108.9	64.34	145.02	165.57	129.69	117.6	120.94	118.43	129.69	68.55	130.6	66.18	86.43	169.07	170.25	92.7	100.83	105.15	89.51	172.65	189.02	120.1	172.65	217.27	134.3	131.51	193.01	181.28	147.06	202.66	94.67	112.77	197.09	170.25	85.22	148.09	163.28	102.25	97.36	138.1	108.9	90.14
NUP153	0.61	112.77	511.0	432.53	209.84	172.65	441.64	234.57	409.15	248.0	103.69	450.94	267.73	176.29	164.42	208.38	356.05	211.31	165.57	215.77	195.72	289.02	303.44	334.46	117.6	114.36	426.57	289.02	119.26	155.5	251.48	157.68	320.8	336.79	239.52	473.41	316.37	186.4	155.5	361.04	483.38	236.21	371.22	140.04	228.13	381.68	295.11	152.28	237.86	351.14	177.53	194.36	221.86	189.02	193.01
PBRM1	0.57	135.24	796.86	599.49	221.86	152.28	808.0	279.14	708.18	343.89	151.22	785.88	307.69	185.11	165.57	236.21	497.0	265.87	178.77	258.57	217.27	389.72	289.02	224.97	120.94	133.36	642.59	441.64	157.68	221.86	212.78	189.02	435.55	435.55	332.14	703.28	476.71	249.73	186.4	497.0	825.0	353.59	633.73	140.04	299.25	591.22	271.48	180.02	283.05	463.65	202.66	253.23	283.05	231.32	236.21
PIGS	334.46	934.76	1313.23	1096.5	1081.39	483.38	1529.73	1073.91	1378.57	1216.75	902.89	1617.0	1350.18	307.69	647.07	848.22	1277.29	1037.29	733.19	1030.12	878.17	981.29	928.3	791.35	642.59	1023.0	1529.73	1407.55	525.39	262.2	785.88	802.41	1322.37	1268.46	656.11	1191.69	1388.16	1199.98	1023.0	1295.13	1583.71	1268.46	1540.37	759.08	1216.75	1359.57	656.11	698.41	1008.9	1313.23	723.08	775.05	1111.82	974.5	693.58
PIK3C2A	0.46	115.97	743.43	718.08	215.77	170.25	674.59	264.03	728.11	358.54	111.99	718.08	316.37	150.17	154.42	246.28	480.04	293.07	220.32	305.55	208.38	312.0	297.17	265.87	94.01	111.21	647.07	480.04	178.77	199.85	260.38	165.57	483.38	457.25	275.28	665.29	470.14	251.48	139.07	473.41	808.0	435.55	624.99	134.3	303.44	599.49	255.0	169.07	265.87	521.76	248.0	224.97	285.03	206.94	208.38
PLEKHM3	0.13	10.31	189.02	98.04	24.99	7.69	113.56	38.12	141.02	44.57	11.73	185.11	45.21	10.0	11.91	29.06	57.08	43.94	20.86	33.06	13.62	45.85	15.22	44.25	11.04	5.92	121.79	65.26	6.62	11.3	19.53	12.74	68.55	67.12	47.5	115.16	76.71	37.59	15.91	65.72	164.42	53.57	100.13	15.22	36.53	72.52	46.5	12.18	34.75	96.68	22.75	26.86	47.84	23.42	24.11
POMK	0.22	7.4	143.01	114.36	29.27	16.75	158.79	33.06	111.21	31.0	3.26	108.9	22.26	7.0	16.39	21.32	83.45	39.79	37.32	41.52	17.25	81.14	20.86	43.63	6.57	9.34	171.45	81.14	6.01	10.24	28.04	10.31	53.95	57.49	133.36	145.02	92.05	18.97	10.39	75.11	158.79	67.59	92.7	36.53	81.14	101.54	24.46	7.63	56.28	82.87	14.14	18.43	44.57	11.55	12.0
PRDM2	217.27	172.65	759.08	532.74	301.33	215.77	616.37	389.72	607.87	450.94	140.04	480.04	503.95	189.02	353.59	329.84	559.28	363.56	231.32	348.71	283.05	412.0	417.77	429.54	186.4	279.14	759.08	417.77	248.0	201.25	253.23	351.14	463.65	384.34	323.03	529.06	497.0	316.37	316.37	493.56	603.67	412.0	571.05	260.38	423.61	525.39	293.07	316.37	395.18	497.0	356.05	351.14	423.61	343.89	299.25
PTAR1	0.52	72.01	417.77	368.65	108.14	110.43	363.56	164.42	373.81	194.36	60.82	397.93	208.38	120.1	93.35	131.51	258.57	159.9	125.24	139.07	132.44	176.29	180.02	246.28	49.56	58.71	318.57	193.01	86.43	71.5	108.14	133.36	232.94	209.84	153.34	285.03	265.87	124.37	99.43	211.31	379.04	162.14	339.14	76.71	158.79	346.29	195.72	77.79	138.1	281.09	141.02	123.5	170.25	127.89	127.0
PTPN1	0.42	559.28	791.35	780.44	796.86	400.71	656.11	780.44	775.05	708.18	314.17	679.29	753.83	435.55	353.59	607.87	651.58	607.87	679.29	909.17	540.19	583.07	1073.91	684.02	647.07	441.64	1191.69	620.67	500.46	406.31	624.99	571.05	660.68	1781.89	723.08	1233.75	988.12	718.08	698.41	728.11	775.05	665.29	665.29	532.74	629.35	723.08	543.96	559.28	703.28	759.08	595.34	693.58	748.61	603.67	470.14
PUM1	95.34	329.84	1605.83	1225.22	490.14	371.22	1540.37	651.58	1277.29	698.41	414.87	1457.23	775.05	366.09	490.14	629.35	981.29	660.68	395.18	595.34	575.03	825.0	890.44	748.61	346.29	346.29	1286.18	878.17	441.64	500.46	511.0	591.22	854.13	1051.79	633.73	1322.37	915.51	493.56	497.0	884.29	1583.71	769.69	1331.57	363.56	647.07	1104.13	665.29	486.75	599.49	1127.35	493.56	638.15	638.15	529.06	607.87
RAB11FIP4	0.3	56.28	318.57	231.32	84.04	66.18	165.57	127.0	226.54	165.57	100.83	239.52	150.17	139.07	129.69	108.9	229.72	87.65	72.01	84.63	60.39	199.85	115.97	167.9	63.45	96.01	181.28	193.01	59.55	148.09	147.06	102.97	149.12	115.16	194.36	186.4	223.41	96.01	108.9	159.9	231.32	156.59	176.29	89.51	190.34	177.53	183.82	89.51	122.64	237.86	76.17	129.69	108.14	136.19	120.94
RABGAP1	87.03	305.55	1030.12	775.05	395.18	406.31	909.17	723.08	642.59	674.59	397.93	819.3	769.69	236.21	397.93	441.64	743.43	656.11	366.09	476.71	400.71	514.56	483.38	595.34	314.17	384.34	759.08	651.58	395.18	351.14	536.45	460.44	595.34	629.35	620.67	947.83	1225.22	493.56	500.46	733.19	902.89	624.99	688.78	409.15	728.11	791.35	698.41	532.74	642.59	743.43	493.56	571.05	684.02	500.46	476.71
RBM12	0.43	279.14	1044.52	1023.0	490.14	384.34	1023.0	563.18	1059.11	607.87	303.44	1044.52	525.39	256.78	264.03	603.67	854.13	432.53	323.03	429.54	368.65	723.08	460.44	559.28	368.65	267.73	909.17	941.27	279.14	285.03	403.5	384.34	878.17	785.88	387.02	1508.65	698.41	376.41	473.41	713.11	878.17	579.04	941.27	256.78	595.34	974.5	743.43	312.0	642.59	802.41	381.68	406.31	579.04	435.55	429.54
REV3L	169.07	59.55	273.37	291.04	89.51	72.01	246.28	146.03	248.0	206.94	34.26	206.94	271.48	61.25	109.66	149.12	269.6	186.4	101.54	120.94	166.73	123.5	165.57	133.36	31.0	85.22	258.57	183.82	108.14	177.53	102.25	176.29	199.85	189.02	131.51	182.55	218.79	104.42	115.97	236.21	289.02	156.59	241.19	77.25	170.25	249.73	170.25	140.04	170.25	205.5	176.29	97.36	161.02	163.28	146.03
RFX5	0.65	361.04	616.37	607.87	503.95	343.89	651.58	547.75	764.36	780.44	169.07	525.39	547.75	438.59	329.84	483.38	507.46	629.35	384.34	470.14	406.31	633.73	480.04	629.35	363.56	361.04	780.44	620.67	316.37	447.82	466.88	414.87	511.0	555.41	409.15	563.18	420.68	480.04	303.44	583.07	830.75	536.45	563.18	336.79	551.56	555.41	450.94	371.22	543.96	656.11	379.04	368.65	587.13	381.68	432.53
RGPD6	34.26	120.94	329.84	358.54	220.32	113.56	327.56	234.57	343.89	318.57	133.36	371.22	194.36	69.52	201.25	236.21	463.65	283.05	182.55	228.13	244.57	182.55	379.04	279.14	149.12	162.14	366.09	361.04	161.02	115.97	265.87	253.23	409.15	329.84	161.02	287.01	503.95	218.79	194.36	287.01	490.14	316.37	291.04	92.7	309.83	301.33	332.14	191.67	241.19	297.17	241.19	447.82	246.28	299.25	316.37
RRP1B	218.79	169.07	336.79	376.41	234.57	185.11	353.59	264.03	224.97	256.78	167.9	353.59	281.09	211.31	204.07	221.86	343.89	211.31	159.9	220.32	186.4	353.59	199.85	312.0	152.28	122.64	316.37	279.14	189.02	211.31	173.85	242.88	299.25	299.25	215.77	301.33	260.38	231.32	221.86	281.09	346.29	273.37	312.0	178.77	211.31	329.84	307.69	211.31	218.79	299.25	204.07	228.13	215.77	220.32	155.5
SCAF8	0.45	172.65	703.28	575.03	314.17	234.57	612.11	417.77	587.13	409.15	111.21	551.56	438.59	255.0	197.09	297.17	486.75	314.17	265.87	334.46	334.46	397.93	473.41	412.0	267.73	187.71	642.59	389.72	190.34	262.2	318.57	312.0	466.88	532.74	346.29	1167.14	514.56	305.55	303.44	463.65	607.87	381.68	529.06	171.45	379.04	563.18	366.09	260.38	320.8	466.88	281.09	262.2	351.14	334.46	348.71
SELRC1	0.0	134.3	198.47	279.14	209.84	128.79	223.41	145.02	202.66	223.41	137.14	260.38	127.89	125.24	150.17	166.73	211.31	150.17	113.56	167.9	101.54	242.88	143.01	161.02	108.14	102.25	371.22	158.79	104.42	142.01	111.21	83.45	194.36	287.01	248.0	193.01	172.65	133.36	105.89	182.55	189.02	139.07	221.86	99.43	171.45	206.94	156.59	110.43	140.04	158.79	149.12	72.01	140.04	151.22	146.03
SERBP1	143.01	2777.33	4388.98	4736.79	2895.31	2224.63	4512.4	3060.45	3847.29	3303.0	2537.92	5006.93	2895.31	2271.4	2645.74	2976.74	3955.48	3124.78	3039.3	2997.45	2997.45	4152.18	3372.43	3443.31	2796.65	2335.28	4575.41	3794.3	2816.11	2133.97	2520.38	2935.74	3928.15	3794.3	4239.45	3690.52	3639.7	2976.74	2609.3	3443.31	4152.18	3349.13	4607.24	2502.97	3325.99	4419.52	4123.49	2193.99	2609.3	3540.14	3235.01	2224.63	2434.5	3168.41	2976.74
SHPRH	0.46	17.38	198.47	214.27	67.59	37.59	161.02	70.01	173.85	106.63	17.0	152.28	94.67	44.57	36.79	68.55	150.17	71.0	47.5	68.07	64.34	86.43	119.26	113.56	24.99	17.38	178.77	126.12	37.32	29.27	44.57	39.22	122.64	129.69	92.7	139.07	127.89	67.12	26.47	103.69	185.11	98.04	164.42	24.99	96.01	150.17	90.14	30.56	73.03	120.94	61.68	67.12	76.71	48.87	64.34
SIN3A	63.89	226.54	780.44	775.05	361.04	320.8	848.22	483.38	629.35	476.71	295.11	660.68	575.03	246.28	381.68	438.59	603.67	441.64	262.2	368.65	281.09	536.45	595.34	473.41	256.78	269.6	723.08	500.46	258.57	275.28	432.53	332.14	490.14	536.45	457.25	651.58	579.04	397.93	409.15	599.49	866.07	435.55	633.73	293.07	395.18	571.05	473.41	351.14	463.65	647.07	336.79	395.18	521.76	358.54	346.29
SLC35C1	0.0	126.12	318.57	339.14	217.27	255.0	447.82	297.17	332.14	387.02	236.21	384.34	323.03	95.34	348.71	256.78	264.03	195.72	204.07	232.94	223.41	373.81	224.97	312.0	126.12	297.17	329.84	346.29	211.31	242.88	336.79	299.25	363.56	325.29	320.8	273.37	209.84	343.89	237.86	353.59	429.54	363.56	395.18	181.28	255.0	348.71	152.28	277.2	351.14	420.68	229.72	273.37	291.04	299.25	305.55
SLC35D1	0.39	92.05	176.29	183.82	127.0	128.79	158.79	155.5	209.84	176.29	37.85	185.11	156.59	45.53	77.25	125.24	198.47	110.43	115.16	132.44	108.14	127.89	144.01	165.57	42.71	85.22	142.01	201.25	99.43	34.02	186.4	100.13	194.36	194.36	73.54	212.78	134.3	128.79	114.36	239.52	262.2	185.11	189.02	102.25	145.02	205.5	157.68	103.69	166.73	223.41	75.64	177.53	134.3	125.24	115.97
SMC1A	0.59	132.44	764.36	547.75	366.09	144.01	934.76	376.41	848.22	397.93	115.97	718.08	420.68	144.01	154.42	242.88	503.95	299.25	197.09	381.68	256.78	480.04	283.05	400.71	121.79	145.02	825.0	543.96	147.06	116.78	195.72	162.14	444.72	638.15	316.37	785.88	397.93	283.05	172.65	633.73	878.17	412.0	638.15	171.45	423.61	660.68	309.83	156.59	373.81	571.05	199.85	211.31	348.71	239.52	204.07
SMCR8	0.19	5.06	353.59	163.28	66.65	18.56	281.09	80.57	318.57	151.22	11.04	283.05	150.17	18.16	26.47	53.95	175.07	82.87	38.12	68.55	35.0	156.59	82.29	111.21	9.27	14.35	325.29	146.03	14.35	21.32	43.94	22.26	144.01	215.77	103.69	281.09	102.25	55.49	23.25	172.65	381.68	134.3	249.73	22.92	115.16	223.41	109.66	17.13	110.43	218.79	40.07	41.81	77.25	52.45	46.5
SMU1	733.19	599.49	1119.56	1242.34	785.88	620.67	1250.98	1081.39	1044.52	954.43	921.88	1044.52	860.08	1081.39	624.99	878.17	1135.2	921.88	713.11	890.44	775.05	1191.69	842.36	890.44	325.29	848.22	1030.12	1051.79	785.88	624.99	1088.92	902.89	915.51	1111.82	860.08	1167.14	591.22	813.63	988.12	1088.92	1242.34	842.36	1159.07	693.58	928.3	1199.98	1037.29	733.19	1001.93	1081.39	713.11	651.58	974.5	921.88	890.44
