	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5525.01A.01R.1580.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ANKRD46	373.81	167.9	387.02	289.02	457.25	267.73	490.14	299.25	409.15	346.29	358.54	348.71	275.28	293.07	397.93	137.14	432.53	312.0	275.28	368.65	149.12	595.34	305.55	289.02	151.22	320.8	309.83	454.09	237.86	301.33	346.29	237.86	256.78	301.33	275.28	612.11	540.19	366.09	215.77	480.04	454.09	376.41	194.36	665.29	153.34	571.05	267.73	281.09	223.41	251.48	387.02	287.01	303.44	249.73	206.94	312.0	490.14	381.68	392.44	607.87	733.19	1030.12	215.77	195.72	426.57	684.02	387.02	403.5	224.97	255.0	447.82	373.81	211.31	379.04	215.77	312.0	373.81	273.37	332.14	529.06	248.0	348.71	466.88	291.04	249.73	400.71	275.28	255.0	341.51	371.22	273.37	299.25	289.02	301.33	204.07	289.02	260.38	244.57	470.14	500.46	356.05	301.33	397.93	409.15	327.56
ARMC1	438.59	214.27	363.56	325.29	656.11	295.11	616.37	329.84	583.07	351.14	521.76	353.59	341.51	334.46	480.04	204.07	379.04	305.55	336.79	400.71	215.77	447.82	291.04	316.37	312.0	334.46	277.2	708.18	253.23	325.29	412.0	346.29	289.02	476.71	336.79	1119.56	629.35	371.22	285.03	532.74	521.76	441.64	289.02	665.29	229.72	563.18	334.46	320.8	397.93	305.55	521.76	395.18	221.86	285.03	281.09	353.59	529.06	358.54	476.71	563.18	967.76	738.29	242.88	246.28	376.41	1008.9	329.84	490.14	242.88	318.57	450.94	616.37	291.04	341.51	267.73	323.03	511.0	329.84	432.53	420.68	249.73	406.31	497.0	334.46	293.07	551.56	376.41	409.15	444.72	323.03	309.83	373.81	283.05	249.73	332.14	283.05	301.33	329.84	514.56	497.0	387.02	363.56	429.54	389.72	397.93
ATP6V1C1	713.11	441.64	656.11	698.41	974.5	591.22	1081.39	444.72	848.22	599.49	698.41	728.11	536.45	503.95	1037.29	327.56	723.08	420.68	476.71	947.83	429.54	1250.98	532.74	493.56	395.18	493.56	551.56	947.83	612.11	423.61	896.64	642.59	555.41	808.0	500.46	1583.71	1457.23	559.28	447.82	902.89	842.36	738.29	473.41	2193.99	336.79	1023.0	563.18	457.25	733.19	381.68	842.36	896.64	656.11	547.75	343.89	532.74	1008.9	796.86	981.29	1183.45	1143.1	1617.0	511.0	473.41	878.17	1233.75	698.41	802.41	483.38	409.15	915.51	791.35	463.65	638.15	423.61	454.09	753.83	389.72	595.34	967.76	447.82	651.58	896.64	514.56	432.53	607.87	551.56	688.78	813.63	579.04	483.38	872.1	490.14	497.0	624.99	361.04	587.13	361.04	587.13	665.29	536.45	426.57	616.37	536.45	389.72
AZIN1	1896.65	743.43	1159.07	1304.15	2104.58	1540.37	2090.03	1104.13	2090.03	1674.06	1447.15	1259.69	1175.27	1135.2	2400.97	563.18	1397.83	1037.29	1233.75	1651.0	866.07	1963.57	1331.57	1151.06	902.89	1151.06	1073.91	2502.97	1437.15	974.5	1832.01	1639.59	1167.14	1519.15	1096.5	2935.74	2520.38	1322.37	1044.52	1059.11	1685.71	1781.89	1216.75	2997.45	603.67	2178.83	1175.27	1081.39	1369.04	878.17	1923.14	1030.12	1259.69	1159.07	633.73	1313.23	2351.53	1529.73	1806.78	2335.28	2835.7	3235.01	995.0	884.29	1923.14	3168.41	1407.55	1498.22	1183.45	1151.06	2075.59	1769.57	785.88	1477.58	884.29	890.44	1540.37	988.12	1498.22	1651.0	708.18	1709.26	1709.26	1059.11	995.0	1427.22	1417.35	1477.58	1745.2	1322.37	1059.11	1519.15	974.5	836.53	967.76	1059.11	842.36	860.08	1605.83	1883.54	1199.98	1096.5	1508.65	1104.13	1127.35
CAND1	1447.15	480.04	813.63	1104.13	1819.35	723.08	1794.29	595.34	1896.65	723.08	1378.57	909.17	547.75	947.83	1225.22	414.87	1183.45	642.59	825.0	802.41	470.14	947.83	954.43	612.11	500.46	688.78	780.44	1870.53	507.46	713.11	1119.56	909.17	660.68	1159.07	656.11	1508.65	764.36	1447.15	791.35	974.5	1216.75	1277.29	684.02	1259.69	441.64	1096.5	825.0	466.88	629.35	555.41	1008.9	967.76	866.07	1119.56	486.75	567.1	1044.52	1447.15	764.36	1143.1	1250.98	854.13	679.29	733.19	1313.23	1721.16	866.07	878.17	612.11	599.49	1037.29	1487.87	575.03	759.08	540.19	718.08	1397.83	660.68	928.3	1081.39	426.57	1250.98	947.83	633.73	638.15	854.13	647.07	684.02	1233.75	1030.12	497.0	698.41	579.04	529.06	607.87	540.19	583.07	583.07	1051.79	1059.11	872.1	620.67	1037.29	819.3	651.58
CPNE3	1617.0	674.59	860.08	1044.52	1583.71	866.07	2209.26	796.86	1769.57	909.17	1529.73	1183.45	890.44	775.05	2193.99	403.5	1561.89	854.13	854.13	1561.89	629.35	2855.44	1447.15	764.36	708.18	884.29	915.51	2777.33	830.75	842.36	1167.14	1104.13	842.36	1359.57	854.13	2682.69	1617.0	1286.18	808.0	1909.85	1286.18	1508.65	842.36	3395.89	567.1	2119.22	884.29	785.88	921.88	684.02	1259.69	1417.35	1096.5	842.36	563.18	988.12	2335.28	1477.58	1757.34	1991.0	665.29	2609.3	988.12	1023.0	1651.0	2739.08	802.41	2240.11	679.29	802.41	1769.57	1540.37	796.86	1143.1	759.08	684.02	1529.73	909.17	1066.48	2240.11	723.08	1225.22	1819.35	775.05	1233.75	1662.49	1388.16	1369.04	1437.15	1259.69	642.59	1119.56	759.08	764.36	753.83	674.59	660.68	698.41	1540.37	1437.15	902.89	738.29	1183.45	866.07	988.12
DDX6	1044.52	156.59	540.19	579.04	1127.35	432.53	1135.2	348.71	1286.18	511.0	1167.14	684.02	320.8	555.41	1044.52	143.01	769.69	334.46	457.25	536.45	371.22	733.19	559.28	379.04	226.54	507.46	511.0	1340.84	309.83	444.72	629.35	603.67	460.44	791.35	246.28	961.07	532.74	836.53	603.67	587.13	802.41	796.86	341.51	866.07	157.68	1216.75	497.0	201.25	173.85	397.93	547.75	323.03	358.54	341.51	211.31	412.0	769.69	656.11	511.0	866.07	1191.69	551.56	348.71	438.59	1183.45	1277.29	785.88	595.34	348.71	327.56	417.77	1023.0	204.07	547.75	197.09	493.56	1167.14	363.56	753.83	1268.46	217.27	575.03	518.15	389.72	323.03	555.41	525.39	392.44	785.88	543.96	289.02	444.72	305.55	291.04	371.22	314.17	312.0	384.34	698.41	854.13	563.18	329.84	813.63	450.94	351.14
DPY19L4	334.46	127.0	181.28	224.97	305.55	236.21	525.39	217.27	454.09	198.47	320.8	297.17	206.94	224.97	392.44	89.51	239.52	223.41	212.78	283.05	167.9	366.09	234.57	214.27	114.36	211.31	205.5	470.14	165.57	166.73	314.17	221.86	209.84	297.17	267.73	665.29	320.8	246.28	170.25	403.5	325.29	307.69	187.71	414.87	117.6	536.45	218.79	182.55	173.85	182.55	277.2	197.09	211.31	171.45	197.09	217.27	341.51	314.17	438.59	406.31	532.74	543.96	172.65	202.66	395.18	483.38	303.44	387.02	161.02	198.47	303.44	384.34	162.14	253.23	150.17	177.53	435.55	151.22	358.54	543.96	163.28	228.13	361.04	211.31	226.54	366.09	201.25	214.27	376.41	242.88	118.43	221.86	185.11	223.41	199.85	218.79	175.07	189.02	376.41	412.0	232.94	231.32	346.29	211.31	231.32
FAM49B	493.56	273.37	368.65	438.59	780.44	379.04	819.3	381.68	620.67	480.04	473.41	460.44	423.61	395.18	941.27	323.03	438.59	343.89	318.57	403.5	295.11	733.19	454.09	389.72	368.65	320.8	303.44	915.51	320.8	334.46	854.13	414.87	327.56	620.67	460.44	1487.87	1015.93	543.96	397.93	713.11	679.29	480.04	400.71	1259.69	353.59	647.07	420.68	348.71	334.46	295.11	759.08	490.14	253.23	358.54	381.68	480.04	438.59	540.19	1111.82	620.67	723.08	808.0	295.11	426.57	567.1	1135.2	518.15	1096.5	363.56	457.25	463.65	559.28	400.71	309.83	384.34	343.89	579.04	316.37	454.09	525.39	325.29	409.15	536.45	376.41	381.68	583.07	518.15	486.75	454.09	397.93	299.25	463.65	363.56	307.69	450.94	293.07	379.04	318.57	579.04	406.31	346.29	329.84	426.57	400.71	450.94
FAM91A1	463.65	169.07	260.38	384.34	780.44	285.03	638.15	277.2	693.58	269.6	511.0	318.57	339.14	332.14	587.13	114.36	285.03	283.05	262.2	457.25	248.0	551.56	305.55	260.38	170.25	236.21	301.33	785.88	271.48	241.19	457.25	412.0	234.57	490.14	269.6	995.0	514.56	379.04	323.03	656.11	473.41	438.59	320.8	780.44	180.02	563.18	348.71	199.85	237.86	195.72	540.19	346.29	325.29	329.84	248.0	353.59	432.53	412.0	547.75	595.34	988.12	575.03	202.66	249.73	493.56	759.08	435.55	511.0	218.79	267.73	450.94	559.28	202.66	341.51	241.19	260.38	521.76	262.2	366.09	518.15	186.4	426.57	444.72	275.28	291.04	426.57	341.51	423.61	426.57	297.17	170.25	303.44	260.38	289.02	297.17	267.73	291.04	251.48	373.81	371.22	267.73	271.48	361.04	251.48	289.02
