	TCGA.FJ.A871.01A.11R.A352.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.13113.1326.SM.5GCOI	GTEX.XBEC.1526.SM.4AT68
ADD3	100.13	1167.14	518.15	665.29	1127.35	1378.57	1697.45	2224.63	521.76	1781.89	1001.93	808.0	791.35	1794.29	1617.0	728.11	819.3	1617.0	2303.12	738.29	470.14	1159.07	1477.58	1295.13	356.05	78.89	93.35	103.69	172.65	71.5	397.93	241.19	147.06
ANO6	249.73	1757.34	1628.26	896.64	1268.46	1896.65	3491.39	4358.66	896.64	1674.06	884.29	1519.15	1340.84	1709.26	1167.14	753.83	1259.69	1896.65	1936.53	748.61	872.1	1551.09	1540.37	1844.76	412.0	454.09	289.02	265.87	466.88	441.64	400.71	214.27	264.03
AP3M1	309.83	441.64	329.84	373.81	441.64	463.65	620.67	483.38	269.6	518.15	336.79	353.59	532.74	624.99	454.09	356.05	423.61	543.96	688.78	237.86	353.59	412.0	525.39	507.46	312.0	283.05	271.48	258.57	211.31	241.19	318.57	239.52	221.86
ATF7IP	149.12	429.54	269.6	260.38	320.8	387.02	743.43	620.67	197.09	429.54	237.86	457.25	236.21	595.34	336.79	217.27	258.57	476.71	543.96	229.72	187.71	384.34	406.31	559.28	114.36	68.07	81.71	93.35	73.54	98.04	182.55	71.0	148.09
ATP2C1	384.34	1388.16	1359.57	703.28	1617.0	1447.15	1936.53	1923.14	941.27	1183.45	1295.13	961.07	902.89	1183.45	1331.57	954.43	1295.13	2163.77	1697.45	872.1	1059.11	1651.0	1697.45	1857.6	483.38	532.74	460.44	507.46	387.02	316.37	547.75	450.94	316.37
B3GALNT1	47.5	438.59	336.79	217.27	327.56	273.37	309.83	423.61	420.68	629.35	273.37	518.15	361.04	493.56	656.11	269.6	417.77	836.53	764.36	125.24	466.88	587.13	764.36	497.0	18.43	16.15	8.92	14.78	22.1	2.71	22.92	4.5	10.39
C5orf15	536.45	4268.94	3540.14	2367.9	2645.74	4066.71	4972.34	8718.32	2816.11	4268.94	3443.31	4095.0	2032.85	4328.55	5831.91	2240.11	3395.89	5183.54	5913.33	1662.49	1639.59	3372.43	3690.52	4066.71	507.46	642.59	703.28	532.74	775.05	723.08	928.3	371.22	543.96
CAND1	532.74	988.12	819.3	660.68	941.27	1008.9	2047.0	1268.46	406.31	1331.57	684.02	1073.91	688.78	1508.65	1143.1	665.29	796.86	1508.65	1175.27	444.72	674.59	947.83	961.07	1529.73	318.57	281.09	246.28	283.05	301.33	265.87	486.75	450.94	356.05
CBX5	507.46	785.88	540.19	341.51	397.93	651.58	1081.39	813.63	301.33	607.87	368.65	620.67	316.37	607.87	507.46	466.88	753.83	802.41	713.11	285.03	406.31	486.75	684.02	723.08	170.25	98.04	117.6	167.9	119.26	85.22	149.12	137.14	106.63
CHD9	85.82	295.11	255.0	199.85	277.2	339.14	339.14	406.31	180.02	381.68	212.78	220.32	191.67	366.09	400.71	199.85	236.21	414.87	387.02	186.4	156.59	400.71	303.44	392.44	116.78	102.25	47.17	70.51	87.65	50.63	180.02	115.16	142.01
