	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CN.5370.01A.01R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.44.6775.01A.11R.1858.07	TCGA.86.8075.01A.11R.2241.07	TCGA.86.8055.01A.11R.2241.07	TCGA.44.6775.01A.11R.A278.07	TCGA.60.2704.01A.11R.2045.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.DJ.A2Q9.01A.21R.A18C.07
AL354993.1	177.53	11.47	10.63	0.0	34.75	146.03	6.67	14.89	14.89	53.57	57.08	62.12	1.62	31.22	37.32	56.68	54.33	31.9	26.86	127.0	38.95	26.86	53.95	22.26	62.12	87.03	42.11	149.12	120.1	94.01	108.9	76.71	77.25
ALDH1B1	291.04	149.12	68.55	34.75	93.35	738.29	30.56	98.04	22.43	67.59	70.01	131.51	53.95	154.42	293.07	373.81	579.04	65.72	82.87	339.14	128.79	126.12	108.14	186.4	133.36	532.74	1044.52	532.74	728.11	1127.35	764.36	500.46	493.56
AMPD2	753.83	229.72	368.65	376.41	409.15	723.08	450.94	309.83	403.5	318.57	493.56	318.57	409.15	389.72	525.39	743.43	842.36	303.44	397.93	595.34	412.0	363.56	291.04	403.5	291.04	872.1	928.3	1159.07	902.89	915.51	1216.75	1175.27	872.1
AP2B1	1977.24	74.06	928.3	403.5	718.08	1127.35	395.18	878.17	237.86	698.41	718.08	842.36	400.71	571.05	1467.37	1286.18	1233.75	503.95	854.13	1322.37	1044.52	764.36	507.46	813.63	406.31	2303.12	2193.99	2090.03	2485.67	2468.49	1651.0	1331.57	1721.16
APBB2	483.38	86.43	217.27	201.25	178.77	599.49	249.73	191.67	214.27	285.03	400.71	167.9	199.85	195.72	435.55	633.73	583.07	209.84	190.34	483.38	301.33	318.57	220.32	392.44	155.5	551.56	406.31	397.93	493.56	703.28	536.45	392.44	463.65
ARHGAP29	1104.13	33.54	44.25	41.81	100.83	202.66	28.45	44.57	37.85	62.12	134.3	63.89	41.81	58.3	150.17	182.55	242.88	100.13	65.72	172.65	98.73	105.89	39.79	135.24	61.25	277.2	209.84	1135.2	842.36	303.44	214.27	150.17	476.71
ARHGEF2	1745.2	571.05	358.54	323.03	480.04	1037.29	381.68	251.48	356.05	151.22	503.95	269.6	587.13	412.0	1037.29	872.1	1313.23	244.57	466.88	848.22	543.96	406.31	551.56	988.12	329.84	1183.45	1044.52	1551.09	1437.15	1242.34	1286.18	1015.93	1733.13
ATF6	473.41	180.02	251.48	197.09	181.28	316.37	285.03	181.28	231.32	275.28	291.04	201.25	281.09	190.34	295.11	303.44	339.14	177.53	217.27	281.09	265.87	264.03	289.02	234.57	217.27	376.41	392.44	444.72	406.31	483.38	454.09	316.37	351.14
AXL	738.29	29.7	148.09	52.08	307.69	1037.29	59.55	61.25	78.34	64.34	412.0	83.45	93.35	66.18	395.18	1175.27	703.28	100.83	325.29	1081.39	186.4	224.97	152.28	363.56	147.06	764.36	723.08	607.87	599.49	878.17	595.34	743.43	1477.58
B3GALNT1	299.25	28.65	40.36	57.08	14.24	111.99	38.4	63.45	58.3	23.42	50.27	36.01	74.58	26.1	141.02	275.28	120.1	46.18	60.82	98.73	77.25	88.26	52.45	109.66	76.71	260.38	312.0	214.27	503.95	373.81	435.55	186.4	379.04
