	GTEX.XBEW.1926.SM.4SOJO	GTEX.WYVS.0826.SM.4RTXB	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZF2S.1426.SM.57WET	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.UPK5.2126.SM.4JBJK	GTEX.V1D1.1726.SM.4JBHB	GTEX.Y3I4.1626.SM.4TT7W	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
ABCA10	89.51	236.21	389.72	4.66	1.55	33.06	24.11	29.48	11.21	23.42	10.39	16.39	32.36	392.44	3.76	4.31	35.25	444.72	466.88	198.47	497.0	1167.14	37.59	27.64	127.89	52.08	81.71	1572.76	64.34	176.29	20.56	23.25	43.32	64.8	67.12	13.93	38.95	14.24
ABCA6	145.02	629.35	785.88	19.82	0.52	3.32	10.0	1.25	0.91	10.31	5.11	11.64	108.14	356.05	4.03	3.35	66.18	486.75	454.09	256.78	423.61	866.07	45.53	100.83	100.13	127.89	307.69	934.76	66.65	441.64	13.03	15.0	7.28	57.08	204.07	13.72	48.87	20.71
ABCA8	693.58	1417.35	1909.85	20.56	2.94	3.69	23.08	2.03	2.66	17.51	3.56	37.05	253.23	902.89	7.51	7.34	40.36	1015.93	1001.93	1674.06	3190.46	6207.38	100.13	115.16	466.88	96.68	224.97	3639.7	368.65	642.59	50.63	90.77	49.91	325.29	323.03	108.14	205.5	67.59
ABCA9	84.63	379.04	511.0	1.39	1.5	4.94	3.38	2.86	0.0	2.48	3.08	0.52	35.25	208.38	1.31	1.3	36.27	395.18	289.02	177.53	334.46	688.78	19.25	35.5	59.13	51.35	185.11	420.68	22.43	248.0	2.05	2.2	3.96	24.81	102.97	2.97	15.45	5.73
ADAM33	400.71	2451.44	1883.54	2.36	1.55	2.16	7.34	0.0	0.51	7.06	2.66	0.0	63.0	567.1	8.45	5.28	143.01	1651.0	1617.0	397.93	1781.89	4181.07	89.51	242.88	264.03	164.42	325.29	5995.9	211.31	733.19	18.43	19.11	105.15	96.01	89.51	22.26	90.14	6.41
ADAMTSL4	373.81	1733.13	1088.92	24.99	39.79	94.67	120.1	19.39	423.61	18.56	155.5	82.87	161.02	1066.48	63.0	45.21	190.34	1467.37	1331.57	603.67	1498.22	2417.67	246.28	595.34	571.05	583.07	1369.04	3564.78	409.15	1008.9	67.59	116.78	108.14	343.89	507.46	57.89	90.77	112.77
ADH1B	4736.79	2287.2	3190.46	26.28	1.46	1.64	88.26	2.03	1.77	97.36	126.12	140.04	10225.32	2061.24	8.0	273.37	12.18	6426.31	4010.71	9808.75	23330.64	48307.85	525.39	669.92	3325.99	1268.46	11035.54	58250.19	1844.76	18819.27	3.29	0.0	8.0	155.5	684.02	2.48	130.6	8.45
ADIRF	4607.24	5441.3	8078.22	212.78	490.14	195.72	954.43	190.34	2255.7	1127.35	33224.42	4181.07	1437.15	1561.89	435.55	3443.31	974.5	5479.15	3372.43	9945.68	44145.15	47313.67	2573.36	1950.0	6607.01	28132.47	10014.87	104271.56	3515.68	28525.2	1540.37	743.43	1111.82	2163.77	3467.27	1794.29	2148.82	1896.65
AL953854.2	18.7	356.05	563.18	0.51	3.0	4.17	3.89	0.87	4.5	8.45	25.54	24.46	50.98	65.26	0.73	12.0	42.41	66.18	85.22	60.82	150.17	15.34	10.24	36.53	26.28	33.54	54.72	141.02	10.88	58.3	11.04	9.06	16.39	24.28	10.24	10.31	7.94	12.27
ANK2	153.34	1081.39	836.53	43.63	6.73	10.47	12.64	15.91	23.25	22.1	126.12	111.21	40.36	674.59	4.54	16.63	69.03	1662.49	915.51	329.84	718.08	3325.99	52.08	81.14	291.04	59.13	307.69	1051.79	285.03	457.25	47.17	13.32	27.05	39.79	189.02	214.27	102.25	38.12
ANKRD35	36.01	90.14	133.36	1.36	0.0	2.05	3.32	0.0	0.45	2.94	1.03	0.0	42.41	40.07	2.97	2.18	27.25	149.12	163.28	94.67	295.11	293.07	29.06	44.89	92.05	49.21	105.15	518.15	62.56	114.36	1.95	4.28	3.44	12.93	26.47	3.92	6.01	3.29
ANXA6	1594.73	6294.04	4937.99	2335.28	2303.12	1313.23	4038.61	769.69	1651.0	1963.57	1977.24	1008.9	4010.71	3081.75	281.09	92.7	848.22	6471.02	6337.83	2075.59	4972.34	3614.55	723.08	1447.15	1832.01	1909.85	2777.33	4972.34	2032.85	4903.87	3212.66	4358.66	2004.85	2417.67	2895.31	3820.7	4210.15	2400.97
AOC3	921.88	6337.83	3982.99	140.04	94.01	41.22	309.83	105.15	170.25	441.64	82.29	39.22	1250.98	536.45	23.25	18.7	466.88	5041.77	4639.29	1519.15	4704.07	2739.08	325.29	575.03	1277.29	954.43	2739.08	4388.98	775.05	3540.14	426.57	392.44	255.0	426.57	1259.69	341.51	371.22	480.04
APCDD1L	1.33	55.1	3.53	2.2	0.0	0.8	0.46	2.76	0.0	2.86	2.46	10.79	8.78	18.16	2.32	1.28	20.86	27.05	16.39	21.01	92.7	64.34	4.35	16.03	57.89	22.1	72.52	53.95	31.67	63.45	2.71	0.72	0.69	1.13	19.39	1.11	0.69	0.82
APOD	1628.26	7230.1	11827.67	28.86	60.39	121.79	77.79	11.38	55.89	212.78	64.8	29.27	119.26	11035.54	325.29	26.28	3515.68	12160.22	15934.98	14163.58	37639.55	144427.91	2664.15	1651.0	5791.62	4671.57	5292.48	200048.85	2271.4	18052.61	190.34	275.28	119.26	764.36	10368.08	42.71	397.93	334.46
AQPEP	31.9	145.02	157.68	0.46	0.99	0.83	0.96	0.83	0.0	1.0	1.53	0.0	3.08	34.75	4.5	0.83	6.84	201.25	150.17	55.89	115.16	72.52	4.28	14.89	46.18	20.11	19.68	152.28	18.43	81.14	8.0	1.14	9.2	3.99	46.18	15.56	2.03	28.65
