	TCGA.4Z.AA7R.01A.11R.A39I.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.E2.A154.01A.11R.A115.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.A6.5666.01A.01R.1653.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FCRL6	0.0	9.34	7.94	2.03	27.64	8.38	6.46	5.32	4.98	10.47	29.27	2.94	4.31	2.39	8.06	10.31	3.72	18.7	14.56	45.85	3.69	0.69	2.63	2.94	23.76	21.16	30.56	47.84	45.53	65.72	23.08	137.14	30.78	53.19	109.66	74.58	37.59	29.27	105.15	9.56	38.95	14.89	6.41	28.86	32.36	32.13	25.35	49.56	2.16	0.0	0.1
FGF1	14.56	40.36	69.52	97.36	173.85	131.51	46.18	55.1	35.5	260.38	194.36	258.57	429.54	78.34	327.56	127.89	108.9	94.67	141.02	651.58	17.25	105.15	156.59	37.32	642.59	514.56	743.43	660.68	669.92	825.0	954.43	2163.77	1208.34	1857.6	713.11	1001.93	1191.69	1001.93	753.83	381.68	2133.97	1369.04	890.44	1883.54	460.44	703.28	1378.57	1175.27	2.94	0.0	0.0
FGF14	2.12	19.82	34.51	34.02	38.12	30.12	9.78	1.66	14.35	115.16	55.49	85.82	239.52	97.36	37.05	34.26	8.92	24.46	76.71	218.79	6.06	18.29	11.64	8.65	57.89	95.34	81.14	69.52	33.78	105.89	59.97	151.22	389.72	262.2	49.91	101.54	110.43	70.01	147.06	127.0	178.77	139.07	301.33	172.65	35.25	141.02	134.3	173.85	8.38	0.0	0.09
GBP2	1051.79	1001.93	909.17	934.76	1447.15	346.29	518.15	301.33	366.09	759.08	1769.57	785.88	2090.03	208.38	954.43	995.0	633.73	514.56	629.35	4769.75	743.43	629.35	842.36	320.8	2796.65	3103.19	3372.43	3303.0	4639.29	3124.78	4388.98	3982.99	5872.48	2915.45	5292.48	7642.41	4639.29	5555.65	6207.38	2758.13	5954.47	4239.45	6250.56	7280.4	2303.12	2609.3	5403.7	6561.36	759.08	0.0	0.25
GPR174	1.2	1.71	4.24	3.2	24.81	0.66	5.28	1.64	5.41	7.11	7.0	1.43	1.91	0.67	2.41	12.93	0.67	1.91	0.0	16.27	1.64	0.62	0.34	0.0	14.35	3.26	16.27	9.27	18.16	38.95	13.03	66.18	22.59	105.15	15.45	27.44	41.22	27.25	20.71	19.53	58.71	19.11	7.82	47.5	6.62	42.41	51.35	22.59	0.0	0.0	0.16
HEY2	32.59	20.26	55.1	363.56	71.5	59.13	8.45	25.72	587.13	108.14	105.89	212.78	63.45	35.5	75.11	31.22	42.11	172.65	36.27	115.16	24.63	23.25	53.57	22.43	271.48	248.0	579.04	242.88	429.54	220.32	470.14	532.74	215.77	441.64	825.0	1963.57	406.31	607.87	441.64	571.05	540.19	118.43	273.37	1397.83	105.89	366.09	860.08	629.35	11.21	0.0	0.24
IRX1	0.0	38.67	40.64	12.0	54.33	41.52	9.06	4.17	5.11	46.5	480.04	12.74	35.76	1.11	208.38	27.25	7.17	75.64	7.94	1832.01	1.79	9.41	18.43	5.63	432.53	665.29	305.55	540.19	775.05	1651.0	579.04	1216.75	2319.15	954.43	603.67	1037.29	3212.66	563.18	1572.76	423.61	1427.22	1127.35	154.42	1407.55	409.15	748.61	981.29	1259.69	0.41	0.0	0.13
ITM2A	62.12	201.25	595.34	305.55	1088.92	70.01	93.35	323.03	166.73	381.68	902.89	679.29	159.9	208.38	318.57	334.46	318.57	228.13	59.13	1477.58	89.51	35.25	299.25	178.77	2240.11	3419.52	2061.24	2434.5	2720.15	1709.26	2591.27	8718.32	4328.55	15075.35	2451.44	3690.52	3742.05	2468.49	2915.45	5555.65	2645.74	6607.01	4419.52	3982.99	3639.7	2047.0	3303.0	4066.71	25.35	0.0	0.34
JAM2	21.32	117.6	287.01	137.14	348.71	218.79	38.67	67.12	69.03	157.68	264.03	249.73	303.44	161.02	218.79	146.03	53.95	106.63	63.0	323.03	51.35	43.94	74.06	47.17	748.61	599.49	507.46	878.17	753.83	417.77	540.19	1519.15	698.41	1950.0	995.0	1051.79	1594.73	890.44	780.44	551.56	785.88	575.03	412.0	1250.98	457.25	791.35	1135.2	1551.09	34.26	0.0	0.1
KLHL13	5.15	7.4	88.88	7.51	95.34	9.85	13.12	6.73	16.75	53.95	117.6	52.82	71.0	25.72	106.63	14.78	3.69	50.63	18.97	616.37	4.28	1.71	25.91	4.13	423.61	703.28	780.44	363.56	543.96	753.83	1397.83	2468.49	1540.37	2895.31	1870.53	1674.06	1023.0	1242.34	775.05	529.06	1529.73	1051.79	808.0	1407.55	343.89	253.23	753.83	848.22	9.56	0.0	0.3
KLRB1	1.81	14.89	42.41	9.2	63.0	2.78	8.0	3.17	16.51	24.11	76.17	12.36	18.29	4.39	11.47	20.56	1.91	11.82	4.17	8.99	4.7	0.61	8.13	10.47	28.04	52.82	73.03	36.79	84.04	53.19	35.76	211.31	66.65	204.07	28.24	161.02	181.28	223.41	11.13	94.01	84.04	397.93	31.0	90.77	109.66	312.0	106.63	67.12	1.27	0.0	0.21
KLRC1	0.0	1.04	5.59	2.86	12.83	0.97	1.35	4.5	1.93	14.78	10.71	6.21	1.91	2.58	2.07	2.63	1.95	4.39	2.32	5.45	1.95	1.22	1.89	2.51	12.0	50.98	15.22	11.82	47.5	47.5	19.53	111.21	145.02	23.08	13.72	19.11	25.54	46.84	52.82	14.78	40.64	5.54	11.3	18.16	32.82	34.51	19.68	41.52	0.8	0.0	0.21
KLRK1	4.21	24.28	25.91	9.34	56.68	4.39	18.43	17.25	9.34	19.97	82.29	14.14	11.38	1.11	21.01	32.13	13.12	23.93	5.59	38.67	5.15	1.68	5.96	1.75	53.19	32.59	65.72	63.0	115.97	136.19	90.77	231.32	384.34	88.88	33.06	66.18	255.0	87.65	163.28	56.28	84.63	39.79	61.68	234.57	41.22	241.19	164.42	100.83	0.87	0.0	0.3
LGALS2	0.0	40.93	50.63	17.77	137.14	0.78	15.34	5.15	44.89	20.41	144.01	8.99	2.29	1.38	19.97	23.42	7.17	8.38	3.47	66.18	3.96	0.0	11.64	25.91	27.84	68.07	147.06	47.84	109.66	58.71	111.21	158.79	253.23	450.94	599.49	260.38	291.04	16.63	30.56	353.59	473.41	444.72	0.0	198.47	145.02	118.43	215.77	44.25	0.0	0.0	0.0
MGP	103551.29	998912.34	1139523.1	502929.67	736332.6	363097.14	327241.36	577714.63	425853.18	716197.51	462789.59	546551.29	207103.59	466008.55	233003.78	358098.26	1196176.45	113315.62	135693.24	623486.02	62431.08	113315.62	459592.86	687022.54	271387.49	425853.18	462789.59	288856.81	331809.5	273275.14	800198.39	358098.26	598087.73	585779.24	1524599.69	496005.67	338781.54	565825.41	565825.41	869603.57	331809.5	1100706.72	845824.19	496005.67	1308968.45	358098.26	305326.92	614902.29	1104.13	3419.52	848.22
NTRK3	0.92	7.28	18.84	7.22	35.25	2.16	1.57	3.92	50.63	9.7	70.51	38.95	58.3	2.89	180.02	18.56	4.62	246.28	5.02	124.37	4.58	12.64	12.93	2.81	145.02	177.53	103.69	153.34	190.34	476.71	417.77	97.36	748.61	33.54	221.86	303.44	563.18	32.13	189.02	28.24	77.79	115.16	45.53	23.42	1936.53	753.83	414.87	190.34	3.5	0.0	0.53
PAK7	0.0	0.61	2.34	0.58	7.57	0.0	0.28	0.0	0.0	2.63	10.16	0.0	0.69	0.0	15.11	2.16	0.27	2.07	0.0	55.49	1.2	0.26	1.77	0.0	31.0	30.34	42.41	18.97	37.85	61.25	63.45	65.72	61.25	43.94	44.25	45.21	53.19	36.01	31.22	10.0	70.51	42.41	30.12	50.98	23.25	21.78	59.55	46.84	0.0	0.0	0.0
PDE1C	6.31	3.06	10.08	8.51	31.45	6.89	1.69	12.09	8.25	16.39	36.79	25.91	15.11	7.34	38.12	13.52	14.56	9.06	9.06	190.34	3.86	7.69	14.45	5.92	139.07	111.21	215.77	158.79	191.67	182.55	224.97	318.57	293.07	420.68	406.31	255.0	525.39	191.67	165.57	147.06	379.04	115.16	429.54	327.56	99.43	169.07	409.15	295.11	6.78	0.0	0.39
PKDREJ	0.31	0.34	1.73	1.25	1.01	1.23	0.66	0.32	0.62	1.55	0.95	1.71	1.11	1.58	1.35	0.97	0.64	0.31	0.65	2.71	0.0	0.59	0.0	0.61	3.14	2.84	3.17	3.53	5.28	4.03	5.11	6.16	2.94	10.24	6.36	4.58	6.36	4.78	1.43	0.68	1.51	0.71	5.54	6.57	3.76	1.51	3.08	2.71	1.17	0.0	0.06
PLLP	241.19	46.5	134.3	102.25	94.01	75.64	31.22	56.28	67.59	76.17	170.25	191.67	87.65	64.8	72.52	51.71	195.72	44.57	58.71	417.77	30.78	97.36	152.28	265.87	220.32	417.77	346.29	307.69	320.8	476.71	363.56	271.48	575.03	124.37	281.09	214.27	301.33	307.69	149.12	111.99	260.38	679.29	518.15	111.99	1037.29	195.72	339.14	368.65	49.21	0.0	0.4
PPP5D1	8.65	24.81	7.34	15.0	29.48	6.89	36.53	16.75	17.51	28.65	29.27	44.57	18.43	13.03	34.26	20.56	5.19	17.38	8.13	36.01	7.06	9.78	15.34	27.64	23.93	43.32	34.02	44.57	38.67	67.12	47.84	49.21	30.56	67.59	32.82	42.41	132.44	17.77	30.56	19.82	35.25	87.65	18.16	66.65	61.25	53.19	90.14	30.56	4.28	0.0	0.0
SCML4	0.0	2.14	2.92	2.01	15.11	0.71	6.73	3.66	2.66	5.28	12.83	3.26	3.5	1.69	3.53	7.94	3.0	6.06	2.73	4.94	0.0	0.67	1.01	3.23	5.82	7.69	19.39	13.72	17.64	19.82	7.75	21.94	13.93	31.22	9.34	48.87	22.43	25.17	18.7	6.36	34.51	10.0	5.41	12.83	17.0	94.01	11.91	13.03	1.57	0.0	0.33
SCN2B	0.0	0.27	8.0	1.71	6.89	1.99	0.88	0.0	0.25	11.82	18.84	1.57	6.84	0.0	9.34	3.86	0.0	3.72	9.2	52.45	0.55	0.23	0.82	1.1	30.56	44.25	46.18	24.99	60.39	50.27	63.0	124.37	69.03	131.51	30.56	103.69	54.33	35.76	44.25	15.34	111.21	43.32	18.56	74.06	3.76	53.95	55.1	73.03	0.0	0.0	0.0
SCN4B	6.89	21.01	66.18	41.52	181.28	24.11	15.56	20.11	18.29	108.9	113.56	108.9	59.97	33.06	104.42	45.85	36.53	33.3	31.22	423.61	35.0	19.82	49.21	450.94	403.5	406.31	329.84	299.25	460.44	514.56	454.09	587.13	500.46	1023.0	651.58	1066.48	612.11	599.49	551.56	371.22	503.95	387.02	547.75	684.02	123.5	343.89	764.36	1806.78	4.9	0.0	0.0
SFRP1	2.46	126.12	172.65	59.55	941.27	25.91	14.67	7.94	69.03	142.01	2701.35	154.42	84.63	5.02	651.58	135.24	22.75	198.47	64.34	15499.21	7.57	10.63	299.25	13.22	7433.4	7911.95	10959.3	6337.83	10225.32	12502.12	11345.82	64632.75	43236.64	22225.61	50011.46	35609.13	32994.92	56265.94	16960.78	4095.0	17197.56	43840.21	18560.17	17681.08	12589.08	8247.98	27363.16	44761.41	3.47	0.0	0.24
SLC27A6	14.24	4.46	14.78	4.82	26.1	0.59	10.0	0.0	38.12	9.34	53.95	0.99	10.96	3.96	76.71	9.85	0.29	12.64	3.08	314.17	0.6	0.27	8.19	40.64	119.26	171.45	264.03	101.54	205.5	248.0	363.56	638.15	624.99	543.96	329.84	1191.69	215.77	387.02	295.11	102.25	497.0	307.69	205.5	463.65	155.5	131.51	237.86	435.55	1.1	0.0	0.0
SOX10	0.0	39.79	48.18	14.14	115.16	1.69	2.46	1.07	3.99	24.28	698.41	10.63	21.16	0.0	137.14	17.77	3.72	75.11	2.43	3515.68	0.0	6.16	37.59	0.0	1001.93	1183.45	1870.53	1111.82	2287.2	3467.27	2451.44	5633.22	4639.29	2573.36	6294.04	7331.05	4450.27	3235.01	1909.85	353.59	2627.46	7433.4	1199.98	2502.97	1950.0	1685.71	3982.99	2061.24	0.0	0.0	0.0
STAT4	7.82	13.52	23.25	13.03	44.89	4.46	17.0	6.21	27.64	36.79	40.64	15.0	19.97	4.21	29.91	17.38	7.22	12.27	9.7	38.67	3.2	3.29	3.11	9.27	61.68	25.72	55.89	53.95	63.89	87.65	55.89	150.17	95.34	85.82	45.53	111.99	123.5	114.36	103.69	24.81	72.52	33.3	73.03	62.56	15.34	61.25	206.94	137.14	3.92	0.0	0.34
XCL2	0.0	10.47	19.11	7.17	19.25	5.32	15.22	4.54	3.89	19.25	15.56	12.09	3.89	0.0	15.34	11.38	7.28	14.14	0.0	40.36	4.24	3.08	8.19	5.28	22.92	33.54	18.43	37.32	56.68	44.25	38.4	27.05	59.13	185.11	15.91	13.42	53.95	46.5	27.44	14.67	116.78	81.71	76.17	22.92	40.64	148.09	50.27	63.89	0.0	0.0	0.0
