	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.E5.A2PC.01A.11R.A206.07	TCGA.AR.A0TW.01A.11R.A084.07	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W6.AA0S.01A.11R.A41I.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4730.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.KL.8339.01A.11R.2315.07	TCGA.KL.8323.01A.21R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KO.8406.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AA3A.01A.11R.A37K.07	TCGA.ED.A82E.01A.11R.A352.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.2Y.A9H2.01A.12R.A38B.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A4NA.01A.11R.A266.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.S32W.1926.SM.4AD63	GTEX.YFC4.1526.SM.5IFJS	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZTPG.1426.SM.51MT3	GTEX.X261.1726.SM.4PQYT	GTEX.Q2AG.1126.SM.48U1P	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.XBEC.1526.SM.4AT68	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.139TU.0826.SM.5IJFG	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.132NY.0926.SM.5P9G3	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.37.4135.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.BK.A139.01A.11R.A277.07
ABCA6	8.32	3.69	28.24	42.71	31.67	38.95	31.9	2.68	4.24	6.52	1.66	5.28	8.92	5.19	3.5	3.92	514.56	603.67	587.13	264.03	532.74	323.03	19.82	12.74	264.03	536.45	463.65	117.6	674.59	1233.75	15.22	108.14	480.04	551.56	228.13	215.77	83.45	540.19	1447.15	1457.23	808.0	1477.58	1628.26	915.51	1081.39	1151.06	2178.83	54.72	1870.53	58.3	34.02	466.88	299.25	1268.46	890.44	995.0	53.95	1806.78	1008.9	215.77	242.88	1277.29	1073.91	1322.37	83.45	395.18	698.41	1096.5	53.57	830.75	1628.26	738.29	896.64	309.83	12.55	1183.45	0.0	0.27	11.73	16.27	31.22
ABCG5	0.31	0.6	0.3	6.21	1.62	3.38	1.58	8.92	0.38	0.64	0.31	0.0	0.0	0.72	0.0	0.0	376.41	486.75	429.54	291.04	1037.29	178.77	19.53	1.58	406.31	420.68	323.03	279.14	698.41	1023.0	2.2	299.25	332.14	651.58	518.15	409.15	3.35	409.15	974.5	1216.75	540.19	842.36	1119.56	866.07	836.53	684.02	2193.99	180.02	1001.93	49.56	58.3	454.09	63.45	1437.15	3716.2	612.11	17.51	3257.52	836.53	103.69	348.71	301.33	9409.14	2075.59	205.5	432.53	954.43	1313.23	18.56	665.29	2485.67	915.51	2148.82	293.07	165.57	285.03	0.0	0.0	0.37	0.96	1.39
ACSM5	0.0	0.0	13.52	29.91	23.76	18.29	8.92	0.0	0.46	3.56	5.28	5.73	8.25	22.26	7.0	4.74	1286.18	1819.35	1794.29	796.86	2502.97	62.56	54.72	22.75	595.34	1832.01	155.5	301.33	1350.18	1844.76	18.29	327.56	915.51	2255.7	389.72	186.4	22.92	1167.14	1639.59	6381.92	3280.18	3303.0	4181.07	2075.59	2935.74	4038.61	10659.59	42.41	1709.26	128.79	61.68	4358.66	226.54	5441.3	7382.04	2061.24	759.08	5441.3	3372.43	409.15	470.14	4210.15	7857.29	3901.01	480.04	457.25	2537.92	6207.38	64.8	2468.49	2240.11	1594.73	1896.65	1617.0	17.13	1159.07	0.0	0.14	2.89	14.45	14.67
ADAMTS13	3.44	16.88	15.0	83.45	65.26	31.67	3.17	2.32	2.58	31.9	51.71	97.36	115.97	74.06	62.56	15.8	136.19	77.25	76.17	28.65	43.94	86.43	144.01	122.64	74.06	117.6	37.32	96.68	70.51	123.5	70.01	64.8	18.16	158.79	46.18	46.5	38.95	208.38	287.01	872.1	733.19	579.04	514.56	842.36	825.0	529.06	353.59	281.09	629.35	358.54	260.38	392.44	133.36	961.07	1487.87	497.0	164.42	802.41	2255.7	518.15	397.93	518.15	2104.58	1088.92	426.57	281.09	373.81	748.61	426.57	941.27	1208.34	1605.83	518.15	389.72	202.66	500.46	0.0	0.59	18.97	5.68	18.03
AGPAT2	1617.0	1721.16	1199.98	2555.58	3018.3	2004.85	1073.91	514.56	2351.53	1277.29	2061.24	2240.11	2240.11	2701.35	2935.74	4239.45	5517.27	4328.55	4268.94	1870.53	5076.84	3742.05	1388.16	6121.9	3081.75	6250.56	4181.07	2796.65	6294.04	5791.62	6207.38	1605.83	4575.41	6381.92	3168.41	2855.44	3491.39	2119.22	5831.91	6471.02	5831.91	10084.54	5255.91	6887.62	5006.93	5076.84	6164.49	6792.79	4181.07	5831.91	10883.59	3820.7	3614.55	8538.88	15607.02	5292.48	1605.83	9215.48	8598.28	1870.53	2319.15	7803.01	17078.76	10368.08	14867.79	5791.62	7911.95	12160.22	1437.15	5831.91	7081.29	8718.32	8421.31	3081.75	4268.94	29736.59	1008.9	656.11	1417.35	1313.23	141.02
AGXT2	0.0	0.0	0.89	8.99	0.0	0.64	0.0	0.0	0.0	0.0	0.69	5.32	0.82	1.16	1.58	4.35	1096.5	808.0	1143.1	518.15	1447.15	98.73	15.68	1.14	423.61	693.58	246.28	183.82	599.49	2976.74	3.53	195.72	239.52	1250.98	620.67	759.08	4.46	1030.12	3742.05	3847.29	1143.1	2758.13	2739.08	3372.43	3874.05	2875.3	4512.4	3.96	4419.52	19.39	53.19	51417.5	55.1	2451.44	6207.38	5831.91	1950.0	5672.41	4575.41	1417.35	2875.3	1143.1	1857.6	7485.11	432.53	363.56	1685.71	2609.3	1359.57	6607.01	7081.29	2664.15	29531.18	8718.32	158.79	813.63	0.0	0.01	0.0	0.59	0.0
ASGR1	13.42	44.89	21.63	117.6	54.72	476.71	70.01	7.28	8.19	87.65	0.68	32.36	2.76	5.96	4.66	1.2	12160.22	10659.59	14765.09	6935.54	16269.83	6983.79	603.67	55.89	14971.21	16496.96	7695.57	1388.16	25179.16	16269.83	102.97	6426.31	11345.82	9474.59	8901.53	9279.58	1721.16	11189.6	19214.73	19482.97	21320.18	12160.22	19482.97	23169.48	16496.96	15934.98	16960.78	14065.74	32767.0	7230.1	15934.98	20737.16	12244.81	34635.37	22225.61	40904.3	10368.08	36864.92	31432.17	16843.62	6381.92	20030.74	94628.34	32767.0	1883.54	19482.97	19618.49	33688.23	4607.24	17317.18	68318.04	50709.61	57051.4	54727.32	780.44	136637.07	0.0	0.34	39.79	35.76	9.78
C19orf66	379.04	381.68	281.09	1540.37	759.08	1088.92	285.03	132.44	186.4	215.77	289.02	277.2	255.0	409.15	309.83	117.6	3081.75	1674.06	3515.68	1819.35	4210.15	1467.37	928.3	988.12	2434.5	2935.74	2303.12	1467.37	2720.15	3665.02	1051.79	2739.08	2664.15	2875.3	2555.58	2133.97	1583.71	3103.19	2739.08	3443.31	2895.31	3060.45	3589.58	3349.13	2502.97	2627.46	4066.71	2133.97	4123.49	2032.85	3257.52	3190.46	1923.14	4575.41	6516.03	4575.41	1857.6	3955.48	6337.83	2895.31	2319.15	2701.35	7485.11	4836.35	3103.19	2796.65	6164.49	3874.05	1477.58	3303.0	8247.98	4328.55	3467.27	2178.83	2627.46	4181.07	1447.15	1096.5	248.0	204.07	246.28
C1RL	223.41	941.27	208.38	1467.37	1819.35	981.29	291.04	521.76	178.77	387.02	127.0	122.64	131.51	147.06	114.36	60.82	1447.15	3146.52	2645.74	1242.34	4010.71	995.0	1286.18	2351.53	1519.15	2224.63	1350.18	2032.85	3212.66	4066.71	1313.23	890.44	2451.44	1685.71	1857.6	1662.49	769.69	2271.4	5292.48	7180.15	3564.78	6652.97	5594.3	5672.41	4512.4	5006.93	7180.15	1963.57	4038.61	2835.7	1709.26	6652.97	1721.16	6164.49	6426.31	3690.52	3168.41	9088.59	4903.87	3690.52	4543.8	2367.9	5292.48	6699.25	3103.19	2935.74	3614.55	4298.64	2303.12	4972.34	6207.38	4481.23	7130.55	4419.52	3124.78	2855.44	0.0	0.72	896.64	500.46	624.99
CAMSAP3	20.86	0.95	187.71	339.14	169.07	49.21	31.45	107.38	249.73	29.7	17.9	123.5	61.68	169.07	221.86	25.72	866.07	241.19	656.11	366.09	348.71	447.82	281.09	205.5	486.75	674.59	309.83	423.61	591.22	486.75	279.14	312.0	738.29	454.09	521.76	220.32	529.06	460.44	403.5	334.46	450.94	629.35	441.64	341.51	348.71	303.44	547.75	246.28	693.58	204.07	723.08	204.07	412.0	1059.11	738.29	748.61	264.03	454.09	454.09	473.41	303.44	583.07	1572.76	775.05	429.54	432.53	723.08	389.72	163.28	343.89	1081.39	507.46	395.18	476.71	409.15	612.11	0.0	0.03	71.0	131.51	62.56
