	TCGA.CZ.4864.01A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
AC004466.1	49.91	2.68	0.0	223.41	92.05	77.25	76.71	110.43	66.65	69.52	44.25	34.75	55.49	271.48	80.01	267.73	23.42	228.13	57.08	346.29	54.72	71.0	262.2	265.87	209.84	146.03	100.83	100.83	171.45	392.44	48.87	40.07	90.77	129.69	45.53	82.87	52.82	44.57	10.0	43.94	49.56	181.28	163.28	244.57	86.43	176.29	144.01	134.3
ACTR1A	1369.04	759.08	0.0	3540.14	4095.0	1417.35	2835.7	2148.82	2148.82	1551.09	1745.2	1709.26	2915.45	3768.09	3491.39	3372.43	1733.13	3146.52	1151.06	2573.36	1617.0	1340.84	3212.66	2739.08	4607.24	4268.94	1561.89	2485.67	3874.05	3235.01	1594.73	1350.18	1936.53	1407.55	1143.1	2351.53	1733.13	2004.85	2061.24	1487.87	1909.85	3349.13	3716.2	4066.71	1508.65	3982.99	2287.2	2645.74
ADAM15	1015.93	279.14	3928.15	2178.83	2351.53	2720.15	2178.83	1794.29	1857.6	1340.84	1977.24	2451.44	2004.85	2976.74	2133.97	4419.52	1250.98	3665.02	2351.53	7803.01	941.27	1857.6	4671.57	3901.01	5441.3	4095.0	2004.85	3614.55	3081.75	9876.98	1477.58	775.05	1583.71	2816.11	1259.69	3280.18	1295.13	2075.59	1088.92	1119.56	2178.83	2835.7	4481.23	2816.11	954.43	4152.18	2555.58	3540.14
AHDC1	150.17	53.19	72.01	412.0	323.03	140.04	185.11	145.02	193.01	102.97	228.13	156.59	167.9	587.13	186.4	890.44	57.89	500.46	395.18	514.56	164.42	166.73	579.04	463.65	323.03	547.75	156.59	275.28	441.64	1001.93	108.9	211.31	208.38	156.59	63.89	211.31	204.07	197.09	44.25	129.69	143.01	507.46	426.57	395.18	172.65	366.09	271.48	511.0
AOC2	10.88	5.45	0.0	71.0	24.81	8.06	17.13	38.4	34.75	9.48	15.11	31.22	72.52	43.32	11.82	115.16	37.05	41.22	14.14	33.54	26.67	61.25	66.18	30.12	63.0	32.36	16.15	21.47	59.97	71.0	12.09	19.25	24.28	11.82	3.59	24.28	22.92	66.18	14.35	45.85	61.68	24.46	40.36	96.01	41.52	29.7	46.84	31.67
APOL2	2119.22	830.75	665.29	2255.7	1529.73	974.5	1340.84	2193.99	1286.18	1088.92	1467.37	1359.57	878.17	1685.71	1709.26	2976.74	633.73	2119.22	819.3	3928.15	599.49	1073.91	4869.99	3190.46	6426.31	1457.23	1498.22	1159.07	2319.15	5183.54	1088.92	521.76	1167.14	1295.13	1183.45	1963.57	713.11	457.25	743.43	403.5	674.59	2367.9	4298.64	2287.2	738.29	3190.46	1407.55	1991.0
ARHGAP23	164.42	81.14	0.0	4152.18	819.3	490.14	674.59	915.51	808.0	144.01	642.59	493.56	665.29	1369.04	1104.13	3665.02	283.05	2018.8	291.04	9151.82	743.43	384.34	1457.23	1583.71	7130.55	1594.73	490.14	2193.99	1757.34	9606.86	246.28	161.02	674.59	988.12	237.86	738.29	480.04	480.04	555.41	180.02	353.59	5006.93	785.88	5147.73	171.45	1794.29	1369.04	1685.71
ARHGDIA	5995.9	2319.15	7589.61	9474.59	7911.95	7433.4	10585.95	11909.94	8778.97	8658.09	5329.3	6840.04	8778.97	6887.62	12244.81	7695.57	5006.93	10585.95	6207.38	11745.96	6426.31	6294.04	10659.59	8901.53	17927.91	9344.14	9279.58	12244.81	10808.41	16157.44	7032.37	6792.79	8718.32	8022.41	3190.46	8421.31	6983.79	7331.05	6337.83	7485.11	5112.16	10659.59	10733.74	10808.41	7966.99	11827.67	9474.59	11584.24
ATP2B4	947.83	293.07	902.89	5913.33	3060.45	1081.39	1407.55	1277.29	1709.26	909.17	2104.58	1551.09	1088.92	5555.65	1757.34	5751.61	1594.73	3540.14	1059.11	5954.47	2004.85	2816.11	4736.79	3901.01	7130.55	3190.46	1697.45	2018.8	2816.11	11827.67	915.51	802.41	2119.22	2178.83	1819.35	2400.97	1498.22	1340.84	1388.16	733.19	1896.65	5366.37	7433.4	7695.57	728.11	4210.15	3257.52	3515.68
BEND7	220.32	215.77	0.0	1044.52	769.69	141.02	759.08	275.28	397.93	63.89	142.01	753.83	241.19	1561.89	163.28	1350.18	148.09	703.28	62.12	1208.34	493.56	361.04	1073.91	232.94	753.83	1151.06	72.01	251.48	591.22	1794.29	232.94	194.36	275.28	575.03	246.28	316.37	336.79	150.17	88.88	92.05	173.85	1037.29	2367.9	1519.15	204.07	780.44	656.11	785.88
