	TCGA.DK.A2I2.01A.11R.A180.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.C8.A3M7.01A.12R.A21T.07	TCGA.DS.A3LQ.01A.21R.A21T.07	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.F7.A61V.01A.11R.A28V.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.7250.01A.11R.2016.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.CJ.4882.01A.02R.1426.07	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG
A2M	2591.27	7537.18	7537.18	11992.79	2537.92	529.06	2090.03	3847.29	961.07	2451.44	7589.61	4972.34	713.11	890.44	1277.29	1159.07	1096.5	373.81	30785.28	17804.06	19482.97	1709.26
ACVRL1	289.02	438.59	438.59	669.92	218.79	112.77	264.03	323.03	84.04	285.03	679.29	106.63	126.12	60.39	108.14	101.54	111.21	63.89	1651.0	988.12	1709.26	125.24
ARHGEF15	55.89	248.0	248.0	753.83	66.65	24.11	79.45	163.28	29.7	77.79	353.59	53.19	29.27	24.99	41.52	30.78	27.64	4.35	988.12	371.22	376.41	74.06
ARHGEF6	94.67	297.17	297.17	244.57	49.56	24.63	58.71	87.03	46.18	46.84	132.44	25.72	12.93	44.89	29.06	17.51	25.72	17.38	599.49	336.79	115.97	97.36
ATP8B4	46.84	44.25	44.25	75.64	21.01	9.34	22.59	33.78	22.26	39.5	65.26	19.82	3.5	15.91	17.64	11.3	8.13	4.86	61.68	65.72	18.16	40.64
BCL6B	149.12	177.53	177.53	579.04	63.89	12.93	68.55	113.56	13.42	40.07	293.07	23.08	54.33	18.56	41.22	63.45	35.5	10.39	842.36	532.74	229.72	81.14
CACNA2D4	55.49	76.17	76.17	57.49	46.84	31.22	57.08	102.25	42.71	46.5	82.29	35.25	16.39	17.25	33.78	37.32	22.43	12.83	651.58	112.77	190.34	26.86
CD34	260.38	1225.22	1225.22	2004.85	624.99	92.05	612.11	1268.46	162.14	595.34	2319.15	373.81	190.34	118.43	228.13	201.25	242.88	40.07	4937.99	2875.3	902.89	320.8
CDH5	159.9	543.96	543.96	1369.04	175.07	42.11	190.34	376.41	79.45	224.97	642.59	88.88	112.77	72.52	78.34	127.0	131.51	18.84	2777.33	1508.65	1119.56	152.28
CLEC14A	123.5	511.0	511.0	1467.37	163.28	50.63	177.53	316.37	90.14	242.88	575.03	140.04	82.29	49.56	111.99	167.9	114.36	27.44	2502.97	1295.13	1508.65	112.77
CNPY3	1477.58	1832.01	1832.01	1322.37	1340.84	397.93	1104.13	1745.2	450.94	1088.92	3124.78	463.65	743.43	271.48	947.83	1143.1	902.89	819.3	1832.01	1963.57	1359.57	764.36
CXorf36	131.51	264.03	264.03	808.0	66.18	20.71	91.41	170.25	31.45	98.04	273.37	74.06	43.63	29.7	41.81	47.84	42.71	10.47	1030.12	684.02	198.47	75.64
DDAH2	1963.57	2061.24	2061.24	3257.52	878.17	500.46	1259.69	2417.67	1487.87	2090.03	1369.04	563.18	371.22	665.29	1417.35	733.19	173.85	1066.48	2119.22	3168.41	1529.73	1674.06
ECSCR	579.04	890.44	890.44	3874.05	518.15	167.9	384.34	518.15	234.57	633.73	1277.29	507.46	163.28	103.69	248.0	187.71	221.86	35.5	4268.94	2148.82	2119.22	518.15
ELTD1	171.45	571.05	571.05	1295.13	165.57	36.79	118.43	223.41	53.19	111.21	409.15	74.58	100.83	41.81	66.65	98.73	68.07	18.16	1870.53	1015.93	297.17	116.78
EMCN	71.5	420.68	420.68	1697.45	72.52	18.03	66.18	134.3	46.84	88.88	348.71	70.01	18.84	23.08	51.35	40.36	33.54	2.97	1044.52	1295.13	373.81	59.97
ENTPD1	376.41	791.35	791.35	1023.0	251.48	110.43	281.09	371.22	109.66	223.41	540.19	127.0	84.63	111.21	141.02	157.68	193.01	68.55	1594.73	1051.79	356.05	167.9
EXOC3L2	49.91	110.43	110.43	197.09	72.52	25.72	44.25	151.22	28.65	81.14	397.93	24.81	35.0	25.72	35.5	109.66	31.22	28.65	1508.65	902.89	112.77	17.13
FAM65B	48.87	154.42	154.42	91.41	30.78	26.86	27.84	39.79	25.72	12.0	68.55	12.27	23.08	13.32	22.1	23.08	26.47	5.96	175.07	287.01	3190.46	66.18
FAM78A	38.12	152.28	152.28	60.82	35.76	33.78	49.21	63.45	22.1	32.82	88.88	8.92	12.74	32.36	27.05	23.42	28.86	10.55	236.21	295.11	142.01	41.52
FGD5	85.82	173.85	173.85	514.56	61.25	17.77	108.9	118.43	34.51	75.11	175.07	48.18	28.04	33.06	33.54	31.22	47.17	11.3	718.08	392.44	239.52	49.91
FLT1	104.42	150.17	150.17	848.22	103.69	21.94	88.26	180.02	20.56	61.25	366.09	17.51	59.13	32.13	40.64	77.79	72.01	21.01	2816.11	974.5	320.8	77.25
GPR116	100.83	307.69	307.69	1277.29	99.43	25.54	135.24	283.05	87.03	125.24	387.02	57.89	84.04	42.11	40.93	90.77	71.0	16.51	2133.97	1437.15	486.75	71.0
GPR34	91.41	329.84	329.84	158.79	46.18	7.0	35.76	73.54	24.63	26.28	130.6	7.17	7.06	34.26	26.67	44.57	19.39	17.64	521.76	171.45	84.63	57.08
GYPC	426.57	941.27	941.27	872.1	299.25	120.1	395.18	511.0	162.14	244.57	1096.5	490.14	59.55	96.68	111.99	85.22	120.1	96.68	3372.43	2417.67	2816.11	214.27
HSPA12B	72.52	209.84	209.84	358.54	61.68	13.83	93.35	117.6	36.53	92.7	195.72	35.76	19.39	10.39	35.76	45.53	23.76	14.03	426.57	115.16	224.97	42.71
IL18BP	204.07	555.41	555.41	373.81	236.21	127.89	226.54	353.59	141.02	226.54	743.43	130.6	59.55	180.02	170.25	79.45	119.26	60.39	1295.13	1781.89	1191.69	312.0
LDB2	108.14	325.29	325.29	1313.23	125.24	23.42	124.37	150.17	43.63	95.34	426.57	60.82	49.21	51.35	46.84	56.68	64.34	22.1	1457.23	1175.27	348.71	72.52
LYL1	57.89	220.32	220.32	186.4	69.52	74.06	61.25	84.63	84.04	75.11	269.6	58.3	41.81	33.3	25.35	48.18	53.19	25.17	426.57	366.09	320.8	41.52
MYCT1	72.52	170.25	170.25	642.59	36.01	6.31	40.36	71.5	23.25	42.41	127.0	29.7	19.82	24.63	26.86	29.06	26.1	10.71	480.04	281.09	96.01	37.05
NR5A2	10.24	34.02	34.02	53.57	30.12	3.11	11.3	87.65	8.58	14.24	55.89	7.88	4.21	5.15	2.86	8.32	7.34	1.22	92.7	71.5	43.02	6.06
PCDH17	56.28	76.71	76.71	90.77	62.12	11.47	87.03	70.01	18.56	41.22	146.03	2.51	16.15	21.01	20.56	11.73	27.05	1.71	728.11	271.48	366.09	10.96
