	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.AACS.01A.11R.A41C.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
ABCB8	1259.69	954.43	1015.93	651.58	1277.29	896.64	1073.91	878.17	941.27	1135.2	830.75	813.63	921.88	1001.93	878.17	1225.22	679.29	616.37	928.3	825.0	647.07	1216.75	995.0	1023.0	967.76	1023.0	866.07	387.02	454.09	514.56	251.48	490.14	532.74	343.89	325.29	366.09	473.41	409.15	647.07	420.68	647.07	470.14	327.56	507.46	336.79	497.0	366.09	733.19	316.37	665.29	587.13	511.0	486.75	403.5	351.14	426.57	301.33	389.72
ADCK4	688.78	591.22	514.56	595.34	587.13	591.22	511.0	638.15	669.92	830.75	830.75	728.11	718.08	665.29	748.61	595.34	1111.82	583.07	718.08	713.11	507.46	743.43	466.88	279.14	1096.5	348.71	825.0	409.15	351.14	387.02	258.57	376.41	320.8	373.81	312.0	316.37	414.87	299.25	571.05	165.57	708.18	406.31	384.34	490.14	356.05	256.78	334.46	293.07	368.65	435.55	460.44	332.14	329.84	332.14	258.57	718.08	307.69	214.27
APOC1	623486.02	573724.06	614902.29	527933.71	428815.23	531605.79	610654.84	520665.48	271387.49	158046.64	598087.73	239554.43	419990.32	469249.9	405683.88	499455.67	932018.1	375901.76	645473.24	320506.81	783730.52	479109.86	343510.77	593956.43	282912.21	411347.03	482442.34	1611529.43	2748093.15	1622738.51	1679964.3	1715263.94	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	1611529.43	2672946.37	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	1063212.58	1703415.74	3968052.37	3626130.97
ASNA1	1044.52	1628.26	1519.15	1304.15	2240.11	1639.59	1870.53	1159.07	2720.15	1191.69	1331.57	1225.22	1397.83	1378.57	1857.6	1909.85	1143.1	1225.22	1447.15	1769.57	1674.06	1199.98	1605.83	1378.57	2224.63	1467.37	1519.15	571.05	866.07	748.61	624.99	490.14	567.1	540.19	728.11	563.18	890.44	624.99	995.0	575.03	791.35	842.36	551.56	808.0	651.58	583.07	1059.11	866.07	603.67	954.43	915.51	693.58	808.0	579.04	466.88	587.13	624.99	595.34
ATG10	164.42	121.79	134.3	194.36	189.02	152.28	126.12	122.64	98.04	237.86	103.69	202.66	120.94	118.43	120.94	95.34	165.57	117.6	79.45	187.71	126.12	138.1	131.51	226.54	211.31	159.9	123.5	105.15	88.26	140.04	57.89	50.98	202.66	80.57	84.63	65.26	70.51	117.6	90.14	80.57	106.63	98.04	81.14	145.02	58.71	55.89	98.73	75.11	92.7	65.72	59.55	66.65	77.25	95.34	96.01	71.5	50.27	83.45
ATP5J2-PTCD1	69.52	72.01	75.11	82.87	161.02	68.07	85.82	122.64	88.88	131.51	53.95	100.13	132.44	74.58	86.43	117.6	57.08	64.34	73.54	74.06	104.42	169.07	105.89	96.68	161.02	148.09	77.25	39.79	38.4	18.84	24.46	9.06	25.91	28.45	42.71	10.31	28.24	22.75	37.85	42.71	31.0	23.25	27.84	21.16	40.07	48.87	48.52	56.28	39.79	55.1	55.89	33.06	50.98	53.19	37.05	15.68	33.06	34.75
B3GAT3	1277.29	1721.16	1498.22	1369.04	2148.82	753.83	1639.59	961.07	2061.24	1832.01	1143.1	1870.53	1143.1	1757.34	1447.15	1572.76	808.0	780.44	1950.0	1447.15	1322.37	1519.15	1519.15	1977.24	988.12	1617.0	1073.91	780.44	769.69	909.17	532.74	660.68	587.13	620.67	518.15	647.07	660.68	525.39	665.29	532.74	967.76	567.1	543.96	555.41	571.05	698.41	769.69	551.56	571.05	1119.56	665.29	647.07	543.96	493.56	514.56	808.0	518.15	713.11
B4GALT7	830.75	836.53	1561.89	941.27	1594.73	563.18	1175.27	775.05	1151.06	1073.91	802.41	967.76	872.1	854.13	1286.18	796.86	769.69	507.46	866.07	1159.07	928.3	954.43	775.05	1066.48	921.88	1427.22	759.08	312.0	329.84	423.61	295.11	679.29	426.57	279.14	281.09	320.8	575.03	334.46	353.59	529.06	521.76	435.55	395.18	258.57	293.07	457.25	346.29	291.04	379.04	426.57	366.09	376.41	332.14	221.86	389.72	262.2	307.69	301.33
BOLA2	493.56	703.28	848.22	463.65	271.48	251.48	660.68	301.33	928.3	480.04	267.73	426.57	373.81	780.44	521.76	339.14	295.11	224.97	253.23	563.18	1397.83	603.67	457.25	325.29	583.07	1350.18	493.56	78.34	143.01	125.24	96.01	88.88	89.51	108.14	194.36	101.54	223.41	118.43	148.09	63.45	173.85	114.36	94.01	158.79	62.12	87.03	132.44	165.57	81.71	281.09	141.02	145.02	110.43	100.13	102.25	59.97	44.89	83.45
BRMS1	1233.75	1407.55	1605.83	1037.29	1617.0	660.68	1322.37	902.89	1427.22	1159.07	884.29	1096.5	928.3	1216.75	802.41	954.43	669.92	836.53	981.29	1313.23	693.58	1023.0	1508.65	1417.35	1001.93	1359.57	1030.12	346.29	514.56	476.71	438.59	473.41	470.14	460.44	599.49	397.93	665.29	435.55	409.15	521.76	656.11	497.0	441.64	540.19	470.14	575.03	583.07	503.95	540.19	651.58	525.39	563.18	543.96	409.15	327.56	279.14	426.57	490.14
