	TCGA.KL.8325.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KL.8343.01A.11R.2315.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BC.A10R.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.DD.AADL.01A.11R.A41C.07	TCGA.2Y.A9GU.01A.11R.A38B.07	GTEX.11DXZ.0126.SM.5EGGY	GTEX.P4PP.0526.SM.2HMKE	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.RWS6.0226.SM.2XCA9	GTEX.WY7C.0426.SM.3NB3C	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.WFON.1126.SM.4LVMA
ARF6	1183.45	928.3	961.07	511.0	780.44	830.75	638.15	748.61	656.11	665.29	995.0	2682.69	2133.97	2502.97	1397.83	1819.35	3491.39	3168.41	2047.0	2287.2	1313.23	1674.06	1551.09	1529.73	1159.07	2627.46	3820.7	1304.15	2255.7	2485.67	1268.46	1259.69	1304.15	1313.23	2303.12	2997.45	2255.7	1674.06	1745.2	2591.27	2335.28	1397.83	2303.12	2367.9	2384.37	1781.89	1896.65	1350.18	2573.36	2090.03	1519.15	1781.89	1369.04	1369.04
ATF3	395.18	409.15	208.38	209.84	555.41	167.9	130.6	170.25	267.73	194.36	397.93	3303.0	1697.45	1143.1	1250.98	8901.53	1447.15	7485.11	1397.83	12160.22	5006.93	813.63	836.53	1015.93	872.1	9025.81	6471.02	693.58	2682.69	2133.97	1769.57	2209.26	3018.3	2271.4	4038.61	4010.71	9025.81	403.5	1350.18	8718.32	1096.5	473.41	1806.78	579.04	476.71	5183.54	4543.8	476.71	22225.61	6840.04	1950.0	10659.59	1268.46	432.53
BMP2	5.54	16.63	16.27	90.14	30.56	39.5	38.95	16.63	73.03	22.1	68.07	7589.61	1073.91	2240.11	1447.15	4328.55	8778.97	3901.01	1159.07	1977.24	1427.22	460.44	379.04	708.18	909.17	1781.89	4210.15	444.72	1135.2	3639.7	796.86	708.18	1819.35	1008.9	1617.0	4736.79	2609.3	251.48	915.51	1191.69	819.3	309.83	1023.0	1143.1	303.44	2915.45	2468.49	264.03	6516.03	1331.57	693.58	1963.57	753.83	518.15
BTBD19	7.46	18.03	14.14	19.68	59.55	66.65	44.25	45.53	61.25	20.11	52.82	718.08	80.57	124.37	144.01	103.69	70.51	381.68	45.53	105.89	177.53	59.97	140.04	78.89	61.25	162.14	157.68	51.35	348.71	312.0	49.91	28.24	57.49	58.3	258.57	1044.52	156.59	38.67	135.24	371.22	70.01	120.94	271.48	92.7	85.82	78.34	253.23	49.91	187.71	140.04	281.09	599.49	71.0	19.53
C11orf96	57.89	368.65	133.36	143.01	339.14	61.68	860.08	78.34	48.18	75.64	223.41	5954.47	1059.11	1721.16	703.28	3060.45	4736.79	5006.93	1709.26	2555.58	2047.0	1407.55	647.07	571.05	307.69	4181.07	3103.19	426.57	1721.16	3665.02	579.04	2193.99	4123.49	647.07	3060.45	5329.3	5633.22	406.31	511.0	5366.37	1427.22	684.02	2664.15	954.43	616.37	3901.01	2664.15	753.83	3982.99	2956.17	1407.55	1529.73	921.88	457.25
C14orf80	51.71	36.27	32.59	106.63	83.45	46.18	63.0	66.65	89.51	80.01	132.44	301.33	267.73	208.38	88.88	277.2	121.79	348.71	148.09	301.33	248.0	299.25	141.02	92.05	147.06	406.31	236.21	145.02	226.54	316.37	157.68	86.43	63.89	67.12	536.45	1561.89	267.73	162.14	228.13	361.04	131.51	220.32	536.45	212.78	353.59	299.25	688.78	161.02	353.59	309.83	336.79	325.29	241.19	119.26
CDKN1A	1832.01	2417.67	1304.15	249.73	2319.15	967.76	780.44	1242.34	2573.36	733.19	775.05	7642.41	2468.49	4704.07	1936.53	6207.38	6250.56	10368.08	2271.4	2193.99	2976.74	1583.71	2303.12	1159.07	2018.8	7537.18	5441.3	2240.11	4358.66	3540.14	1529.73	3060.45	5672.41	1991.0	3395.89	6079.61	5831.91	2664.15	1605.83	6337.83	2739.08	1498.22	2417.67	1757.34	1369.04	4903.87	3491.39	2209.26	9673.69	7331.05	3847.29	4298.64	2855.44	1806.78
CRIP1	4.82	6.67	7.11	0.0	0.0	1.93	0.0	3.66	0.0	0.0	0.0	70.01	43.94	18.97	47.84	74.06	29.06	115.97	14.67	100.83	40.93	0.0	0.0	43.02	40.07	55.49	38.67	0.0	93.35	57.08	25.91	14.03	22.43	49.21	90.14	181.28	41.52	8.13	79.45	59.13	0.0	18.56	81.71	105.89	30.78	37.05	126.12	11.82	102.97	37.59	88.26	52.45	25.91	0.0
CSRNP1	327.56	426.57	248.0	156.59	244.57	155.5	167.9	108.9	94.01	59.13	363.56	7081.29	1572.76	2061.24	1487.87	15075.35	4937.99	9876.98	2224.63	3349.13	3039.3	3081.75	4038.61	1605.83	1331.57	12676.65	7180.15	2664.15	4010.71	5076.84	1331.57	1540.37	1963.57	2303.12	4450.27	7485.11	5633.22	3081.75	2855.44	4152.18	2148.82	1208.34	2777.33	1437.15	1508.65	7695.57	6381.92	884.29	9606.86	9740.98	7589.61	6561.36	5633.22	450.94
CYR61	141.02	205.5	351.14	339.14	878.17	536.45	674.59	417.77	265.87	50.63	438.59	20030.74	7857.29	4972.34	2367.9	30572.63	7331.05	11664.82	5041.77	15499.21	11345.82	9025.81	8247.98	4010.71	3325.99	25708.25	25354.3	3235.01	6935.54	11035.54	5255.91	3614.55	5183.54	1733.13	9606.86	12676.65	13968.57	1295.13	4328.55	26248.46	2758.13	2758.13	4937.99	1709.26	2976.74	10659.59	11424.74	1295.13	30572.63	7695.57	8901.53	19754.96	7331.05	248.0
