	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.A3.3378.01A.02R.1325.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	GTEX.N7MT.0126.SM.2D7VT	GTEX.Q734.0626.SM.2I3EF	TCGA.HC.7737.11A.02R.2118.07	TCGA.J8.A4HW.01A.11R.A250.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.12WSG.2126.SM.5EGJ7	GTEX.132AR.1526.SM.5KM1L
AC008964.1	860.08	54.72	356.05	764.36	1242.34	947.83	140.04	189.02	202.66	129.69	279.14	4.13	150.17	343.89	123.5	119.26	105.15	134.3	113.56	146.03	140.04	54.72	30.56	325.29	684.02	49.91	9.85	18.03	273.37	92.05	19.82	8.38	41.22	31.9	15.45	22.26	220.32	11.47	181.28	35.25	18.97	69.52	22.59	14.24	30.34	27.05	17.0	293.07	75.64	106.63	111.99	100.83	68.07	12.18	13.83	23.93	51.35
AIF1	2956.17	583.07	1963.57	5006.93	7966.99	6381.92	624.99	1359.57	2319.15	1388.16	2468.49	43.02	2193.99	5791.62	1832.01	2303.12	1628.26	1605.83	2319.15	2645.74	2255.7	988.12	1250.98	5183.54	11992.79	249.73	172.65	500.46	2384.37	1066.48	486.75	150.17	579.04	785.88	371.22	595.34	1447.15	267.73	1806.78	466.88	353.59	651.58	633.73	239.52	497.0	540.19	392.44	3146.52	995.0	1628.26	941.27	536.45	679.29	283.05	265.87	314.17	723.08
ARHGAP30	1487.87	76.71	172.65	708.18	1008.9	1369.04	62.12	148.09	218.79	127.0	283.05	13.03	260.38	563.18	248.0	253.23	163.28	269.6	212.78	169.07	265.87	64.34	81.71	563.18	2351.53	32.13	32.59	53.19	400.71	220.32	43.32	40.36	81.71	63.89	45.21	52.82	346.29	55.49	395.18	77.25	48.18	95.34	57.89	40.36	63.45	65.72	56.68	409.15	124.37	224.97	409.15	64.34	156.59	44.25	58.3	47.84	63.0
ARRB2	1277.29	587.13	1119.56	2303.12	3060.45	3081.75	521.76	764.36	1259.69	688.78	1594.73	316.37	1051.79	1991.0	1183.45	1030.12	1111.82	607.87	961.07	1561.89	1561.89	890.44	743.43	3168.41	4239.45	289.02	400.71	406.31	1175.27	723.08	384.34	366.09	503.95	454.09	339.14	429.54	890.44	307.69	1340.84	423.61	387.02	728.11	417.77	371.22	432.53	438.59	327.56	1427.22	629.35	656.11	616.37	547.75	591.22	273.37	314.17	543.96	974.5
BIN2	796.86	73.03	93.35	514.56	647.07	830.75	42.71	108.9	241.19	88.26	220.32	5.02	199.85	521.76	157.68	147.06	175.07	145.02	154.42	175.07	175.07	90.77	51.71	921.88	1191.69	23.42	24.46	43.63	403.5	166.73	41.22	19.39	78.34	72.52	26.1	63.89	265.87	26.47	283.05	64.34	43.02	82.29	44.57	31.0	55.1	44.89	31.0	368.65	102.97	118.43	232.94	100.13	84.04	22.43	24.28	28.04	44.57
BTK	1498.22	62.12	94.67	403.5	559.28	511.0	41.22	114.36	122.64	68.07	291.04	5.96	177.53	262.2	92.7	167.9	58.3	75.64	90.77	98.73	117.6	57.89	23.93	511.0	1225.22	20.26	14.03	26.67	293.07	253.23	31.22	9.41	47.84	43.63	22.75	39.79	293.07	29.27	376.41	34.51	27.84	75.64	36.01	22.26	25.54	36.27	29.06	323.03	95.34	137.14	228.13	73.03	38.95	7.75	18.97	3.17	48.52
CASP1	854.13	141.02	866.07	1697.45	1883.54	1870.53	466.88	2591.27	1037.29	808.0	460.44	287.01	738.29	1225.22	525.39	595.34	547.75	293.07	738.29	316.37	1044.52	327.56	525.39	1268.46	2816.11	438.59	84.04	237.86	909.17	381.68	96.01	78.89	195.72	166.73	90.77	165.57	543.96	85.82	633.73	155.5	146.03	384.34	242.88	100.13	145.02	283.05	92.05	1001.93	366.09	226.54	180.02	226.54	387.02	118.43	94.67	249.73	1259.69
CD180	1015.93	39.79	14.14	244.57	183.82	265.87	22.59	47.5	70.01	30.78	59.55	8.32	176.29	131.51	108.14	96.68	72.52	71.0	92.7	123.5	143.01	5.87	75.11	118.43	511.0	6.67	5.15	5.63	169.07	128.79	9.56	3.32	13.93	12.93	7.57	7.17	142.01	3.23	129.69	5.82	9.7	28.24	4.86	2.92	8.45	9.06	4.62	157.68	33.54	32.36	228.13	16.03	167.9	9.78	14.24	6.06	104.42
CD2	1457.23	45.53	612.11	651.58	2664.15	2351.53	51.35	78.34	339.14	118.43	307.69	3.44	228.13	403.5	209.84	119.26	329.84	389.72	122.64	140.04	348.71	75.11	59.13	457.25	3928.15	29.7	7.28	59.97	490.14	273.37	40.93	39.79	108.9	45.53	21.16	82.87	395.18	32.13	361.04	59.55	47.5	118.43	32.13	61.68	81.14	33.54	46.5	551.56	139.07	267.73	551.56	271.48	244.57	44.89	77.25	37.05	223.41
CD200R1	33.78	7.57	11.55	94.67	283.05	397.93	7.0	6.52	21.47	13.22	15.56	0.32	19.39	141.02	55.1	111.99	7.94	31.0	55.89	67.59	35.76	21.94	24.81	67.12	181.28	15.11	3.26	4.35	48.87	14.14	5.73	4.46	9.41	4.31	6.94	7.28	34.02	4.98	34.75	8.51	8.51	8.51	3.86	4.54	7.17	9.2	4.74	55.89	15.45	11.82	12.45	9.63	31.45	1.25	4.03	10.79	26.67
