	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
AC105020.1	42.11	16.63	46.18	0.21	0.0	5.36	26.28	3.96	0.45	8.38	0.0	7.06	1.58	0.4	0.43	7.0	5.02	1.1	5.54	2.94	8.92	2.07	1.68	3.92	1.66	9.48	0.0	5.68	1.69	2.14	2.46	2.73	4.82	4.82	1.6	4.06	2.53	1.75	4.43	5.45	4.66	6.06	1.68	1.14	1.23	0.43	1.81	0.64	7.46	7.17	1.0	2.73	2.14	0.56	4.35	3.72	0.2	5.32	0.8	1.64	3.5	0.82	63.0	37.59	16.88	43.63	24.28	49.56	36.53	30.12	51.35	22.59	20.41	28.04	32.82	22.75	4.7	72.01	22.1	43.94	33.54	17.9	13.83	28.86	39.22	45.85	2.18	75.11	21.94	35.76	46.18	18.29
AC137932.1	15.68	86.43	33.06	1.36	1.31	15.45	7.82	3.92	0.85	15.45	0.52	3.53	0.0	0.75	1.57	4.21	3.86	1.45	6.41	21.78	14.03	5.54	8.71	12.09	14.67	5.15	9.13	8.85	6.84	6.31	6.31	2.68	14.35	6.21	2.68	5.45	7.06	3.59	6.84	12.36	7.75	5.36	3.47	5.15	2.43	0.11	7.06	10.39	5.23	8.51	5.06	6.57	5.73	4.1	6.57	4.46	3.41	16.51	7.0	7.63	2.92	1.27	41.52	34.75	33.54	34.02	45.85	40.64	36.27	55.89	32.36	38.4	53.95	21.47	29.7	61.25	6.78	29.48	9.56	20.86	19.97	6.21	14.24	10.31	32.59	29.91	6.78	42.71	24.81	30.78	28.65	12.55
ACAP3	915.51	1388.16	967.76	88.88	483.38	620.67	599.49	265.87	674.59	638.15	480.04	395.18	490.14	466.88	441.64	718.08	334.46	361.04	521.76	220.32	612.11	343.89	384.34	320.8	529.06	309.83	323.03	218.79	217.27	341.51	351.14	400.71	226.54	384.34	221.86	796.86	540.19	647.07	279.14	450.94	387.02	332.14	417.77	214.27	150.17	154.42	314.17	303.44	291.04	279.14	215.77	193.01	291.04	420.68	260.38	187.71	180.02	624.99	316.37	373.81	221.86	220.32	1313.23	1322.37	915.51	961.07	1313.23	1208.34	543.96	1781.89	1350.18	1104.13	1733.13	483.38	567.1	1628.26	137.14	587.13	651.58	791.35	466.88	312.0	400.71	429.54	239.52	679.29	269.6	1498.22	1030.12	2335.28	1286.18	397.93
ACIN1	3190.46	3443.31	3372.43	403.5	703.28	1757.34	1674.06	1331.57	660.68	2417.67	1008.9	1119.56	718.08	1242.34	1008.9	1529.73	1313.23	1487.87	1617.0	848.22	1662.49	974.5	813.63	934.76	1242.34	1508.65	1199.98	1143.1	660.68	1001.93	1540.37	1073.91	1119.56	890.44	896.64	1295.13	1407.55	1081.39	1191.69	1175.27	1225.22	1030.12	954.43	529.06	555.41	460.44	718.08	1233.75	693.58	647.07	1407.55	656.11	733.19	909.17	656.11	902.89	718.08	1159.07	1508.65	848.22	620.67	603.67	3039.3	3349.13	2935.74	3124.78	2816.11	3820.7	3614.55	3690.52	2573.36	3280.18	2537.92	1757.34	2627.46	3212.66	713.11	1950.0	3820.7	3303.0	2816.11	1388.16	2351.53	2061.24	974.5	1977.24	896.64	3081.75	2720.15	2997.45	2303.12	1397.83
AKAP17A	511.0	698.41	332.14	54.33	104.42	295.11	202.66	231.32	72.01	244.57	77.25	94.67	114.36	175.07	103.69	171.45	129.69	158.79	334.46	206.94	159.9	187.71	183.82	351.14	215.77	356.05	351.14	255.0	136.19	198.47	466.88	218.79	273.37	118.43	171.45	183.82	237.86	171.45	429.54	353.59	260.38	140.04	151.22	103.69	88.88	65.26	115.16	320.8	155.5	146.03	145.02	104.42	248.0	231.32	127.89	164.42	111.99	273.37	157.68	195.72	224.97	155.5	642.59	435.55	536.45	500.46	532.74	684.02	329.84	497.0	638.15	836.53	543.96	214.27	500.46	616.37	135.24	947.83	198.47	532.74	291.04	255.0	221.86	220.32	414.87	423.61	68.07	647.07	432.53	651.58	447.82	269.6
AL049840.1	14.78	34.26	22.26	6.31	2.56	7.94	28.24	6.89	3.23	17.9	2.36	5.28	0.8	3.86	1.93	5.23	7.63	4.17	3.59	6.41	5.63	4.66	3.99	2.73	2.78	1.77	1.64	17.25	2.86	12.09	6.73	3.79	6.78	6.78	4.86	1.66	10.24	1.73	4.82	9.48	9.56	2.51	1.68	0.0	0.0	2.73	26.28	9.48	6.01	13.83	11.91	3.35	14.78	2.39	7.57	8.51	0.78	9.2	2.63	3.29	2.36	5.63	45.53	30.56	20.11	38.95	27.25	59.97	63.0	47.5	25.17	16.88	18.43	2.01	19.39	32.13	2.81	20.26	33.54	81.71	30.56	21.01	9.85	29.27	4.78	67.59	14.67	87.65	15.0	56.68	12.64	15.8
AL136115.1	12.64	23.25	5.36	0.0	0.0	4.46	3.47	0.44	0.0	7.06	0.0	1.31	0.0	1.73	0.77	0.71	1.51	0.37	2.84	2.16	3.47	1.41	2.71	4.24	0.96	2.27	0.0	0.0	4.43	0.92	0.87	3.11	0.0	0.0	0.93	2.68	5.28	0.0	0.0	5.77	4.9	0.88	2.71	0.0	0.0	1.38	5.15	2.1	2.34	2.76	2.16	4.24	1.57	1.75	2.1	4.35	2.78	2.86	1.28	1.81	2.78	1.57	30.78	10.71	3.79	12.74	4.98	22.75	8.13	9.78	19.53	7.4	26.67	3.5	15.0	12.0	0.0	12.55	8.71	9.41	6.84	3.56	2.29	0.42	2.76	19.39	2.43	22.92	15.68	24.99	7.94	7.88
AMPD2	866.07	1233.75	836.53	198.47	221.86	753.83	703.28	529.06	206.94	698.41	400.71	543.96	366.09	305.55	559.28	684.02	559.28	551.56	1015.93	656.11	1437.15	759.08	854.13	909.17	1467.37	507.46	674.59	1427.22	591.22	595.34	1340.84	400.71	503.95	466.88	591.22	2915.45	2537.92	607.87	728.11	738.29	571.05	1340.84	518.15	708.18	547.75	285.03	848.22	665.29	540.19	988.12	409.15	381.68	665.29	860.08	327.56	854.13	480.04	884.29	412.0	1159.07	563.18	532.74	1088.92	1119.56	988.12	1015.93	974.5	1477.58	896.64	1250.98	860.08	915.51	2119.22	343.89	595.34	954.43	414.87	1135.2	759.08	1015.93	872.1	318.57	1073.91	397.93	1322.37	1651.0	718.08	2193.99	1304.15	1151.06	981.29	836.53
ARHGAP33	316.37	583.07	612.11	30.56	21.01	101.54	84.63	37.85	16.27	84.04	45.53	64.8	29.91	39.79	45.53	36.53	27.44	22.59	108.14	39.5	157.68	68.55	38.67	120.1	86.43	68.55	117.6	61.68	18.43	87.65	220.32	158.79	105.89	39.79	54.33	60.82	80.57	78.34	78.89	102.97	120.1	77.79	75.64	5.28	14.14	38.12	51.35	59.55	26.67	40.64	94.67	33.78	19.53	120.1	25.54	17.38	56.28	122.64	76.17	11.3	52.45	32.13	373.81	329.84	208.38	204.07	332.14	297.17	323.03	277.2	351.14	346.29	236.21	265.87	921.88	307.69	24.81	246.28	48.87	329.84	92.05	64.8	138.1	121.79	54.33	265.87	80.57	136.19	264.03	460.44	395.18	128.79
ARIH1	507.46	607.87	854.13	186.4	197.09	403.5	336.79	346.29	201.25	420.68	231.32	389.72	115.16	395.18	265.87	256.78	389.72	244.57	285.03	277.2	253.23	283.05	253.23	387.02	529.06	211.31	187.71	309.83	299.25	226.54	269.6	318.57	251.48	303.44	277.2	525.39	624.99	366.09	420.68	320.8	285.03	514.56	285.03	154.42	231.32	201.25	454.09	320.8	314.17	275.28	253.23	206.94	253.23	194.36	521.76	723.08	226.54	287.01	291.04	343.89	403.5	211.31	728.11	403.5	435.55	591.22	361.04	514.56	454.09	642.59	642.59	490.14	486.75	563.18	563.18	532.74	466.88	785.88	620.67	483.38	624.99	361.04	612.11	389.72	819.3	872.1	423.61	796.86	974.5	688.78	967.76	438.59
