	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CN.6012.01A.11R.1686.07	TCGA.CN.6010.01A.11R.1686.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.7941.01A.11R.2187.07	TCGA.55.8512.01A.11R.2403.07	TCGA.77.A5GF.01A.21R.A27Q.07	TCGA.66.2795.01A.02R.0980.07	TCGA.63.A5MJ.01A.11R.A27Q.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.E6.A2P9.01A.11R.A19W.07	TCGA.B5.A3FB.01A.11R.A19W.07	GTEX.TSE9.2626.SM.4DXV2	GTEX.13OVJ.2326.SM.5IJGA
ADH7	509950.32	2555.58	2520.38	3039.3	0.0	0.0	6.26	2701.35	2739.08	2796.65	3257.52	0.0	0.0	1.71	0.0	0.0
AHR	1135.2	571.05	1051.79	1605.83	49.91	305.55	896.64	579.04	902.89	1508.65	713.11	323.03	143.01	206.94	109.66	177.53
AKR1B10	998912.34	731246.37	18689.27	29943.43	10.08	0.0	2090.03	1594.73	9945.68	17804.06	11189.6	8.65	15.34	39.22	8.38	2.12
AKR1B15	51062.33	30361.44	211.31	579.04	0.0	0.0	17.77	12.45	124.37	277.2	93.35	3.47	3.92	74.06	0.0	0.0
AKR1C2	50359.33	7857.29	26248.46	38164.99	93.35	0.0	2485.67	5995.9	16727.26	55491.3	22850.48	5.54	8.92	3.47	13.12	0.0
ALDH3A1	127486.83	110216.97	33688.23	41188.81	2.03	0.0	1268.46	43537.38	8022.41	15499.21	5006.93	457.25	28.45	47.5	33.54	7.69
ANXA8	1.773381898E7	9116191.76	1605.83	1388.16	8.0	277.2	80.57	529.06	1167.14	1697.45	748.61	3.17	0.0	0.0	0.0	1.0
B3GNT5	9409.14	7433.4	1175.27	1286.18	14.24	0.0	182.55	665.29	1529.73	1233.75	915.51	75.64	353.59	178.77	206.94	57.08
BLVRB	36610.26	5255.91	25887.07	4575.41	1044.52	0.0	3372.43	3847.29	4543.8	8778.97	3874.05	2682.69	1508.65	1151.06	988.12	3190.46
CAPNS2	1514068.5	1890058.21	514.56	118.43	0.0	0.0	11.13	82.87	76.17	1167.14	854.13	5.32	1.57	2.76	7.17	0.0
CBR1	10296.45	6935.54	10733.74	13872.08	1051.79	0.0	3443.31	4836.35	12853.63	16045.82	6337.83	2163.77	769.69	1183.45	327.56	169.07
CBR3	5954.47	3060.45	1628.26	1378.57	26.67	0.0	183.82	309.83	2367.9	2664.15	723.08	161.02	248.0	76.17	115.16	291.04
CHMP5	7589.61	2271.4	1883.54	2018.8	1286.18	0.0	2004.85	2004.85	3901.01	3901.01	3257.52	1199.98	1277.29	1498.22	830.75	884.29
CLCA2	3.801327429E7	3.15251512E7	2119.22	2075.59	0.0	0.0	3.32	239.52	2047.0	291.04	995.0	2.23	0.82	2.39	0.0	0.0
CLDN8	6699.25	81809.59	346.29	507.46	0.0	0.0	60.39	50.63	392.44	624.99	438.59	2.73	105.89	3.96	3.32	5.15
DIP2B	1561.89	575.03	759.08	921.88	128.79	0.0	255.0	193.01	718.08	343.89	551.56	73.03	190.34	202.66	140.04	262.2
