	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.50.5045.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.0426.SM.4BRVN	GTEX.S7SF.0426.SM.3K2B7
ABCF2	587.13	417.77	493.56	248.0	253.23	273.37	177.53	123.5	182.55	142.01	137.14	198.47	161.02	140.04	384.34	181.28	158.79	149.12	156.59	603.67	0.05	981.29	819.3
AK1	2351.53	2075.59	2104.58	1437.15	2271.4	3928.15	2178.83	1088.92	503.95	1167.14	1135.2	2133.97	1388.16	802.41	7749.1	2163.77	1104.13	656.11	785.88	2915.45	341.51	4298.64	4010.71
ANXA5	11189.6	6294.04	9945.68	1950.0	3039.3	9540.5	2104.58	642.59	780.44	915.51	1001.93	2075.59	1143.1	612.11	6935.54	2739.08	2119.22	915.51	743.43	9606.86	1.11	17317.18	14765.09
AP2S1	4869.99	2895.31	4358.66	3190.46	2895.31	8022.41	2875.3	2997.45	3955.48	3564.78	2739.08	5112.16	3395.89	3982.99	6983.79	4671.57	2555.58	3235.01	3212.66	5672.41	0.47	6792.79	7433.4
APBB1IP	1088.92	540.19	698.41	432.53	373.81	403.5	1313.23	35.76	208.38	32.59	318.57	56.28	63.89	236.21	988.12	409.15	38.95	361.04	82.29	325.29	0.55	1721.16	967.76
APOC1	151608.43	318292.9	365622.68	912837.43	682276.92	165904.25	3178687.03	2691538.19	4526610.31	3576208.94	2924988.47	5809569.18	6719860.18	2672946.37	189257.69	1691649.38	3702323.71	3968052.37	3626130.97	46662.28	1208.34	2351.53	23169.48
ASB1	412.0	444.72	503.95	293.07	299.25	660.68	291.04	185.11	186.4	289.02	178.77	260.38	183.82	371.22	688.78	444.72	221.86	289.02	221.86	400.71	0.71	603.67	738.29
ATP6V0B	7966.99	4095.0	4802.93	4607.24	3280.18	5076.84	2997.45	1733.13	3280.18	2319.15	1857.6	3665.02	2400.97	2609.3	8247.98	4512.4	2133.97	2591.27	2520.38	11504.21	3081.75	10014.87	10296.45
C5AR1	2319.15	518.15	728.11	285.03	255.0	698.41	117.6	45.53	23.93	96.01	39.22	110.43	229.72	102.97	412.0	348.71	88.88	52.45	56.68	540.19	0.4	1991.0	1605.83
CARD6	162.14	81.14	118.43	65.72	54.33	143.01	42.71	15.8	12.27	26.47	34.75	51.35	28.65	22.92	239.52	82.87	29.48	14.35	18.7	150.17	0.37	241.19	348.71
