	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.BH.A0H6.01A.21R.A056.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.E9.A1NH.01A.11R.A14D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E2.A1LK.01A.21R.A14D.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.EX.A3L1.01A.11R.A32Y.07	TCGA.43.6771.01A.11R.1820.07
ANKRD46	121.79	1073.91	1378.57	642.59	220.32	981.29	718.08	256.78	1407.55	493.56	571.05	684.02	1073.91	381.68	285.03	674.59	607.87	698.41	1447.15	387.02	688.78	295.11	1151.06	159.9	289.02	1313.23	220.32	295.11	400.71	204.07	429.54	251.48	305.55	490.14	234.57	409.15	414.87	1359.57	1151.06	281.09	651.58	1143.1	409.15	587.13	275.28	483.38	638.15	915.51	327.56	490.14	460.44	205.5	713.11	466.88	339.14	591.22	81.14	110.43
ARFGEF1	341.51	2400.97	4419.52	2537.92	791.35	2976.74	1923.14	769.69	3768.09	1225.22	2032.85	1304.15	2400.97	988.12	748.61	563.18	1467.37	2384.37	2915.45	1088.92	3874.05	902.89	3564.78	466.88	1304.15	2209.26	813.63	759.08	1250.98	967.76	1340.84	878.17	1277.29	1208.34	934.76	842.36	928.3	3325.99	3081.75	753.83	2915.45	3467.27	836.53	802.41	988.12	836.53	1277.29	878.17	854.13	633.73	660.68	525.39	291.04	1199.98	432.53	902.89	463.65	450.94
ARMC1	176.29	947.83	1662.49	1008.9	397.93	1242.34	665.29	447.82	1963.57	1167.14	1819.35	651.58	947.83	497.0	414.87	450.94	934.76	819.3	1183.45	599.49	1159.07	392.44	1242.34	255.0	718.08	1151.06	312.0	392.44	435.55	361.04	603.67	316.37	728.11	808.0	379.04	536.45	303.44	1594.73	1950.0	363.56	1870.53	1896.65	450.94	371.22	397.93	514.56	543.96	521.76	563.18	291.04	309.83	420.68	384.34	1073.91	466.88	928.3	214.27	223.41
ATP6V1C1	178.77	2255.7	4066.71	2976.74	693.58	2555.58	1250.98	769.69	4066.71	3018.3	2956.17	1378.57	2255.7	988.12	718.08	759.08	2018.8	2451.44	3690.52	1104.13	3690.52	830.75	2485.67	571.05	1498.22	2895.31	426.57	764.36	941.27	848.22	1331.57	642.59	1991.0	1628.26	607.87	1388.16	860.08	3018.3	3257.52	1721.16	3491.39	5147.73	890.44	647.07	603.67	764.36	878.17	872.1	642.59	656.11	521.76	791.35	376.41	2855.44	486.75	974.5	414.87	460.44
ATP6V1H	397.93	2758.13	8247.98	2664.15	921.88	4066.71	1487.87	941.27	7433.4	1651.0	2537.92	1572.76	2758.13	1605.83	995.0	1183.45	1950.0	2976.74	3794.3	1639.59	4038.61	1350.18	3716.2	688.78	1794.29	4152.18	1286.18	1183.45	1350.18	1001.93	1572.76	1295.13	2468.49	1594.73	854.13	915.51	1175.27	3874.05	4239.45	1066.48	5112.16	4704.07	974.5	981.29	1359.57	1073.91	1331.57	1216.75	1259.69	842.36	1378.57	1208.34	3190.46	1508.65	1268.46	2047.0	612.11	603.67
AZIN1	356.05	2720.15	7180.15	2434.5	1119.56	2997.45	1896.65	928.3	6079.61	2163.77	4836.35	2555.58	2720.15	1594.73	1437.15	1369.04	2875.3	3794.3	4328.55	1313.23	5403.7	1073.91	4066.71	1096.5	2255.7	6516.03	836.53	1331.57	1662.49	1208.34	1417.35	1008.9	1605.83	2104.58	995.0	1936.53	1628.26	4836.35	5633.22	4066.71	5147.73	7803.01	1662.49	1427.22	1313.23	1594.73	1304.15	1628.26	842.36	1340.84	753.83	1819.35	1175.27	3212.66	1175.27	1963.57	890.44	981.29
C8orf33	583.07	1806.78	3491.39	1295.13	791.35	2104.58	753.83	759.08	2997.45	1023.0	2163.77	1551.09	1806.78	723.08	759.08	529.06	1304.15	1529.73	2384.37	698.41	2119.22	780.44	2075.59	540.19	1051.79	3103.19	688.78	607.87	656.11	463.65	1081.39	854.13	1359.57	1088.92	447.82	1477.58	866.07	1295.13	2485.67	583.07	3901.01	3874.05	583.07	665.29	612.11	921.88	493.56	775.05	1167.14	371.22	603.67	934.76	1175.27	595.34	1295.13	486.75	318.57	392.44
C8orf44	99.43	183.82	260.38	180.02	84.04	187.71	90.77	111.99	153.34	116.78	113.56	62.56	183.82	53.57	101.54	85.22	84.63	236.21	187.71	68.07	223.41	55.49	275.28	29.06	115.97	149.12	63.89	54.33	63.45	74.58	62.12	111.99	114.36	94.01	58.71	111.21	52.45	146.03	507.46	59.55	239.52	164.42	24.99	70.51	81.14	103.69	119.26	178.77	183.82	138.1	178.77	61.25	69.03	62.56	77.79	102.25	40.07	17.64
C8orf76	220.32	738.29	2417.67	638.15	363.56	1096.5	764.36	450.94	1135.2	656.11	1407.55	780.44	738.29	703.28	551.56	423.61	444.72	791.35	1159.07	780.44	928.3	460.44	1199.98	483.38	764.36	928.3	423.61	429.54	521.76	476.71	860.08	371.22	1030.12	825.0	334.46	954.43	414.87	1015.93	2133.97	441.64	2485.67	1963.57	571.05	748.61	441.64	392.44	454.09	575.03	366.09	232.94	221.86	358.54	743.43	214.27	698.41	314.17	279.14	220.32
CHRAC1	289.02	967.76	1819.35	698.41	575.03	1397.83	412.0	400.71	1199.98	909.17	1037.29	571.05	967.76	660.68	529.06	511.0	563.18	1350.18	1529.73	441.64	1216.75	511.0	2209.26	368.65	575.03	1208.34	441.64	493.56	616.37	493.56	633.73	460.44	866.07	1001.93	397.93	909.17	532.74	1685.71	1583.71	529.06	2119.22	2004.85	540.19	480.04	447.82	575.03	450.94	575.03	249.73	536.45	392.44	616.37	395.18	1044.52	866.07	1135.2	363.56	351.14
