	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CV.7235.11A.01R.2016.07	GTEX.ZLFU.0926.SM.5P9F8	TCGA.CJ.4881.01A.01R.1305.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.13FTZ.0526.SM.5IJCW	TCGA.98.A53C.01A.11R.A262.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.12WSB.0726.SM.5N9GD
ABCC1	51.71	220.32	353.59	447.82	583.07	21.63	24.63	16.27	299.25	4.54	58.71	154.42	47.17	91.41	68.55	52.82	55.1	10.31	23.42	64.8	23.93	56.28	43.02	248.0	22.59	1427.22	587.13	555.41	500.46	647.07	555.41
ADD1	1950.0	3395.89	7280.4	4152.18	5112.16	2119.22	2555.58	2119.22	2682.69	1651.0	2468.49	3325.99	2287.2	2434.5	2555.58	2319.15	2485.67	2047.0	2417.67	2224.63	2032.85	2032.85	2193.99	2664.15	2104.58	5995.9	4869.99	4937.99	6471.02	3874.05	4298.64
ANTXR1	62.56	1119.56	473.41	813.63	1447.15	59.97	46.18	35.25	599.49	6.57	104.42	633.73	84.63	316.37	144.01	70.51	126.12	16.15	84.63	87.65	46.84	100.13	78.89	387.02	15.22	4543.8	1225.22	2400.97	2178.83	1259.69	2875.3
ARHGAP25	96.68	202.66	343.89	466.88	587.13	77.79	105.15	60.82	226.54	25.54	108.14	332.14	137.14	190.34	137.14	136.19	167.9	43.32	68.07	202.66	86.43	221.86	111.21	420.68	50.27	759.08	591.22	460.44	295.11	417.77	253.23
ARMCX1	47.84	444.72	503.95	343.89	320.8	19.82	32.59	24.11	126.12	5.73	47.17	131.51	62.12	85.22	53.95	45.21	71.0	11.13	33.3	58.3	34.02	46.84	56.68	267.73	15.68	1191.69	309.83	642.59	529.06	273.37	638.15
ARSJ	20.71	147.06	158.79	73.03	153.34	16.27	8.13	19.68	58.71	3.79	19.68	79.45	53.19	57.89	7.11	32.36	28.24	8.51	35.0	41.52	16.51	31.9	20.56	95.34	5.06	279.14	111.21	246.28	120.1	128.79	187.71
ATF7	236.21	647.07	384.34	529.06	511.0	134.3	206.94	165.57	262.2	142.01	226.54	323.03	241.19	299.25	221.86	189.02	307.69	141.02	176.29	231.32	127.0	167.9	186.4	287.01	140.04	656.11	423.61	693.58	1225.22	511.0	547.75
BBS9	66.18	217.27	186.4	135.24	153.34	52.82	51.71	100.13	92.7	57.08	93.35	131.51	90.14	102.97	91.41	70.01	98.04	60.82	76.71	120.1	53.57	76.71	67.12	94.01	51.35	514.56	182.55	226.54	262.2	248.0	412.0
BICD2	120.94	226.54	332.14	244.57	384.34	100.13	119.26	88.26	226.54	82.29	130.6	217.27	150.17	212.78	142.01	143.01	144.01	96.01	132.44	137.14	102.25	175.07	121.79	285.03	110.43	813.63	423.61	392.44	470.14	679.29	400.71
BIK	12.45	1066.48	218.79	27.64	37.32	10.55	6.36	7.51	10.31	10.16	22.26	88.88	4.31	26.28	77.25	6.62	14.35	6.31	7.22	8.06	9.7	9.2	40.36	237.86	2.18	57.08	67.59	327.56	104.42	180.02	33.54
C11orf63	6.16	39.5	87.65	52.82	59.55	4.7	4.94	3.2	19.68	0.42	10.16	25.72	7.17	14.03	12.74	4.82	8.0	1.53	5.11	9.7	5.19	6.46	6.31	26.47	3.63	187.71	85.22	126.12	84.04	120.94	84.04
C18orf25	68.55	177.53	236.21	161.02	262.2	73.54	83.45	92.7	131.51	88.26	92.05	171.45	128.79	108.9	104.42	107.38	117.6	64.34	101.54	156.59	57.49	119.26	87.03	158.79	77.79	323.03	217.27	303.44	190.34	283.05	309.83
C8orf58	66.65	181.28	201.25	269.6	559.28	55.1	75.64	55.89	88.26	38.4	74.06	133.36	92.7	99.43	74.58	47.84	74.58	36.27	43.63	74.06	38.67	56.68	60.39	120.1	30.78	409.15	320.8	189.02	169.07	236.21	358.54
CACNA2D1	9.85	59.97	173.85	121.79	143.01	7.46	4.66	5.63	41.52	0.56	14.67	32.59	9.93	29.91	10.08	10.39	28.04	2.36	10.0	21.47	5.36	19.82	10.71	68.55	2.53	275.28	119.26	332.14	232.94	156.59	329.84
CCR4	1.5	73.54	44.25	18.43	102.25	2.58	4.58	2.01	42.11	0.0	3.92	27.05	6.21	12.74	5.96	6.89	8.45	0.82	3.59	7.82	2.76	5.68	2.05	57.89	1.03	262.2	157.68	112.77	61.68	44.89	41.81
CERKL	27.25	91.41	293.07	169.07	246.28	17.0	30.34	16.63	89.51	3.03	21.47	91.41	30.12	49.56	37.85	26.28	33.54	8.51	23.76	29.27	21.32	43.02	38.67	120.94	5.06	518.15	248.0	105.89	185.11	147.06	133.36
CHRDL1	4.21	450.94	212.78	595.34	29.06	0.69	1.14	6.46	19.39	0.58	0.79	53.19	0.0	22.26	10.16	3.99	20.56	4.1	16.63	14.24	6.78	11.73	6.21	109.66	6.57	2303.12	967.76	3955.48	376.41	154.42	1167.14
CHSY1	124.37	688.78	336.79	547.75	1561.89	76.71	65.26	74.58	264.03	50.27	103.69	358.54	157.68	194.36	171.45	146.03	129.69	72.01	129.69	109.66	103.69	269.6	152.28	223.41	39.79	1008.9	974.5	703.28	426.57	753.83	532.74
CRISPLD2	191.67	1030.12	1572.76	595.34	2240.11	106.63	65.26	40.64	638.15	4.74	119.26	848.22	50.27	371.22	185.11	242.88	223.41	74.58	236.21	149.12	197.09	476.71	208.38	543.96	44.25	759.08	2520.38	2061.24	1529.73	651.58	713.11
EDNRA	16.75	112.77	232.94	417.77	423.61	7.51	35.5	11.13	98.73	4.06	47.5	63.45	33.3	59.13	31.22	17.0	44.25	10.63	32.82	15.34	24.99	35.0	17.77	75.64	7.63	2758.13	314.17	728.11	708.18	808.0	620.67
EPC2	145.02	381.68	267.73	253.23	287.01	110.43	115.97	93.35	189.02	77.25	154.42	214.27	127.0	221.86	180.02	156.59	209.84	89.51	118.43	190.34	102.97	194.36	142.01	170.25	78.89	629.35	318.57	603.67	373.81	384.34	438.59
FAIM2	0.0	46.84	85.82	33.78	51.71	3.35	1.25	1.2	13.62	1.85	3.32	23.93	2.23	1.43	5.02	0.0	3.44	0.0	17.9	2.76	0.0	1.53	4.98	2.51	9.06	172.65	21.32	785.88	190.34	35.76	90.14
FAM102B	30.56	490.14	130.6	138.1	165.57	13.12	18.29	17.77	120.94	34.26	23.25	146.03	41.81	76.71	36.01	41.81	43.32	13.12	31.22	44.25	21.32	66.18	42.71	158.79	6.57	307.69	182.55	218.79	191.67	166.73	224.97
FAM117B	19.82	68.55	205.5	96.68	122.64	14.78	25.72	10.08	55.89	13.42	19.97	72.01	24.63	52.82	22.92	27.05	40.36	17.13	26.28	36.79	15.56	23.76	32.13	48.87	18.97	285.03	85.82	155.5	97.36	148.09	108.14
