	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.AR.A5QM.01A.11R.A27Q.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.T6MO.1426.SM.4DM73	TCGA.A6.3810.01A.01R.A278.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.DD.A118.01A.11R.A131.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.55.8302.01A.11R.2326.07
ABHD13	100.83	89.51	249.73	115.97	68.55	120.1	43.02	204.07	40.93	197.09	128.79	150.17	133.36	99.43	77.25	131.51	63.89	163.28	88.26	115.97	121.79	186.4	134.3	201.25	110.43	86.43	69.52	152.28	189.02	154.42	346.29	106.63	339.14	55.49	43.63	52.08	38.67	43.02	48.18
ALG5	1030.12	693.58	1832.01	1037.29	830.75	638.15	575.03	1369.04	651.58	1529.73	1044.52	1378.57	1583.71	1088.92	2047.0	1167.14	603.67	1457.23	2271.4	954.43	1250.98	1242.34	1322.37	1721.16	389.72	1030.12	825.0	928.3	1051.79	825.0	1721.16	1242.34	2032.85	507.46	450.94	909.17	629.35	607.87	420.68
B3GALTL	87.03	59.13	140.04	88.26	84.63	61.68	33.3	125.24	45.53	129.69	85.22	76.17	100.83	104.42	36.01	121.79	56.28	94.67	127.89	102.97	56.68	180.02	94.01	215.77	29.27	68.55	35.25	149.12	87.03	130.6	228.13	77.79	287.01	88.88	34.75	32.59	41.22	31.67	23.76
CLN5	256.78	260.38	514.56	323.03	159.9	325.29	148.09	587.13	149.12	480.04	312.0	708.18	521.76	536.45	521.76	693.58	297.17	373.81	387.02	309.83	555.41	392.44	486.75	450.94	159.9	423.61	253.23	414.87	438.59	555.41	674.59	848.22	995.0	384.34	204.07	176.29	100.13	133.36	143.01
COG3	231.32	214.27	429.54	334.46	197.09	214.27	100.13	384.34	180.02	540.19	454.09	417.77	480.04	297.17	420.68	486.75	293.07	848.22	316.37	301.33	536.45	486.75	400.71	441.64	121.79	135.24	180.02	366.09	426.57	457.25	540.19	256.78	1143.1	130.6	236.21	191.67	161.02	253.23	148.09
COG6	228.13	166.73	511.0	239.52	209.84	217.27	79.45	536.45	108.14	483.38	384.34	423.61	551.56	258.57	171.45	503.95	143.01	679.29	376.41	293.07	463.65	490.14	303.44	384.34	84.04	165.57	215.77	373.81	262.2	371.22	525.39	234.57	842.36	145.02	48.52	45.53	74.58	45.53	124.37
DDX50	423.61	518.15	718.08	473.41	450.94	397.93	363.56	684.02	450.94	651.58	543.96	514.56	591.22	536.45	518.15	688.78	361.04	579.04	775.05	656.11	728.11	507.46	688.78	551.56	397.93	575.03	579.04	543.96	1216.75	703.28	1059.11	563.18	842.36	124.37	271.48	303.44	171.45	198.47	409.15
DIS3	224.97	165.57	529.06	412.0	155.5	361.04	93.35	532.74	158.79	521.76	358.54	460.44	353.59	351.14	202.66	450.94	181.28	358.54	356.05	299.25	444.72	441.64	234.57	438.59	80.01	199.85	232.94	307.69	563.18	441.64	457.25	214.27	1073.91	93.35	105.89	73.54	76.17	58.71	141.02
DNAJC3	392.44	348.71	884.29	1111.82	325.29	426.57	190.34	854.13	353.59	1059.11	624.99	890.44	1388.16	753.83	796.86	896.64	295.11	1127.35	802.41	447.82	1340.84	1794.29	1001.93	2303.12	543.96	518.15	389.72	1051.79	723.08	532.74	1250.98	587.13	1498.22	228.13	441.64	285.03	450.94	291.04	242.88
ERCC5	915.51	599.49	941.27	514.56	808.0	500.46	379.04	1216.75	400.71	1030.12	1051.79	1135.2	872.1	785.88	819.3	1151.06	503.95	1277.29	878.17	995.0	981.29	974.5	1259.69	1127.35	915.51	547.75	466.88	665.29	571.05	1295.13	1427.22	1331.57	1923.14	293.07	307.69	476.71	221.86	551.56	567.1
