	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CN.4742.01A.02R.1514.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07
ANKRA2	457.25	633.73	353.59	291.04	616.37	159.9	620.67	629.35	656.11	463.65	262.2	353.59	447.82	493.56	279.14	529.06	559.28	301.33	153.34	514.56	303.44	136.19	417.77	366.09	140.04	371.22	273.37	775.05	848.22	995.0	884.29	358.54	723.08	503.95	651.58	140.04	96.01	112.77	182.55	122.64	157.68	142.01	0.0	178.77	231.32
ATG14	218.79	176.29	123.5	120.1	277.2	75.64	220.32	281.09	182.55	211.31	134.3	228.13	182.55	273.37	132.44	234.57	237.86	170.25	158.79	177.53	145.02	110.43	244.57	181.28	99.43	155.5	120.94	400.71	403.5	525.39	389.72	195.72	269.6	334.46	384.34	88.88	100.13	149.12	111.99	64.8	35.5	49.21	0.0	97.36	87.65
BRD8	441.64	854.13	813.63	780.44	1250.98	260.38	1151.06	1167.14	896.64	791.35	432.53	896.64	909.17	1081.39	656.11	1295.13	954.43	713.11	301.33	1030.12	536.45	708.18	921.88	642.59	426.57	624.99	579.04	1583.71	1407.55	1340.84	1437.15	620.67	1529.73	1104.13	1295.13	152.28	221.86	256.78	320.8	193.01	171.45	260.38	0.0	229.72	212.78
C19orf44	80.57	98.73	88.88	73.54	113.56	60.39	143.01	108.9	63.45	111.99	87.03	104.42	81.71	149.12	98.04	85.22	82.29	102.97	87.03	116.78	104.42	63.89	102.97	71.0	43.32	64.34	75.11	152.28	173.85	253.23	193.01	113.56	190.34	120.1	246.28	12.09	24.11	17.13	45.53	16.39	21.94	25.54	0.0	28.86	19.82
CARF	50.98	85.82	45.53	33.78	123.5	19.53	173.85	122.64	90.77	95.34	89.51	106.63	69.52	132.44	27.25	96.01	55.1	84.04	43.02	59.97	56.28	30.34	108.9	77.79	39.79	63.0	33.78	209.84	253.23	255.0	269.6	80.01	178.77	190.34	121.79	19.68	26.86	11.64	11.82	15.91	17.38	21.63	0.0	51.35	25.54
CCDC174	316.37	371.22	287.01	397.93	381.68	211.31	320.8	397.93	412.0	403.5	269.6	285.03	400.71	457.25	212.78	403.5	555.41	348.71	379.04	395.18	334.46	305.55	363.56	301.33	297.17	323.03	275.28	525.39	616.37	693.58	476.71	384.34	518.15	361.04	486.75	103.69	151.22	255.0	186.4	164.42	164.42	193.01	0.0	130.6	75.11
CCDC66	173.85	406.31	234.57	198.47	379.04	59.13	409.15	376.41	441.64	204.07	90.77	241.19	197.09	329.84	139.07	470.14	253.23	232.94	116.78	215.77	239.52	136.19	387.02	236.21	128.79	107.38	185.11	426.57	624.99	607.87	612.11	241.19	417.77	329.84	246.28	26.86	34.51	44.57	33.54	42.71	21.16	54.72	201.25	66.65	24.81
CLK4	223.41	486.75	223.41	141.02	463.65	115.97	587.13	536.45	358.54	291.04	136.19	226.54	316.37	389.72	133.36	450.94	473.41	232.94	221.86	329.84	215.77	144.01	423.61	165.57	139.07	143.01	228.13	860.08	1066.48	1015.93	1104.13	438.59	486.75	616.37	674.59	100.83	77.25	125.24	86.43	52.45	53.19	126.12	0.0	129.69	46.18
CNTRL	130.6	202.66	161.02	177.53	242.88	57.89	197.09	206.94	246.28	115.16	103.69	143.01	158.79	251.48	98.73	314.17	134.3	137.14	172.65	175.07	143.01	289.02	176.29	150.17	144.01	124.37	90.77	323.03	351.14	429.54	371.22	215.77	289.02	381.68	151.22	28.45	53.57	52.82	76.17	51.71	62.12	80.57	0.0	32.13	32.36
DZANK1	118.43	152.28	66.18	87.03	92.05	47.5	92.7	90.14	86.43	105.89	38.12	103.69	82.87	101.54	87.03	128.79	87.03	48.18	17.38	77.25	64.8	53.19	90.77	54.72	72.01	67.12	52.08	334.46	368.65	224.97	164.42	68.07	228.13	148.09	176.29	12.83	5.32	8.06	11.38	11.73	2.97	1.85	0.0	27.44	11.3
EFHC1	92.7	229.72	175.07	218.79	460.44	104.42	363.56	309.83	312.0	260.38	149.12	191.67	287.01	397.93	305.55	341.51	137.14	205.5	83.45	215.77	141.02	400.71	420.68	149.12	190.34	113.56	180.02	395.18	473.41	525.39	612.11	336.79	571.05	384.34	1119.56	62.56	175.07	36.53	54.72	33.3	23.59	42.71	0.0	124.37	164.42
