	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.1128S.0726.SM.5N9D6	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.13OW8.1726.SM.5L3GO	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07
RNF149	941.27	866.07	1769.57	1870.53	1191.69	1119.56	2777.33	1832.01	988.12	2255.7	1519.15	1733.13	1378.57	1806.78	1745.2	1709.26	2303.12	1295.13	2956.17	1991.0	1388.16	1135.2	3303.0	2384.37	1662.49	1250.98	1551.09	1519.15	2032.85	1088.92	1477.58	1529.73	1977.24	2319.15	1594.73	1844.76	2271.4	884.29	547.75	688.78	860.08	743.43	688.78	854.13	379.04	769.69	796.86	607.87	808.0	665.29	688.78
RPGR	0.0	0.34	371.22	285.03	387.02	291.04	603.67	555.41	318.57	679.29	193.01	249.73	486.75	228.13	301.33	373.81	450.94	339.14	571.05	728.11	285.03	92.7	791.35	836.53	473.41	381.68	450.94	470.14	403.5	420.68	312.0	417.77	262.2	460.44	264.03	115.97	612.11	159.9	77.25	143.01	190.34	121.79	123.5	158.79	107.38	110.43	137.14	122.64	152.28	113.56	164.42
RRAD	0.0	0.48	2739.08	256.78	215.77	3280.18	4095.0	4038.61	2796.65	8363.13	1583.71	1023.0	595.34	842.36	316.37	291.04	1104.13	381.68	1259.69	4388.98	262.2	669.92	13872.08	3419.52	2303.12	5672.41	4671.57	2627.46	802.41	2796.65	457.25	1081.39	9279.58	5076.84	1397.83	289.02	13123.73	62.56	94.01	339.14	89.51	58.3	121.79	142.01	11.73	117.6	108.9	17.13	19.68	82.87	46.18
SAMSN1	0.0	0.48	438.59	376.41	241.19	353.59	813.63	1015.93	111.21	1806.78	126.12	400.71	181.28	241.19	171.45	164.42	2163.77	299.25	1277.29	1322.37	159.9	167.9	2178.83	2855.44	297.17	316.37	356.05	312.0	251.48	166.73	301.33	231.32	579.04	555.41	249.73	285.03	4481.23	45.53	25.35	17.51	45.85	20.56	31.0	25.72	4.82	21.78	38.12	17.9	18.7	48.18	50.98
SFTPC	64186.29	44145.15	2.880867455E7	5.882801313E7	2.18328924E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	5650706.18	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.880867455E7	2.542950323E7	2.138357795E7	5.761735011E7	1.927195942E7	1.36273329E7	3.801327429E7	1.609378033E7	23009.42	4433454.0	4.878722096E7	3.72309724E7	2.405777593E7	2.49061716E7	2.706640506E7	2.525384881E7	5.228884881E7	2.198475218E7	1.0826562323E8	1.194579786E7	3.109113511E7	6.17527469E7	2.009035788E7	6.21	11.73	3.5	10.88	21.32	14.78	6.31	193.01	16.51	723.08	4.24	20.56	9.85	13.52
SLC11A1	0.0	0.95	1487.87	2271.4	842.36	1191.69	1923.14	3794.3	1508.65	8134.41	2573.36	4419.52	2319.15	2720.15	3303.0	2303.12	2240.11	2090.03	6792.79	5403.7	988.12	825.0	9474.59	17437.64	7032.37	2119.22	3103.19	3081.75	4869.99	1819.35	3928.15	1135.2	7642.41	10808.41	5366.37	2335.28	5913.33	102.97	147.06	43.94	329.84	158.79	142.01	93.35	148.09	84.63	205.5	113.56	78.89	208.38	199.85
SMAP2	0.0	0.42	1487.87	1369.04	1088.92	1030.12	2367.9	1745.2	1216.75	2240.11	884.29	2417.67	1277.29	1721.16	1259.69	2047.0	2664.15	1286.18	3443.31	2367.9	1104.13	559.28	3349.13	6516.03	1023.0	633.73	2148.82	1427.22	2032.85	1781.89	1781.89	1745.2	2240.11	2682.69	2720.15	775.05	6426.31	490.14	466.88	318.57	532.74	563.18	507.46	381.68	497.0	536.45	567.1	397.93	583.07	713.11	660.68
TBC1D8	0.0	0.51	373.81	173.85	223.41	201.25	878.17	309.83	255.0	808.0	214.27	262.2	237.86	395.18	256.78	198.47	638.15	197.09	559.28	934.76	332.14	170.25	825.0	1583.71	896.64	426.57	995.0	473.41	379.04	470.14	454.09	127.89	303.44	825.0	400.71	189.02	1477.58	89.51	109.66	68.55	128.79	117.6	72.01	112.77	121.79	98.04	120.94	104.42	109.66	129.69	127.89
TLR2	0.0	0.49	595.34	371.22	373.81	267.73	551.56	599.49	466.88	1870.53	473.41	693.58	412.0	500.46	543.96	511.0	703.28	518.15	1350.18	1487.87	775.05	341.51	3325.99	3639.7	1127.35	518.15	579.04	450.94	616.37	373.81	511.0	624.99	490.14	902.89	872.1	450.94	2417.67	173.85	76.71	88.26	253.23	91.41	94.67	95.34	153.34	106.63	111.99	62.56	260.38	173.85	128.79
TNFAIP3	0.0	0.39	1498.22	514.56	559.28	2384.37	1909.85	4639.29	351.14	9876.98	583.07	1498.22	403.5	1208.34	493.56	660.68	1991.0	679.29	3124.78	9474.59	320.8	497.0	7966.99	4937.99	1037.29	941.27	1870.53	878.17	514.56	791.35	651.58	363.56	2061.24	2148.82	878.17	607.87	9215.48	137.14	84.63	108.9	120.1	72.52	186.4	75.11	41.22	123.5	108.9	82.29	68.07	158.79	153.34
TSC22D3	0.0	0.32	5366.37	6426.31	7749.1	9673.69	13123.73	14561.8	10296.45	13968.57	3515.68	14663.09	15075.35	8305.36	11827.67	11189.6	11745.96	9606.86	7966.99	31650.8	8247.98	1081.39	19348.38	123144.13	14867.79	9215.48	25887.07	11345.82	12329.98	11189.6	8421.31	10733.74	35609.13	22380.2	16269.83	2976.74	110216.97	1447.15	1950.0	1794.29	2018.8	1477.58	1733.13	1977.24	1277.29	1639.59	1605.83	2777.33	1191.69	5441.3	2664.15
ZC3H12A	175.07	169.07	1066.48	414.87	248.0	1030.12	1487.87	1427.22	255.0	4095.0	417.77	463.65	293.07	353.59	205.5	305.55	518.15	511.0	967.76	3103.19	171.45	269.6	1487.87	921.88	603.67	1477.58	669.92	830.75	295.11	483.38	366.09	246.28	1407.55	928.3	334.46	571.05	1457.23	94.01	33.78	111.21	242.88	52.08	84.04	131.51	36.27	105.89	141.02	32.36	76.71	82.87	150.17
ZFAND5	0.0	0.0	4095.0	3901.01	3081.75	8718.32	8538.88	10225.32	3372.43	6121.9	3124.78	6164.49	4358.66	4512.4	4481.23	3955.48	8421.31	4419.52	4010.71	14867.79	3589.58	1896.65	5255.91	21768.19	4388.98	5329.3	8022.41	5147.73	3901.01	3665.02	3419.52	2976.74	9740.98	8658.09	6381.92	3540.14	36357.37	2287.2	1572.76	1594.73	1936.53	2163.77	1551.09	1359.57	1651.0	2047.0	2075.59	2417.67	2555.58	2178.83	1819.35
ZFP36	0.0	0.34	24660.96	13681.08	3982.99	29531.18	20170.07	52863.07	8658.09	71714.63	43537.38	29124.6	9673.69	10440.2	7642.41	8778.97	17437.64	26248.46	25708.25	37901.36	7230.1	6426.31	54349.29	45701.96	9876.98	29531.18	13033.07	21617.82	4607.24	15499.21	4972.34	4704.07	32315.87	31432.17	17078.76	38164.99	54727.32	1051.79	2209.26	2520.38	1923.14	1037.29	1259.69	1457.23	1242.34	988.12	1617.0	2997.45	1023.0	2104.58	4038.61
ZNF800	0.0	0.42	400.71	212.78	198.47	256.78	587.13	363.56	277.2	460.44	256.78	237.86	323.03	262.2	248.0	199.85	348.71	242.88	339.14	356.05	205.5	138.1	450.94	521.76	297.17	231.32	397.93	224.97	241.19	303.44	214.27	172.65	256.78	314.17	256.78	234.57	384.34	194.36	147.06	114.36	109.66	137.14	167.9	78.34	102.97	172.65	137.14	154.42	147.06	146.03	148.09
