	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.ZAJG.0626.SM.5HL8X	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Q2AG.0326.SM.48U1O	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	TCGA.38.4625.01A.01R.1206.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2778.01A.02R.0851.07
AC132872.2	4.86	5.45	2.92	20.41	6.26	3.79	12.09	4.62	6.31	10.31	8.99	10.24	5.02	6.67	9.78	19.68	6.31	3.35	1.85	10.96	3.99	2.56	3.79	8.78	3.72	5.68	3.92	4.35	4.06	0.45	1.58	6.21	4.21	0.97	0.0	7.94	15.0	11.55	14.35	14.45	22.92	12.36	12.74	12.36	5.92	8.38	13.72	3.06	25.17	18.43	7.75	14.67	20.26	31.0	6.57	8.0	14.24	16.27	10.79	4.1	7.34	0.0	7.94	2.86	14.03	12.0	0.0	4.1	1.06	1.5
ACCS	206.94	116.78	100.83	400.71	73.03	187.71	118.43	144.01	323.03	224.97	93.35	251.48	102.97	353.59	320.8	301.33	172.65	131.51	301.33	134.3	136.19	63.45	104.42	287.01	153.34	190.34	275.28	297.17	281.09	51.71	82.87	199.85	429.54	150.17	64.8	297.17	688.78	698.41	447.82	466.88	403.5	490.14	373.81	543.96	285.03	269.6	293.07	647.07	909.17	785.88	896.64	651.58	368.65	733.19	536.45	444.72	287.01	961.07	743.43	82.29	346.29	143.01	808.0	241.19	500.46	381.68	0.0	63.45	27.84	30.34
AGAP10	7.06	68.07	16.88	221.86	33.3	21.63	13.62	27.64	33.06	20.26	142.01	35.0	85.82	138.1	50.27	105.89	67.12	43.63	54.33	69.03	21.78	29.48	40.36	84.63	51.35	43.63	53.19	85.82	105.15	11.3	11.3	48.18	59.13	13.62	26.47	77.79	228.13	204.07	167.9	143.01	99.43	148.09	56.28	125.24	112.77	72.01	44.57	91.41	236.21	251.48	120.1	90.77	264.03	165.57	54.72	181.28	132.44	239.52	129.69	45.85	167.9	15.22	121.79	92.7	165.57	74.58	0.0	19.68	1.5	9.06
AGAP5	34.51	61.25	46.18	187.71	32.36	48.52	59.97	43.63	100.13	107.38	94.67	52.45	66.65	100.83	107.38	61.25	55.49	21.47	56.28	78.34	14.67	37.59	57.08	55.89	46.18	80.01	50.98	49.21	108.9	28.04	26.1	46.18	53.57	50.98	41.81	125.24	122.64	142.01	130.6	130.6	118.43	131.51	133.36	157.68	108.14	95.34	81.14	75.64	193.01	124.37	88.88	195.72	166.73	125.24	150.17	156.59	141.02	111.21	212.78	88.26	122.64	19.25	279.14	34.75	166.73	157.68	0.0	24.81	0.0	15.56
AGAP8	47.84	23.93	27.05	166.73	79.45	72.52	37.85	28.86	67.12	38.12	49.21	55.1	71.0	96.01	94.01	84.04	103.69	55.1	37.59	45.85	56.28	23.25	20.86	61.25	59.97	58.71	65.26	100.83	199.85	38.4	35.25	29.06	45.21	170.25	47.17	43.94	303.44	164.42	197.09	94.01	110.43	129.69	85.82	90.14	88.26	95.34	143.01	74.06	234.57	204.07	105.15	307.69	107.38	178.77	157.68	171.45	116.78	236.21	234.57	114.36	139.07	44.25	438.59	34.02	114.36	198.47	0.0	5.28	6.57	6.01
AP000322.54	8.19	19.97	17.64	88.88	16.39	33.54	21.32	55.89	18.97	32.36	71.5	50.27	12.74	57.89	26.86	31.9	53.57	9.06	19.39	51.35	2.05	13.72	14.45	20.71	27.25	11.04	16.39	19.25	61.68	9.34	9.63	20.26	17.25	5.28	14.67	38.12	70.51	73.54	48.52	65.26	100.83	62.12	50.27	63.0	37.05	26.86	70.51	42.71	137.14	69.52	58.71	77.25	131.51	67.12	85.22	100.13	30.34	77.25	92.05	29.27	53.19	22.43	83.45	20.56	80.01	102.97	0.0	6.89	1.38	3.11
ASB14	2.61	1.41	9.13	6.41	2.97	2.63	6.84	6.41	1.95	10.24	6.46	6.89	8.85	7.82	7.4	11.38	3.38	4.62	4.9	4.43	1.69	2.51	3.38	6.73	10.79	2.51	4.9	5.92	8.25	2.58	3.06	4.13	2.27	1.81	5.23	3.82	11.38	8.32	8.78	7.88	12.55	6.41	9.34	8.58	6.89	3.69	9.48	8.06	12.93	17.9	10.47	13.83	15.0	12.93	10.31	12.83	13.93	15.56	11.73	7.82	12.27	1.01	18.97	3.41	11.04	17.64	0.0	2.39	0.0	1.04
ATXN7	62.12	111.21	202.66	395.18	136.19	277.2	249.73	289.02	129.69	162.14	212.78	387.02	325.29	209.84	150.17	381.68	153.34	131.51	99.43	145.02	84.63	132.44	180.02	198.47	126.12	202.66	152.28	105.15	199.85	120.94	92.7	208.38	90.14	134.3	94.01	127.0	409.15	381.68	316.37	406.31	381.68	351.14	303.44	295.11	267.73	255.0	457.25	165.57	316.37	432.53	320.8	323.03	351.14	633.73	397.93	293.07	264.03	343.89	466.88	320.8	295.11	109.66	629.35	140.04	567.1	262.2	138.1	57.89	21.16	33.78
BOD1L1	162.14	432.53	316.37	529.06	251.48	435.55	371.22	444.72	204.07	559.28	547.75	395.18	363.56	429.54	395.18	551.56	316.37	277.2	193.01	403.5	285.03	287.01	395.18	320.8	262.2	255.0	323.03	260.38	441.64	258.57	186.4	490.14	209.84	253.23	234.57	395.18	698.41	647.07	642.59	693.58	518.15	575.03	616.37	612.11	500.46	500.46	559.28	379.04	947.83	629.35	571.05	769.69	703.28	616.37	559.28	629.35	591.22	595.34	733.19	441.64	638.15	166.73	836.53	283.05	759.08	775.05	0.0	89.51	57.08	68.07
C20orf194	56.28	82.87	50.27	181.28	114.36	63.0	110.43	85.82	46.5	93.35	117.6	108.14	55.49	143.01	75.64	172.65	172.65	94.67	81.71	116.78	40.93	97.36	86.43	129.69	124.37	123.5	88.88	89.51	156.59	40.64	51.35	122.64	76.71	43.94	29.27	105.15	316.37	217.27	232.94	339.14	371.22	237.86	295.11	237.86	199.85	182.55	246.28	187.71	473.41	363.56	368.65	381.68	267.73	273.37	155.5	327.56	189.02	339.14	215.77	69.03	466.88	61.68	223.41	72.01	273.37	503.95	0.0	36.27	39.22	44.89
