	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.13FTX.0326.SM.5J2NG	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.AJ.A8CT.01A.11R.A37O.07	TCGA.DI.A2QY.11A.11R.A19W.07
ACOT8	463.65	743.43	629.35	1051.79	796.86	819.3	830.75	802.41	603.67	651.58	563.18	429.54	575.03	688.78	830.75	954.43	775.05	500.46	733.19	633.73	381.68	808.0	796.86	559.28	638.15	769.69	563.18	688.78	656.11	1001.93	878.17
ANAPC2	463.65	423.61	450.94	738.29	536.45	1457.23	713.11	698.41	454.09	305.55	389.72	329.84	336.79	656.11	981.29	813.63	947.83	536.45	954.43	642.59	412.0	525.39	802.41	269.6	406.31	775.05	406.31	647.07	258.57	872.1	825.0
ANKRD39	139.07	303.44	217.27	387.02	273.37	373.81	297.17	316.37	164.42	189.02	209.84	181.28	229.72	444.72	363.56	346.29	438.59	163.28	246.28	334.46	193.01	379.04	395.18	246.28	145.02	256.78	218.79	226.54	103.69	473.41	457.25
BBS5	72.52	38.67	80.01	153.34	128.79	406.31	158.79	118.43	103.69	82.29	48.18	52.82	146.03	123.5	194.36	164.42	363.56	58.71	139.07	139.07	134.3	133.36	119.26	87.65	87.65	71.0	81.14	147.06	82.29	684.02	353.59
C14orf79	182.55	135.24	146.03	287.01	271.48	497.0	325.29	231.32	206.94	144.01	199.85	170.25	260.38	228.13	387.02	363.56	743.43	132.44	299.25	237.86	148.09	231.32	329.84	149.12	186.4	158.79	182.55	285.03	116.78	1709.26	1015.93
C1orf159	74.06	76.17	124.37	237.86	85.22	373.81	214.27	208.38	106.63	71.0	102.25	85.82	105.89	249.73	220.32	212.78	262.2	115.16	214.27	139.07	154.42	128.79	133.36	82.87	81.14	111.99	100.13	146.03	75.64	457.25	279.14
C20orf96	126.12	215.77	143.01	511.0	463.65	954.43	281.09	224.97	156.59	112.77	211.31	155.5	318.57	583.07	1059.11	497.0	1685.71	134.3	397.93	229.72	77.25	318.57	473.41	109.66	197.09	316.37	165.57	239.52	65.26	890.44	1883.54
C3orf83	15.8	32.82	7.0	99.43	27.05	101.54	28.86	8.51	17.38	11.91	18.43	14.89	11.73	29.7	49.91	76.17	83.45	11.73	15.45	14.14	29.27	107.38	32.59	13.32	50.27	21.94	24.99	13.42	1.75	124.37	108.9
C6orf164	5.28	0.74	1.99	14.89	3.06	25.54	13.32	7.4	6.46	9.7	0.88	6.06	9.78	20.41	31.9	16.88	17.64	4.43	12.64	13.32	4.06	8.06	10.55	1.06	5.73	11.55	3.11	14.56	0.0	43.32	17.25
C8orf48	11.55	9.63	14.24	81.71	54.33	35.0	45.53	54.72	20.26	57.08	40.93	20.56	59.13	90.14	30.56	69.03	31.45	31.67	65.26	18.03	9.85	73.54	74.06	18.43	30.12	21.01	50.63	36.27	22.43	113.56	67.59
C9orf37	86.43	206.94	154.42	269.6	185.11	353.59	316.37	255.0	214.27	110.43	135.24	103.69	181.28	258.57	316.37	228.13	341.51	116.78	117.6	110.43	218.79	258.57	258.57	95.34	186.4	246.28	172.65	204.07	167.9	334.46	351.14
CCDC24	101.54	154.42	177.53	511.0	384.34	836.53	379.04	255.0	116.78	169.07	125.24	116.78	348.71	309.83	603.67	454.09	1447.15	120.94	392.44	118.43	106.63	316.37	426.57	189.02	166.73	258.57	96.01	215.77	78.34	2319.15	1697.45
CCHCR1	180.02	155.5	177.53	420.68	265.87	463.65	232.94	258.57	150.17	116.78	96.68	116.78	223.41	529.06	336.79	258.57	612.11	201.25	389.72	208.38	50.98	264.03	379.04	87.03	178.77	363.56	133.36	271.48	61.68	559.28	974.5
CDK5RAP1	389.72	412.0	307.69	575.03	555.41	866.07	470.14	567.1	629.35	460.44	341.51	366.09	476.71	651.58	981.29	603.67	607.87	514.56	521.76	518.15	647.07	532.74	591.22	483.38	551.56	414.87	490.14	381.68	358.54	802.41	603.67
CEP164	149.12	145.02	178.77	325.29	236.21	587.13	381.68	314.17	163.28	137.14	159.9	166.73	223.41	312.0	299.25	301.33	629.35	166.73	307.69	249.73	177.53	220.32	269.6	163.28	206.94	339.14	198.47	206.94	100.13	563.18	457.25
CHKB	567.1	647.07	536.45	2240.11	1286.18	2400.97	1551.09	1143.1	629.35	836.53	624.99	473.41	941.27	1359.57	1519.15	1199.98	1819.35	974.5	1001.93	1023.0	420.68	1340.84	1304.15	638.15	1023.0	1508.65	620.67	961.07	271.48	2855.44	1551.09
COQ4	872.1	902.89	934.76	1286.18	1175.27	1685.71	1295.13	1199.98	988.12	836.53	825.0	728.11	1059.11	1359.57	1417.35	1388.16	1963.57	748.61	1225.22	1008.9	633.73	1313.23	1191.69	769.69	802.41	1088.92	902.89	967.76	536.45	3982.99	3190.46
CSAD	244.57	152.28	224.97	351.14	265.87	1104.13	299.25	412.0	214.27	101.54	132.44	105.89	169.07	400.71	896.64	314.17	995.0	137.14	384.34	346.29	115.16	104.42	314.17	189.02	221.86	802.41	148.09	303.44	65.26	1561.89	521.76
CUL9	260.38	316.37	334.46	988.12	612.11	1044.52	450.94	563.18	361.04	291.04	236.21	242.88	395.18	819.3	842.36	483.38	825.0	343.89	511.0	356.05	209.84	493.56	587.13	209.84	379.04	743.43	395.18	493.56	86.43	1143.1	988.12
CYP46A1	27.25	10.31	11.3	23.08	12.45	64.8	19.97	23.76	11.21	8.06	2.41	6.89	11.73	26.1	48.18	21.47	58.71	7.06	22.59	9.48	12.0	7.57	19.39	9.56	14.24	13.83	14.45	11.73	3.96	27.05	11.3
DCAF15	267.73	323.03	297.17	1001.93	591.22	1417.35	624.99	587.13	341.51	273.37	409.15	232.94	392.44	878.17	759.08	620.67	620.67	480.04	543.96	441.64	275.28	551.56	624.99	273.37	366.09	381.68	400.71	476.71	146.03	1159.07	878.17
DZIP1L	60.39	54.72	35.25	305.55	273.37	713.11	178.77	66.65	48.87	28.86	28.65	48.52	244.57	339.14	454.09	178.77	708.18	40.07	191.67	56.28	118.43	170.25	166.73	72.52	61.68	146.03	61.25	125.24	34.51	1359.57	397.93
ENDOV	332.14	444.72	466.88	693.58	397.93	915.51	521.76	543.96	323.03	211.31	316.37	239.52	356.05	961.07	603.67	629.35	915.51	327.56	555.41	368.65	231.32	536.45	629.35	309.83	420.68	693.58	312.0	603.67	224.97	397.93	551.56
FAM161A	44.89	38.95	36.53	92.05	63.45	92.7	53.95	40.93	11.3	29.06	38.12	44.25	70.51	70.51	104.42	69.03	131.51	30.56	81.14	58.71	19.82	62.56	60.82	37.05	70.01	40.64	26.67	65.26	24.99	191.67	139.07
FBXL6	185.11	130.6	143.01	447.82	248.0	607.87	406.31	409.15	281.09	181.28	209.84	162.14	265.87	444.72	406.31	420.68	483.38	237.86	353.59	224.97	305.55	299.25	559.28	249.73	293.07	209.84	189.02	293.07	201.25	612.11	381.68
