	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.DK.A6B0.01A.11R.A31N.07	TCGA.E7.A7DU.01A.11R.A32O.07	GTEX.139TS.2226.SM.5J2N1	GTEX.12WSJ.0826.SM.5PNWV	TCGA.EL.A3D4.01A.11R.A19O.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.Y5V6.0526.SM.4VBRV	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ADAM9	426.57	368.65	551.56	429.54	414.87	587.13	450.94	769.69	1583.71	866.07	981.29	896.64	616.37	1037.29	974.5	728.11	802.41	1359.57	995.0	1044.52	775.05	1277.29	974.5	1044.52	909.17	1127.35	947.83	1242.34	967.76	1331.57	866.07	934.76	1081.39	967.76	728.11
AFF4	211.31	156.59	182.55	118.43	242.88	127.89	248.0	341.51	612.11	551.56	571.05	878.17	381.68	571.05	529.06	334.46	466.88	547.75	518.15	490.14	358.54	1059.11	432.53	620.67	366.09	441.64	595.34	607.87	928.3	656.11	387.02	571.05	575.03	387.02	366.09
AP1G1	454.09	339.14	293.07	353.59	417.77	178.77	395.18	521.76	511.0	785.88	941.27	1216.75	669.92	848.22	780.44	521.76	591.22	674.59	890.44	497.0	497.0	1073.91	409.15	791.35	638.15	988.12	866.07	728.11	1143.1	954.43	607.87	896.64	954.43	403.5	551.56
ARFIP2	915.51	941.27	1044.52	507.46	988.12	819.3	1594.73	1051.79	1208.34	1662.49	1709.26	2178.83	988.12	1397.83	1313.23	1044.52	1111.82	995.0	1397.83	1104.13	1208.34	1594.73	1023.0	1685.71	1594.73	1806.78	1561.89	1617.0	1721.16	1709.26	1651.0	1417.35	1781.89	1268.46	1359.57
ARL8B	723.08	1001.93	819.3	785.88	688.78	974.5	1051.79	836.53	1388.16	1388.16	1378.57	1233.75	995.0	1870.53	1183.45	890.44	1096.5	1119.56	1159.07	1191.69	836.53	1819.35	1135.2	1199.98	1378.57	1331.57	1088.92	1359.57	1617.0	1477.58	1268.46	1437.15	1111.82	1066.48	1023.0
ATP6V1C1	231.32	323.03	327.56	281.09	336.79	329.84	529.06	454.09	1081.39	866.07	1008.9	1175.27	629.35	1350.18	802.41	669.92	860.08	669.92	909.17	909.17	665.29	1096.5	753.83	934.76	878.17	896.64	769.69	1059.11	1151.06	1191.69	890.44	1388.16	995.0	941.27	688.78
BCLAF1	503.95	466.88	540.19	575.03	567.1	307.69	642.59	733.19	1437.15	1167.14	1447.15	2090.03	1159.07	1277.29	1127.35	995.0	1015.93	1119.56	1447.15	1073.91	928.3	2104.58	1015.93	1286.18	698.41	1191.69	1088.92	1583.71	1477.58	1991.0	915.51	1628.26	1331.57	1119.56	1143.1
CAND1	409.15	463.65	620.67	420.68	483.38	325.29	571.05	420.68	1001.93	1127.35	872.1	1674.06	571.05	988.12	954.43	525.39	540.19	543.96	1088.92	684.02	441.64	1225.22	532.74	791.35	647.07	981.29	878.17	902.89	1662.49	1199.98	525.39	1023.0	1015.93	486.75	532.74
CCDC47	363.56	575.03	723.08	775.05	647.07	656.11	860.08	967.76	1529.73	1529.73	1427.22	1159.07	842.36	1369.04	1127.35	941.27	1015.93	1242.34	1477.58	1175.27	1001.93	1977.24	1104.13	1350.18	1268.46	1594.73	1259.69	1427.22	1745.2	1721.16	1088.92	1551.09	1487.87	1167.14	1167.14
CDC27	368.65	281.09	258.57	279.14	361.04	249.73	579.04	836.53	1662.49	1407.55	1331.57	2319.15	1059.11	1350.18	902.89	660.68	607.87	896.64	1135.2	656.11	703.28	1769.57	819.3	1167.14	1001.93	2303.12	1059.11	1159.07	1561.89	1295.13	830.75	1135.2	1313.23	656.11	1104.13
