	TCGA.DK.A3IV.01A.22R.A21D.07	TCGA.BP.4798.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.OXRL.0526.SM.2I3EZ	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	TCGA.BR.6706.01A.11R.1884.13	TCGA.HU.8608.01A.11R.2402.13	TCGA.VQ.A923.01A.11R.A414.31	TCGA.BR.7958.01A.21R.2343.13	TCGA.FP.7998.01A.11R.2203.13	TCGA.HU.A4H0.01A.11R.A251.31	TCGA.BR.8686.01A.11R.2402.13	TCGA.FP.7916.01A.11R.2203.13	GTEX.WHPG.0426.SM.4M1XW
ABCF3	1259.69	909.17	316.37	1639.59	660.68	463.65	785.88	1304.15	830.75	1242.34	1936.53	214.27	563.18	429.54	400.71	497.0	669.92	406.31	1225.22	450.94	457.25	642.59	954.43	426.57	314.17	287.01	1286.18	1073.91	1457.23	1369.04	1111.82	1127.35	1159.07	995.0	728.11
ACOT7	819.3	974.5	1909.85	718.08	1963.57	199.85	1216.75	1135.2	503.95	1096.5	902.89	507.46	420.68	1088.92	435.55	571.05	1259.69	1073.91	928.3	353.59	373.81	301.33	341.51	486.75	591.22	674.59	1561.89	1896.65	1143.1	2104.58	1733.13	1639.59	1135.2	1407.55	1950.0
AL357673.1	135.24	60.39	17.38	115.97	43.63	5.11	21.47	66.18	36.01	115.97	94.67	21.94	17.25	43.94	11.73	27.44	44.25	35.76	71.0	23.25	20.56	14.89	32.82	14.24	23.08	21.16	53.95	43.94	115.16	59.55	85.82	101.54	107.38	90.14	31.9
ANKMY2	651.58	264.03	166.73	480.04	376.41	118.43	309.83	307.69	287.01	529.06	406.31	269.6	412.0	373.81	190.34	157.68	256.78	316.37	271.48	199.85	271.48	187.71	269.6	204.07	299.25	291.04	361.04	525.39	1044.52	629.35	567.1	497.0	567.1	679.29	460.44
ASPSCR1	660.68	316.37	470.14	656.11	591.22	376.41	476.71	884.29	361.04	759.08	651.58	403.5	417.77	450.94	269.6	420.68	603.67	403.5	1498.22	332.14	454.09	92.05	579.04	229.72	334.46	297.17	647.07	486.75	825.0	688.78	547.75	915.51	854.13	579.04	493.56
ATAT1	426.57	236.21	77.79	221.86	102.25	198.47	104.42	392.44	127.89	303.44	480.04	137.14	113.56	332.14	96.68	152.28	231.32	127.89	135.24	136.19	79.45	57.08	129.69	91.41	141.02	152.28	343.89	307.69	884.29	368.65	244.57	409.15	674.59	318.57	239.52
ATPIF1	5147.73	6381.92	3928.15	5672.41	11424.74	4802.93	5219.6	7382.04	6250.56	6207.38	7382.04	2758.13	4038.61	3190.46	2018.8	3303.0	5183.54	4038.61	4481.23	3820.7	3614.55	2758.13	4010.71	3690.52	3901.01	4210.15	5594.3	4937.99	4736.79	7642.41	3742.05	3716.2	7857.29	5006.93	9409.14
BCAT2	3060.45	591.22	642.59	1135.2	638.15	371.22	559.28	674.59	902.89	872.1	1540.37	476.71	497.0	429.54	395.18	395.18	660.68	409.15	2193.99	497.0	473.41	309.83	836.53	423.61	409.15	518.15	1397.83	1059.11	1066.48	1674.06	1059.11	2163.77	1135.2	1008.9	559.28
BRAT1	599.49	555.41	228.13	769.69	403.5	161.02	334.46	555.41	397.93	791.35	961.07	164.42	262.2	389.72	165.57	221.86	521.76	395.18	555.41	211.31	327.56	102.97	318.57	255.0	255.0	190.34	934.76	713.11	1059.11	854.13	848.22	1015.93	860.08	713.11	400.71
C19orf48	1286.18	698.41	253.23	536.45	363.56	291.04	320.8	579.04	480.04	403.5	463.65	144.01	77.25	237.86	152.28	211.31	229.72	177.53	486.75	105.89	389.72	85.82	241.19	153.34	119.26	98.73	1457.23	1628.26	921.88	1870.53	909.17	1651.0	733.19	684.02	1059.11
C2CD3	555.41	361.04	183.82	381.68	287.01	260.38	147.06	591.22	217.27	473.41	384.34	197.09	253.23	154.42	120.1	175.07	297.17	115.16	353.59	256.78	166.73	236.21	214.27	113.56	172.65	215.77	384.34	454.09	536.45	532.74	551.56	412.0	693.58	444.72	334.46
C2orf48	31.22	7.94	0.0	10.96	7.88	0.0	4.17	12.27	0.66	0.09	0.61	2.81	2.46	2.39	1.91	2.94	4.7	5.87	2.61	0.35	0.99	1.0	2.51	0.75	0.91	0.0	5.23	11.13	31.0	15.0	11.82	8.13	10.71	8.32	7.75
C9orf114	1191.69	656.11	460.44	890.44	441.64	271.48	490.14	684.02	583.07	981.29	1037.29	137.14	368.65	521.76	248.0	325.29	387.02	353.59	723.08	368.65	295.11	309.83	497.0	327.56	265.87	256.78	974.5	1001.93	890.44	713.11	830.75	791.35	733.19	884.29	575.03
CCDC137	638.15	325.29	204.07	480.04	251.48	115.97	269.6	387.02	353.59	441.64	351.14	96.01	94.01	271.48	85.82	157.68	211.31	150.17	279.14	115.16	167.9	132.44	155.5	173.85	135.24	72.52	514.56	579.04	599.49	450.94	444.72	480.04	825.0	571.05	371.22
CCDC61	323.03	171.45	177.53	305.55	183.82	130.6	198.47	327.56	194.36	287.01	376.41	103.69	193.01	165.57	68.55	93.35	195.72	67.59	301.33	135.24	127.89	55.1	138.1	122.64	128.79	151.22	224.97	170.25	224.97	346.29	193.01	182.55	204.07	201.25	271.48
CCDC64B	1119.56	63.89	87.03	460.44	438.59	336.79	180.02	575.03	154.42	403.5	902.89	105.15	426.57	30.56	56.68	72.01	301.33	92.05	389.72	125.24	90.77	55.1	153.34	150.17	53.19	271.48	318.57	543.96	555.41	368.65	536.45	1135.2	525.39	796.86	547.75
CD3EAP	215.77	61.68	33.78	41.52	20.26	106.63	37.59	69.03	16.75	44.57	67.59	51.35	16.88	33.06	55.89	19.11	17.13	13.12	58.71	43.63	13.03	104.42	5.96	25.35	28.86	7.57	244.57	187.71	62.56	169.07	106.63	228.13	88.88	129.69	65.26
CD74	78476.96	506427.83	402881.61	527933.71	726195.27	262143.0	1196176.45	485798.0	682276.92	585779.24	757033.75	358098.26	1019901.63	414208.18	932018.1	1503610.06	1229805.58	741454.2	554180.87	593956.43	345900.08	375901.76	1877002.62	636586.81	1196176.45	531605.79	140478.49	109455.64	82951.62	204252.32	204252.32	127486.83	68318.04	135693.24	394590.4
CDAN1	258.57	145.02	62.56	262.2	127.89	98.04	121.79	202.66	92.05	229.72	237.86	88.26	153.34	150.17	108.9	74.58	151.22	103.69	140.04	80.57	100.13	58.3	131.51	73.54	67.59	103.69	226.54	164.42	314.17	217.27	166.73	241.19	334.46	201.25	96.01
CEP104	748.61	373.81	173.85	373.81	343.89	101.54	279.14	435.55	178.77	332.14	400.71	170.25	463.65	289.02	267.73	104.42	348.71	249.73	444.72	346.29	237.86	351.14	429.54	336.79	264.03	195.72	490.14	457.25	595.34	400.71	417.77	371.22	555.41	470.14	229.72
CEP164	351.14	260.38	181.28	327.56	341.51	224.97	187.71	395.18	406.31	563.18	521.76	220.32	237.86	373.81	52.82	165.57	454.09	379.04	241.19	197.09	187.71	57.08	275.28	177.53	217.27	279.14	343.89	435.55	387.02	316.37	356.05	260.38	647.07	339.14	249.73
CIZ1	2417.67	1437.15	780.44	1733.13	1023.0	559.28	759.08	1551.09	1088.92	1991.0	2104.58	738.29	1037.29	1286.18	616.37	743.43	1233.75	981.29	1447.15	988.12	638.15	466.88	1088.92	693.58	698.41	708.18	2319.15	1950.0	1819.35	2004.85	2224.63	1950.0	2148.82	1883.54	1096.5
CNOT3	1331.57	651.58	429.54	764.36	575.03	441.64	351.14	872.1	529.06	1044.52	1037.29	260.38	872.1	748.61	356.05	267.73	473.41	470.14	603.67	353.59	503.95	599.49	346.29	518.15	323.03	447.82	981.29	915.51	1388.16	1044.52	764.36	1159.07	928.3	878.17	616.37
CTD-2583A14.10	135.24	61.25	19.68	22.43	22.59	53.19	64.8	31.45	33.54	19.97	55.49	16.15	37.85	32.36	13.03	19.97	41.81	18.03	67.12	13.93	30.78	34.26	30.78	43.32	17.77	18.03	86.43	127.89	183.82	105.15	133.36	151.22	136.19	132.44	31.22
CYB5RL	141.02	68.07	22.75	72.01	42.41	34.02	41.52	57.08	35.5	72.52	64.34	26.1	35.0	36.01	12.74	28.86	53.19	31.45	94.01	27.44	16.15	17.9	25.54	20.26	35.76	25.91	112.77	94.01	106.63	106.63	120.94	126.12	152.28	92.05	41.81
DENND2D	2287.2	1594.73	1199.98	2163.77	802.41	872.1	2627.46	1467.37	1037.29	1909.85	1733.13	483.38	1044.52	842.36	1135.2	567.1	780.44	748.61	532.74	830.75	567.1	587.13	429.54	902.89	435.55	718.08	830.75	1923.14	1721.16	1167.14	1498.22	1388.16	1242.34	1088.92	1225.22
