	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.14C5O.2626.SM.5RQI5	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.H9.A6BX.01A.31R.A311.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.QV44.1526.SM.4R1KI	GTEX.13111.1326.SM.5GCNO	GTEX.1399T.1226.SM.5P9J5	GTEX.13G51.2326.SM.5LZXV	GTEX.131XF.1926.SM.5DUW4	GTEX.11ZUS.2126.SM.5N9E6	GTEX.11OF3.1726.SM.5GU5Q	TCGA.AG.3732.11A.01R.1660.07	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.BG.A3EW.11A.22R.A22K.07
ADAM22	15.91	20.11	11.04	37.85	31.45	28.04	6.73	2.39	5.23	12.93	31.45	15.22	10.16	0.0	232.94	285.03	214.27	143.01	42.11	289.02	106.63	361.04	249.73	291.04	115.16	281.09	49.91	23.76	8.51	23.76	75.11
ADAMTS13	31.0	26.86	20.41	40.07	33.78	45.21	9.06	22.26	19.97	27.05	39.5	36.79	57.49	0.0	119.26	115.16	104.42	53.19	103.69	146.03	35.5	81.14	113.56	90.14	121.79	150.17	54.33	22.1	13.72	18.56	59.13
AGAP3	995.0	941.27	1304.15	1572.76	1191.69	1639.59	759.08	1674.06	842.36	1529.73	1551.09	1617.0	1417.35	0.0	2537.92	2004.85	1857.6	1350.18	1909.85	2090.03	1073.91	1551.09	2018.8	1709.26	1950.0	1909.85	1191.69	1143.1	947.83	1359.57	1950.0
AK8	14.14	27.05	23.25	12.64	20.11	23.59	6.62	12.55	9.13	22.1	19.97	20.11	30.78	0.0	70.01	58.71	61.25	35.76	32.36	64.8	70.51	48.52	114.36	92.7	105.89	145.02	22.26	109.66	11.21	26.28	49.56
ALMS1	275.28	309.83	348.71	237.86	199.85	260.38	177.53	128.79	187.71	206.94	231.32	178.77	260.38	0.0	368.65	279.14	376.41	228.13	269.6	255.0	348.71	400.71	346.29	223.41	368.65	314.17	220.32	154.42	138.1	150.17	412.0
ANKRD65	693.58	728.11	642.59	507.46	591.22	1216.75	299.25	195.72	293.07	204.07	299.25	547.75	241.19	63.89	693.58	909.17	1268.46	890.44	1066.48	1081.39	866.07	1037.29	1331.57	723.08	1628.26	1467.37	454.09	1030.12	567.1	518.15	759.08
AP003774.4	0.45	0.88	4.35	1.46	8.38	3.96	1.6	0.84	1.33	0.0	1.01	1.71	2.27	0.0	14.67	9.41	40.64	5.63	2.05	26.47	16.63	14.14	25.72	13.03	16.15	14.78	3.99	2.46	1.33	0.65	7.4
APMAP	633.73	638.15	571.05	902.89	1397.83	836.53	688.78	764.36	703.28	1104.13	796.86	497.0	679.29	0.0	1427.22	1457.23	1340.84	872.1	1350.18	1477.58	1066.48	1639.59	1498.22	1397.83	1477.58	1498.22	909.17	612.11	688.78	587.13	1208.34
ARHGEF19	48.52	38.4	45.21	76.17	157.68	59.97	162.14	74.06	49.91	312.0	126.12	33.78	49.91	0.0	312.0	536.45	583.07	151.22	395.18	329.84	79.45	157.68	376.41	215.77	450.94	507.46	76.71	30.34	90.14	32.59	130.6
ART5	13.22	3.96	1.79	6.36	11.55	19.97	3.17	2.16	14.45	11.64	8.65	4.7	6.31	0.0	40.07	35.25	15.45	21.94	25.72	48.18	17.25	28.65	46.84	9.63	63.89	72.01	5.87	12.09	4.43	0.0	55.49
