	GTEX.TMMY.1526.SM.4DXST	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1NF.11A.73R.A14D.07	GTEX.13CF3.2126.SM.5IFJP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.RWSA.2026.SM.47JX8	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD	GTEX.13X6H.1626.SM.5Q5CT	GTEX.1339X.1426.SM.5K7YO	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J
ADAMTS13	21.16	20.41	25.54	31.0	13.62	29.27	21.32	6.57	0.0	0.59	91.41	124.37	157.68	51.71	132.44	90.14	94.67	87.03	119.26	67.12	136.19	49.91	55.1	43.94	136.19	100.83	212.78	91.41	53.95	42.71	195.72	14.89	56.68	39.22	56.68	94.01	95.34	65.26	16.39	45.53	161.02	35.5	42.11	99.43	63.45	133.36	81.71	52.82	13.83	14.45	22.1	14.78	29.48
AKAP8L	775.05	616.37	518.15	718.08	480.04	567.1	738.29	414.87	0.0	1.06	1745.2	2090.03	1923.14	1001.93	1733.13	1407.55	2133.97	1457.23	2148.82	1304.15	1721.16	769.69	928.3	825.0	1857.6	1605.83	2664.15	1651.0	1151.06	854.13	2384.37	620.67	1008.9	878.17	854.13	1427.22	1628.26	1832.01	902.89	1127.35	1857.6	928.3	896.64	1757.34	1583.71	2061.24	1183.45	974.5	490.14	642.59	490.14	463.65	651.58
ANAPC2	417.77	366.09	387.02	438.59	343.89	283.05	403.5	297.17	0.0	0.91	981.29	1447.15	1191.69	921.88	1183.45	1030.12	1295.13	1119.56	1208.34	967.76	1191.69	579.04	825.0	842.36	1259.69	1037.29	1709.26	1199.98	748.61	728.11	1457.23	412.0	813.63	571.05	791.35	1066.48	842.36	941.27	591.22	753.83	1191.69	708.18	780.44	1096.5	995.0	1397.83	854.13	708.18	251.48	291.04	323.03	271.48	334.46
ANKZF1	305.55	242.88	202.66	239.52	194.36	291.04	351.14	256.78	0.0	0.88	1073.91	1540.37	1199.98	486.75	1350.18	1135.2	1551.09	974.5	1208.34	540.19	1191.69	607.87	547.75	567.1	1378.57	967.76	1991.0	934.76	642.59	612.11	1540.37	412.0	426.57	463.65	529.06	748.61	872.1	785.88	559.28	543.96	2004.85	493.56	417.77	1313.23	579.04	713.11	651.58	438.59	275.28	205.5	169.07	181.28	228.13
BZRAP1	325.29	384.34	221.86	264.03	42.41	59.97	126.12	15.45	0.0	0.82	514.56	1331.57	1119.56	400.71	1111.82	981.29	967.76	612.11	981.29	633.73	866.07	376.41	493.56	295.11	848.22	909.17	1175.27	981.29	612.11	511.0	1322.37	152.28	379.04	480.04	507.46	866.07	660.68	860.08	242.88	376.41	1304.15	320.8	395.18	688.78	476.71	1051.79	500.46	307.69	96.01	112.77	105.89	63.89	258.57
C1orf145	3.79	2.66	0.46	1.79	3.38	1.77	0.0	2.46	0.0	0.45	11.3	103.69	41.81	10.16	69.03	21.63	43.02	19.68	51.35	37.32	34.75	17.9	18.84	19.53	50.27	47.17	47.17	34.51	38.95	23.42	53.57	9.85	23.25	27.05	33.78	48.52	22.75	45.85	21.16	30.34	67.59	33.54	13.32	45.21	33.3	30.34	8.06	29.91	1.6	1.57	1.36	0.67	2.05
CELF5	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.22	16.63	24.81	17.0	4.94	12.83	10.55	18.7	21.94	29.7	15.8	26.67	7.57	4.39	10.63	21.94	16.15	47.84	11.47	7.82	10.08	12.36	3.63	11.73	2.73	9.41	11.13	2.43	6.26	8.32	18.16	63.45	12.0	5.36	16.03	7.06	5.02	3.59	7.34	8.25	0.21	2.58	2.34	0.45
CES4A	29.91	15.68	11.55	14.35	43.02	69.52	55.49	86.43	0.0	0.73	159.9	361.04	236.21	118.43	269.6	141.02	267.73	119.26	215.77	117.6	73.03	102.97	134.3	120.94	171.45	152.28	642.59	176.29	125.24	125.24	307.69	72.01	90.77	139.07	88.26	169.07	108.14	273.37	66.18	47.84	460.44	104.42	94.01	164.42	134.3	228.13	49.56	136.19	9.78	6.89	9.34	54.72	16.75
CHKB	470.14	559.28	392.44	429.54	738.29	896.64	902.89	599.49	0.0	1.22	974.5	1991.0	1781.89	902.89	1733.13	1143.1	2287.2	1167.14	2351.53	1151.06	1322.37	872.1	785.88	612.11	1572.76	1437.15	2537.92	1605.83	1051.79	1023.0	2178.83	1175.27	934.76	1477.58	878.17	1340.84	1844.76	1191.69	703.28	813.63	2255.7	688.78	896.64	1037.29	1304.15	1685.71	995.0	872.1	454.09	334.46	376.41	339.14	518.15
CLK2	447.82	339.14	470.14	316.37	454.09	414.87	555.41	438.59	0.0	0.82	967.76	1183.45	1135.2	607.87	1199.98	988.12	1437.15	974.5	1233.75	638.15	1073.91	559.28	603.67	579.04	967.76	1037.29	1457.23	941.27	860.08	669.92	1081.39	457.25	616.37	616.37	571.05	915.51	819.3	1151.06	603.67	813.63	1388.16	703.28	764.36	1304.15	928.3	854.13	540.19	660.68	490.14	536.45	414.87	336.79	483.38
