	GTEX.SE5C.1026.SM.4BRUG	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.PWN1.0726.SM.48TDR	GTEX.13OVG.0926.SM.5J2OJ	GTEX.TKQ2.1226.SM.4DXSV	GTEX.1399R.0726.SM.5KM2A	TCGA.AG.3732.11A.01R.1660.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.D7.8574.01A.13R.2343.13	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
ACBD5	144.01	435.55	915.51	780.44	320.8	193.01	161.02	130.6	150.17	169.07	291.04	287.01	420.68	525.39	253.23	366.09	373.81	441.64	435.55	353.59	258.57	339.14	420.68	339.14	215.77	236.21	122.64	208.38	139.07	237.86	172.65	332.14	80.01	83.45	178.77	277.2	138.1	140.04	158.79	323.03	147.06
AGO1	190.34	271.48	371.22	309.83	151.22	182.55	162.14	146.03	97.36	132.44	289.02	237.86	191.67	395.18	279.14	241.19	295.11	353.59	325.29	346.29	273.37	325.29	301.33	264.03	92.05	285.03	137.14	358.54	204.07	199.85	242.88	503.95	167.9	122.64	171.45	244.57	202.66	246.28	237.86	403.5	166.73
AL357673.1	46.84	64.34	117.6	135.24	73.03	105.89	59.97	43.94	16.63	35.25	98.04	89.51	94.67	112.77	69.52	105.89	87.03	153.34	85.82	78.89	71.5	105.15	128.79	73.03	24.46	40.07	23.93	35.0	37.59	50.27	32.82	56.28	20.71	17.9	20.86	51.35	38.95	30.34	30.12	42.71	37.59
ALAD	1096.5	775.05	2796.65	1540.37	915.51	1023.0	457.25	603.67	587.13	579.04	967.76	878.17	1008.9	854.13	896.64	785.88	1044.52	1127.35	1268.46	1096.5	1242.34	1304.15	1216.75	775.05	559.28	624.99	532.74	525.39	669.92	616.37	575.03	759.08	480.04	480.04	693.58	647.07	591.22	620.67	551.56	733.19	575.03
ALDH5A1	89.51	231.32	559.28	490.14	148.09	80.01	49.56	36.27	32.13	36.27	115.16	141.02	150.17	186.4	122.64	177.53	239.52	273.37	209.84	172.65	121.79	202.66	217.27	214.27	36.79	70.51	48.52	37.85	57.08	64.8	48.87	151.22	23.76	21.16	26.1	173.85	57.89	51.35	38.4	125.24	43.02
AMOT	63.0	301.33	764.36	579.04	141.02	178.77	73.03	26.86	39.5	20.11	169.07	460.44	202.66	237.86	59.55	120.94	182.55	220.32	161.02	154.42	110.43	120.94	232.94	251.48	74.06	275.28	176.29	291.04	62.56	329.84	115.16	718.08	50.63	93.35	103.69	120.1	144.01	94.67	90.77	285.03	59.97
ANGEL1	118.43	379.04	473.41	423.61	231.32	318.57	176.29	267.73	232.94	281.09	373.81	395.18	279.14	514.56	379.04	454.09	521.76	460.44	395.18	450.94	348.71	457.25	591.22	232.94	108.14	237.86	138.1	177.53	195.72	198.47	175.07	307.69	109.66	127.89	118.43	217.27	281.09	183.82	187.71	309.83	137.14
AP3M2	150.17	297.17	493.56	454.09	197.09	239.52	187.71	175.07	100.83	166.73	283.05	246.28	301.33	265.87	224.97	297.17	281.09	373.81	348.71	229.72	289.02	297.17	303.44	264.03	113.56	228.13	119.26	159.9	140.04	220.32	157.68	299.25	85.82	94.67	115.16	199.85	167.9	117.6	124.37	229.72	143.01
APOBEC3G	94.01	947.83	967.76	738.29	154.42	231.32	122.64	107.38	100.13	26.1	490.14	125.24	223.41	466.88	218.79	376.41	693.58	651.58	314.17	587.13	239.52	395.18	915.51	447.82	134.3	392.44	320.8	126.12	189.02	438.59	109.66	1437.15	131.51	142.01	249.73	473.41	167.9	130.6	102.25	460.44	166.73
ARHGAP42	10.16	102.25	139.07	141.02	115.16	46.84	39.79	89.51	40.36	20.56	86.43	63.89	92.05	269.6	171.45	109.66	171.45	244.57	149.12	147.06	126.12	145.02	78.34	118.43	56.68	34.02	37.85	92.7	69.03	56.28	36.01	109.66	44.89	38.4	38.12	111.99	53.95	57.49	29.06	105.15	24.99
