	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AR.A1AJ.01A.21R.A12P.07	TCGA.D8.A1JG.01B.11R.A13Q.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.XK.AAIV.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.V1.A9O5.01A.11R.A41O.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.ZG.A9L0.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.ZG.A8QW.01A.11R.A37L.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07
ANLN	412.0	358.54	567.1	848.22	1286.18	612.11	158.79	25.91	12.45	46.5	9.2	11.64	79.45	79.45	29.91	14.89	24.28	108.9	19.82	81.14	30.34	11.3	17.51	28.24	54.33	19.82	8.45	26.28	17.13	20.26	36.53	9.56	10.79	12.09	28.24	61.25	148.09	18.7	48.52	71.5	20.86	121.79	299.25	23.76	17.9	21.16	51.35	24.11	25.54	16.75	131.51	32.13	31.9	43.63	173.85	45.53	26.47	72.01	17.64	78.89	14.14	97.36	153.34	15.91	24.81	147.06	36.79	20.56	20.11	56.28	76.71	63.89	93.35	54.72	29.48	14.14	22.43	21.94	27.84	19.53	18.16	31.9	13.93	92.05	21.47	23.25	10.16	31.45	11.73	129.69	12.64
APOBEC3B	1001.93	237.86	403.5	1059.11	571.05	3690.52	215.77	41.52	8.92	44.89	25.17	15.11	75.64	40.93	44.57	8.92	29.7	46.18	24.11	76.71	14.78	12.64	13.22	36.79	13.03	37.32	15.0	27.84	11.21	30.78	63.89	14.89	13.03	14.03	8.32	62.56	112.77	9.06	20.71	85.22	43.94	58.3	62.56	37.59	23.42	18.84	50.63	31.9	28.04	35.25	87.03	28.45	26.28	46.18	63.89	27.84	45.21	89.51	27.64	103.69	10.47	79.45	194.36	29.91	20.56	111.21	36.27	27.84	19.53	47.17	50.27	59.13	85.82	52.08	21.63	21.32	33.3	28.24	20.26	15.22	10.88	27.25	15.34	1.31	23.08	38.12	10.71	44.25	18.43	139.07	12.45
ARHGAP11A	297.17	132.44	348.71	305.55	307.69	669.92	124.37	6.89	15.8	71.5	20.56	15.8	52.08	77.79	27.84	15.68	18.43	83.45	20.71	98.73	20.71	20.41	16.75	27.05	39.22	26.28	15.11	26.1	18.56	15.8	48.52	19.11	12.45	21.94	53.57	54.72	73.54	24.99	42.41	42.71	11.3	90.77	205.5	22.75	14.67	32.82	31.0	14.67	15.34	19.97	83.45	24.99	22.75	47.5	79.45	35.76	28.24	44.25	25.17	61.68	13.93	70.01	102.97	18.03	29.27	39.5	16.27	13.62	18.56	67.59	51.35	25.54	78.89	47.17	21.01	12.93	20.56	23.59	35.25	15.56	18.7	25.17	10.08	89.51	16.75	27.05	15.68	12.55	15.0	100.13	31.9
ARHGAP11B	80.57	48.18	239.52	189.02	124.37	251.48	45.21	15.68	15.45	33.54	23.08	6.73	59.13	44.25	28.65	26.1	29.91	37.59	14.56	71.0	8.38	26.28	17.0	37.32	39.79	20.41	15.34	27.84	28.04	11.64	41.22	23.08	11.82	38.95	31.67	31.0	88.26	20.71	54.72	25.35	8.85	23.08	94.01	7.11	12.45	17.25	25.17	9.85	17.9	15.68	60.39	32.36	16.75	34.26	61.25	27.64	21.01	39.22	21.78	43.02	13.52	41.52	58.3	20.11	29.7	38.67	17.51	25.35	23.42	41.52	27.25	19.82	21.63	36.53	9.34	4.78	18.43	28.86	39.22	16.03	23.08	23.42	19.68	26.1	13.62	18.03	23.59	19.97	18.84	47.5	31.9
ASF1B	759.08	583.07	780.44	417.77	518.15	361.04	248.0	46.84	19.53	73.54	18.56	18.84	121.79	114.36	68.07	51.35	35.76	119.26	38.12	146.03	58.3	27.25	33.06	46.84	64.34	39.5	25.91	60.39	42.11	51.35	107.38	27.44	13.52	20.41	49.91	94.01	195.72	26.67	80.57	285.03	73.54	62.56	325.29	45.85	43.32	32.82	94.01	41.52	51.71	36.79	379.04	64.34	38.67	58.3	265.87	80.57	65.72	144.01	64.34	151.22	8.25	229.72	307.69	38.67	47.84	332.14	85.82	50.63	33.3	65.72	173.85	125.24	183.82	94.67	36.01	27.64	47.84	47.5	97.36	37.59	45.53	57.89	17.64	153.34	56.68	45.53	13.83	33.06	11.04	275.28	15.68
ASPM	289.02	84.04	373.81	460.44	221.86	336.79	64.8	4.58	2.27	22.26	2.1	2.86	38.12	30.78	10.96	8.0	8.19	44.89	7.75	37.05	6.78	6.16	5.36	8.58	14.45	5.87	2.14	7.06	6.16	4.35	14.67	3.32	3.53	4.94	10.79	13.83	98.73	6.06	25.72	31.22	9.7	37.85	122.64	6.36	6.06	6.11	19.82	5.23	6.73	7.46	69.52	8.99	10.16	15.11	62.12	18.29	10.31	23.42	5.63	31.67	3.2	36.53	58.71	5.82	8.78	25.35	8.0	7.88	10.63	18.84	37.59	15.56	51.35	19.11	7.69	2.68	7.28	8.19	10.08	8.58	6.11	8.71	2.63	38.67	6.26	10.88	1.58	2.63	1.43	67.59	2.61
AUNIP	100.13	176.29	253.23	178.77	59.97	146.03	39.79	4.7	10.79	13.83	5.19	4.54	33.78	6.67	8.51	11.04	12.0	21.78	9.93	20.71	12.09	7.94	9.34	5.77	8.85	5.68	13.93	7.88	5.06	4.46	17.51	5.73	6.57	12.0	5.73	10.71	35.25	14.14	13.42	18.97	9.63	16.03	46.18	4.74	17.38	5.28	12.36	6.36	5.23	13.22	44.57	10.96	5.92	10.88	15.11	7.51	4.98	17.13	9.63	12.45	8.06	32.82	32.36	14.35	8.32	24.46	15.22	8.06	3.89	9.93	25.17	7.4	21.78	6.36	18.56	6.11	8.45	9.06	8.13	8.78	7.94	7.94	10.31	21.47	7.69	15.56	5.63	11.55	5.92	24.11	9.41
AURKB	595.34	423.61	567.1	934.76	660.68	1457.23	244.57	50.98	17.25	50.98	36.79	20.11	130.6	101.54	58.71	40.64	39.5	180.02	30.34	128.79	45.21	21.01	22.43	81.71	137.14	48.87	12.83	44.57	22.26	54.72	89.51	29.06	21.16	25.35	78.34	96.01	493.56	56.68	146.03	426.57	60.39	72.01	583.07	70.51	61.68	28.04	111.99	53.95	58.3	36.01	351.14	61.25	38.12	35.5	234.57	108.9	68.07	154.42	43.02	198.47	15.91	177.53	212.78	62.12	36.27	318.57	103.69	52.08	46.84	35.5	244.57	90.14	217.27	86.43	50.63	26.47	40.07	55.1	137.14	65.26	34.51	69.52	17.77	190.34	51.71	58.3	16.27	19.97	5.28	351.14	14.24
BLM	173.85	229.72	181.28	190.34	107.38	201.25	56.68	18.29	10.63	29.48	13.52	17.38	62.12	40.36	22.92	17.25	22.59	33.3	26.67	73.54	16.88	22.59	23.93	19.53	29.27	19.82	13.03	20.71	12.74	10.39	53.19	22.92	8.51	20.11	32.36	26.67	69.03	24.63	30.56	95.34	30.78	44.89	76.71	25.17	20.26	20.41	36.01	23.08	25.72	22.75	78.34	25.72	23.59	23.42	46.84	39.79	17.51	31.22	40.64	36.27	13.42	57.49	64.34	27.84	37.32	81.14	29.91	35.0	29.48	27.05	32.82	23.08	52.08	25.91	23.25	13.72	25.54	15.56	41.52	30.34	17.25	23.25	18.7	30.34	26.47	26.1	12.64	11.3	16.75	74.06	14.24
BUB1	371.22	336.79	389.72	638.15	507.46	921.88	163.28	12.09	7.22	58.3	9.78	8.65	102.25	68.55	25.72	18.56	23.42	92.7	15.34	99.43	21.01	13.22	17.13	16.88	32.36	19.11	5.87	19.82	22.26	17.13	55.1	8.06	9.63	10.88	31.67	47.5	171.45	18.7	42.41	88.26	19.11	73.54	253.23	18.56	18.43	14.89	63.0	14.56	17.0	11.38	151.22	27.05	25.54	36.79	77.79	50.63	27.64	59.13	18.29	84.63	6.84	116.78	81.71	20.11	21.47	88.88	24.81	17.13	17.9	45.21	82.29	43.94	118.43	45.21	35.25	8.13	21.01	15.56	39.22	10.55	11.55	29.06	5.11	104.42	19.39	23.08	13.52	14.03	9.34	134.3	6.36
